"Index","open","high","low","close","volume","adjusted"
2016-03-22,24.940001,24.940001,24.940001,24.940001,202000,24.751623
2016-03-23,24.788,24.799999,24.788,24.799999,3700,24.612679
2016-03-24,24.799999,24.799999,24.799999,24.799999,0,24.612679
2016-03-28,24.799999,24.799999,24.799999,24.799999,0,24.612679
2016-03-29,24.799999,24.799999,24.799999,24.799999,0,24.612679
2016-03-30,25.040001,25.040001,25.040001,25.040001,800,24.850868
2016-03-31,25.110001,25.15,25.07,25.08,1700,24.890565
2016-04-01,24.688999,24.688999,24.688999,24.688999,200,24.502518
2016-04-04,25,25,24.905001,24.91,5700,24.721849
2016-04-05,24.690001,24.690001,24.459999,24.48,12200,24.295097
2016-04-06,24.91,24.91,24.5,24.66,2500,24.473737
2016-04-07,24.66,24.66,24.66,24.66,0,24.473737
2016-04-08,24.5,24.5,24.5,24.5,400,24.314946
2016-04-11,24.59,24.690001,24.450001,24.450001,2800,24.265325
2016-04-12,24.648001,24.715,24.648001,24.715,300,24.528322
2016-04-13,24.715,24.715,24.715,24.715,0,24.528322
2016-04-14,25.08,25.08,25.08,25.08,100,24.890565
2016-04-15,25.08,25.08,25.08,25.08,0,24.890565
2016-04-18,25.08,25.08,25.08,25.08,0,24.890565
2016-04-19,25.33,25.33,25.33,25.33,100,25.138677
2016-04-20,25.25,25.25,25.25,25.25,100,25.059281
2016-04-21,25.25,25.25,25.25,25.25,0,25.059281
2016-04-22,25.25,25.25,25.25,25.25,0,25.059281
2016-04-25,25.25,25.25,25.25,25.25,0,25.059281
2016-04-26,25.25,25.25,25.25,25.25,0,25.059281
2016-04-27,25.25,25.25,25.25,25.25,0,25.059281
2016-04-28,25.25,25.25,25.25,25.25,0,25.059281
2016-04-29,25,25.07,24.9,24.9,1700,24.711924
2016-05-02,24.9,24.9,24.9,24.9,0,24.711924
2016-05-03,24.9,24.9,24.9,24.9,0,24.711924
2016-05-04,24.9,24.9,24.9,24.9,0,24.711924
2016-05-05,24.9,24.9,24.9,24.9,0,24.711924
2016-05-06,24.540001,24.540001,24.459999,24.52,2000,24.334796
2016-05-09,24.52,24.52,24.52,24.52,0,24.334796
2016-05-10,24.52,24.52,24.52,24.52,0,24.334796
2016-05-11,24.709999,24.726,24.612,24.612,2300,24.4261
2016-05-12,24.612,24.612,24.612,24.612,0,24.4261
