"Index","open","high","low","close","volume","adjusted"
2005-08-18,14.73,14.88,14.73,14.81,882600,13.072252
2005-08-19,14.82,14.87,14.81,14.84,284100,13.098732
2005-08-22,14.87,14.95,14.84,14.95,434200,13.195824
2005-08-23,14.97,14.97,14.86,14.94,322200,13.186997
2005-08-24,14.94,15.06,14.9,14.93,206800,13.178171
2005-08-25,14.95,14.99,14.9,14.97,161500,13.213478
2005-08-26,14.97,14.97,14.73,14.78,163700,13.045771
2005-08-29,14.74,14.85,14.63,14.85,97600,13.107558
2005-08-30,14.84,14.84,14.75,14.83,118000,13.089905
2005-08-31,14.84,15.06,14.76,15.06,130000,13.292918
2005-09-01,15.11,15.12,15.01,15.1,108000,13.328224
2005-09-02,15.1,15.11,14.98,15,79500,13.239958
2005-09-06,15.11,15.21,15.06,15.21,138800,13.425317
2005-09-07,15.21,15.27,15.14,15.26,124800,13.46945
2005-09-08,15.27,15.27,15.15,15.22,108000,13.434144
2005-09-09,15.25,15.3,15.22,15.29,125300,13.49593
2005-09-12,15.28,15.36,15.26,15.33,105800,13.531237
2005-09-13,15.2,15.28,15.15,15.2,99800,13.41649
2005-09-14,15.25,15.25,15.03,15.07,79300,13.301744
2005-09-15,15.08,15.09,14.99,15.02,61300,13.257611
2005-09-16,15.2,15.2,15.02,15.13,47200,13.354704
2005-09-19,15.25,15.25,15.01,15.05,140300,13.284091
2005-09-20,15.5,15.5,14.88,14.93,74700,13.178171
2005-09-21,14.88,14.88,14.68,14.71,76500,12.983985
2005-09-22,14.62,14.7,14.53,14.65,109200,12.931025
2005-09-23,14.62,14.79,14.58,14.74,61900,13.010465
2005-09-26,14.91,14.93,14.83,14.86,65900,13.116384
2005-09-27,14.92,14.97,14.82,14.92,51000,13.169345
2005-09-28,14.92,14.92,14.77,14.81,45500,13.072252
2005-09-29,14.86,14.96,14.77,14.96,59900,13.204651
2005-09-30,14.97,15.03,14.91,15.03,56200,13.266437
2005-10-03,15.08,15.16,15.08,15.08,133000,13.310571
2005-10-04,15.14,15.14,14.86,14.89,113700,13.142865
2005-10-05,14.73,14.73,14.48,14.48,117400,12.780972
2005-10-06,14.46,14.51,14.23,14.34,154500,12.6574
2005-10-07,14.4,14.48,14.33,14.48,116800,12.780972
2005-10-10,14.48,14.48,14.32,14.35,61400,12.666227
2005-10-11,14.4,14.4,14.17,14.19,116100,12.525
2005-10-12,14.13,14.15,13.86,13.93,204600,12.295508
2005-10-13,13.92,13.96,13.78,13.96,103200,12.321987
2005-10-14,14.02,14.14,13.91,14.12,106900,12.463213
2005-10-17,14.17,14.2,14.05,14.19,89600,12.525
2005-10-18,14.16,14.19,14.05,14.08,63300,12.427907
2005-10-19,14.01,14.29,13.9,14.28,107900,12.604439
2005-10-20,14.3,14.31,14,14.07,147000,12.41908
2005-10-21,14.18,14.25,14.12,14.19,35500,12.525
2005-10-24,14.26,14.44,14.26,14.42,153400,12.728013
2005-10-25,14.42,14.47,14.27,14.35,70900,12.666227
2005-10-26,14.39,14.48,14.29,14.33,117800,12.648573
2005-10-27,14.32,14.32,14,14,83300,12.357294
2005-10-28,14.11,14.22,14.04,14.21,59700,12.542653
2005-10-31,14.33,14.48,14.29,14.45,57900,12.754492
2005-11-01,14.46,14.49,14.4,14.45,83200,12.754492
2005-11-02,14.52,14.71,14.5,14.71,76000,12.983985
2005-11-03,14.75,14.87,14.72,14.73,107700,13.001638
2005-11-04,14.79,14.79,14.66,14.72,54800,12.992812
2005-11-07,14.84,14.89,14.75,14.83,73000,13.089905
2005-11-08,14.79,14.79,14.72,14.72,44700,12.992812
2005-11-09,14.74,14.85,14.68,14.77,69400,13.036945
2005-11-10,14.88,14.88,14.63,14.84,70900,13.098732
2005-11-11,15,15.25,14.82,14.94,35400,13.186997
2005-11-14,14.94,14.95,14.82,14.82,83300,13.081078
2005-11-15,14.84,14.84,14.62,14.67,56600,12.948679
2005-11-16,14.69,14.69,14.55,14.64,39000,12.922199
2005-11-17,14.72,14.92,14.71,14.87,57600,13.125211
2005-11-18,14.94,14.99,14.88,14.93,48900,13.178171
2005-11-21,14.91,15.08,14.9,15.06,123600,13.292918
2005-11-22,15.09,15.19,15.06,15.16,79600,13.381184
2005-11-23,15.17,15.24,15.15,15.19,71100,13.407663
2005-11-25,15.2,15.24,15.16,15.22,26900,13.434144
2005-11-28,15.23,15.23,14.98,15.01,128200,13.248785
2005-11-29,15.04,15.11,15.02,15.05,31200,13.284091
2005-11-30,15.09,15.14,15.04,15.11,69300,13.33705
2005-12-01,15.22,15.39,15.22,15.35,73800,13.54889
2005-12-02,15.35,15.38,15.28,15.37,68400,13.566543
2005-12-05,17.040001,17.040001,15.27,15.37,78100,13.566543
2005-12-06,15.46,15.49,15.37,15.37,79700,13.566543
2005-12-07,15.41,15.43,15.31,15.36,58600,13.557716
2005-12-08,15.38,15.47,15.32,15.34,54200,13.540064
2005-12-09,15.42,15.45,15.33,15.42,42500,13.610677
2005-12-12,15.5,15.51,15.4,15.47,96900,13.65481
2005-12-13,15.49,15.49,15.41,15.45,113900,13.637156
2005-12-14,15.43,15.48,15.38,15.44,78300,13.628329
2005-12-15,15.43,15.43,15.24,15.29,73200,13.49593
2005-12-16,15.37,15.37,15.27,15.31,90300,13.522428
2005-12-19,15.27,15.3,15.14,15.16,60000,13.389942
2005-12-20,15.21,15.21,15.07,15.11,114400,13.345779
2005-12-21,15.17,15.25,15.16,15.25,116200,13.469433
2005-12-22,15.34,15.34,15.23,15.31,61800,13.522428
2005-12-23,15.38,15.38,15.29,15.35,91300,13.557758
2005-12-27,15.38,15.39,15.16,15.18,73800,13.407607
2005-12-28,15.22,15.24,15.14,15.22,57800,13.442936
2005-12-29,15.26,15.29,15.2,15.24,47100,13.460601
2005-12-30,15.1,15.18,15.07,15.15,59200,13.381109
2006-01-03,15.23,15.39,15.03,15.33,101200,13.540093
2006-01-04,15.37,15.48,15.35,15.45,68300,13.646082
2006-01-05,15.5,15.52,15.43,15.52,53300,13.707909
2006-01-06,15.54,15.67,15.51,15.67,104800,13.840395
2006-01-09,15.72,15.84,15.7,15.8,52000,13.955216
2006-01-10,15.73,15.9,15.7,15.9,132000,14.04354
2006-01-11,15.92,15.96,15.82,15.93,78500,14.070038
2006-01-12,16,16,15.85,15.87,50800,14.017043
2006-01-13,15.93,15.98,15.87,15.97,134600,14.105368
2006-01-17,15.85,15.92,15.83,15.9,61800,14.04354
2006-01-18,15.86,15.89,15.71,15.88,126500,14.025876
2006-01-19,15.99,16.17,15.95,16.139999,118400,14.255518
2006-01-20,16.17,16.17,15.89,15.93,67000,14.070038
2006-01-23,15.95,16.040001,15.89,16.040001,53700,14.167195
2006-01-24,16.02,16.16,16.02,16.139999,101100,14.255518
2006-01-25,16.200001,16.23,16.1,16.17,112700,14.282016
2006-01-26,16.25,16.4,16.200001,16.35,307900,14.440999
2006-01-27,16.450001,16.5,16.370001,16.42,222100,14.502826
2006-01-30,16.51,16.530001,16.43,16.450001,81900,14.529324
2006-01-31,16.42,16.530001,16.35,16.52,59400,14.591151
2006-02-01,16.65,16.780001,16.5,16.73,71100,14.77663
2006-02-02,16.629999,16.629999,16.299999,16.41,187600,14.493993
2006-02-03,16.34,16.469999,16.280001,16.41,81000,14.493993
2006-02-06,16.4,16.5,16.33,16.48,75600,14.55582
2006-02-07,16.48,16.5,16.190001,16.219999,81000,14.326177
2006-02-08,16.280001,16.32,16.15,16.290001,173700,14.388005
2006-02-09,16.32,16.42,16.24,16.26,76600,14.361508
2006-02-10,16.18,16.209999,16,16.209999,122300,14.317344
2006-02-13,16.16,16.190001,16.01,16.1,56800,14.220189
2006-02-14,16.09,16.25,16,16.219999,48800,14.326177
2006-02-15,16.209999,16.32,16.190001,16.299999,58500,14.396836
2006-02-16,16.389999,16.43,16.299999,16.41,217200,14.493993
2006-02-17,16.42,16.48,16.34,16.450001,63500,14.529324
2006-02-21,16.5,16.51,16.299999,16.35,93900,14.440999
2006-02-22,16.389999,16.42,16.299999,16.42,67100,14.502826
2006-02-23,16.379999,16.48,16.32,16.4,94900,14.485161
2006-02-24,16.379999,16.49,16.35,16.459999,60200,14.538155
2006-02-27,16.540001,16.57,16.469999,16.540001,96300,14.608816
2006-02-28,16.48,16.51,16.32,16.34,288900,14.432167
2006-03-01,16.43,16.57,16.370001,16.57,111100,14.635312
2006-03-02,16.610001,16.610001,16.469999,16.57,80700,14.635312
2006-03-03,16.540001,16.68,16.5,16.57,82600,14.635312
2006-03-06,16.540001,16.559999,16.379999,16.389999,95600,14.476328
2006-03-07,16.299999,16.32,16.120001,16.139999,83900,14.255518
2006-03-08,16.120001,16.17,15.96,16.129999,90500,14.246685
2006-03-09,16.219999,16.27,16.09,16.1,68000,14.220189
2006-03-10,16.129999,16.26,16.09,16.23,87400,14.33501
2006-03-13,16.299999,16.370001,16.26,16.280001,47100,14.379173
2006-03-14,16.299999,16.440001,16.25,16.440001,79000,14.520491
2006-03-15,16.450001,16.620001,16.43,16.620001,53200,14.679475
2006-03-16,16.620001,16.67,16.559999,16.58,87000,14.644145
2006-03-17,16.549999,16.6,16.459999,16.59,62600,14.652977
2006-03-20,16.68,16.700001,16.540001,16.620001,75100,14.679475
2006-03-21,16.620001,16.68,16.4,16.450001,95200,14.529324
2006-03-22,16.43,16.59,16.360001,16.59,93300,14.652977
2006-03-23,16.59,16.65,16.530001,16.610001,221800,14.670642
2006-03-24,16.68,16.84,16.67,16.84,75800,14.873788
2006-03-27,16.9,16.92,16.82,16.92,76000,14.944447
2006-03-28,16.940001,16.969999,16.82,16.860001,72100,14.891453
2006-03-29,16.950001,17.18,16.92,17.18,87300,15.17409
2006-03-30,17.219999,17.25,17.1,17.18,67700,15.17409
2006-03-31,17.219999,17.25,17.129999,17.25,66000,15.235916
2006-04-03,17.33,17.379999,17.17,17.209999,330200,15.200586
2006-04-04,17.26,17.299999,17.16,17.26,121500,15.244749
2006-04-05,17.26,17.33,17.190001,17.32,132400,15.297743
2006-04-06,17.33,17.360001,17.26,17.32,93700,15.297743
2006-04-07,17.41,17.41,17.129999,17.17,93700,15.165257
2006-04-10,17.17,17.24,17.08,17.139999,58100,15.138759
2006-04-11,17.190001,17.190001,16.84,16.879999,115500,14.909116
2006-04-12,16.879999,17.01,16.879999,16.99,86400,15.006273
2006-04-13,16.99,17.139999,16.959999,17.09,43300,15.094598
2006-04-17,17.120001,17.15,16.950001,17.040001,104900,15.050437
2006-04-18,17.129999,17.389999,17.09,17.389999,78100,15.35957
2006-04-19,17.42,17.559999,17.379999,17.559999,148500,15.509721
2006-04-20,17.559999,17.57,17.43,17.48,187100,15.439062
2006-04-21,17.549999,17.610001,17.42,17.5,109200,15.456727
2006-04-24,17.51,17.51,17.379999,17.459999,159700,15.421396
2006-04-25,17.469999,17.469999,17.34,17.389999,103000,15.35957
2006-04-26,17.5,17.58,17.450001,17.51,100500,15.465559
2006-04-27,17.34,17.549999,17.32,17.42,66900,15.386068
2006-04-28,17.34,17.49,17.33,17.459999,100400,15.421396
2006-05-01,17.530001,17.58,17.4,17.440001,151000,15.403733
2006-05-02,17.469999,17.57,17.4,17.57,57900,15.518553
2006-05-03,17.58,17.690001,17.52,17.68,80300,15.615711
2006-05-04,17.700001,17.77,17.68,17.76,68100,15.68637
2006-05-05,17.879999,17.92,17.799999,17.860001,96400,15.774694
2006-05-08,17.889999,17.93,17.83,17.9,101500,15.810023
2006-05-09,17.9,17.940001,17.85,17.91,81000,15.818856
2006-05-10,17.85,17.85,17.719999,17.75,73800,15.677537
2006-05-11,17.65,17.719999,17.299999,17.370001,268300,15.341906
2006-05-12,17.16,17.17,16.950001,17,303300,15.015106
2006-05-15,16.84,16.84,16.610001,16.700001,195000,14.750134
2006-05-16,16.780001,16.9,16.75,16.870001,60200,14.900285
2006-05-17,16.799999,16.809999,16.549999,16.639999,176500,14.697139
2006-05-18,16.73,16.780001,16.49,16.51,146700,14.582318
2006-05-19,16.559999,16.58,16.299999,16.58,117100,14.644145
2006-05-22,16.389999,16.459999,16.18,16.33,271400,14.423334
2006-05-23,16.49,16.639999,16.309999,16.309999,212000,14.405669
2006-05-24,16.34,16.42,16.049999,16.34,79700,14.432167
2006-05-25,16.32,16.559999,16.32,16.549999,70200,14.617647
2006-05-26,16.690001,16.690001,16.610001,16.66,91500,14.714804
2006-05-30,16.629999,16.629999,16.299999,16.299999,106400,14.396836
2006-05-31,16.42,16.559999,16.4,16.52,66900,14.591151
2006-06-01,16.5,16.9,16.5,16.9,96500,14.926782
2006-06-02,17.02,17.02,16.83,16.940001,155400,14.962112
2006-06-05,16.940001,16.940001,16.549999,16.620001,78200,14.679475
2006-06-06,16.68,16.68,16.32,16.48,103900,14.55582
2006-06-07,16.389999,16.709999,16.389999,16.4,119600,14.485161
2006-06-08,16.290001,16.33,15.93,16.280001,184100,14.379173
2006-06-09,16.43,16.469999,16.219999,16.23,49700,14.33501
2006-06-12,16.18,16.18,15.75,15.79,153100,13.946384
2006-06-13,15.61,15.8,15.4,15.43,232700,13.628417
2006-06-14,15.3,15.54,15.3,15.5,88600,13.690244
2006-06-15,15.71,16.07,15.7,16.049999,123000,14.176026
2006-06-16,16,16,15.81,15.86,34100,14.00821
2006-06-19,15.86,15.87,15.59,15.59,40900,13.769736
2006-06-20,15.68,15.79,15.62,15.67,17500,13.840395
2006-06-21,15.67,15.96,15.67,15.88,44800,14.025876
2006-06-22,15.9,15.91,15.79,15.84,21200,13.990546
2006-06-23,15.81,16.049999,15.8,15.97,20700,14.105368
2006-06-26,16.07,16.1,15.97,16.1,36200,14.220189
2006-06-27,16.1,16.139999,15.78,15.78,37100,13.937551
2006-06-28,15.81,15.87,15.73,15.87,38600,14.017043
2006-06-29,16.01,16.33,15.99,16.309999,63200,14.405669
2006-06-30,16.389999,16.42,16.25,16.370001,77300,14.458665
2006-07-03,16.42,16.530001,16.4,16.530001,28900,14.599983
2006-07-05,16.379999,16.379999,16.190001,16.290001,49200,14.388005
2006-07-06,16.24,16.389999,16.219999,16.290001,57700,14.388005
2006-07-07,16.24,16.280001,16.030001,16.08,32300,14.202524
2006-07-10,16.059999,16.200001,16.01,16.01,27700,14.140697
2006-07-11,15.98,16.17,15.82,16.16,37400,14.273183
2006-07-12,16.16,16.17,15.91,15.97,47200,14.105368
2006-07-13,15.78,15.81,15.55,15.58,124000,13.760903
2006-07-14,15.46,15.5,15.25,15.36,93500,13.56659
2006-07-17,15.34,15.41,15.23,15.27,78000,13.487099
2006-07-18,15.39,15.4,15.12,15.36,81100,13.56659
2006-07-19,15.4,15.8,15.4,15.73,38700,13.893389
2006-07-20,15.87,15.87,15.43,15.43,302900,13.628417
2006-07-21,15.4,15.4,15.12,15.15,73900,13.381109
2006-07-24,15.24,15.54,15.24,15.53,91500,13.716741
2006-07-25,15.61,15.75,15.52,15.7,153800,13.866892
2006-07-26,15.57,15.76,15.48,15.65,37800,13.82273
