"Index","open","high","low","close","volume","adjusted"
2012-12-19,25.52,25.52,25.5,25.5,200,23.04542
2012-12-20,25.5,25.5,25.5,25.5,0,23.04542
2012-12-21,25.4,25.4,25.4,25.4,2300,22.955045
2012-12-24,25.16,25.16,25.16,25.16,2000,22.738147
2012-12-26,25.059999,25.059999,25.059999,25.059999,3000,22.647773
2012-12-27,25.059999,25.059999,25.059999,25.059999,0,22.703037
2012-12-28,24.84,24.84,24.82,24.82,3300,22.485609
2012-12-31,24.74,24.74,24.74,24.74,100,22.413134
2013-01-02,24.74,24.74,24.74,24.74,0,22.413134
2013-01-03,24.74,24.74,24.74,24.74,0,22.413134
2013-01-04,24.74,24.74,24.74,24.74,0,22.413134
2013-01-07,25.67,25.67,25.67,25.67,400,23.255665
2013-01-08,25.67,25.67,25.67,25.67,0,23.255665
2013-01-09,25.67,25.67,25.67,25.67,0,23.255665
2013-01-10,25.67,25.67,25.67,25.67,0,23.255665
2013-01-11,25.67,25.67,25.67,25.67,0,23.255665
2013-01-14,25.67,25.67,25.67,25.67,0,23.255665
2013-01-15,25.67,25.67,25.67,25.67,0,23.255665
2013-01-16,25.67,25.67,25.67,25.67,0,23.255665
2013-01-17,25.67,25.67,25.67,25.67,0,23.255665
2013-01-18,26.049999,26.049999,26.049999,26.049999,2000,23.599924
2013-01-22,26.5,26.5,26.23,26.23,22200,23.762995
2013-01-23,26.34,26.34,26.34,26.34,200,23.86265
2013-01-24,26.450001,26.450001,26.450001,26.450001,200,23.962304
2013-01-25,26.450001,26.450001,26.450001,26.450001,0,23.962304
2013-01-28,26.49,26.49,26.49,26.49,200,23.998541
2013-01-29,26.57,26.68,26.57,26.68,3100,24.170672
2013-01-30,26.57,26.610001,26.559999,26.6,4900,24.098196
2013-01-31,26.6,26.6,26.6,26.6,0,24.098196
2013-02-01,26.6,26.6,26.6,26.6,0,24.098196
2013-02-04,26.6,26.6,26.6,26.6,0,24.098196
2013-02-05,26.6,26.700001,26.58,26.700001,9500,24.188791
2013-02-06,26.57,26.67,26.57,26.67,2800,24.161612
2013-02-07,26.67,26.67,26.67,26.67,0,24.161612
2013-02-08,26.67,26.690001,26.65,26.67,9100,24.161612
2013-02-11,26.67,26.719999,26.65,26.690001,37800,24.179731
2013-02-12,26.77,26.77,26.77,26.77,8000,24.252207
2013-02-13,26.860001,26.860001,26.780001,26.83,1300,24.306564
2013-02-14,26.799999,26.84,26.77,26.84,4000,24.315623
2013-02-15,26.84,26.84,26.84,26.84,0,24.315623
2013-02-19,26.98,27.02,26.98,27.02,1700,24.478694
2013-02-20,27.059999,27.059999,27.049999,27.049999,32600,24.505871
2013-02-21,29.700001,29.700001,26.73,26.84,18000,24.315623
2013-02-22,27.59,27.59,26.91,26.92,1400,24.388099
2013-02-25,26.92,26.92,26.92,26.92,0,24.388099
2013-02-26,26.76,26.799999,26.73,26.780001,3000,24.261267
2013-02-27,26.780001,26.780001,26.780001,26.780001,0,24.261267
2013-02-28,27.129999,27.129999,27.129999,27.129999,7800,24.578347
2013-03-01,27.02,27.040001,27.02,27.040001,6400,24.527552
2013-03-04,27.059999,27.219999,27.040001,27.219999,5500,24.690826
2013-03-05,27.35,27.450001,27.35,27.450001,8300,24.899456
2013-03-06,27.370001,27.370001,27.370001,27.370001,6200,24.82689
2013-03-07,27.440001,27.450001,27.440001,27.450001,10400,24.899456
2013-03-08,27.530001,27.6,27.5,27.6,5200,25.035518
2013-03-11,27.639999,27.639999,27.629999,27.629999,1600,25.06273
2013-03-12,27.629999,27.629999,27.629999,27.629999,0,25.06273
2013-03-13,27.91,27.91,27.799999,27.799999,500,25.216934
2013-03-14,27.889999,27.889999,27.82,27.879999,4200,25.289501
2013-03-15,27.85,27.91,27.82,27.879999,5300,25.289501
2013-03-18,27.75,27.870001,27.75,27.860001,3300,25.27136
2013-03-19,27.75,27.790001,27.73,27.73,31800,25.153439
2013-03-20,27.950001,27.950001,27.93,27.940001,1200,25.343927
2013-03-21,27.799999,28.030001,27.799999,27.809999,600,25.226005
2013-03-22,27.950001,27.950001,27.940001,27.940001,8000,25.343927
2013-03-25,27.940001,27.940001,27.940001,27.940001,0,25.343927
2013-03-26,28.110001,28.110001,28.110001,28.110001,500,25.498131
2013-03-27,28.1,28.17,28.08,28.16,7400,25.543485
2013-03-28,28.23,28.27,28.23,28.25,11700,25.625123
2013-04-01,28.200001,28.200001,28.18,28.18,15900,25.561627
2013-04-02,28.23,28.26,28.219999,28.26,900,25.634194
2013-04-03,28.18,28.18,28.08,28.08,600,25.470918
2013-04-04,28.1,28.18,28.1,28.16,11300,25.543485
2013-04-05,28.16,28.16,28.16,28.16,0,25.543485
2013-04-08,28.129999,28.129999,28.129999,28.129999,300,25.516272
2013-04-09,28.32,28.42,28.32,28.4,6900,25.761185
2013-04-10,28.549999,28.65,28.549999,28.65,5800,25.987956
2013-04-11,28.76,28.83,28.76,28.83,5400,26.151231
2013-04-12,28.690001,28.73,28.629999,28.719999,16400,26.051452
2013-04-15,28.57,28.58,28.299999,28.299999,16100,25.670476
2013-04-16,28.610001,28.610001,28.4,28.4,4700,25.761185
2013-04-17,28.15,28.15,28.15,28.15,2300,25.534414
2013-04-18,28.040001,28.040001,27.98,27.98,4400,25.38021
2013-04-19,28.24,28.24,28.24,28.24,800,25.616052
2013-04-22,28.23,28.26,28.23,28.26,7600,25.634194
2013-04-23,28.620001,28.629999,28.620001,28.629999,2200,25.969814
