"Index","open","high","low","close","volume","adjusted"
2012-12-19,25.51,25.51,25.51,25.51,200,23.123416
2012-12-20,25.4,25.4,25.4,25.4,30500,23.023706
2012-12-21,25.25,25.25,25.209999,25.209999,53900,22.851481
2012-12-24,25.209999,25.209999,25.209999,25.209999,0,22.851481
2012-12-26,25.07,25.07,25.059999,25.059999,1200,22.715515
2012-12-27,24.85,24.85,24.799999,24.83,36500,22.561952
2012-12-28,24.83,24.83,24.77,24.77,54100,22.507433
2012-12-31,24.77,24.98,24.77,24.98,12100,22.69825
2013-01-02,25.58,25.58,25.5,25.5,7100,23.170752
2013-01-03,25.67,25.73,25.610001,25.610001,7700,23.270705
2013-01-04,25.68,25.860001,25.68,25.860001,8500,23.497869
2013-01-07,25.9,25.9,25.75,25.76,11600,23.407003
2013-01-08,25.629999,25.719999,25.629999,25.719999,10100,23.370656
2013-01-09,25.780001,25.780001,25.74,25.76,21800,23.407003
2013-01-10,27,27,25.790001,25.790001,4200,23.434264
2013-01-11,25.879999,25.98,25.879999,25.98,33600,23.606907
2013-01-14,25.959999,25.98,25.950001,25.98,21900,23.606907
2013-01-15,26.559999,26.559999,25.9,26.049999,3600,23.670513
2013-01-16,26,26.049999,26,26.049999,3100,23.670513
2013-01-17,26.07,26.25,26.07,26.190001,18700,23.797726
2013-01-18,26.139999,26.139999,26.139999,26.139999,200,23.752292
2013-01-22,26.27,26.440001,26.26,26.440001,50700,24.02489
2013-01-23,26.379999,26.42,26.379999,26.42,16400,24.006717
2013-01-24,26.620001,26.620001,26.540001,26.540001,5000,24.115756
2013-01-25,26.559999,26.629999,26.530001,26.629999,30400,24.197534
2013-01-28,26.559999,26.639999,26.559999,26.620001,9800,24.188449
2013-01-29,26.639999,26.73,26.639999,26.73,20700,24.2884
2013-01-30,26.790001,26.790001,26.629999,26.639999,82300,24.206621
2013-01-31,26.66,26.700001,26.629999,26.639999,44500,24.206621
2013-02-01,27.290001,27.290001,26.74,26.84,14800,24.388353
2013-02-04,26.110001,26.68,26.110001,26.58,30500,24.152102
2013-02-05,26.76,26.809999,26.68,26.790001,13900,24.342921
2013-02-06,26.700001,26.82,26.700001,26.82,40700,24.370179
2013-02-07,26.780001,26.780001,26.610001,26.610001,17100,24.179362
2013-02-08,26.82,26.889999,26.82,26.870001,15700,24.415613
2013-02-11,26.860001,26.93,26.860001,26.93,26700,24.470132
2013-02-12,26.9,26.99,26.9,26.98,27000,24.515564
2013-02-13,27.01,27.02,26.98,26.98,2900,24.515564
2013-02-14,27.4,27.4,26.940001,26.99,28100,24.524651
2013-02-15,27.09,27.09,27.01,27.01,10000,24.542825
2013-02-19,27.25,27.25,27.25,27.25,1300,24.760902
2013-02-20,27.25,27.25,27.25,27.25,9500,24.760902
2013-02-21,26.83,26.870001,26.83,26.83,113000,24.379266
2013-02-22,27.01,27.07,26.99,27.040001,70000,24.570085
2013-02-25,27.209999,27.209999,26.780001,26.780001,17900,24.333834
2013-02-26,26.83,26.83,26.67,26.74,14500,24.297487
2013-02-27,27.120001,27.26,27.120001,27.26,15300,24.769989
2013-02-28,27.24,27.32,27.200001,27.200001,49300,24.71547
2013-03-01,27.32,27.32,27.02,27.17,46400,24.740967
2013-03-04,27.24,27.309999,27.18,27.309999,9600,24.86845
2013-03-05,27.5,27.639999,27.5,27.58,38100,25.114312
2013-03-06,27.66,27.66,27.549999,27.57,40600,25.105206
2013-03-07,27.65,27.68,27.610001,27.639999,35400,25.168947
2013-03-08,27.700001,27.790001,27.67,27.76,17300,25.27822
2013-03-11,27.77,27.860001,27.74,27.860001,19800,25.36928
2013-03-12,27.92,27.92,27.85,27.92,14900,25.423916
2013-03-13,27.84,27.959999,27.84,27.959999,98700,25.460339
2013-03-14,28.389999,28.389999,28.01,28.08,53100,25.569611
2013-03-15,28.16,28.16,28.049999,28.09,29800,25.578717
2013-03-18,28,28.120001,28,28.120001,700,25.606036
2013-03-19,28.09,28.1,27.940001,27.950001,44800,25.451234
2013-03-20,28.1,28.139999,28.08,28.129999,49900,25.615141
2013-03-21,28.059999,28.09,27.99,27.99,13600,25.487657
2013-03-22,28.1,28.120001,28.08,28.120001,16800,25.606036
2013-03-25,28.4,28.4,28.049999,28.049999,12000,25.542293
2013-03-26,28.209999,28.24,28.200001,28.24,11700,25.715307
2013-03-27,28.18,28.299999,28.18,28.280001,16200,25.751732
2013-03-28,28.32,28.42,28.32,28.41,41500,25.870109
2013-04-01,28.25,28.299999,28.23,28.27,30100,25.742626
2013-04-02,28.41,28.440001,28.27,28.27,34800,25.742626
2013-04-03,28.280001,28.280001,28.049999,28.139999,20400,25.624247
2013-04-04,28.23,28.26,28.190001,28.26,35500,25.733519
2013-04-05,27.969999,28.16,27.950001,28.16,89400,25.642459
2013-04-08,28.15,28.35,28.15,28.35,29600,25.815473
2013-04-09,28.370001,28.530001,28.370001,28.469999,25100,25.924744
2013-04-10,28.610001,28.799999,28.610001,28.799999,15800,26.225242
2013-04-11,28.809999,28.93,28.799999,28.93,39900,26.343621
2013-04-12,28.809999,28.82,28.77,28.790001,10800,26.216137
2013-04-15,28.6,28.620001,28.299999,28.299999,14000,25.769942
2013-04-16,28.34,28.440001,28.33,28.4,25500,25.861003
2013-04-17,28.49,28.49,27.969999,28.110001,20100,25.59693
2013-04-18,28.07,28.09,27.950001,28.01,36400,25.50587
2013-04-19,28.09,28.27,28.049999,28.27,15100,25.742626
2013-04-22,28.219999,28.459999,28.17,28.43,23400,25.888321
2013-04-23,28.620001,28.700001,28.57,28.67,39600,26.106865
2013-04-24,28.74,28.82,28.700001,28.780001,76400,26.207031
2013-04-25,28.93,29,28.879999,28.91,53600,26.325408
2013-04-26,28.83,29,28.82,28.99,112200,26.398256
2013-04-29,29.07,29.18,29.059999,29.16,43400,26.553058
2013-04-30,29.08,29.219999,29.07,29.219999,31800,26.607693
2013-05-01,29.09,29.110001,28.969999,29,47800,26.407362
2013-05-02,29.190001,29.190001,29.01,29.129999,50700,26.525739
2013-05-03,29.43,29.469999,29.4,29.43,101200,26.79892
2013-05-06,29.41,29.48,29.389999,29.440001,51400,26.808026
2013-05-07,29.76,29.76,29.5,29.620001,34200,26.971934
2013-05-08,29.610001,29.68,29.59,29.620001,39000,26.971934
2013-05-09,29.76,29.76,29.610001,29.610001,18100,26.962828
2013-05-10,29.65,29.65,29.370001,29.629999,59700,26.981039
2013-05-13,29.639999,29.68,29.639999,29.68,15600,27.02657
2013-05-14,30.09,30.09,29.809999,29.99,31400,27.308855
2013-05-15,30.23,30.23,29.940001,30.139999,34500,27.445444
2013-05-16,30.219999,30.219999,30.059999,30.110001,19700,27.418127
2013-05-17,30.280001,30.41,30.190001,30.4,52300,27.6822
2013-05-20,30.690001,30.690001,30.379999,30.42,27900,27.700412
2013-05-21,30.43,30.530001,30.370001,30.5,32100,27.77326
2013-05-22,30.610001,30.74,30.15,30.200001,21000,27.500081
