"Index","open","high","low","close","volume","adjusted"
2012-12-19,25.629999,25.629999,25.58,25.59,400,22.984751
2012-12-20,25.59,25.59,25.59,25.59,0,22.984751
2012-12-21,25.59,25.59,25.59,25.59,0,22.984751
2012-12-24,25.59,25.59,25.59,25.59,0,22.984751
2012-12-26,25.200001,25.23,25.200001,25.23,2200,22.661402
2012-12-27,25,26.1,24.959999,26.1,4600,23.47726
2012-12-28,25,25,24.9,24.91,2600,22.406841
2012-12-31,24.950001,24.950001,24.950001,24.950001,200,22.442822
2013-01-02,24.950001,24.950001,24.950001,24.950001,0,22.442822
2013-01-03,24.950001,24.950001,24.950001,24.950001,0,22.442822
2013-01-04,26.01,26.01,26.01,26.01,800,23.396304
2013-01-07,26.129999,26.129999,26,26.01,900,23.396304
2013-01-08,25.870001,25.870001,25.870001,25.870001,200,23.270373
2013-01-09,25.870001,25.870001,25.870001,25.870001,0,23.270373
2013-01-10,25.870001,25.870001,25.870001,25.870001,0,23.270373
2013-01-11,25.870001,25.870001,25.870001,25.870001,0,23.270373
2013-01-14,25.870001,25.870001,25.870001,25.870001,0,23.270373
2013-01-15,25.870001,25.870001,25.870001,25.870001,0,23.270373
2013-01-16,26.309999,26.309999,26.309999,26.309999,200,23.666157
2013-01-17,26.309999,26.309999,26.309999,26.309999,0,23.666157
2013-01-18,26.309999,26.309999,26.309999,26.309999,0,23.666157
2013-01-22,26.629999,26.73,26.629999,26.73,16000,24.043952
2013-01-23,26.73,26.73,26.73,26.73,0,24.043952
2013-01-24,26.73,26.73,26.73,26.73,0,24.043952
2013-01-25,26.9,26.959999,26.9,26.959999,5200,24.250839
2013-01-28,27,27,27,27,1100,24.286821
2013-01-29,26.879999,26.99,26.879999,26.99,7000,24.277825
2013-01-30,26.99,26.99,26.99,26.99,0,24.277825
2013-01-31,26.969999,26.969999,26.969999,26.969999,400,24.259835
2013-02-01,26.969999,26.969999,26.969999,26.969999,0,24.259835
2013-02-04,26.969999,26.969999,26.969999,26.969999,0,24.259835
2013-02-05,27.18,27.18,27.139999,27.139999,1200,24.412752
2013-02-06,27.139999,27.139999,27.139999,27.139999,100,24.412752
2013-02-07,27.139999,27.139999,27.139999,27.139999,0,24.412752
2013-02-08,27.139999,27.139999,27.139999,27.139999,0,24.412752
2013-02-11,27.139999,27.139999,27.139999,27.139999,0,24.412752
2013-02-12,27.139999,27.139999,27.139999,27.139999,0,24.412752
2013-02-13,27.25,27.25,27.25,27.25,23800,24.511699
2013-02-14,27.280001,27.280001,27.280001,27.280001,1400,24.538685
2013-02-15,27.360001,27.360001,27.360001,27.360001,200,24.610645
2013-02-19,27.57,27.57,27.57,27.57,500,24.799542
2013-02-20,27.41,27.41,27.41,27.41,900,24.65562
2013-02-21,27.41,27.41,27.41,27.41,0,24.65562
2013-02-22,27.309999,27.309999,27.309999,27.309999,800,24.565669
2013-02-25,27.200001,27.200001,27.200001,27.200001,1600,24.466724
2013-02-26,26.77,26.84,26.77,26.84,3000,24.142899
2013-02-27,26.84,26.84,26.84,26.84,0,24.142899
2013-02-28,27.41,27.540001,27.41,27.52,900,24.754567
2013-03-01,27.290001,27.290001,27.24,27.24,13600,24.596549
2013-03-04,27.309999,27.4,27.309999,27.4,3200,24.741022
2013-03-05,27.4,27.4,27.4,27.4,0,24.741022
2013-03-06,27.4,27.4,27.4,27.4,0,24.741022
2013-03-07,27.4,27.4,27.4,27.4,0,24.741022
2013-03-08,27.76,27.76,27.75,27.75,11400,25.057057
2013-03-11,27.75,27.75,27.75,27.75,0,25.057057
2013-03-12,27.75,27.75,27.75,27.75,0,25.057057
2013-03-13,27.75,27.75,27.75,27.75,200,25.057057
2013-03-14,27.75,27.75,27.75,27.75,0,25.057057
2013-03-15,27.75,27.75,27.75,27.75,0,25.057057
2013-03-18,28.049999,28.049999,28.040001,28.040001,1800,25.318916
2013-03-19,28.040001,28.040001,28.040001,28.040001,0,25.318916
2013-03-20,28.040001,28.040001,28.040001,28.040001,0,25.318916
2013-03-21,28.040001,28.040001,28.040001,28.040001,0,25.318916
2013-03-22,28.18,28.18,28.17,28.17,7300,25.436299
2013-03-25,28.32,28.32,28.32,28.32,200,25.571743
2013-03-26,28.32,28.32,28.32,28.32,0,25.571743
2013-03-27,28.35,28.35,28.35,28.35,6200,25.598832
2013-03-28,28.4,28.4,28.4,28.4,200,25.643979
2013-04-01,28.33,28.33,28.33,28.33,700,25.580772
2013-04-02,28.33,28.33,28.33,28.33,0,25.580772
2013-04-03,28.33,28.33,28.33,28.33,0,25.580772
2013-04-04,28.15,28.17,28.15,28.17,9800,25.436299
2013-04-05,28.17,28.17,28.17,28.17,0,25.436299
2013-04-08,28.190001,28.219999,28.190001,28.219999,1300,25.481447
2013-04-09,28.219999,28.219999,28.219999,28.219999,0,25.481447
2013-04-10,28.780001,28.780001,28.780001,28.780001,600,25.987104
2013-04-11,28.780001,28.780001,28.780001,28.780001,0,25.987104
2013-04-12,28.780001,28.83,28.780001,28.83,13600,26.032251
2013-04-15,28.6,28.6,28.4,28.4,900,25.643979
2013-04-16,28.35,28.370001,28.35,28.370001,400,25.616891
2013-04-17,28.370001,28.370001,28.370001,28.370001,0,25.616891
2013-04-18,27.969999,27.969999,27.969999,27.969999,1000,25.255707
2013-04-19,27.969999,27.969999,27.969999,27.969999,0,25.255707
2013-04-22,28.35,28.360001,28.35,28.360001,1000,25.607862
2013-04-23,28.639999,28.639999,28.639999,28.639999,300,25.860689
2013-04-24,28.639999,28.639999,28.639999,28.639999,0,25.860689
2013-04-25,28.639999,28.639999,28.639999,28.639999,0,25.860689
2013-04-26,28.639999,28.639999,28.639999,28.639999,0,25.860689
2013-04-29,29.09,29.09,29.09,29.09,9100,26.26702
2013-04-30,29.15,29.65,29.120001,29.139999,4700,26.312167
2013-05-01,29.07,29.07,28.809999,28.809999,5600,26.014191
2013-05-02,28.809999,28.809999,28.809999,28.809999,0,26.014191
2013-05-03,29.440001,29.440001,29.43,29.43,1900,26.574025
2013-05-06,29.51,29.51,29.469999,29.469999,2800,26.610143
2013-05-07,29.549999,29.65,29.549999,29.65,13400,26.772675
