"Index","open","high","low","close","volume","adjusted"
2015-09-30,20.202,20.209999,20.202,20.202,2000,19.912149
2015-10-01,20.26,20.26,20.26,20.26,100,19.969318
2015-10-02,20.26,20.26,20.26,20.26,0,19.969318
2015-10-05,20.68,20.68,20.68,20.68,300,20.383292
2015-10-06,20.68,20.68,20.68,20.68,0,20.383292
2015-10-07,20.68,20.68,20.68,20.68,0,20.383292
2015-10-08,20.889999,20.889999,20.889999,20.889999,300,20.590278
2015-10-09,20.889999,20.889999,20.889999,20.889999,0,20.590278
2015-10-12,20.889999,20.889999,20.889999,20.889999,0,20.590278
2015-10-13,20.889999,20.889999,20.889999,20.889999,0,20.590278
2015-10-14,20.889999,20.889999,20.889999,20.889999,0,20.590278
2015-10-15,20.889999,20.889999,20.889999,20.889999,0,20.590278
2015-10-16,20.889999,20.889999,20.889999,20.889999,0,20.590278
2015-10-19,21.040001,21.040001,21.040001,21.040001,1200,20.738127
2015-10-20,21.011999,21.011999,21.011999,21.011999,500,20.710527
2015-10-21,21.011999,21.011999,21.011999,21.011999,0,20.710527
2015-10-22,21.011999,21.011999,21.011999,21.011999,0,20.710527
2015-10-23,21.011999,21.011999,21.011999,21.011999,0,20.710527
2015-10-26,21.011999,21.011999,21.011999,21.011999,0,20.710527
2015-10-27,21.011999,21.011999,21.011999,21.011999,0,20.710527
2015-10-28,21.24,21.34,21.24,21.290001,700,20.98454
2015-10-29,21.290001,21.290001,21.290001,21.290001,0,20.98454
2015-10-30,21.290001,21.290001,21.290001,21.290001,0,20.98454
2015-11-02,21.32,21.32,21.32,21.32,500,21.014109
2015-11-03,21.32,21.32,21.32,21.32,0,21.014109
2015-11-04,21.32,21.32,21.32,21.32,0,21.014109
2015-11-05,21.32,21.32,21.32,21.32,0,21.014109
2015-11-06,21.209999,21.209999,21.209999,21.209999,700,20.905686
2015-11-09,21.209999,21.209999,21.209999,21.209999,0,20.905686
2015-11-10,21.01,21.040001,21.01,21.040001,300,20.738127
