"Index","open","high","low","close","volume","adjusted"
2006-05-02,19.75,19.75,19.559999,19.610001,7200,18.606597
2006-05-03,19.59,19.620001,19.540001,19.610001,74400,18.606597
2006-05-04,19.709999,19.85,19.709999,19.790001,116000,18.777387
2006-05-05,19.940001,20.01,19.870001,20,8500,18.976641
2006-05-08,20.49,20.49,19.969999,20.040001,45600,19.014595
2006-05-09,20.43,20.43,19.940001,20.01,65200,18.986129
2006-05-10,19.93,19.969999,19.790001,19.889999,14100,18.872269
2006-05-11,20.24,20.24,19.469999,19.469999,69600,18.473759
2006-05-12,19,19.370001,19,19.110001,60300,18.132181
2006-05-15,19,19.09,18.9,18.98,3300,18.008832
2006-05-16,19.17,19.17,18.889999,18.98,13400,18.008832
2006-05-17,18.84,18.84,18.629999,18.700001,29000,17.74316
2006-05-18,18.77,18.77,18.5,18.51,13500,17.562881
2006-05-19,18.4,18.67,18.4,18.610001,14900,17.657765
2006-05-22,18.27,18.540001,18.25,18.469999,10200,17.524927
2006-05-23,19.18,19.18,18.25,18.299999,34000,17.363626
2006-05-24,18.23,18.389999,18.040001,18.040001,8000,17.116931
2006-05-25,18.950001,18.950001,18.309999,18.51,16300,17.562881
2006-05-26,18.139999,18.629999,18.139999,18.620001,10700,17.667253
2006-05-30,18.469999,18.469999,18.309999,18.309999,9300,17.373114
2006-05-31,18.870001,18.870001,18.34,18.5,9500,17.553393
2006-06-01,18.65,19.110001,18.5,18.860001,37600,17.894973
2006-06-02,19.360001,19.360001,18.700001,18.84,53500,17.875996
2006-06-05,18.889999,18.889999,18.41,18.41,29300,17.467998
2006-06-06,18.629999,18.629999,18.18,18.32,75700,17.382603
2006-06-07,18.51,18.530001,18.24,18.24,75500,17.306696
2006-06-08,18.049999,18.110001,17.780001,18.059999,39700,17.135906
2006-06-09,18.77,18.77,18.030001,18.120001,43200,17.192837
2006-06-12,17.85,17.889999,17.639999,17.639999,6100,16.737397
2006-06-13,17.48,17.780001,17.48,17.51,14300,16.614049
2006-06-14,17.15,17.629999,17.030001,17.57,81200,16.670979
2006-06-15,17.75,18.219999,17.75,18.219999,12800,17.287719
2006-06-16,18.209999,18.209999,18.030001,18.1,15800,17.17386
2006-06-19,18.1,18.110001,17.83,17.91,15400,16.993582
2006-06-20,17.92,18.030001,17.85,17.879999,2300,16.965116
2006-06-21,18.049999,18.379999,17.92,18.25,4500,17.316185
2006-06-22,17.98,18.059999,17.98,18.059999,2700,17.135906
2006-06-23,18.209999,18.209999,18.01,18.15,4000,17.221301
2006-06-26,18.129999,18.129999,18.129999,18.129999,4100,17.202324
2006-06-27,18.32,18.32,17.82,17.860001,44500,16.946141
2006-06-28,17.85,17.93,17.790001,17.9,800,16.984093
2006-06-29,17.9,18.450001,17.9,18.450001,20100,17.505952
2006-06-30,18.950001,18.950001,18.4,18.42,43300,17.477486
2006-07-03,18.74,18.74,18.440001,18.5,26100,17.553393
2006-07-05,18.299999,18.299999,18.120001,18.120001,23500,17.192837
2006-07-06,18.16,18.25,18.040001,18.08,10300,17.154883
2006-07-07,17.950001,17.99,17.799999,17.83,7400,16.917675
2006-07-10,17.879999,17.9,17.59,17.6,5200,16.699444
2006-07-11,17.5,17.67,17.5,17.67,9800,16.765862
2006-07-12,17.58,17.58,17.370001,17.43,309300,16.538143
2006-07-13,16.9,17.440001,16.719999,17.200001,56600,16.319912
2006-07-14,17.059999,17.190001,16.93,17.049999,25800,16.177585
2006-07-17,16.84,17.129999,16.84,16.959999,9800,16.09219
2006-07-18,17.219999,17.219999,16.790001,17.030001,3900,16.15861
2006-07-19,17.110001,17.389999,17.1,17.33,126100,16.443259
2006-07-20,17.35,17.35,17,17,3200,16.130145
2006-07-21,16.75,16.809999,16.639999,16.639999,4100,15.788564
2006-07-24,16.860001,17.049999,16.860001,17.049999,9200,16.177585
2006-07-25,17.110001,17.209999,17.049999,17.190001,12600,16.310423
2006-07-26,17.09,17.26,17,17.139999,5900,16.262981
2006-07-27,17.290001,17.290001,16.969999,16.99,7200,16.120656
2006-07-28,17.16,17.309999,17.049999,17.309999,2500,16.424282
2006-07-31,17.23,17.35,17.219999,17.290001,16400,16.405307
2006-08-01,17.139999,17.16,16.91,17.040001,9300,16.168099
2006-08-02,17.09,17.280001,17.09,17.23,1600,16.348376
2006-08-03,17.09,17.4,17.09,17.4,1100,16.509677
2006-08-04,17.43,17.549999,17.16,17.27,9700,16.38633
2006-08-07,17.23,17.25,17.1,17.15,28600,16.272469
2006-08-08,17.18,17.24,17,17.07,20400,16.196563
2006-08-09,17.309999,17.309999,17.040001,17.040001,1900,16.168099
2006-08-10,17.02,17.25,17.02,17.17,2700,16.291446
2006-08-11,17.17,17.17,17.049999,17.049999,12200,16.177585
2006-08-14,17.25,17.42,17.190001,17.190001,2400,16.310423
2006-08-15,17.389999,17.65,17.379999,17.65,2700,16.746885
2006-08-16,17.709999,18.01,17.709999,18.01,6100,17.088465
2006-08-17,18.15,18.280001,18.01,18.16,8700,17.23079
2006-08-18,18.09,18.139999,18.02,18.139999,2400,17.211813
2006-08-21,18.02,18.030001,17.92,17.969999,138900,17.050511
2006-08-22,18.030001,18.09,17.93,17.950001,8100,17.031536
2006-08-23,18.02,18.02,17.74,17.790001,6900,16.879723
2006-08-24,17.889999,17.889999,17.67,17.83,4500,16.917675
2006-08-25,17.790001,17.9,17.790001,17.889999,1000,16.974605
2006-08-28,18.030001,18.030001,18.030001,18.030001,100,17.107442
2006-08-29,18.02,18.09,18.02,18.09,1000,17.164372
2006-08-30,18.15,18.15,18.08,18.139999,10000,17.211813
2006-08-31,18.190001,18.200001,18.129999,18.16,2000,17.23079
2006-09-01,18.85,18.85,18.16,18.25,10600,17.316185
2006-09-05,17.65,18.370001,17.65,18.370001,8100,17.430045
2006-09-06,18.25,18.25,17.969999,17.969999,11000,17.050511
2006-09-07,17.85,18.02,17.780001,17.83,7400,16.917675
2006-09-08,17.700001,18,17.690001,18,2500,17.078977
2006-09-11,17.76,18.190001,17.76,18.120001,3300,17.192837
2006-09-12,17.82,18.58,17.66,18.549999,6700,17.600834
2006-09-13,18.379999,18.690001,18.379999,18.68,9400,17.724183
2006-09-14,18.08,18.719999,18.08,18.68,10600,17.724183
2006-09-15,18.76,18.99,18.700001,18.719999,3800,17.762135
2006-09-18,18.82,18.879999,18.700001,18.74,12300,17.781112
2006-09-19,18.65,18.84,18.43,18.6,59000,17.648276
2006-09-20,18.9,18.950001,18.74,18.870001,17600,17.904461
2006-09-21,18.77,18.950001,18.42,18.709999,29400,17.752647
2006-09-22,18.51,18.66,18.51,18.6,5400,17.648276
2006-09-25,18.58,18.93,18.57,18.9,7700,17.932925
2006-09-26,18.450001,18.969999,18.450001,18.969999,14800,17.999343
2006-09-27,19.01,19.01,18.85,18.91,7700,17.942414
2006-09-28,18.959999,18.99,18.790001,18.959999,36100,17.989855
2006-09-29,18.969999,19.01,18.889999,18.889999,14700,17.923437
2006-10-02,18.809999,18.9,18.74,18.75,1500,17.790601
2006-10-03,18.620001,18.809999,18.620001,18.76,3200,17.800089
2006-10-04,18.58,19.200001,18.58,19.200001,85200,18.217576
2006-10-05,19.18,19.33,19.17,19.33,86800,18.340923
2006-10-06,19.299999,19.32,19.190001,19.219999,63200,18.236551
2006-10-09,19.26,19.389999,19.219999,19.33,6600,18.340923
2006-10-10,19.370001,19.370001,19.23,19.309999,9600,18.321946
2006-10-11,19.16,19.43,19.16,19.299999,75200,18.312458
2006-10-12,19.58,19.59,19.389999,19.58,20000,18.578131
2006-10-13,19.559999,19.709999,19.559999,19.690001,87800,18.682503
2006-10-16,19.52,19.77,19.52,19.74,93700,18.729944
2006-10-17,19.59,19.59,19.389999,19.5,52700,18.502225
2006-10-18,19.809999,19.809999,19.299999,19.379999,16300,18.388364
2006-10-19,19.24,19.459999,19.24,19.35,7000,18.3599
2006-10-20,19.24,19.34,19.24,19.26,7200,18.274505
2006-10-23,19.01,19.49,19.01,19.34,4700,18.350412
2006-10-24,19.459999,19.459999,19.219999,19.309999,5000,18.321946
2006-10-25,19.35,19.870001,19.34,19.42,67800,18.426318
2006-10-26,19.450001,19.620001,19.34,19.620001,5400,18.616085
2006-10-27,19.74,19.74,19.34,19.35,20400,18.3599
2006-10-30,19.43,19.57,19.379999,19.540001,3000,18.540179
2006-10-31,19.76,19.76,19.440001,19.530001,8400,18.53069
2006-11-01,19.58,19.620001,19.01,19.01,3500,18.037297
2006-11-02,19.17,19.32,19.139999,19.299999,105800,18.312458
