"Index","open","high","low","close","volume","adjusted"
2012-03-21,39.91,40.139999,39.869999,40.029999,61600,38.224229
2012-03-22,39.880001,39.91,39.880001,39.880001,600,38.080998
2012-03-23,39.57,39.84,39.57,39.84,4200,38.042802
2012-03-26,40.139999,40.459999,40.139999,40.439999,1000,38.615734
2012-03-27,40.52,40.52,40.380001,40.380001,2000,38.558443
2012-03-28,40.049999,40.049999,39.799999,39.970001,1500,38.166938
2012-03-29,39.860001,39.990002,39.619999,39.990002,3000,38.186037
2012-03-30,40.200001,40.200001,39.900002,40.07,400,38.262426
2012-04-02,39.889999,40.34,39.889999,40.25,27100,38.434306
2012-04-03,40.259998,40.299999,39.860001,39.889999,35200,38.090545
2012-04-04,39.759998,39.759998,39.330002,39.459999,19800,37.679943
2012-04-05,39.360001,39.549999,39.290001,39.549999,16400,37.765883
2012-04-09,39.130001,39.189999,39.040001,39.110001,32900,37.345733
2012-04-10,39.099998,39.099998,38.34,38.380001,19500,36.648664
2012-04-11,38.75,38.900002,38.639999,38.720001,20600,36.973326
2012-04-12,38.959999,39.25,38.959999,39.25,1300,37.479417
2012-04-13,38.970001,38.970001,38.84,38.84,400,37.087912
2012-04-16,38.560001,38.580002,38.439999,38.57,18800,36.830091
2012-04-17,38.849998,39.27,38.849998,39.189999,18900,37.422122
2012-04-18,39.119999,39.23,38.990002,39.23,76100,37.460318
2012-04-19,39.169998,39.349998,38.709999,38.799999,18100,37.049716
2012-04-20,38.849998,38.939999,38.700001,38.700001,41000,36.954228
2012-04-23,38.299999,38.299999,37.950001,38.09,19100,36.371745
2012-04-24,38.259998,38.259998,38.209999,38.209999,300,36.486331
2012-04-25,38.360001,38.450001,38.360001,38.450001,900,36.715506
2012-04-26,38.720001,39.09,38.720001,39.09,31700,37.326634
2012-04-27,39.16,39.16,39.16,39.16,200,37.393476
2012-04-30,39.34,39.369999,39.34,39.369999,3200,37.594002
2012-05-01,39.259998,39.720001,39.259998,39.529999,3200,37.746785
2012-05-02,39.34,39.57,39.18,39.57,33100,37.784981
2012-05-03,39.34,39.34,38.91,38.91,1900,37.154754
2012-05-04,38.59,38.59,37.889999,38.009998,34800,36.295352
2012-05-07,38.049999,38.110001,37.959999,38,30000,36.285805
2012-05-08,37.700001,37.77,37.09,37.77,34300,36.06618
2012-05-09,37.34,37.639999,37.029999,37.52,30600,35.827458
2012-05-10,37.830002,37.830002,37.380001,37.419998,29400,35.731967
2012-05-11,37.799999,37.799999,37.650002,37.66,15000,35.961142
2012-05-14,37.25,37.529999,37.25,37.360001,23900,35.674676
2012-05-15,37.299999,37.59,37.299999,37.349998,24000,35.665125
2012-05-16,37.369999,37.380001,36.880001,36.880001,13700,35.216329
2012-05-17,36.52,36.91,35.740002,36.200001,44300,34.567004
2012-05-18,36.099998,36.099998,35.560001,35.619999,39800,34.013166
2012-05-21,35.75,36.48,35.73,36.48,40600,34.834372
2012-05-22,36.669998,36.669998,36.459999,36.459999,2500,34.815274
2012-05-23,36.189999,36.639999,35.93,36.599998,32000,34.948958
2012-05-24,36.639999,36.639999,36.110001,36.110001,23700,34.481064
2012-05-25,36.459999,36.560001,36.400002,36.439999,5000,34.796176
2012-05-29,36.549999,36.799999,36.52,36.799999,13400,35.139936
2012-05-30,36.23,36.32,36.139999,36.240002,12500,34.605201
2012-05-31,36.240002,36.240002,36.240002,36.240002,0,34.605201
2012-06-01,35.41,35.43,34.990002,34.990002,1200,33.411589
2012-06-04,35.099998,35.16,34.970001,35.16,2600,33.573918
2012-06-05,35.110001,35.439999,35.07,35.18,10200,33.593016
