"Index","open","high","low","close","volume","adjusted"
2013-07-18,50.23,50.23,50.150002,50.150002,200,47.825453
2013-07-19,50.599998,50.599998,49.759998,49.759998,3900,47.453527
2013-07-22,50.48,50.48,49.950001,50,3500,47.682405
2013-07-23,50.389999,50.389999,49.900002,49.919998,4700,47.606111
2013-07-24,49.799999,49.849998,49.799999,49.849998,400,47.539356
2013-07-25,49.849998,50.110001,49.830002,50.110001,2900,47.787306
2013-07-26,49.939999,50.060001,49.779999,49.869999,3000,47.558429
2013-07-29,50.200001,50.200001,50.049999,50.049999,1200,47.730086
2013-07-30,50.150002,50.25,50.130001,50.25,1100,47.920817
2013-07-31,50.34,50.34,50.119999,50.119999,2300,47.796841
2013-08-01,50.119999,50.119999,50.119999,50.119999,0,47.796841
2013-08-02,50.490002,50.720001,50.490002,50.720001,3400,48.369032
2013-08-05,51.18,51.18,50.700001,50.73,800,48.378567
2013-08-06,50.650002,50.650002,50.389999,50.459999,75600,48.121082
2013-08-07,50.830002,50.830002,50.119999,50.25,16100,47.920817
2013-08-08,50.68,50.68,50.310001,50.490002,3900,48.149694
2013-08-09,50.450001,50.450001,50.310001,50.380001,96800,48.044792
2013-08-12,50.59,50.59,50.18,50.220001,72100,47.892208
2013-08-13,50.540001,50.560001,50.52,50.52,700,48.178302
2013-08-14,50.580002,50.580002,50.18,50.18,61000,47.854061
2013-08-15,49.84,49.84,49.419998,49.459999,24300,47.167434
2013-08-16,49.5,49.540001,49.299999,49.32,28800,47.033924
2013-08-19,49.5,49.5,49.259998,49.259998,5500,46.976703
2013-08-20,49.759998,49.759998,49.52,49.650002,1200,47.348629
2013-08-21,51.66,51.66,49.189999,49.619999,7700,47.320017
2013-08-22,49.650002,53.27,49.610001,50,2800,47.682405
2013-08-23,50.009998,50.040001,49.849998,49.959999,35300,47.644258
2013-08-26,50.509998,50.509998,49.889999,49.889999,17500,47.577503
2013-08-27,49.91,49.91,49,49.09,11300,46.814585
2013-08-28,49.509998,49.509998,49.200001,49.27,9100,46.986242
2013-08-29,49.470001,49.509998,49.360001,49.389999,8300,47.100679
2013-08-30,49.490002,49.490002,49.009998,49.080002,20200,46.80505
2013-09-03,49.540001,49.540001,49.169998,49.290001,26300,47.005315
2013-09-04,49.389999,49.779999,49.389999,49.709999,26000,47.405846
2013-09-05,49.799999,49.849998,49.77,49.77,1900,47.463066
2013-09-06,49.560001,50.040001,49.560001,50.02,41000,47.701478
2013-09-09,50.02,50.349998,50.02,50.299999,2300,47.968498
2013-09-10,51.049999,51.049999,50.560001,50.59,4100,48.245057
2013-09-11,50.5,50.77,50.5,50.77,900,48.416714
2013-09-12,53.34,53.34,50.73,50.830002,2600,48.473934
2013-09-13,51.119999,51.119999,50.869999,50.959999,4000,48.597906
2013-09-16,51.150002,51.25,51.040001,51.040001,1200,48.674199
2013-09-17,51.279999,51.32,51.25,51.32,1700,48.94122
2013-09-18,51.599998,52.049999,51.599998,52,11800,49.589701
2013-09-19,52.299999,52.299999,52,52.07,6000,49.656456
2013-09-20,52.259998,52.259998,51.700001,51.860001,8400,49.456191
2013-09-23,51.279999,51.700001,51.279999,51.580002,7100,49.18917
2013-09-24,51.299999,51.5,51.25,51.25,1000,49.037035
2013-09-25,51.200001,51.200001,51.02,51.040001,4500,48.836103
2013-09-26,51.41,51.41,51.18,51.330002,14300,49.113582
2013-09-27,51.610001,51.610001,51.029999,51.099998,36900,48.89351
2013-09-30,51,51,50.330002,50.779999,7200,48.587328
2013-10-01,51.099998,51.18,50.91,51.029999,3600,48.826533
2013-10-02,50.959999,51.150002,50.889999,51.110001,1800,48.90308
2013-10-03,51.540001,51.540001,50.450001,50.740002,41700,48.549058
2013-10-04,51.18,51.18,50.639999,50.970001,10700,48.769126
2013-10-07,50.950001,50.950001,50.549999,50.580002,29500,48.395967
2013-10-08,50.240002,50.459999,49.799999,49.799999,25900,47.649645
2013-10-09,50.41,50.41,49.5,49.84,8600,47.687918
2013-10-10,50.709999,50.709999,50.389999,50.560001,20300,48.37683
2013-10-11,50.830002,51.07,50.830002,51,25800,48.79783
2013-10-14,51.349998,51.459999,50.849998,51.389999,91300,49.170989
2013-10-15,51.77,51.77,51,51.07,33700,48.864807
2013-10-16,51.810001,51.810001,51.400002,51.740002,45300,49.505878
2013-10-17,52.029999,52.029999,51.419998,51.939999,45600,49.697239
2013-10-18,52.529999,52.529999,52.130001,52.439999,39200,50.175649
2013-10-21,52.779999,52.779999,52.400002,52.540001,46400,50.271334
2013-10-22,53.049999,53.049999,52.57,52.740002,69900,50.462698
