"Index","open","high","low","close","volume","adjusted"
2014-10-22,25.01,25.1,24.709999,24.709999,133200,24.212664
2014-10-23,24.993,25.200001,24.889999,25.08,49900,24.575218
2014-10-24,25.1,25.1,24.85,25.069,43600,24.56444
2014-10-27,25.049999,25.049999,24.860001,24.93,54200,24.428237
2014-10-28,24.98,25.15,24.870001,25.15,13000,24.643809
2014-10-29,25.719999,25.719999,24.549999,25.257999,73100,24.749635
2014-10-30,25.5,25.5,25.25,25.360001,14000,24.849583
2014-10-31,25.629999,25.799999,25.629999,25.799999,29900,25.280726
2014-11-03,27.549999,27.549999,25.780001,25.780001,32200,25.26113
2014-11-04,25.700001,25.700001,25.43,25.5,6200,24.986765
2014-11-05,25.6,25.620001,25.51,25.620001,44500,25.10435
2014-11-06,25.58,25.82,25.58,25.82,18600,25.300324
2014-11-07,25.700001,25.799999,25.700001,25.759001,5700,25.240552
2014-11-10,25.860001,25.870001,25.709999,25.73,8400,25.212135
2014-11-11,25.83,25.83,25.77,25.77,9600,25.251331
2014-11-12,25.799999,25.940001,25.780001,25.940001,44800,25.417909
2014-11-13,25.969999,25.99,25.77,25.860001,14700,25.33952
2014-11-14,25.91,26,25.85,26,19600,25.476701
2014-11-17,26,26.450001,25.9,25.92,15100,25.398311
2014-11-18,26.087999,26.190001,26.049999,26.17,23800,25.64328
2014-11-19,26.18,26.18,26,26.08,11400,25.555091
2014-11-20,26.200001,26.379,26.200001,26.333,6700,25.802999
2014-11-21,26.709999,26.75,26.290001,26.32,32500,25.79026
2014-11-24,26.73,26.75,26.32,26.51,70400,25.976437
2014-11-25,26.58,26.610001,26.440001,26.48,35400,25.94704
2014-11-26,26.59,26.59,26.379999,26.382999,28400,25.851992
2014-11-28,26.85,26.98,26.129999,26.129999,17700,25.604084
2014-12-01,26.129999,26.129999,25.809999,25.9,20000,25.378713
2014-12-02,25.959999,26.129999,25.959999,26.059999,21300,25.535493
2014-12-03,26.139999,26.370001,26.125999,26.368,17000,25.837294
2014-12-04,26.35,26.35,26.120001,26.163,30000,25.636421
2014-12-05,26.290001,26.290001,26.15,26.200001,33800,25.672677
2014-12-08,26.73,26.73,25.854,25.93,32000,25.40811
2014-12-09,25.85,25.9,25.620001,25.896999,4700,25.375774
2014-12-10,25.629999,25.68,25.299999,25.299999,36200,24.790789
2014-12-11,25.43,25.719999,25.24,25.42,30600,24.908375
2014-12-12,25.34,25.34,24.98,24.98,21600,24.47723
2014-12-15,25.540001,25.540001,24.799999,24.85,16300,24.349847
2014-12-16,24.700001,25.208,24.700001,24.76,16500,24.261659
2014-12-17,24.559999,25.34,24.559999,25.309999,22100,24.800588
2014-12-18,25.530001,25.84,25.5,25.84,34000,25.319922
2014-12-19,26.01,26.139999,25.889999,26.129999,27700,25.604084
2014-12-22,26.110001,26.16,26.08,26.1,3900,25.574689
