"Index","open","high","low","close","volume","adjusted"
2015-02-27,25,25.01,24.992001,24.992001,300,24.416599
2015-03-02,24.992001,24.992001,24.992001,24.992001,0,24.416599
2015-03-03,25.02,25.02,25.02,25.02,0,24.443954
2015-03-04,25.49,25.49,24.76,24.774,13900,24.203618
2015-03-05,24.799999,24.799999,24.702999,24.74,800,24.1704
2015-03-06,24.65,24.65,24.379999,24.379999,13500,23.818688
2015-03-09,24.51,24.540001,24.51,24.51,1000,23.945696
2015-03-10,24.15,24.209999,24.148001,24.15,5300,23.593984
2015-03-11,24.09,24.09,24.09,24.09,200,23.535366
2015-03-12,24.23,24.309999,24.23,24.309999,1300,23.7503
2015-03-13,24.184999,24.184999,24.110001,24.110001,1700,23.554906
2015-03-16,24.334999,24.469999,24.309999,24.379999,1200,23.818688
2015-03-17,24.309999,24.309999,24.299999,24.309999,800,23.7503
2015-03-18,25.6,25.6,24.290001,24.67,29100,24.102012
2015-03-19,24.58,24.58,24.563999,24.57,1600,24.004314
2015-03-20,24.799999,24.82,24.796,24.796,1100,24.225111
2015-03-23,24.98,24.98,24.950001,24.950001,2100,24.375566
2015-03-24,24.950001,24.950001,24.950001,24.950001,0,24.375566
2015-03-25,24.42,24.42,24.42,24.42,400,23.857768
2015-03-26,24.389999,24.389999,24.34,24.34,900,23.77961
2015-03-27,24.42,24.42,24.4,24.42,900,23.857768
2015-03-30,24.780001,24.780001,24.780001,24.780001,200,24.20948
2015-03-31,24.68,24.688,24.629999,24.65,28700,24.082472
2015-04-01,24.65,24.65,24.65,24.65,0,24.082472
2015-04-02,24.65,24.65,24.65,24.65,0,24.082472
2015-04-06,24.84,24.84,24.84,24.84,1400,24.268098
2015-04-07,24.870001,24.870001,24.719999,24.719999,3700,24.15086
2015-04-08,24.860001,24.860001,24.68,24.68,600,24.111782
2015-04-09,24.809999,24.889999,24.809999,24.871,3000,24.298385
2015-04-10,24.954,25.02,24.954,25.02,2000,24.443954
2015-04-13,25.559999,25.559999,24.922001,24.959999,9800,24.385334
2015-04-14,24.85,24.856001,24.85,24.856001,1000,24.283731
2015-04-15,25.709999,25.709999,25,25,1100,24.424414
2015-04-16,25.379999,25.379999,24.969999,24.969999,300,24.395104
2015-04-17,24.860001,24.860001,24.809999,24.809999,1100,24.238788
2015-04-20,25,25.129999,25,25.07,3200,24.492802
2015-04-21,25.07,25.07,25.01,25.01,2400,24.434184
2015-04-22,24.91,24.91,24.91,24.91,200,24.336486
2015-04-23,24.91,24.91,24.91,24.91,0,24.336486
2015-04-24,25.16,25.190001,25.16,25.190001,1400,24.61004
2015-04-27,25.280001,25.280001,25.190001,25.190001,1300,24.61004
2015-04-28,25.059999,25.07,25.059999,25.062,1500,24.484987
2015-04-29,25.062,25.062,25.062,25.062,0,24.484987
2015-04-30,24.860001,24.860001,24.83,24.83,500,24.258328
2015-05-01,25.059,25.059,25.059,25.059,100,24.482056
2015-05-04,25.25,25.26,25.25,25.26,2200,24.678428
2015-05-05,25.059999,25.059999,25.059999,25.059999,100,24.483032
2015-05-06,24.944,24.944,24.9,24.9,600,24.326716
2015-05-07,24.969999,24.969999,24.969999,24.969999,300,24.395104
2015-05-08,25.304001,25.304001,25.304001,25.304001,200,24.721416
2015-05-11,25.370001,25.370001,25.274,25.274,1700,24.692106
2015-05-12,24.962,25.162001,24.962,25.146999,7400,24.568029
2015-05-13,25.209999,25.23,25.200001,25.200001,1400,24.61981
2015-05-14,25.389999,25.43,25.34,25.43,13500,24.844515
2015-05-15,25.42,25.459999,25.42,25.459999,1800,24.873823
2015-05-18,25.459999,25.459999,25.459999,25.459999,0,24.873823
2015-05-19,25.719999,25.719999,25.58,25.6,7400,25.010601
2015-05-20,25.59,25.620001,25.57,25.57,600,24.981291
2015-05-21,25.629999,25.639999,25.57,25.57,2800,24.981291
2015-05-22,25.52,25.58,25.52,25.57,3700,24.981291
2015-05-26,25.57,25.57,25.129999,25.209999,2700,24.629579
2015-05-27,25.209999,25.209999,25.209999,25.209999,0,24.629579
2015-05-28,25.48,25.48,25.370001,25.370001,1900,24.785896
2015-05-29,25.370001,25.370001,25.23,25.35,1200,24.766357
2015-06-01,25.33,25.33,25.280001,25.280001,300,24.697968
2015-06-02,25.280001,25.280001,25.280001,25.280001,0,24.697968
2015-06-03,25.34,25.360001,25.337999,25.360001,600,24.776126
2015-06-04,25.16,25.16,25.1,25.1,1000,24.522112
2015-06-05,25,25.030001,25,25.030001,1700,24.453724
2015-06-08,24.91,24.91,24.91,24.91,500,24.336486
2015-06-09,24.77,24.809999,24.73,24.73,2100,24.16063
2015-06-10,24.73,24.73,24.73,24.73,0,24.16063
2015-06-11,25.15,25.15,25.101999,25.110001,400,24.531882
2015-06-12,25,25,25,25,200,24.424414
2015-06-15,24.83,24.879999,24.83,24.877001,1600,24.304247
2015-06-16,24.77,24.950001,24.77,24.950001,1600,24.460125
2015-06-17,24.976,24.976,24.976,24.976,600,24.485613
2015-06-18,25.18,25.190001,25.18,25.190001,1800,24.695412
2015-06-19,25.16,25.17,25.139999,25.139999,1800,24.646393
2015-06-22,25.222,25.222,25.222,25.222,400,24.726784
2015-06-23,25.33,25.33,25.181,25.181,600,24.686588
2015-06-24,25.190001,25.190001,25.139999,25.139999,2000,24.646393
2015-06-25,25.110001,25.110001,25.059999,25.059999,500,24.567964
2015-06-26,25.120001,25.120001,25,25.052,1600,24.560121
2015-06-29,25.052,25.052,25.052,25.052,0,24.560121
2015-06-30,24.639999,24.639999,24.615,24.615,900,24.131701
2015-07-01,24.615,24.615,24.615,24.615,0,24.131701
2015-07-02,24.9,24.9,24.76,24.76,6600,24.273855
2015-07-06,24.76,24.76,24.76,24.76,200,24.273855
2015-07-07,24.59,24.59,24.59,24.59,400,24.107193
2015-07-08,24.450001,25.200001,24.450001,24.51,2000,24.028763
2015-07-09,24.58,24.58,24.58,24.58,400,24.097389
2015-07-10,24.709999,24.75,24.709999,24.75,1500,24.264051
2015-07-13,24.940001,24.950001,24.92,24.950001,1200,24.460125
2015-07-14,24.93,24.93,24.93,24.93,4000,24.440517
2015-07-15,24.92,24.92,24.891001,24.891001,1000,24.402283
2015-07-16,25.040001,25.08,25.040001,25.08,5900,24.587572
2015-07-17,24.99,24.99,24.92,24.959999,1500,24.469927
2015-07-20,24.889999,24.959999,24.889999,24.959999,2000,24.469927
2015-07-21,24.85,24.860001,24.77,24.799999,1800,24.313068
2015-07-22,24.709999,24.719999,24.700001,24.719999,800,24.234639
2015-07-23,24.719999,24.719999,24.719999,24.719999,0,24.234639
2015-07-24,24.5,24.5,24.42,24.440001,800,23.960138
2015-07-27,24.440001,24.440001,24.440001,24.440001,0,23.960138
2015-07-28,24.549999,24.66,24.549999,24.66,1600,24.175818
2015-07-29,24.66,24.66,24.66,24.66,0,24.175818
2015-07-30,24.91,24.934,24.860001,24.934,1700,24.444438
2015-07-31,24.934,24.934,24.934,24.934,0,24.444438
2015-08-03,25,25.01,24.790001,24.790001,1300,24.303266
2015-08-04,25,25,25,25,800,24.509142
2015-08-05,25.290001,25.299999,25.15,25.18,2700,24.685608
2015-08-06,25.459999,25.459999,24.969999,24.969999,500,24.479731
2015-08-07,24.969999,24.969999,24.969999,24.969999,0,24.479731
2015-08-10,25.040001,25.040001,25.021999,25.021999,500,24.53071
2015-08-11,25.021999,25.021999,25.021999,25.021999,0,24.53071
2015-08-12,24.57,24.77,24.57,24.77,400,24.283659
2015-08-13,24.941999,24.941999,24.941999,24.941999,200,24.452281
2015-08-14,24.82,24.82,24.82,24.82,300,24.332676
2015-08-17,24.82,24.82,24.82,24.82,0,24.332676
2015-08-18,24.82,24.82,24.82,24.82,0,24.332676
2015-08-19,24.82,24.82,24.82,24.82,0,24.332676
2015-08-20,24.99,24.99,24.25,24.25,1000,23.773868
2015-08-21,23.843,24.027,23.42,23.518999,4600,23.05722
2015-08-24,23.843,23.843,22.85,22.85,4600,22.401356
2015-08-25,22.68,22.68,22.68,22.68,200,22.234694
2015-08-26,22.780001,22.85,22.780001,22.85,4000,22.401356
2015-08-27,22.85,22.85,22.85,22.85,0,22.401356
2015-08-28,23.23,23.299999,23.23,23.299999,1600,22.84252
2015-08-31,23.219999,23.290001,23.16,23.16,900,22.705269
2015-09-01,23.16,23.16,23.16,23.16,0,22.705269
2015-09-02,22.75,22.75,22.75,22.75,200,22.30332
2015-09-03,23.280001,23.280001,23.049999,23.120001,52400,22.666056
2015-09-04,23.049999,23.049999,22.722,22.926001,1500,22.475864
2015-09-08,23.190001,23.190001,23.190001,23.190001,200,22.734681
2015-09-09,23.26,23.282,23.26,23.282,1100,22.824874
2015-09-10,23.370001,23.370001,23.219999,23.238001,4600,22.781739
2015-09-11,23.290001,23.290001,23.280001,23.280001,500,22.822914
2015-09-14,23.160999,23.190001,23.160999,23.190001,1200,22.734681
2015-09-15,23.35,23.35,23.35,23.35,500,22.891539
2015-09-16,23.448999,23.540001,23.301001,23.5,2100,23.097946
2015-09-17,23.58,23.709999,23.58,23.697001,2500,23.291576
2015-09-18,23.370001,23.379999,23.370001,23.379999,7700,22.979998
2015-09-21,23.379999,23.379999,23.379999,23.379999,0,22.979998
2015-09-22,23,23,22.940001,22.940001,1000,22.547527
2015-09-23,22.940001,22.940001,22.940001,22.940001,0,22.547527
2015-09-24,22.889999,22.889999,22.73,22.75,700,22.360778
2015-09-25,23.01,23.049999,23.01,23.040001,1300,22.645817
2015-09-28,22.85,22.85,22.370001,22.43,1500,22.046253
2015-09-29,22.43,22.43,22.43,22.43,0,22.046253
2015-09-30,22.658001,22.658001,22.658001,22.658001,500,22.270352
2015-10-01,22.532,22.532,22.504,22.504,500,22.118986
2015-10-02,22.780001,22.93,22.780001,22.93,600,22.537698
2015-10-05,23.41,23.49,23.41,23.49,1100,23.088117
2015-10-06,23.319,23.32,23.319,23.32,1000,22.921025
2015-10-07,23.57,23.77,23.540001,23.77,1200,23.363327
2015-10-08,23.620001,23.870001,23.620001,23.870001,1600,23.461617
2015-10-09,23.799999,23.889999,23.799999,23.85,1500,23.441958
