"Index","open","high","low","close","volume","adjusted"
2013-10-01,25.1,25.1,25.049999,25.059999,12700,22.598571
2013-10-02,25.139999,25.139999,24.9,25,12400,22.544464
2013-10-03,25.120001,25.120001,24.799999,24.879999,3300,22.43625
2013-10-04,24.91,24.92,24.82,24.879999,7000,22.43625
2013-10-07,24.92,25,24.879999,24.9,7000,22.454286
2013-10-08,24.85,24.92,24.799999,24.799999,14400,22.364108
2013-10-09,25.07,25.09,24.85,24.85,19900,22.409198
2013-10-10,25.290001,25.389999,25.049999,25.389999,21800,22.896158
2013-10-11,25.440001,25.5,25.33,25.389999,16000,22.896158
2013-10-14,25.25,25.450001,25.25,25.450001,5400,22.950266
2013-10-15,25.450001,25.450001,25.25,25.25,17200,22.769909
2013-10-16,25.15,25.559999,25.15,25.559999,7600,23.04946
2013-10-17,25.42,25.82,25.42,25.82,8100,23.283923
2013-10-18,25.860001,25.870001,25.809999,25.860001,15500,23.319995
2013-10-21,25.809999,25.82,25.73,25.790001,10100,23.25687
2013-10-22,26.110001,26.129999,26.02,26.129999,3400,23.563474
2013-10-23,26.27,26.27,26.049999,26.059999,3900,23.500349
2013-10-24,26.1,26.1,26.030001,26.08,2000,23.518385
2013-10-25,26.09,26.33,26.09,26.33,7800,23.74383
2013-10-28,26.51,26.51,26.25,26.34,15900,23.752848
2013-10-29,26.450001,26.52,26.41,26.52,10400,23.915168
2013-10-30,26.73,26.73,26.33,26.360001,18100,23.770884
2013-10-31,26.23,26.379999,26.139999,26.299999,14200,23.716776
2013-11-01,26.379999,26.4,26.309999,26.379999,1400,23.788918
2013-11-04,26.4,26.49,26.4,26.48,8100,23.879096
2013-11-05,26.559999,26.559999,26.33,26.33,7200,23.74383
2013-11-06,26.469999,26.5,26.469999,26.5,5700,23.897132
2013-11-07,26.709999,26.709999,26.07,26.07,22200,23.509367
2013-11-08,26,26.049999,25.809999,26.049999,23600,23.491331
2013-11-11,26.07,26.110001,26.07,26.1,1400,23.536421
2013-11-12,26.059999,26.059999,25.9,25.99,300,23.437225
2013-11-13,25.85,26.08,25.85,26.08,2000,23.518385
2013-11-14,26.030001,26.26,26.030001,26.209999,19700,23.635616
2013-11-15,26.26,26.389999,26.200001,26.389999,14300,23.797936
2013-11-18,26.4,26.41,26.299999,26.299999,11200,23.716776
2013-11-19,26.35,26.35,26.190001,26.24,10000,23.66267
2013-11-20,26.27,26.27,26,26,700,23.446243
2013-11-21,26.1,26.15,26.1,26.120001,6900,23.554457
2013-11-22,26.18,26.18,25.99,26.07,9000,23.509367
2013-11-25,26.040001,26.040001,25.99,25.99,5300,23.437225
2013-11-26,25.940001,25.959999,25.91,25.91,5600,23.365083
2013-11-27,26.040001,26.049999,25.83,25.91,11500,23.365083
2013-11-29,25.950001,26.030001,25.870001,26,5200,23.446243
2013-12-02,25.84,25.860001,25.76,25.790001,3300,23.25687
2013-12-03,25.75,25.82,25.73,25.76,4600,23.229816
2013-12-04,25.790001,25.84,25.629999,25.84,9100,23.301959
2013-12-05,25.73,25.75,25.639999,25.639999,5900,23.121602
2013-12-06,25.93,26.01,25.92,26.01,10400,23.455261
2013-12-09,26.1,26.1,25.969999,26.040001,4700,23.482315
2013-12-10,25.889999,25.9,25.860001,25.879999,8000,23.338029
2013-12-11,25.790001,25.790001,25.559999,25.559999,9300,23.04946
2013-12-12,25.549999,25.59,25.459999,25.52,19500,23.01339
2013-12-13,25.52,25.52,25.42,25.49,8400,22.986336
2013-12-16,25.639999,25.68,25.559999,25.639999,4800,23.121602
2013-12-17,25.59,25.620001,25.52,25.59,6200,23.076514
2013-12-18,25.52,25.9,25.450001,25.780001,8500,23.247852
2013-12-19,25.799999,25.82,25.52,25.629999,8100,23.112584
2013-12-20,25.74,25.84,25.74,25.84,3500,23.301959
2013-12-23,25.92,25.92,25.860001,25.860001,2100,23.319995
2013-12-24,25.98,25.98,25.98,25.98,300,23.428207
2013-12-26,26.01,26.030001,25.9,26.01,5700,23.455261
2013-12-27,25.799999,25.83,25.780001,25.780001,1600,23.461631
2013-12-30,25.879999,25.9,25.82,25.860001,1700,23.534437
2013-12-31,25.91,25.93,25.879999,25.879999,1800,23.552637
2014-01-02,25.860001,25.860001,25.59,25.67,4200,23.361523
2014-01-03,25.5,25.530001,25.43,25.530001,8800,23.234114
2014-01-06,25.5,25.549999,25.450001,25.549999,2900,23.252314
2014-01-07,25.67,25.67,25.540001,25.620001,3900,23.31602
2014-01-08,25.629999,25.629999,25.48,25.49,2200,23.19771
2014-01-09,25.41,25.469999,25.379999,25.469999,1600,23.179508
2014-01-10,25.530001,25.68,25.530001,25.65,14400,23.343321
2014-01-13,25.559999,25.559999,25.35,25.35,1100,23.070301
2014-01-14,25.469999,25.48,25.379999,25.43,5500,23.143106
2014-01-15,25.48,25.48,25.389999,25.469999,5300,23.179508
2014-01-16,25.5,25.540001,25.440001,25.540001,1900,23.243215
2014-01-17,25.530001,25.540001,25.41,25.41,1800,23.124904
2014-01-21,25.459999,25.639999,25.459999,25.559999,10600,23.261415
2014-01-22,25.620001,25.620001,25.559999,25.57,1900,23.270516
2014-01-23,25.52,25.52,25.450001,25.450001,2100,23.161308
2014-01-24,25.35,25.540001,25.33,25.33,2700,23.052099
2014-01-27,25.25,25.25,25.219999,25.219999,600,22.95199
2014-01-28,25.190001,25.26,25.18,25.23,5100,22.961091
2014-01-29,25.24,25.360001,25.190001,25.200001,4700,22.93379
2014-01-30,25.34,25.34,25.34,25.34,300,23.0612
2014-01-31,25.49,25.49,25.43,25.43,5100,23.143106
2014-02-03,25,25.01,24.780001,24.780001,3200,22.55156
2014-02-04,24.790001,24.879999,24.790001,24.84,2900,22.606164
2014-02-05,24.84,24.84,24.84,24.84,0,22.606164
2014-02-06,24.84,24.959999,24.84,24.950001,5600,22.706273
2014-02-07,25.1,25.139999,25.08,25.139999,1000,22.879185
2014-02-10,25.190001,25.190001,25.190001,25.190001,300,22.924689
2014-02-11,25.219999,25.5,25.17,25.48,1800,23.188609
2014-02-12,25.459999,25.49,25.450001,25.450001,4900,23.161308
2014-02-13,25.620001,25.629999,25.620001,25.629999,600,23.325119
2014-02-14,25.82,25.889999,25.82,25.889999,1300,23.561738
2014-02-18,25.98,25.99,25.940001,25.959999,4700,23.625443
2014-02-19,25.9,26.08,25.9,26.07,3400,23.725551
2014-02-20,25.879999,26.129999,25.879999,26.09,6500,23.743753
2014-02-21,26.09,26.18,26.09,26.17,2300,23.816559
2014-02-24,26.120001,26.26,26.08,26.08,2200,23.734652
2014-02-25,26.09,26.200001,26.09,26.110001,4400,23.761955
2014-02-26,26.139999,26.139999,26.01,26.01,2700,23.670947
2014-02-27,26,26,25.969999,25.969999,1600,23.634544
2014-02-28,26.059999,26.16,26.030001,26.15,1300,23.798357
2014-03-03,25.969999,26.1,25.92,26.059999,2100,23.71645
2014-03-04,26.23,26.309999,26.23,26.309999,6400,23.943968
2014-03-05,26.299999,26.299999,26.23,26.23,900,23.871162
2014-03-06,26.209999,26.23,26.190001,26.23,2900,23.871162
2014-03-07,26.1,26.139999,25.959999,26.08,8400,23.734652
2014-03-10,26.08,26.1,26.030001,26.059999,4800,23.71645
2014-03-11,26.09,26.15,26.01,26.059999,3000,23.71645
2014-03-12,26.1,26.219999,26.01,26.219999,6100,23.862061
2014-03-13,26.23,26.35,26.23,26.309999,10300,23.943968
2014-03-14,26.389999,26.530001,26.389999,26.49,18900,24.107781
2014-03-17,26.59,26.639999,26.59,26.59,4100,24.198788
2014-03-18,26.68,26.74,26.67,26.709999,4600,24.307996
2014-03-19,26.690001,26.74,26.309999,26.42,11100,24.044076
2014-03-20,26.4,26.52,26.34,26.52,6700,24.135084
2014-03-21,26.66,26.809999,26.66,26.719999,5000,24.317097
2014-03-24,26.68,26.719999,26.6,26.709999,4600,24.307996
2014-03-25,26.83,26.83,26.68,26.76,2700,24.353501
2014-03-26,26.780001,26.85,26.700001,26.700001,1800,24.298897
2014-03-27,26.75,26.83,26.73,26.82,2000,24.408104
2014-03-28,26.91,26.940001,26.809999,26.82,6000,24.408104
2014-03-31,27.030001,27.209999,26.98,27.139999,3500,24.699327
2014-04-01,27.120001,27.120001,26.98,27.040001,5400,24.608321
2014-04-02,26.969999,27.02,26.9,26.99,6900,24.756916
2014-04-03,27.040001,27.08,27.030001,27.049999,13300,24.811951
2014-04-04,27.17,27.34,27.139999,27.15,8500,24.903678
2014-04-07,27.190001,27.190001,27.139999,27.18,800,24.931197
2014-04-08,27.059999,27.370001,27.059999,27.370001,2700,25.105477
2014-04-09,27.379999,27.379999,27.23,27.35,3600,25.087131
2014-04-10,27.42,27.42,27.34,27.35,2500,25.087131
2014-04-11,27.219999,27.219999,26.98,27,5000,24.766089
2014-04-14,27.17,27.24,27.15,27.219999,6800,24.967886
2014-04-15,27.34,27.549999,27.32,27.549999,2300,25.270583
2014-04-16,27.67,27.68,27.629999,27.66,1800,25.371482
2014-04-17,27.75,27.75,27.620001,27.620001,5000,25.334793
2014-04-21,27.75,27.75,27.549999,27.66,1700,25.371482
2014-04-22,27.700001,27.780001,27.610001,27.700001,5800,25.408173
2014-04-23,27.74,27.85,27.66,27.66,8700,25.371482
2014-04-24,27.74,27.76,27.700001,27.700001,3900,25.408173
2014-04-25,27.58,27.860001,27.58,27.860001,2700,25.554935
2014-04-28,27.92,27.99,27.780001,27.99,3800,25.674179
2014-04-29,28.059999,28.1,28.01,28.01,50700,25.692524
2014-04-30,28.049999,28.1,27.98,28.07,25600,25.74756
2014-05-01,28.120001,28.120001,27.950001,28.09,50500,25.765905
2014-05-02,28.09,28.09,27.809999,27.85,6000,25.545762
2014-05-05,27.860001,27.959999,27.860001,27.93,26700,25.619143
2014-05-06,27.950001,27.950001,27.780001,27.809999,29600,25.509071
2014-05-07,27.9,28.049999,27.879999,28.049999,23700,25.729214
2014-05-08,28.16,28.16,27.99,28.07,8700,25.74756
2014-05-09,28.129999,28.129999,27.860001,27.860001,8900,25.554935
2014-05-12,28.09,28.09,27.809999,27.809999,13100,25.509071
2014-05-13,27.91,27.92,27.790001,27.799999,13900,25.499898
2014-05-14,27.9,27.98,27.870001,27.870001,4400,25.564108
2014-05-15,27.92,27.92,27.709999,27.75,6900,25.454036
2014-05-16,27.82,27.870001,27.75,27.84,3300,25.53659
2014-05-19,27.879999,27.879999,27.620001,27.66,12400,25.371482
2014-05-20,27.66,27.68,27.43,27.440001,13900,25.169685
2014-05-21,27.629999,27.629999,27.42,27.59,10600,25.307274
2014-05-22,27.51,27.76,27.51,27.75,12100,25.454036
2014-05-23,27.76,27.780001,27.68,27.719999,7300,25.426517
2014-05-27,27.82,27.940001,27.82,27.93,10400,25.619143
2014-05-28,27.9,28.09,27.889999,28.09,6900,25.765905
2014-05-29,28.27,28.27,28.030001,28.18,7400,25.848459
2014-05-30,28.209999,28.27,28.16,28.27,6700,25.931013
2014-06-02,28.299999,28.299999,28.190001,28.200001,6300,25.866805
2014-06-03,28.110001,28.25,28.07,28.190001,5200,25.857632
2014-06-04,28.15,28.209999,28.07,28.209999,4300,25.875976
2014-06-05,28.190001,28.41,28.190001,28.389999,12700,26.041083
2014-06-06,28.469999,28.49,28.41,28.41,1700,26.059429
2014-06-09,28.309999,28.35,28.25,28.280001,5500,25.940186
2014-06-10,28.190001,28.35,28.190001,28.25,7200,25.912667
2014-06-11,28.190001,28.190001,28.059999,28.07,8700,25.74756
2014-06-12,27.9,28.040001,27.860001,28.030001,6900,25.71087
2014-06-13,27.950001,28.200001,27.950001,28.139999,5400,25.811768
2014-06-16,28.309999,28.389999,28.309999,28.309999,3200,25.967702
2014-06-17,28.32,28.33,28.219999,28.26,6300,25.92184
2014-06-18,28.32,28.73,28.32,28.73,7000,26.352953
2014-06-19,28.77,28.959999,28.77,28.959999,11000,26.563923
2014-06-20,29.02,29.02,28.84,28.889999,8300,26.499715
2014-06-23,28.940001,28.940001,28.75,28.84,6300,26.453852
2014-06-24,28.870001,28.870001,28.66,28.66,8600,26.288745
2014-06-25,28.549999,28.610001,28.5,28.610001,3600,26.242882
2014-06-26,28.540001,28.6,28.530001,28.58,7100,26.215364
2014-06-27,28.549999,29.99,28.4,28.700001,26700,26.325436
2014-06-30,28.610001,28.82,28.610001,28.780001,13600,26.398817
2014-07-01,28.84,28.84,28.629999,28.690001,2300,26.316263
2014-07-02,28.67,28.67,28.280001,28.35,19400,26.004394
2014-07-03,28.02,28.07,27.93,27.969999,4400,25.862
2014-07-07,27.9,28.1,27.9,28.08,5100,25.96371
2014-07-08,28.08,28.139999,28.01,28.110001,6800,25.99145
2014-07-09,28.110001,28.129999,28.049999,28.049999,2300,25.935971
2014-07-10,28.18,28.200001,28.129999,28.190001,4900,26.065421
2014-07-11,28.24,28.24,28.09,28.17,5700,26.046928
2014-07-14,28.200001,28.209999,28.049999,28.09,7700,25.972957
2014-07-15,28.08,28.1,27.959999,28.08,14000,25.96371
2014-07-16,28.08,28.200001,28.040001,28.120001,5300,26.000697
2014-07-17,28.110001,28.110001,27.860001,27.860001,8700,25.760292
2014-07-18,27.85,28.1,27.83,28.08,5400,25.96371
2014-07-21,27.969999,28.059999,27.950001,28.059999,3700,25.945217
2014-07-22,28.110001,28.139999,28.059999,28.120001,6000,26.000697
2014-07-23,28.09,28.17,28.09,28.129999,6800,26.009941
2014-07-24,28.139999,28.190001,28.09,28.15,5600,26.028434
2014-07-25,28.15,28.15,28,28,4700,25.88974
2014-07-28,28.049999,28.280001,28.049999,28.27,3100,26.139391
2014-07-29,28.75,28.75,28.43,28.459999,1800,26.31507
2014-07-30,28.49,28.49,28.129999,28.129999,4400,26.009941
2014-07-31,27.93,27.93,27.719999,27.719999,9400,25.630842
2014-08-01,27.799999,27.83,27.639999,27.790001,4400,25.695568
2014-08-04,27.73,27.73,27.4,27.73,10900,25.640088
2014-08-05,27.709999,27.709999,26.92,27.540001,8500,25.464409
2014-08-06,27.41,27.43,27.370001,27.370001,1800,25.307221
2014-08-07,27.370001,27.57,27.360001,27.450001,4300,25.381192
2014-08-08,27.540001,27.709999,27.5,27.639999,4500,25.556871
2014-08-11,28,28.02,27.92,27.940001,3200,25.834262
2014-08-12,27.959999,27.959999,27.879999,27.889999,3300,25.788029
2014-08-13,27.879999,28.040001,27.85,27.92,4400,25.815769
2014-08-14,28.08,28.200001,28.07,28.200001,1500,26.074667
2014-08-15,28.280001,28.299999,28.16,28.25,8400,26.120898
2014-08-18,28.299999,28.33,28.25,28.280001,8500,26.148638
2014-08-19,28.35,28.48,28.35,28.469999,8400,26.324317
2014-08-20,28.49,28.530001,28.41,28.49,14800,26.34281
2014-08-21,28.6,28.65,28.57,28.620001,8800,26.463013
2014-08-22,28.620001,28.620001,28.440001,28.6,8700,26.44452
2014-08-25,28.559999,28.77,28.559999,28.68,4500,26.518491
2014-08-26,28.690001,28.719999,28.540001,28.540001,2700,26.389043
2014-08-27,28.52,28.719999,28.52,28.719999,2600,26.555475
2014-08-28,28.74,28.809999,28.690001,28.780001,12500,26.610955
