"Index","open","high","low","close","volume","adjusted"
2014-09-10,39.919998,40.060001,39.799999,39.990002,106700,39.043113
2014-09-11,39.93,40.299999,39.880001,40.25,114600,39.296956
2014-09-12,40.240002,40.240002,39.790001,39.860001,5000,38.916191
2014-09-15,39.82,39.82,39.549999,39.57,1700,38.633056
2014-09-16,39.439999,39.810001,39.439999,39.810001,2700,38.867375
2014-09-17,39.810001,40.080002,39.779999,39.91,8700,38.965006
2014-09-18,40,40.040001,39.98,39.98,4900,39.033348
2014-09-19,39.990002,40.040001,39.57,39.639999,7600,38.701399
2014-09-22,39.330002,39.330002,39.02,39.02,400,38.09608
2014-09-23,39.040001,39.049999,39.040001,39.049999,6100,38.125369
2014-09-24,38.900002,39.040001,38.900002,39.040001,1200,38.115607
2014-09-25,38.740002,38.740002,38.380001,38.52,4200,37.607919
2014-09-26,38.669998,38.792999,38.669998,38.792999,1300,37.874454
2014-09-29,38.792999,38.792999,38.792999,38.792999,0,37.874454
2014-09-30,38.540001,38.540001,38.060001,38.18,3800,37.320223
2014-10-01,37.82,37.82,37.82,37.82,1100,36.968329
2014-10-02,36.990002,37.650002,36.667999,37.650002,6200,36.802159
2014-10-03,37.879002,37.879002,37.855999,37.855999,800,37.003518
2014-10-06,37.84,37.84,37.84,37.84,1000,36.987879
2014-10-07,37.439999,37.509998,37.41,37.509998,2200,36.665309
2014-10-08,36.689999,37.290001,36.630001,37.290001,6200,36.450265
2014-10-09,37.150002,37.150002,37.150002,37.150002,1500,36.313419
2014-10-10,36.360001,36.43,35.970001,36.43,5500,35.609631
2014-10-13,35.720001,35.82,35.029999,35.82,134800,35.013367
2014-10-14,36.52,36.52,35.43,35.43,800,34.63215
2014-10-15,35.189999,35.25,34.919998,35.25,1200,34.456203
2014-10-16,35.48,35.709999,35.43,35.709999,2100,34.905844
2014-10-17,36.220001,36.220001,36.220001,36.220001,200,35.404361
2014-10-20,36.200001,36.290001,36.200001,36.290001,1100,35.472784
2014-10-21,35.110001,36.849998,35.110001,36.849998,1700,36.020171
2014-10-22,36.849998,36.849998,36.849998,36.849998,0,36.020171
2014-10-23,36.790001,37.060001,36.790001,37.009998,3300,36.176568
2014-10-24,36.950001,36.959999,36.869999,36.950001,1400,36.117922
2014-10-27,36.889999,37.009998,36.889999,37.009998,500,36.176568
2014-10-28,37.09,37.240002,35.759998,37.240002,3200,36.401392
2014-10-29,37.509998,37.509998,37.27,37.389999,1200,36.548012
2014-10-30,37.630001,37.630001,37.630001,37.630001,500,36.782609
2014-10-31,38.040001,38.139999,38.040001,38.139999,1100,37.281123
2014-11-03,38.139999,38.139999,38.139999,38.139999,0,37.281123
