"Index","open","high","low","close","volume","adjusted"
2015-02-27,25.01,25.040001,25.01,25.02,1500,24.385303
2015-03-02,25.041,25.041,25.040001,25.040001,600,24.404796
2015-03-03,25.040001,25.040001,25.040001,25.040001,0,24.404796
2015-03-04,24.92,24.92,24.92,24.92,0,24.287839
2015-03-05,24.940001,24.959999,24.93,24.959999,700,24.326823
2015-03-06,24.959999,24.959999,24.959999,24.959999,0,24.326823
2015-03-09,24.530001,24.530001,24.530001,24.530001,0,23.907733
2015-03-10,24.68,24.68,24.68,24.68,0,24.053927
2015-03-11,24.334,24.334,24.334,24.334,200,23.716704
2015-03-12,24.68,24.68,24.68,24.68,300,24.053927
2015-03-13,24.68,24.68,24.68,24.68,0,24.053927
2015-03-16,24.938999,24.940001,24.938999,24.940001,78700,24.307332
2015-03-17,24.799999,24.799999,24.799999,24.799999,8300,24.170882
2015-03-18,24.799999,24.799999,24.799999,24.799999,0,24.170882
2015-03-19,25.110001,25.110001,25.110001,25.110001,0,24.47302
2015-03-20,25.34,25.34,25.34,25.34,400,24.697185
2015-03-23,25.440001,25.450001,25.34,25.34,3900,24.697185
2015-03-24,25.719999,25.719999,25.360001,25.48,10500,24.833633
2015-03-25,25.48,25.48,25.48,25.48,0,24.833633
2015-03-26,24.74,24.74,24.74,24.74,0,24.112405
2015-03-27,24.700001,24.700001,24.700001,24.700001,100,24.073421
2015-03-30,25.139999,25.16,25.139999,25.16,5600,24.521751
2015-03-31,25.049,25.049999,25.049,25.049999,4000,24.41454
2015-04-01,24.790001,24.790001,24.767,24.767,700,24.13872
2015-04-02,24.870001,24.870001,24.870001,24.870001,100,24.239108
2015-04-06,24.870001,24.870001,24.870001,24.870001,0,24.239108
2015-04-07,25.01,25.040001,25.01,25.040001,68500,24.404796
2015-04-08,24.950001,24.969999,24.9,24.969999,1800,24.33657
2015-04-09,25.52,25.52,24.950001,24.950001,500,24.317079
2015-04-10,25.17,25.17,25.17,25.17,200,24.531497
2015-04-13,25.17,25.17,25.17,25.17,0,24.531497
2015-04-14,25.030001,25.049999,25.030001,25.049999,400,24.41454
2015-04-15,25.049999,25.049999,25.049999,25.049999,0,24.41454
