"Index","open","high","low","close","volume","adjusted"
2006-03-07,33.950001,33.950001,33.93,33.93,1000,31.855318
2006-03-08,33.93,33.93,33.93,33.93,0,31.855318
2006-03-09,34.119999,34.119999,34.040001,34.040001,2000,31.958592
2006-03-10,34.040001,34.040001,34.040001,34.040001,0,31.958592
2006-03-13,34.099998,34.099998,34.07,34.07,800,31.986757
2006-03-14,34.34,34.34,34.34,34.34,500,32.240248
2006-03-15,34.439999,34.549999,34.439999,34.549999,2000,32.437406
2006-03-16,34.700001,34.740002,34.700001,34.720001,1000,32.597013
2006-03-17,34.759998,34.759998,34.700001,34.700001,300,32.578236
2006-03-20,34.73,34.73,34.639999,34.639999,1100,32.521903
2006-03-21,34.639999,34.639999,34.5,34.5,2500,32.390464
2006-03-22,34.439999,34.439999,34.439999,34.439999,800,32.334132
2006-03-23,34.509998,34.529999,34.509998,34.529999,5000,32.418629
2006-03-24,34.59,34.650002,34.59,34.650002,1800,32.531294
2006-03-27,34.599998,34.610001,34.59,34.59,129500,32.474961
2006-03-28,34.669998,34.669998,34.59,34.599998,12600,32.484348
2006-03-29,34.73,34.73,34.73,34.73,1800,32.6064
2006-03-30,35,35,34.700001,34.82,900,32.690897
2006-03-31,34.82,34.82,34.82,34.82,0,32.690897
2006-04-03,34.790001,34.790001,34.790001,34.790001,200,32.662733
2006-04-04,34.630001,34.799999,34.630001,34.799999,6900,32.67212
2006-04-05,34.849998,34.889999,34.849998,34.889999,400,32.756617
2006-04-06,34.799999,34.830002,34.799999,34.830002,10100,32.700288
2006-04-07,34.599998,34.599998,34.57,34.57,1100,32.456184
2006-04-10,34.560001,34.560001,34.560001,34.560001,1000,32.446797
2006-04-11,34.560001,34.560001,34.560001,34.560001,0,32.446797
2006-04-12,34.560001,34.560001,34.560001,34.560001,0,32.446797
2006-04-13,34.560001,34.560001,34.560001,34.560001,0,32.446797
2006-04-17,34.560001,34.560001,34.560001,34.560001,0,32.446797
2006-04-18,34.470001,34.66,34.470001,34.66,1700,32.540681
2006-04-19,34.619999,34.75,34.619999,34.75,3100,32.625178
2006-04-20,34.75,34.75,34.75,34.75,0,32.625178
2006-04-21,35,35,34.759998,34.759998,2400,32.634565
2006-04-24,34.759998,34.759998,34.759998,34.759998,0,32.634565
2006-04-25,34.470001,34.470001,34.41,34.41,1600,32.305967
2006-04-26,34.529999,34.560001,34.490002,34.490002,1500,32.381077
