"Index","open","high","low","close","volume","adjusted"
2006-03-07,29.41,29.41,29.389999,29.389999,1000,23.573542
2006-03-08,29.299999,29.299999,29.299999,29.299999,500,23.501353
2006-03-09,29.42,29.42,29.32,29.32,1500,23.517395
2006-03-10,29.59,29.59,29.59,29.59,500,23.733961
2006-03-13,29.700001,29.790001,29.700001,29.719999,35300,23.838233
2006-03-14,29.690001,29.950001,29.690001,29.950001,5500,24.022715
2006-03-15,30.059999,30.059999,30.059999,30.059999,5000,24.110945
2006-03-16,30.309999,30.309999,30.309999,30.309999,300,24.311468
2006-03-17,30.309999,30.309999,30.309999,30.309999,0,24.311468
2006-03-20,30.469999,30.469999,30.35,30.360001,7700,24.351574
2006-03-21,30.370001,30.370001,30.18,30.18,15900,24.207197
2006-03-22,30.290001,30.389999,30.290001,30.389999,1200,24.375636
2006-03-23,30.34,30.34,30.34,30.34,900,24.335532
2006-03-24,30.34,30.34,30.34,30.34,0,24.335532
2006-03-27,30.370001,30.43,30.370001,30.43,300,24.40772
2006-03-28,30.43,30.43,30.43,30.43,0,24.40772
2006-03-29,30.42,30.42,30.42,30.42,2100,24.399699
2006-03-30,30.280001,30.35,29.959999,29.959999,51500,24.030735
2006-03-31,29.959999,29.959999,29.959999,29.959999,0,24.030735
2006-04-03,30.209999,30.42,30.209999,30.42,600,24.399699
2006-04-04,30.299999,30.299999,30.299999,30.299999,1600,24.303447
2006-04-05,30.49,30.49,30.49,30.49,100,24.455845
2006-04-06,30.5,30.5,30.5,30.5,100,24.463866
2006-04-07,30.290001,30.290001,30.190001,30.190001,800,24.215218
2006-04-10,30.24,30.24,30.15,30.15,800,24.183133
2006-04-11,30.15,30.15,30.15,30.15,0,24.183133
2006-04-12,29.93,30,29.93,30,1000,24.062819
2006-04-13,30.09,30.09,30.040001,30.040001,600,24.094904
2006-04-17,30,30,30,30,300,24.062819
2006-04-18,30.43,30.559999,30.43,30.559999,900,24.511992
2006-04-19,30.559999,30.559999,30.559999,30.559999,0,24.511992
2006-04-20,30.559999,30.559999,30.559999,30.559999,0,24.511992
2006-04-21,30.879999,30.879999,30.809999,30.809999,1200,24.712515
2006-04-24,30.809999,30.809999,30.809999,30.809999,0,24.712515
2006-04-25,30.610001,30.610001,30.610001,30.610001,1000,24.552097
2006-04-26,30.83,30.83,30.790001,30.790001,400,24.696474
2006-04-27,30.76,31.030001,30.549999,30.889999,11200,24.776683
2006-04-28,30.860001,31.02,30.860001,31.02,1300,24.880956
2006-05-01,30.959999,30.959999,30.959999,30.959999,1000,24.832829
2006-05-02,30.940001,31.18,30.940001,31.18,2100,25.009291
2006-05-03,31.049999,31.049999,31.049999,31.049999,100,24.905018
2006-05-04,31.16,31.16,31.120001,31.120001,1600,24.961165
2006-05-05,31.120001,31.120001,31.120001,31.120001,0,24.961165
2006-05-08,31.59,31.59,31.57,31.57,700,25.322107
2006-05-09,31.58,31.58,31.549999,31.549999,1700,25.306065
2006-05-10,31.620001,31.700001,31.620001,31.65,25600,25.386274
2006-05-11,31.459999,31.459999,31.27,31.27,400,25.081479
2006-05-12,31,31,30.84,30.85,1200,24.7446
2006-05-15,30.82,30.82,30.82,30.82,1000,24.720536
2006-05-16,30.9,30.9,30.68,30.68,700,24.608244
2006-05-17,30.530001,30.530001,30.15,30.15,2100,24.183133
2006-05-18,30.15,30.15,30.15,30.15,0,24.183133
2006-05-19,30.17,30.190001,30.17,30.190001,24200,24.215218
2006-05-22,30.17,30.17,30.17,30.17,100,24.199176
2006-05-23,30.25,30.290001,29.959999,29.959999,56400,24.030735
2006-05-24,29.85,29.93,29.85,29.93,200,24.006673
2006-05-25,30.030001,30.379999,30.030001,30.379999,19900,24.367615
2006-05-26,30.58,30.65,30.58,30.65,900,24.58418
2006-05-30,30.280001,30.280001,30.16,30.16,1200,24.191154
2006-05-31,30.16,30.16,30.16,30.16,0,24.191154
2006-06-01,30.57,30.93,30.57,30.93,4300,24.808767
2006-06-02,30.959999,30.959999,30.790001,30.940001,3700,24.816788
2006-06-05,30.76,30.76,30.43,30.43,5500,24.40772
2006-06-06,30.15,30.280001,30.15,30.280001,800,24.287406
2006-06-07,30.48,30.48,30.17,30.17,500,24.199176
2006-06-08,30.17,30.18,30.049999,30.18,2300,24.207197
2006-06-09,30.18,30.35,30.18,30.200001,1600,24.223239
2006-06-12,30.190001,30.190001,29.860001,29.860001,7100,23.950527
2006-06-13,29.83,29.83,29.42,29.440001,45200,23.613647
2006-06-14,29.48,29.48,29.33,29.33,7500,23.525416
2006-06-15,29.83,30.209999,29.82,30.200001,2100,24.223239
2006-06-16,30.15,30.15,30.15,30.15,2000,24.183133
2006-06-19,29.969999,29.969999,29.809999,29.809999,18600,23.910421
2006-06-20,29.99,30,29.83,29.83,47600,23.926463
2006-06-21,30.129999,30.219999,30.120001,30.120001,7300,24.159071
