"Index","open","high","low","close","volume","adjusted"
2003-05-01,101,102.349998,100.669998,101.980003,157200,21.08085
2003-05-02,101.870003,103.879997,101.870003,103.879997,61200,21.473608
2003-05-05,104.080002,104.550003,103.739998,104.099998,140000,21.519086
2003-05-06,104.199997,105.410004,104.199997,104.93,30000,21.69066
2003-05-07,104.300003,105.269997,104,104.519997,20800,21.605906
2003-05-08,103.559998,104.080002,103.349998,103.389999,92800,21.372318
2003-05-09,104.199997,105.089996,103.739998,104.849998,28800,21.674122
2003-05-12,105,106.879997,104.849998,106.800003,36800,22.077219
2003-05-13,106.5,107.050003,106.220001,106.550003,16800,22.02554
2003-05-14,106.720001,106.800003,106.300003,106.800003,35600,22.077219
2003-05-15,107.599998,107.910004,107.029999,107.910004,41600,22.306673
2003-05-16,107.669998,108.099998,106.970001,108.099998,44800,22.345948
2003-05-19,107.650002,107.650002,105.290001,105.290001,38800,21.765078
2003-05-20,105.849998,105.980003,104.330002,105.160004,224400,21.738205
2003-05-21,104.900002,105.580002,104.449997,105.580002,617600,21.825025
2003-05-22,105.849998,107.239998,105.849998,107.080002,17200,22.135099
2003-05-23,106.900002,107.720001,106.779999,107.68,124800,22.259128
2003-05-27,107.400002,110.010002,107.400002,110,28800,22.738708
2003-05-28,110.279999,110.709999,109.779999,110.290001,136000,22.798655
2003-05-29,110.529999,111.290001,109.68,109.900002,92000,22.718036
2003-05-30,110.699997,112.050003,110.68,112.050003,19600,23.162475
2003-06-02,113.099998,113.940002,112.669998,112.669998,49200,23.290638
2003-06-03,112.449997,112.949997,112.129997,112.629997,129200,23.282369
2003-06-04,112.650002,115.029999,112.650002,114.989998,144400,23.770218
2003-06-05,114.290001,115.800003,114.290001,115.800003,31200,23.937658
2003-06-06,116.949997,118.18,115.199997,115.199997,57200,23.813628
2003-06-09,114.400002,114.559998,113.150002,113.330002,104000,23.427071
2003-06-10,114.199997,114.300003,113.470001,114.150002,70400,23.596577
2003-06-11,114,116.110001,114,116.110001,88800,24.00174
2003-06-12,116.849998,116.849998,115.809998,116.589996,54400,24.100962
2003-06-13,116.550003,116.550003,114.459999,114.800003,155600,23.730943
2003-06-16,115.5,117.120003,115.279999,117.120003,63200,24.210523
2003-06-17,117.449997,117.449997,116.599998,117.330002,34800,24.253933
2003-06-18,116.800003,117.449997,116.349998,116.779999,29200,24.140239
