"Index","open","high","low","close","volume","adjusted"
2008-02-22,49.459999,49.459999,49.130001,49.130001,5600,23.155771
2008-02-25,49.130001,49.130001,49.130001,49.130001,0,23.155771
2008-02-26,51.77,51.77,51.650002,51.650002,40000,24.343488
2008-02-27,51.650002,51.650002,51.650002,51.650002,0,24.343488
2008-02-28,50.459999,50.459999,50.459999,50.459999,2000,23.78262
2008-02-29,49.860001,49.860001,49.380001,49.380001,800,23.2736
2008-03-03,49.380001,49.380001,49.380001,49.380001,0,23.2736
2008-03-04,49.380001,49.380001,49.380001,49.380001,0,23.2736
2008-03-05,49.380001,49.380001,49.380001,49.380001,0,23.2736
2008-03-06,49.380001,49.380001,49.380001,49.380001,0,23.2736
2008-03-07,49.380001,49.380001,49.380001,49.380001,0,23.2736
2008-03-10,49.380001,49.380001,49.380001,49.380001,0,23.2736
2008-03-11,47.07,47.07,47.07,47.07,200,22.184858
2008-03-12,49.23,49.23,47.939999,47.939999,1600,22.594903
2008-03-13,46.669998,46.669998,46.669998,46.669998,600,21.996331
2008-03-14,47.389999,47.389999,47.389999,47.389999,400,22.33568
2008-03-17,47.389999,47.389999,47.389999,47.389999,0,22.33568
2008-03-18,47.389999,47.389999,47.389999,47.389999,0,22.33568
2008-03-19,47.389999,47.389999,47.389999,47.389999,0,22.33568
2008-03-20,47.389999,47.389999,47.389999,47.389999,0,22.33568
2008-03-24,47.389999,47.389999,47.389999,47.389999,0,22.33568
2008-03-25,47.389999,47.389999,47.389999,47.389999,0,22.33568
2008-03-26,49.849998,49.939999,49.849998,49.939999,20000,23.537536
2008-03-27,49.57,50.060001,49.57,50.060001,30000,23.594095
2008-03-28,50.060001,50.060001,50.060001,50.060001,0,23.594095
2008-03-31,49.389999,49.389999,49.389999,49.389999,800,23.278312
2008-04-01,49.389999,49.389999,49.389999,49.389999,0,23.278312
2008-04-02,50.869999,51.349998,50.84,51.23,2200,24.145534
2008-04-03,50.869999,51.099998,50.740002,51.099998,12000,24.084263
2008-04-04,51.209999,51.209999,51.09,51.09,400,24.07955
2008-04-07,51.25,51.299999,51.25,51.299999,4000,24.178526
2008-04-08,50.810001,50.810001,50.810001,50.810001,200,23.947582
2008-04-09,50.810001,50.810001,50.810001,50.810001,0,23.947582
2008-04-10,49.549999,49.970001,49.549999,49.970001,7800,23.551676
2008-04-11,49.41,49.41,49.240002,49.290001,3000,23.231181
2008-04-14,48.599998,48.630001,48.599998,48.630001,2200,22.920113
2008-04-15,48.84,48.84,48.400002,48.77,2200,22.986097
2008-04-16,48.77,48.77,48.77,48.77,0,22.986097
