"Index","open","high","low","close","volume","adjusted"
2008-03-07,48.91,48.91,48.91,48.91,0,22.231953
2008-03-10,48.91,48.91,48.91,48.91,0,22.231953
2008-03-11,48.540001,48.540001,46.889999,46.889999,800,21.313765
2008-03-12,48.939999,48.939999,48.939999,48.939999,400,22.245589
2008-03-13,46.59,48.09,46.59,48.09,21000,21.859223
2008-03-14,48.09,48.09,48.09,48.09,0,21.859223
2008-03-17,46.459999,46.459999,46.459999,46.459999,5200,21.118309
2008-03-18,47.439999,47.470001,47.419998,47.419998,3200,21.554675
2008-03-19,47.419998,47.419998,47.419998,47.419998,0,21.554675
2008-03-20,47.27,48.200001,47.099998,48.200001,16200,21.909224
2008-03-24,48.200001,48.200001,48.200001,48.200001,0,21.909224
2008-03-25,48.200001,48.200001,48.200001,48.200001,0,21.909224
2008-03-26,49.060001,49.25,49.060001,49.25,6400,22.386499
2008-03-27,49.25,49.25,49.25,49.25,0,22.386499
2008-03-28,49.25,49.25,49.25,49.25,0,22.386499
2008-03-31,48.490002,48.490002,48.490002,48.490002,400,22.041043
2008-04-01,49.02,49.689999,49.02,49.689999,26000,22.5865
2008-04-02,50.599998,50.709999,50.599998,50.709999,800,23.050139
2008-04-03,50.169998,50.169998,50.169998,50.169998,6000,22.804683
2008-04-04,50.66,50.66,50.66,50.66,600,23.027412
2008-04-07,50.66,50.66,50.66,50.66,0,23.027412
2008-04-08,50.32,50.669998,50.32,50.360001,8400,22.891048
2008-04-09,49.799999,49.799999,49.799999,49.799999,200,22.636501
2008-04-10,49.799999,49.799999,49.799999,49.799999,0,22.636501
2008-04-11,49.509998,49.689999,49.509998,49.689999,6000,22.5865
2008-04-14,48.959999,48.959999,48.84,48.849998,4800,22.204679
2008-04-15,48.959999,49,48.830002,48.860001,8200,22.209226
2008-04-16,50.099998,50.349998,50.099998,50.349998,1400,22.886502
2008-04-17,50.110001,50.27,50.009998,50.27,17200,22.850139
2008-04-18,50.27,50.27,50.27,50.27,0,22.850139
2008-04-21,50.900002,51.110001,50.900002,51.099998,3400,23.227413
2008-04-22,50.650002,50.650002,50.599998,50.610001,3400,23.004685
2008-04-23,50.299999,50.32,50.299999,50.32,9800,22.872866
2008-04-24,50.720001,51.09,50.720001,51.09,600,23.222868
2008-04-25,51.360001,51.360001,51.360001,51.360001,1000,23.345596
2008-04-28,52.110001,52.110001,51.889999,51.889999,800,23.586506
2008-04-29,51.709999,51.779999,51.59,51.779999,11800,23.536506
2008-04-30,52.080002,52.380001,51.959999,52.16,21400,23.709235
2008-05-01,52.57,52.630001,52.57,52.630001,4800,23.922873
2008-05-02,52.84,52.84,52.549999,52.549999,7600,23.886508
2008-05-05,52.330002,52.650002,52.310001,52.580002,2200,23.900146
2008-05-06,52.349998,52.73,52.349998,52.68,5600,23.9456
2008-05-07,52.84,52.869999,52.759998,52.869999,14000,24.031963
2008-05-08,51.970001,52.259998,51.950001,52.25,7200,23.750144
2008-05-09,52.450001,52.450001,52.209999,52.279999,10200,23.76378
2008-05-12,52.57,52.810001,52.57,52.799999,17200,24.000145
2008-05-13,52.990002,53.330002,52.990002,53.32,1800,24.23651
2008-05-14,54.009998,54.009998,53.68,53.68,1400,24.400148
2008-05-15,53.610001,54.009998,53.610001,54.009998,8200,24.550148
2008-05-16,54.330002,54.330002,53.889999,53.93,23200,24.513785
2008-05-19,54.400002,54.669998,54.09,54.09,4000,24.586513
2008-05-20,53.84,53.880001,53.669998,53.68,22600,24.400148
2008-05-21,54.16,54.16,53.68,53.84,11600,24.472876
2008-05-22,53.150002,53.25,53.139999,53.25,7000,24.204692
2008-05-23,52.43,52.450001,52.110001,52.110001,4600,23.686507
2008-05-27,52.48,52.810001,52.48,52.810001,6600,24.004692
2008-05-28,53.029999,53.080002,52.68,53.080002,37600,24.12742
2008-05-29,53.240002,53.560001,53.240002,53.560001,7200,24.345603
2008-05-30,53.41,53.59,53.41,53.59,11600,24.359239
2008-06-02,53.220001,53.220001,53.220001,53.220001,600,24.191056
2008-06-03,53.669998,53.669998,53.029999,53.029999,2600,24.104691
2008-06-04,53.369999,53.860001,53.369999,53.59,9000,24.359239
2008-06-05,53.740002,54.360001,53.740002,54.330002,2400,24.695605
2008-06-06,54.060001,54.060001,53.200001,53.200001,7200,24.181965
2008-06-09,52.950001,53,52.880001,52.880001,3600,24.03651
2008-06-10,52.509998,52.669998,52.439999,52.459999,6200,23.845599
2008-06-11,52.490002,52.490002,51.639999,51.639999,4000,23.472869
2008-06-12,51.919998,51.919998,51.650002,51.66,8600,23.48196
2008-06-13,52.130001,52.130001,51.849998,51.970001,3200,23.622871
2008-06-16,52.68,52.68,52.68,52.68,200,23.9456
2008-06-17,52.650002,52.700001,52.560001,52.560001,4400,23.891055
2008-06-18,52.099998,52.189999,51.709999,51.93,10000,23.604689
2008-06-19,51.82,51.82,51.82,51.82,800,23.554688
2008-06-20,51.5,51.5,51.169998,51.220001,110200,23.28196
2008-06-23,51.5,51.5,51.5,51.5,600,23.409233
2008-06-24,50.509998,50.66,50.509998,50.66,400,23.027412
2008-06-25,50.950001,50.950001,50.950001,50.950001,200,23.159232
2008-06-26,50,50,49.740002,49.740002,8600,22.671525
2008-06-27,49.16,49.16,48.889999,48.98,40000,22.325116
2008-06-30,48.779999,48.779999,48.540001,48.540001,2000,22.124564
2008-07-01,48.25,48.5,47.630001,48.5,8000,22.106332
2008-07-02,48.209999,48.209999,46.990002,46.990002,1200,21.418073
2008-07-03,46.490002,46.490002,46.490002,46.490002,600,21.190173
2008-07-07,46.939999,46.939999,46.509998,46.509998,9600,21.199288
2008-07-08,46.43,46.43,46.43,46.43,1600,21.162824
2008-07-09,47.490002,47.490002,47.490002,47.490002,1600,21.645974
2008-07-10,46.82,46.82,46.82,46.82,1600,21.340586
2008-07-11,46.279999,46.279999,46.279999,46.279999,200,21.094454
2008-07-14,46.610001,46.610001,45.73,45.830002,11800,20.889345
2008-07-15,45.669998,45.810001,45.669998,45.810001,3000,20.880229
2008-07-16,45.490002,46.240002,45.369999,46.220001,22600,21.067107
2008-07-17,47.490002,47.889999,46.950001,47.82,6600,21.796387
2008-07-18,47.790001,48.080002,47.580002,47.580002,5200,21.686996
2008-07-21,47.880001,47.950001,47.869999,47.950001,3600,21.855642
2008-07-22,48.73,48.959999,48.02,48.959999,6800,22.316
2008-07-23,49.310001,49.919998,49.310001,49.59,7200,22.603154
2008-07-24,48.849998,48.849998,48.130001,48.130001,29800,21.937686
2008-07-25,47.66,48.07,47.66,47.82,38800,21.796387
2008-07-28,47.529999,47.529999,47.23,47.299999,3000,21.559371
2008-07-29,47.990002,48.459999,47.82,48.459999,3600,22.088099
2008-07-30,48.779999,48.779999,48.57,48.57,800,22.138238
2008-07-31,48.610001,48.610001,48.610001,48.610001,3000,22.15647
2008-08-01,47.860001,47.860001,47.860001,47.860001,1200,21.81462
2008-08-04,47.799999,47.830002,47.66,47.689999,2600,21.737132
2008-08-05,48.380001,48.5,48.360001,48.5,1400,22.106332
2008-08-06,48.950001,49.310001,48.93,49.310001,1800,22.475531
2008-08-07,48.73,48.73,48.73,48.73,200,22.211166
2008-08-08,49.48,49.810001,49.419998,49.810001,15000,22.703431
2008-08-11,49.810001,50.560001,49.810001,50.360001,7600,22.954121
2008-08-12,50.049999,50.099998,50,50,4800,22.790033
2008-08-13,49.400002,49.619999,49.369999,49.619999,44400,22.616828
2008-08-14,50.360001,50.360001,50.310001,50.310001,2600,22.931331
