"Index","open","high","low","close","volume","adjusted"
2008-03-07,47.639999,47.849998,47.639999,47.849998,2200,20.915123
2008-03-10,47.34,47.34,46.810001,46.82,800,20.464913
2008-03-11,47.43,48.220001,47.110001,48.220001,1200,21.07685
2008-03-12,48.34,48.490002,48.27,48.27,5000,21.098705
2008-03-13,48.009998,48.009998,47.830002,47.970001,16600,20.967576
2008-03-14,48.360001,48.360001,48.360001,48.360001,1000,21.138044
2008-03-17,46.07,46.07,46.060001,46.060001,1200,20.132719
2008-03-18,47.32,50.959999,47.32,47.68,53600,20.840817
2008-03-19,48.720001,48.720001,47.939999,47.939999,3600,20.954462
2008-03-20,47.990002,48.639999,47.990002,48.639999,4000,21.26043
2008-03-24,49.040001,49.799999,49.040001,49.799999,2800,21.767464
2008-03-25,49.349998,49.57,49.349998,49.57,14200,21.666931
2008-03-26,48.93,48.93,48.759998,48.759998,1800,21.312882
2008-03-27,48.990002,48.990002,48.630001,48.630001,400,21.25606
2008-03-28,48.630001,48.630001,48.630001,48.630001,0,21.25606
2008-03-31,48.080002,48.220001,48.080002,48.220001,2000,21.07685
2008-04-01,49.419998,49.630001,49.419998,49.630001,400,21.693158
2008-04-02,49.630001,49.630001,49.630001,49.630001,0,21.693158
2008-04-03,49.860001,50.330002,49.860001,50.290001,1800,21.981642
2008-04-04,50.209999,50.209999,50.049999,50.060001,23000,21.88111
2008-04-07,50.580002,50.59,50.279999,50.279999,1000,21.97727
2008-04-08,49.970001,49.970001,49.880001,49.880001,6200,21.802432
2008-04-09,49.509998,49.509998,49.509998,49.509998,200,21.640705
2008-04-10,49.43,49.73,49.43,49.73,1200,21.736867
2008-04-11,48.650002,48.650002,48.650002,48.650002,1000,21.264802
2008-04-14,48.529999,48.529999,48.41,48.490002,4000,21.194867
2008-04-15,48.669998,48.689999,48.66,48.68,3000,21.277915
2008-04-16,49.459999,49.91,49.459999,49.91,2400,21.815545
2008-04-17,49.849998,50.209999,49.810001,50.209999,4000,21.946674
2008-04-18,51.02,51.02,50.790001,50.790001,1000,22.200191
2008-04-21,50.82,50.93,50.610001,50.889999,9400,22.2439
2008-04-22,50.630001,50.630001,50.299999,50.360001,4600,22.012239
2008-04-23,50.630001,50.630001,50.380001,50.450001,44000,22.051578
2008-04-24,50.41,51.18,50.349998,51.02,22200,22.300723
2008-04-25,51.240002,51.349998,51.009998,51.349998,3600,22.444965
2008-04-28,51.389999,51.630001,51.380001,51.380001,9400,22.458079
2008-04-29,51.360001,51.470001,51.169998,51.459999,17400,22.493046
2008-04-30,51.540001,51.799999,51.029999,51.189999,179200,22.375029
2008-05-01,51.060001,51.93,51.049999,51.810001,72600,22.646031
2008-05-02,52.540001,52.540001,51.900002,52.049999,19000,22.750933
2008-05-05,51.84,51.84,51.740002,51.75,3000,22.619804
2008-05-06,51.41,51.869999,51.290001,51.869999,62800,22.672256
2008-05-07,51.919998,51.990002,51.049999,51.049999,7800,22.313836
2008-05-08,51.09,51.290001,51.02,51.02,8800,22.300723
2008-05-09,50.759998,50.84,50.75,50.75,1200,22.182707
2008-05-12,50.98,51.459999,50.98,51.459999,2200,22.493046
2008-05-13,51.279999,51.380001,51.259998,51.380001,2000,22.458079
2008-05-14,51.790001,52.049999,51.709999,51.709999,37200,22.60232
2008-05-15,51.709999,52.209999,51.68,52.209999,18600,22.820869
2008-05-16,51.990002,52.169998,51.889999,52.169998,7600,22.803385
2008-05-19,52.290001,52.650002,52.200001,52.200001,6200,22.816499
2008-05-20,51.860001,51.860001,51.619999,51.619999,22000,22.562981
2008-05-21,51.709999,51.709999,50.970001,50.970001,7800,22.278869
2008-05-22,50.950001,50.950001,50.810001,50.860001,4400,22.230788
2008-05-23,50.360001,50.380001,50,50.169998,12200,21.929189
2008-05-27,50.150002,50.419998,50.02,50.419998,69600,22.038464
2008-05-28,50.400002,50.48,50.290001,50.459999,37800,22.055948
2008-05-29,50.860001,51.130001,50.860001,50.919998,6800,22.257012
2008-05-30,50.91,51.02,50.91,50.990002,12800,22.287611
2008-06-02,50.27,50.400002,50.259998,50.369999,11000,22.016609
2008-06-03,50.639999,50.639999,50.07,50.209999,2600,21.946674
2008-06-04,50.200001,50.43,49.990002,50.060001,16200,21.88111
2008-06-05,50.66,50.950001,50.529999,50.950001,9200,22.270127
2008-06-06,50.209999,50.209999,49.669998,49.669998,6800,21.71064
2008-06-09,49.380001,49.73,49.119999,49.119999,3200,21.470237
2008-06-10,49.23,49.419998,49.200001,49.200001,10000,21.505206
2008-06-11,48.689999,48.689999,48.360001,48.360001,22000,21.138044
2008-06-12,48.669998,48.950001,48.310001,48.32,3400,21.120559
2008-06-13,48.950001,49.040001,48.810001,49,6000,21.417786
2008-06-16,49.279999,49.490002,49.279999,49.34,4000,21.566399
2008-06-17,49.279999,49.279999,48.93,48.990002,14400,21.413416
2008-06-18,48.650002,48.650002,48.32,48.32,2800,21.120559
2008-06-19,52.790001,52.790001,48.09,48.470001,12000,21.186125
2008-06-20,47.919998,47.950001,47.380001,47.41,394200,20.7228
2008-06-23,47.82,47.82,47.369999,47.369999,600,20.705316
2008-06-24,47.040001,47.41,47.040001,47.150002,1800,20.609156
2008-06-25,47.57,47.869999,47.439999,47.490002,10200,20.757769
2008-06-26,46.830002,46.849998,46.029999,46.029999,326000,20.163762
2008-06-27,46.169998,46.169998,45.66,45.779999,20600,20.054248
2008-06-30,45.869999,46.16,45.869999,45.98,129200,20.14186
2008-07-01,45.279999,45.900002,45.139999,45.799999,16600,20.063009
2008-07-02,45.959999,45.959999,45.5,45.509998,22600,19.935972
2008-07-03,45.169998,45.169998,44,44.869999,107200,19.655616
2008-07-07,45.299999,45.400002,44.240002,44.619999,152800,19.546102
2008-07-08,44.630001,45.529999,44.419998,45.529999,48600,19.944734
2008-07-09,45.130001,45.130001,44.459999,44.459999,6600,19.476013
