"Index","open","high","low","close","volume","adjusted"
2009-01-30,25.75,25.75,25.15,25.15,1100,18.559945
2009-02-02,25.200001,25.200001,25.200001,25.200001,500,18.596844
2009-02-03,25.68,25.68,25.68,25.68,300,18.95107
2009-02-04,25.690001,25.690001,25.540001,25.540001,400,18.847754
2009-02-05,25.17,25.73,25.17,25.67,8700,18.94369
2009-02-06,26,26.26,26,26.25,2000,19.371712
2009-02-09,26.01,26.23,25.940001,26.23,3300,19.356953
2009-02-10,25.959999,25.959999,25.25,25.25,1300,18.633742
2009-02-11,25.24,25.309999,25,25.030001,7600,18.471389
2009-02-12,24.870001,25.030001,24.870001,24.969999,1900,18.42711
2009-02-13,25.120001,25.18,24.950001,25.059999,3500,18.493528
2009-02-17,24.82,24.82,24.200001,24.23,1600,17.881013
2009-02-18,24.23,24.23,24.23,24.23,0,17.881013
2009-02-19,24.280001,24.34,23.860001,24.299999,1500,17.93267
2009-02-20,22,23.860001,20.35,23.58,8700,17.401332
2009-02-23,23.549999,23.549999,23.139999,23.139999,700,17.076625
2009-02-24,23.34,23.450001,23.26,23.450001,500,17.305397
2009-02-25,23.290001,23.290001,23.290001,23.290001,800,17.187322
2009-02-26,23.209999,23.209999,22.709999,22.709999,1300,16.759298
2009-02-27,22.969999,23.01,22.969999,23.01,200,16.98069
2009-03-02,23.049999,23.049999,22.360001,22.360001,1200,16.50101
2009-03-03,22.049999,22.049999,20.9,21.879999,1900,16.146783
2009-03-04,22.110001,22.110001,22.02,22.02,500,16.2501
2009-03-05,21.459999,21.58,21.459999,21.58,400,15.925392
2009-03-06,20.6,21.360001,20.6,21.360001,400,15.76304
2009-03-09,21.389999,21.389999,21.389999,21.389999,200,15.785178
2009-03-10,21.9,21.9,21.9,21.9,100,16.161543
2009-03-11,22.370001,22.370001,22.200001,22.200001,700,16.382934
2009-03-12,22.040001,22.93,22.040001,22.9,1700,16.899513
2009-03-13,23.110001,24.610001,22.959999,23.290001,3600,17.187322
2009-03-16,23.219999,23.219999,23,23,600,16.97331
2009-03-17,23,23,23,23,0,16.97331
2009-03-18,23.83,25.1,23.83,25.1,200,18.523047
2009-03-19,24.48,24.48,23.950001,23.950001,2800,17.674382
2009-03-20,23.969999,23.969999,23.65,23.65,1000,17.45299
2009-03-23,24.15,24.540001,22.76,24.540001,700,18.109784
2009-03-24,24.5,24.629999,24.219999,24.219999,3000,17.873633
2009-03-25,24.790001,24.91,24.42,24.75,17800,18.264757
2009-03-26,24.83,24.99,24.74,24.99,1400,18.44187
2009-03-27,24.99,25.08,24.799999,24.940001,3000,18.404972
2009-03-30,23.92,24.68,22.91,24.68,4400,18.2131
2009-03-31,24.629999,25.02,24.629999,24.75,11000,18.264757
2009-04-01,24.629999,24.860001,24.559999,24.860001,800,18.345935
2009-04-02,25.459999,25.83,25.25,25.780001,3600,19.096305
2009-04-03,25.610001,25.629999,25.52,25.629999,700,18.985193
2009-04-06,25.379999,25.450001,25.200001,25.200001,2700,18.666676
2009-04-07,25.1,25.1,24.709999,24.870001,3400,18.422231
2009-04-08,25.07,25.07,25,25,1000,18.518527
2009-04-09,25.700001,25.940001,25.639999,25.940001,1900,19.214824
2009-04-13,25.780001,26.16,25.77,26.16,1600,19.377786
2009-04-14,25.719999,25.719999,25.15,25.58,1900,18.948157
2009-04-15,25.5,25.59,25.35,25.59,2500,18.955564
2009-04-16,26.139999,26.17,26.139999,26.17,600,19.385194
2009-04-17,26.25,26.379999,26.25,26.379999,600,19.540749
2009-04-20,25.24,25.41,25.110001,25.41,700,18.822231
2009-04-21,26.76,26.76,25.48,25.809999,1000,19.118527
2009-04-22,28.16,28.16,26.1,26.1,700,19.333342
2009-04-23,26,26,25.52,25.52,200,18.903713
2009-04-24,25.889999,25.889999,25.690001,25.690001,400,19.029639
2009-04-27,25.799999,25.799999,25.49,25.49,800,18.88149
2009-04-28,25.99,26.219999,25.99,26.190001,1500,19.400009
2009-04-29,26.09,26.48,26.09,26.48,1700,19.614823
2009-04-30,25.02,26.889999,25.02,26.450001,5200,19.592602
2009-05-01,25.959999,26.07,25.950001,25.950001,1700,19.222231
2009-05-04,26.4,26.58,25.1,26.58,5800,19.688898
2009-05-05,26.360001,26.5,26.360001,26.5,300,19.629638
2009-05-06,28.27,28.27,26.42,26.469999,5700,19.607416
2009-05-07,25.34,26.41,25.34,26.41,700,19.562972
2009-05-08,26.84,26.84,26.58,26.74,800,19.807416
2009-05-11,26.290001,26.52,26.290001,26.52,1000,19.644454
2009-05-12,26.450001,26.450001,26.110001,26.35,2300,19.518528
2009-05-13,25.73,25.73,25.49,25.49,18100,18.88149
2009-05-14,25.950001,25.950001,25.950001,25.950001,1000,19.222231
2009-05-15,26,26,25.67,25.67,500,19.014823
2009-05-18,25.82,26.379999,25.82,26.379999,1100,19.540749
2009-05-19,27.93,27.93,26.370001,26.82,2100,19.866675
2009-05-20,27,28.02,26,26.620001,24900,19.718528
2009-05-21,26.309999,26.620001,25.76,25.9,3400,19.185194
2009-05-22,25.950001,26.16,25.950001,26.030001,2400,19.281491
2009-05-26,26.1,27.049999,26.1,27.049999,2100,20.037045
2009-05-27,26.76,26.91,26.76,26.91,3900,19.933342
2009-05-28,26.49,26.959999,26.450001,26.959999,5500,19.970379
2009-05-29,28.18,28.18,26.76,26.93,3000,19.948157
2009-06-01,27.75,27.75,27.610001,27.719999,3400,20.533342
2009-06-02,28.58,28.58,27.6,28.02,3500,20.755565
2009-06-03,27.66,27.66,27.559999,27.610001,1300,20.451862
2009-06-04,27.49,27.68,27.49,27.68,4900,20.503713
2009-06-05,27.73,27.889999,27.700001,27.889999,2900,20.659268
2009-06-08,27.610001,27.74,26.629999,27.58,24500,20.429639
2009-06-09,27.75,27.799999,27.75,27.75,1200,20.555565
2009-06-10,27.379999,27.379999,27.35,27.35,1200,20.259269
2009-06-11,27.48,27.58,27.48,27.49,800,20.362972
2009-06-12,27.219999,27.26,27.07,27.26,1000,20.192602
2009-06-15,26.67,26.68,26.67,26.68,300,19.762972
2009-06-16,26.940001,26.940001,26.549999,26.6,8800,19.703713
2009-06-17,26.950001,27.219999,26.93,27.1,2800,20.074083
2009-06-18,27,27.120001,26.700001,27.01,6300,20.007417
2009-06-19,27.33,27.389999,27.32,27.34,1000,20.251861
2009-06-22,26.700001,26.700001,26.540001,26.540001,800,19.659269
2009-06-23,26.450001,26.450001,26.450001,26.450001,200,19.592602
2009-06-24,26.620001,26.620001,26.559999,26.58,1200,19.688898
2009-06-25,26.66,27.16,26.66,27.09,6300,20.066676
2009-06-26,27.25,27.48,27.25,27.379999,2000,20.28149
2009-06-29,27.25,27.74,27.25,27.66,1000,20.488898
2009-06-30,28,28,27.42,27.57,10400,20.422231
2009-07-01,27.76,27.76,27.700001,27.700001,900,20.518528
2009-07-02,26.969999,26.969999,26.82,26.91,1000,19.93838
2009-07-06,26.02,27.4,26.02,26.68,3000,19.767967
2009-07-07,26.450001,26.450001,26.450001,26.450001,100,19.597554
2009-07-08,26.360001,26.66,25.99,26.620001,6100,19.723512
2009-07-09,26.620001,26.620001,26.620001,26.620001,0,19.723512
2009-07-10,26.620001,26.73,26.1,26.34,2300,19.516051
2009-07-13,26.34,26.77,26.34,26.49,900,19.62719
2009-07-14,27.040001,27.139999,26.82,27.139999,2300,20.108793
2009-07-15,27.450001,27.620001,27.450001,27.620001,1300,20.46444
2009-07-16,27.68,27.98,27.620001,27.98,6600,20.731173
2009-07-17,27.74,27.98,27.74,27.9,2600,20.671899
2009-07-20,27.01,28.450001,27.01,28.25,6200,20.931224
2009-07-21,28.030001,28.059999,27.73,28.030001,16000,20.768221
2009-07-22,27.27,28.780001,27.27,28.059999,5700,20.790447
2009-07-23,28.32,28.73,28.32,28.67,11200,21.242414
2009-07-24,27.73,29.32,27.73,28.540001,5000,21.146094
2009-07-27,27.860001,28.59,27.860001,28.360001,3000,21.012727
2009-07-28,28.219999,28.68,28.219999,28.559999,2500,21.160912
2009-07-29,28.610001,28.67,28.49,28.620001,2200,21.205368
2009-07-30,28.959999,30.780001,28.889999,28.889999,16000,21.405418
2009-07-31,28.75,28.940001,28.75,28.790001,2600,21.331326
