"Index","open","high","low","close","volume","adjusted"
2006-05-19,20.02,21.889999,20.02,21.75,22900,19.062298
2006-05-22,21.85,22.950001,21.85,22.549999,40600,19.763439
2006-05-23,22.700001,22.799999,22.4,22.6,19000,19.807261
2006-05-24,22.469999,22.48,21.700001,21.700001,18900,19.018477
2006-05-25,21.65,22.200001,21.65,22,8700,19.281404
2006-05-26,22,22.049999,21.65,22,16200,19.281404
2006-05-30,22,22,21.799999,21.85,3300,19.149941
2006-05-31,21.950001,22.200001,21.51,22.1,22200,19.369047
2006-06-01,22,22,21.75,21.75,10100,19.062298
2006-06-02,21.75,21.75,21.549999,21.549999,5100,18.887011
2006-06-05,21.6,21.6,21,21.049999,14600,18.448798
2006-06-06,21,21,20.299999,20.299999,12800,17.791477
2006-06-07,20.4,20.6,20.01,20.48,21700,17.949234
2006-06-08,20.530001,20.549999,20.049999,20.549999,12600,18.010584
2006-06-09,20.6,21,20.6,20.85,9000,18.273513
2006-06-12,20.85,20.85,20.35,20.35,3800,17.835299
2006-06-13,20.4,20.4,20.16,20.200001,13300,17.703836
2006-06-14,20.25,20.35,20.1,20.35,8000,17.835299
2006-06-15,20.4,20.98,20.4,20.98,10400,18.387448
2006-06-16,21.049999,22.65,21.049999,21.35,40000,18.711727
2006-06-19,21.35,21.35,20.950001,20.950001,5700,18.361156
2006-06-20,21,21.08,20.799999,20.799999,5900,18.229691
2006-06-21,20.75,21,20.75,20.75,7400,18.18587
2006-06-22,20.5,20.9,20.4,20.9,18300,18.317334
2006-06-23,21,21.23,20.799999,21.23,11900,18.606555
2006-06-26,21.1,21.15,20.85,20.85,7700,18.273513
2006-06-27,20.6,20.65,20.5,20.549999,8800,18.010584
2006-06-28,20.5,20.75,20.450001,20.549999,11900,18.010584
2006-06-29,20.549999,20.549999,20.35,20.5,2700,17.966763
2006-06-30,20.27,20.450001,20.27,20.440001,8700,17.914178
2006-07-03,20.43,20.43,19.25,19.25,29300,16.871229
2006-07-05,19.25,19.75,18.110001,19.75,44600,17.309443
2006-07-06,19.65,19.75,19.25,19.4,7500,17.002693
2006-07-07,19.5,19.75,19.450001,19.549999,6500,17.134156
2006-07-10,19.299999,19.6,19.299999,19.5,6200,17.090336
2006-07-11,19.700001,19.799999,19.549999,19.6,8800,17.177979
2006-07-12,19.549999,19.65,19.049999,19.299999,9300,16.91505
2006-07-13,19.15,19.15,18.6,19,17700,16.652122
2006-07-14,18.65,18.860001,18.5,18.65,21700,16.345372
2006-07-17,18.4,18.4,16.549999,17.450001,149400,15.29366
2006-07-18,17.65,17.950001,17.35,17.74,27100,15.547823
2006-07-19,17.790001,18.15,17.549999,17.950001,19200,15.731874
2006-07-20,17.950001,18.110001,17.5,17.57,20900,15.39883
2006-07-21,17.6,17.6,16.35,16.879999,61500,14.794095
2006-07-24,16.950001,17,16.360001,16.85,42300,14.767803
2006-07-25,16.9,17.15,16.4,16.4,51300,14.37341
2006-07-26,16.75,16.940001,16.52,16.84,47100,14.759039
2006-07-27,17.049999,17.09,16.9,16.93,51100,14.837917
2006-07-28,17.1,17.6,17.09,17.52,13700,15.35501
2006-07-31,17.530001,17.6,17.24,17.469999,12400,15.311187
2006-08-01,17.530001,17.540001,17.370001,17.540001,20400,15.372539
2006-08-02,17.540001,17.540001,17.27,17.459999,24400,15.302423
2006-08-03,17.280001,17.49,17.16,17.24,31300,15.109609
2006-08-04,17.280001,17.450001,17.129999,17.33,21800,15.188488
2006-08-07,17.209999,17.360001,17.110001,17.110001,16800,14.995675
2006-08-08,17.25,17.35,17.1,17.200001,27100,15.074553
2006-08-09,17.200001,17.33,17.040001,17.18,17500,15.057024
2006-08-10,17,17.1,16.950001,17.040001,27200,14.934325
2006-08-11,17.09,17.09,16.799999,17.049999,16000,14.943088
2006-08-14,17.25,17.25,16.940001,17.09,26700,14.978146
2006-08-15,17.139999,17.290001,17.059999,17.200001,17600,15.074553
2006-08-16,17.23,17.440001,17.15,17.379999,31800,15.232309
2006-08-17,17.35,17.42,17.15,17.200001,52300,15.074553
2006-08-18,17.15,17.299999,17.1,17.280001,35600,15.144667
2006-08-21,17.26,17.26,17.1,17.120001,12000,15.004439
2006-08-22,17.139999,17.25,16.870001,17.02,50100,14.916796
2006-08-23,17,17.049999,16.82,16.9,31000,14.811624
2006-08-24,17,17.23,17,17.23,31700,15.100845
2006-08-25,17.129999,17.299999,17.120001,17.299999,18900,15.162195
2006-08-28,17.25,17.309999,17.16,17.27,35100,15.135903
2006-08-29,17.23,17.440001,17.23,17.440001,19400,15.284896
2006-08-30,17.440001,17.52,17.35,17.41,30300,15.258602
2006-08-31,17.459999,17.51,17.360001,17.51,15500,15.346245
2006-09-01,17.530001,17.559999,17.450001,17.5,15200,15.337481
2006-09-05,17.530001,17.530001,17.450001,17.52,12400,15.35501
2006-09-06,17.469999,17.5,17.1,17.200001,58600,15.074553
2006-09-07,17.200001,17.200001,17.059999,17.1,21900,14.98691
2006-09-08,17.1,17.15,16.870001,17.01,56500,14.908031
2006-09-11,16.889999,17.5,16.860001,16.950001,36800,14.855446
2006-09-12,16.99,17.26,16.85,17.26,30000,15.127138
2006-09-13,17.23,17.4,17,17.34,55000,15.197252
2006-09-14,17.24,17.459999,17.24,17.41,21300,15.258602
2006-09-15,17.49,17.549999,17.459999,17.51,38700,15.346245
2006-09-18,17.549999,17.58,17.459999,17.540001,46700,15.372539
2006-09-19,17.610001,17.610001,17.200001,17.48,50400,15.319952
2006-09-20,17.49,17.690001,17.440001,17.559999,29700,15.390066
2006-09-21,17.530001,17.58,17.440001,17.48,30000,15.319952
2006-09-22,17.459999,17.549999,17.379999,17.5,30000,15.337481
2006-09-25,17.469999,17.540001,17.299999,17.540001,22600,15.372539
2006-09-26,17.51,17.57,17.469999,17.52,37600,15.35501
2006-09-27,17.540001,17.690001,17.5,17.620001,17000,15.442653
2006-09-28,17.52,17.629999,17.5,17.59,17900,15.416359
2006-09-29,17.629999,17.629999,17.49,17.59,21700,15.416359
2006-10-02,17.58,17.639999,17.49,17.639999,14000,15.46018
2006-10-03,17.639999,17.690001,17.5,17.629999,20900,15.451416
2006-10-04,17.530001,17.84,17.530001,17.84,44600,15.635466
2006-10-05,17.450001,18,17.450001,17.889999,85300,15.679287
2006-10-06,17.51,17.9,17.51,17.84,43600,15.635466
2006-10-09,17.790001,17.92,17.68,17.92,42500,15.70558
2006-10-10,17.950001,17.98,17.85,17.98,27900,15.758166
2006-10-11,17.959999,17.959999,17.780001,17.889999,41500,15.679287
2006-10-12,17.940001,18.25,17.790001,18.07,39400,15.837044
2006-10-13,18,18.059999,17.860001,17.969999,13100,15.749401
2006-10-16,17.799999,18.18,17.76,18.17,72100,15.924687
2006-10-17,18.049999,18.18,17.92,18.139999,23400,15.898394
2006-10-18,18.17,18.24,17.959999,18.08,53600,15.845809
2006-10-19,17.98,18.15,17.85,18.15,54700,15.907158
2006-10-20,18.1,18.16,17.940001,18.16,43700,15.915923
2006-10-23,18.16,18.27,18.07,18.23,15000,15.977272
