"Index","open","high","low","close","volume","adjusted"
2006-03-07,38.470001,38.470001,38.34,38.34,75000,36.71206
2006-03-08,38.27,38.470001,38.27,38.470001,50500,36.836541
2006-03-09,38.290001,38.290001,38.290001,38.290001,500,36.664184
2006-03-10,38.290001,38.290001,38.290001,38.290001,0,36.664184
2006-03-13,39.02,39.02,39,39,400,37.344036
2006-03-14,39,39,39,39,0,37.344036
2006-03-15,39.040001,39.200001,39.040001,39.200001,2000,37.535544
2006-03-16,39.200001,39.200001,39.200001,39.200001,0,37.535544
2006-03-17,39.57,39.639999,39.57,39.639999,300,37.95686
2006-03-20,39.75,39.75,39.619999,39.619999,5100,37.937709
2006-03-21,39.849998,40.009998,39.849998,40.009998,1200,38.311149
2006-03-22,39.57,39.790001,39.57,39.790001,1300,38.100493
2006-03-23,39.959999,39.959999,39.959999,39.959999,1000,38.263273
2006-03-24,40.169998,40.23,40.169998,40.23,400,38.521809
2006-03-27,40.299999,40.299999,40.060001,40.23,1700,38.521809
2006-03-28,40.23,40.23,40.23,40.23,0,38.521809
2006-03-29,40.27,40.52,40.119999,40.52,1900,38.799496
2006-03-30,40.790001,40.799999,40.470001,40.470001,6600,38.75162
2006-03-31,40.650002,40.650002,40.560001,40.560001,300,38.837799
2006-04-03,40.380001,40.380001,40.380001,40.380001,500,38.665441
2006-04-04,40.34,40.34,40.259998,40.259998,8700,38.550534
2006-04-05,40.509998,40.509998,40.509998,40.509998,100,38.789919
2006-04-06,40.43,40.57,40.43,40.57,10500,38.847372
2006-04-07,40.700001,40.700001,40.169998,40.169998,1900,38.464355
2006-04-10,40.169998,40.169998,40.169998,40.169998,0,38.464355
2006-04-11,39.91,39.91,39.57,39.57,500,37.889833
2006-04-12,39.52,39.68,39.52,39.68,1800,37.995163
2006-04-13,39.880001,39.880001,39.830002,39.84,17800,38.148369
2006-04-17,39.630001,39.830002,39.630001,39.830002,900,38.138795
2006-04-18,39.830002,39.830002,39.830002,39.830002,0,38.138795
2006-04-19,40.849998,40.98,40.849998,40.900002,5600,39.163362
2006-04-20,41.119999,41.119999,41.09,41.09,5200,39.345293
2006-04-21,41.240002,41.240002,40.860001,40.860001,4800,39.12506
2006-04-24,40.689999,40.77,40.689999,40.77,600,39.038881
2006-04-25,40.57,40.599998,40.529999,40.599998,5100,38.876097
2006-04-26,40.599998,40.599998,40.599998,40.599998,0,38.876097
2006-04-27,40.630001,40.630001,40.630001,40.630001,100,38.904826
2006-04-28,40.630001,40.630001,40.630001,40.630001,0,38.904826
2006-05-01,41.049999,41.049999,40.650002,40.650002,6400,38.923977
2006-05-02,40.610001,40.93,40.610001,40.93,1100,39.192087
2006-05-03,40.73,40.849998,40.73,40.849998,1200,39.115482
2006-05-04,41.18,41.18,41.18,41.18,1000,39.431472
2006-05-05,41.490002,41.68,41.490002,41.68,1700,39.910242
2006-05-08,41.630001,41.709999,41.630001,41.709999,1300,39.938967
2006-05-09,41.68,41.68,41.630001,41.630001,31100,39.862365
2006-05-10,41.450001,41.450001,41.209999,41.290001,1300,39.536802
2006-05-11,41.189999,41.189999,40.34,40.34,14700,38.627139
2006-05-12,39.57,39.639999,39.57,39.639999,300,37.95686
2006-05-15,39.630001,39.630001,39.630001,39.630001,200,37.947287
2006-05-16,39.810001,39.889999,39.810001,39.889999,600,38.196245
2006-05-17,39.509998,39.509998,39.389999,39.389999,900,37.717476
2006-05-18,39.34,39.34,38.869999,38.869999,900,37.219555
2006-05-19,38.5,38.98,38.5,38.98,500,37.324885
2006-05-22,38.610001,38.740002,38.529999,38.740002,600,37.095077
2006-05-23,39.009998,39.040001,38.5,38.5,3500,36.865266
2006-05-24,38.5,38.5,38.5,38.5,0,36.865266
2006-05-25,38.91,39.09,38.880001,39.09,8000,37.430214
2006-05-26,39.259998,39.299999,39.259998,39.299999,8500,37.631297
2006-05-30,39.299999,39.299999,39.299999,39.299999,0,37.631297
2006-05-31,39.299999,39.299999,39.299999,39.299999,0,37.631297
2006-06-01,39.23,39.470001,39.23,39.470001,800,37.79408
2006-06-02,39.509998,39.509998,39.509998,39.509998,2500,37.832379
2006-06-05,39.34,39.34,38.369999,38.369999,900,36.740785
2006-06-06,37.880001,38.220001,37.880001,38.220001,1000,36.597156
2006-06-07,38.380001,38.700001,38.09,38.09,74700,36.472675
2006-06-08,37.77,37.77,37.389999,37.389999,5100,35.802397
2006-06-09,38.200001,38.200001,37.93,37.93,1600,36.319469
2006-06-12,37.849998,37.849998,37.02,37.02,1700,35.448108
2006-06-13,36.799999,37.139999,36.459999,36.459999,32200,34.911885
2006-06-14,36.529999,36.529999,36.529999,36.529999,100,34.978912
2006-06-15,37.169998,37.639999,37.169998,37.639999,90700,36.041782
2006-06-16,37.369999,37.560001,37.369999,37.389999,20500,35.802397
2006-06-19,36.990002,36.990002,36.799999,36.799999,2500,35.237448
2006-06-20,36.779999,36.900002,36.68,36.68,2300,35.122545
2006-06-21,36.970001,37.41,36.970001,37.41,500,35.821548
2006-06-22,37.150002,37.150002,37.150002,37.150002,100,35.572589
2006-06-23,37.439999,37.439999,37.439999,37.439999,100,35.850273
2006-06-26,37.439999,37.439999,37.439999,37.439999,0,35.850273
2006-06-27,37.419998,37.419998,37.099998,37.099998,15400,35.52471
2006-06-28,37.299999,37.299999,37.299999,37.299999,400,35.716218
2006-06-29,38.259998,38.27,38.259998,38.27,800,36.645032
2006-06-30,38.459999,38.459999,38.459999,38.459999,2500,36.826964
2006-07-03,38.779999,38.779999,38.779999,38.779999,700,37.133376
2006-07-05,38.400002,38.400002,38.400002,38.400002,1100,36.769514
2006-07-06,38.790001,38.799999,38.790001,38.799999,300,37.152527
2006-07-07,38.509998,38.509998,38.150002,38.150002,4600,36.530129
2006-07-10,38.150002,38.150002,38.150002,38.150002,0,36.530129
2006-07-11,37.869999,38.130001,37.869999,38.130001,1200,36.510978
2006-07-12,37.799999,37.830002,37.439999,37.439999,6700,35.850273
2006-07-13,36.860001,36.860001,36.689999,36.75,6100,35.189572
2006-07-14,36.75,36.75,36.75,36.75,0,35.189572
2006-07-17,36.400002,36.400002,36.400002,36.400002,200,34.854435
2006-07-18,36.400002,36.400002,36.400002,36.400002,0,34.854435
2006-07-19,36.880001,36.880001,36.880001,36.880001,100,35.314053
2006-07-20,36.880001,36.880001,36.880001,36.880001,0,35.314053
2006-07-21,36.880001,36.880001,36.880001,36.880001,0,35.314053
2006-07-24,36,36.650002,36,36.650002,500,35.09382
2006-07-25,37.220001,37.220001,37.220001,37.220001,300,35.639617
