"Index","open","high","low","close","volume","adjusted"
2006-03-07,37.689999,37.689999,37.52,37.549999,54200,33.286358
2006-03-08,37.330002,37.330002,37.330002,37.330002,100,33.09134
2006-03-09,37.310001,37.310001,37.310001,37.310001,100,33.073611
2006-03-10,37.720001,37.720001,37.549999,37.549999,55000,33.286358
2006-03-13,38.099998,38.099998,37.91,37.939999,10300,33.632074
2006-03-14,37.939999,37.939999,37.939999,37.939999,0,33.632074
2006-03-15,38.369999,38.369999,38.369999,38.369999,1000,34.01325
2006-03-16,38.669998,38.77,38.619999,38.619999,1200,34.234864
2006-03-17,38.689999,38.689999,38.52,38.52,3800,34.146219
2006-03-20,38.830002,38.830002,38.830002,38.830002,100,34.421021
2006-03-21,38.630001,38.77,38.630001,38.77,200,34.367833
2006-03-22,38.580002,38.970001,38.580002,38.970001,1500,34.545125
2006-03-23,38.970001,38.970001,38.970001,38.970001,0,34.545125
2006-03-24,39.200001,39.290001,39.169998,39.290001,3300,34.82879
2006-03-27,39.32,39.32,39.23,39.23,1500,34.775601
2006-03-28,39.23,39.23,39.23,39.23,0,34.775601
2006-03-29,39.450001,39.689999,39.450001,39.689999,800,35.183369
2006-03-30,39.919998,39.919998,39.720001,39.720001,600,35.209965
2006-03-31,39.669998,39.669998,39.669998,39.669998,300,35.16564
2006-04-03,39.75,39.950001,39.619999,39.619999,46500,35.121318
2006-04-04,39.650002,39.810001,39.650002,39.810001,2800,35.289746
2006-04-05,39.610001,39.610001,39.610001,39.610001,200,35.112455
2006-04-06,39.610001,39.610001,39.610001,39.610001,0,35.112455
2006-04-07,39.48,39.48,39.48,39.48,800,34.997215
2006-04-10,39.5,39.5,39.130001,39.130001,300,34.686957
2006-04-11,39.41,39.41,38.740002,38.740002,1500,34.34124
2006-04-12,38.84,38.900002,38.830002,38.900002,800,34.483073
2006-04-13,39.18,39.18,38.950001,38.950001,900,34.527395
2006-04-17,39.060001,39.060001,38.880001,38.900002,700,34.483073
2006-04-18,38.900002,38.900002,38.900002,38.900002,0,34.483073
2006-04-19,39.880001,40.07,39.869999,40.07,3700,35.520223
2006-04-20,40.07,40.189999,39.799999,40.060001,1300,35.51136
2006-04-21,40.279999,40.279999,40.009998,40.009998,700,35.467034
2006-04-24,39.990002,39.990002,39.779999,39.779999,1100,35.26315
2006-04-25,39.740002,39.740002,39.740002,39.740002,100,35.227695
2006-04-26,40.049999,40.049999,39.849998,39.849998,1300,35.325202
2006-04-27,39.540001,39.849998,39.299999,39.610001,1100,35.112455
2006-04-28,40,40.080002,39.84,39.84,800,35.316339
2006-05-01,39.939999,40.049999,39.75,39.75,1400,35.236558
2006-05-02,39.75,40.09,39.689999,40.080002,2000,35.529089
2006-05-03,40.080002,40.080002,40.080002,40.080002,0,35.529089
2006-05-04,40.25,40.25,40.25,40.25,100,35.679785
2006-05-05,40.599998,40.830002,40.599998,40.77,3700,36.140742
2006-05-08,40.700001,40.709999,40.66,40.709999,800,36.087553
2006-05-09,40.709999,40.709999,40.709999,40.709999,0,36.087553
2006-05-10,40.669998,40.669998,40.259998,40.27,500,35.697514
2006-05-11,39.509998,39.509998,39.25,39.25,400,34.793331
2006-05-12,38.790001,38.790001,38.389999,38.389999,26400,34.030979
2006-05-15,38.220001,38.220001,38.099998,38.099998,20600,33.773907
2006-05-16,38.509998,38.509998,38.310001,38.310001,600,33.960065
2006-05-17,38.080002,38.080002,37.799999,37.799999,3900,33.507971
2006-05-18,37.93,37.970001,37.540001,37.540001,24000,33.277495
2006-05-19,37.419998,37.779999,37.419998,37.779999,17300,33.490242
2006-05-22,37.509998,37.509998,37.349998,37.349998,3000,33.109066
