"Index","open","high","low","close","volume","adjusted"
2015-02-02,24.6,24.6,24.440001,24.440001,39800,23.86655
2015-02-03,24.440001,24.440001,24.440001,24.440001,0,23.86655
2015-02-04,24.868999,24.93,24.868999,24.93,300,24.345053
2015-02-05,25.059999,25.120001,25.059999,25.120001,5700,24.530595
2015-02-06,25.059999,25.059999,25.059999,25.059999,100,24.472001
2015-02-09,24.860001,24.860001,24.860001,24.860001,200,24.276695
2015-02-10,24.860001,24.860001,24.860001,24.860001,0,24.276695
2015-02-11,24.860001,24.860001,24.860001,24.860001,0,24.276695
2015-02-12,24.860001,24.860001,24.860001,24.860001,0,24.276695
2015-02-13,24.860001,24.860001,24.860001,24.860001,0,24.276695
2015-02-17,25.309999,25.309999,25.309999,25.309999,100,24.716136
2015-02-18,25.280001,25.280001,25.280001,25.280001,500,24.686841
2015-02-19,25.280001,25.280001,25.280001,25.280001,0,24.686841
2015-02-20,25.280001,25.280001,25.280001,25.280001,0,24.686841
2015-02-23,25.42,25.469999,25.42,25.469999,5200,24.872381
2015-02-24,25.469999,25.469999,25.469999,25.469999,0,24.872381
2015-02-25,25.469999,25.469999,25.469999,25.469999,0,24.872381
2015-02-26,25.469999,25.469999,25.469999,25.469999,0,24.872381
2015-02-27,18.18,18.18,18.18,18.18,0,17.753432
2015-03-02,25.459999,25.459999,25.459999,25.459999,5100,24.862616
2015-03-03,25.459999,25.459999,25.459999,25.459999,0,24.862616
2015-03-04,25.325001,25.325001,25.325001,25.325001,400,24.730785
2015-03-05,25.325001,25.325001,25.325001,25.325001,0,24.730785
2015-03-06,25.325001,25.325001,25.325001,25.325001,0,24.730785
2015-03-09,25.129999,25.129999,25.129999,25.129999,200,24.540359
2015-03-10,25.129999,25.129999,25.129999,25.129999,0,24.540359
2015-03-11,25.129999,25.129999,25.129999,25.129999,0,24.540359
2015-03-12,24.9,25.059999,24.9,25.059999,900,24.472001
2015-03-13,25.059999,25.059999,25.059999,25.059999,0,24.472001
2015-03-16,25.059999,25.059999,25.059999,25.059999,0,24.472001
2015-03-17,25.059999,25.059999,25.059999,25.059999,0,24.472001
2015-03-18,25.25,25.25,25.25,25.25,100,24.657544
2015-03-19,25.48,25.48,25.458,25.458,700,24.860664
2015-03-20,25.458,25.458,25.458,25.458,0,24.8851
2015-03-23,25.6,25.6,25.6,25.6,0,25.023905
2015-03-24,25.540001,25.540001,25.540001,25.540001,0,24.965256
2015-03-25,25.48,25.48,25.48,25.48,200,24.906604
2015-03-26,25.09,25.09,25.09,25.09,100,24.525381
2015-03-27,25.09,25.09,25.09,25.09,0,24.525381
2015-03-30,25.5,25.530001,25.452999,25.483999,900,24.910514
2015-03-31,25.483999,25.483999,25.483999,25.483999,0,24.910514
2015-04-01,25.139999,25.139999,25.139999,25.139999,6100,24.574256
2015-04-02,25.4,25.4,25.360001,25.379999,6500,24.808854
2015-04-06,25.379999,25.379999,25.379999,25.379999,0,24.808854
2015-04-07,25.58,25.58,25.450001,25.549999,5200,24.975029
2015-04-08,25.459999,25.459999,25.32,25.43,24600,24.85773
2015-04-09,25.440001,25.440001,25.42,25.42,1000,24.847955
2015-04-10,25.58,25.58,25.52,25.540001,6100,24.965256
