"Index","open","high","low","close","volume","adjusted"
2009-11-03,24.049999,24.77,21.700001,24.59,54900,22.431248
2009-11-04,24.85,24.950001,24.33,24.379999,116800,22.239683
2009-11-05,24.67,25.049999,24.57,25.02,35700,22.823499
2009-11-06,24.799999,25.23,24.73,25.049999,87100,22.850864
2009-11-09,25.65,25.65,25.299999,25.620001,95200,23.370825
2009-11-10,25.620001,25.719999,25.280001,25.48,146200,23.243115
2009-11-11,25.719999,25.940001,25.549999,25.709999,82500,23.452923
2009-11-12,25.780001,25.879999,25.23,25.27,70500,23.051551
2009-11-13,25.43,25.59,25.09,25.48,104600,23.243115
2009-11-16,25.690001,26.25,25.690001,26.110001,83100,23.817808
2009-11-17,26.02,26.16,25.870001,26.09,93400,23.799563
2009-11-18,26.16,26.16,25.809999,26.030001,135200,23.744831
2009-11-19,25.809999,25.809999,25.24,25.440001,104300,23.206627
2009-11-20,25.23,25.41,25.139999,25.299999,84500,23.078917
2009-11-23,25.68,25.98,25.559999,25.629999,147300,23.379946
2009-11-24,25.709999,25.719999,25.25,25.52,79400,23.279604
2009-11-25,25.68,25.700001,25.540001,25.57,92900,23.325214
2009-11-27,24.67,25.299999,24.58,25.030001,129400,22.832621
2009-11-30,24.940001,25.110001,24.67,25.110001,137700,22.905598
2009-12-01,25.389999,25.58,25.299999,25.49,158100,23.252237
2009-12-02,25.52,25.93,25.52,25.75,68400,23.489412
2009-12-03,25.91,26.01,25.459999,25.48,56800,23.243115
2009-12-04,26.02,26.200001,25.549999,26.030001,214000,23.744831
2009-12-07,26.040001,26.17,25.91,26.040001,89800,23.753954
2009-12-08,25.879999,26.01,25.6,25.83,185100,23.562389
2009-12-09,25.9,25.9,25.559999,25.790001,165800,23.525901
2009-12-10,26,26,25.629999,25.77,109400,23.507656
2009-12-11,25.940001,26.02,25.73,25.98,43700,23.69922
2009-12-14,26.25,26.41,25.950001,26.4,1e+05,24.082348
2009-12-15,26.370001,26.549999,26.27,26.33,53400,24.018494
2009-12-16,26.549999,26.620001,26.389999,26.549999,110100,24.219179
2009-12-17,26.41,26.43,26.110001,26.24,128200,23.936395
2009-12-18,26.49,26.49,26.129999,26.459999,106800,24.13708
2009-12-21,26.67,26.85,26.639999,26.83,111200,24.474599
2009-12-22,26.889999,27.139999,26.82,27.139999,155300,24.757383
2009-12-23,27.25,27.35,27.049999,27.32,155500,24.976799
2009-12-24,27.450001,27.459999,27.379999,27.450001,123000,25.09565
2009-12-28,27.58,27.58,27.309999,27.4,143000,25.049937
2009-12-29,27.469999,27.5,27.360001,27.379999,188400,25.031652
2009-12-30,27.299999,27.43,27.16,27.35,201900,25.004226
2009-12-31,27.4,27.459999,26.959999,26.959999,175900,24.647675
2010-01-04,27.41,27.629999,27.32,27.58,193300,25.214499
2010-01-05,27.629999,27.74,27.49,27.66,191100,25.287638
2010-01-06,27.690001,27.799999,27.65,27.700001,124400,25.324208
2010-01-07,27.75,27.92,27.5,27.91,141700,25.516195
2010-01-08,27.83,28.049999,27.75,28.049999,119700,25.644187
2010-01-11,28.209999,28.23,27.9,28,220100,25.598476
2010-01-12,27.809999,27.870001,27.51,27.620001,199700,25.251069
2010-01-13,27.73,28,27.450001,27.959999,114100,25.561906
2010-01-14,27.9,28.110001,27.84,28.059999,95000,25.65333
2010-01-15,28.07,28.1,27.540001,27.690001,162100,25.315065
2010-01-19,27.799999,28.110001,27.77,28.1,244500,25.6899
2010-01-20,27.950001,27.950001,27.5,27.84,248200,25.4522
2010-01-21,27.870001,28.01,27.26,27.34,124100,24.995084
2010-01-22,27.33,27.389999,26.690001,26.77,123800,24.473972
2010-01-25,26.969999,26.99,26.66,26.83,112100,24.528826
2010-01-26,26.77,27,26.59,26.67,128700,24.382549
2010-01-27,26.58,26.889999,26.4,26.860001,85600,24.556253
2010-01-28,26.950001,26.950001,26.219999,26.43,114100,24.163134
2010-01-29,26.59,26.83,26.09,26.200001,73800,23.952861
2010-02-01,26.280001,26.530001,26.24,26.52,149200,24.245415
2010-02-02,26.6,26.91,26.49,26.879999,93200,24.574537
2010-02-03,26.790001,26.9,26.51,26.68,75400,24.391691
2010-02-04,26.51,26.51,25.719999,25.75,122300,23.541456
2010-02-05,25.82,25.82,25.25,25.82,253200,23.605452
2010-02-08,25.75,26.01,25.559999,25.559999,169000,23.367752
2010-02-09,25.93,26.07,25.65,25.940001,143900,23.71516
2010-02-10,25.9,26.049999,25.629999,25.940001,87000,23.71516
2010-02-11,25.959999,26.4,25.75,26.389999,70200,24.126563
2010-02-12,26.17,26.559999,26.07,26.549999,107900,24.27284
2010-02-16,26.889999,27.07,26.66,27.059999,76100,24.739098
2010-02-17,27.190001,27.32,27.08,27.24,84700,24.90366
2010-02-18,27.26,27.459999,27.200001,27.450001,119700,25.09565
2010-02-19,27.370001,27.639999,27.33,27.52,90800,25.159646
2010-02-22,27.66,27.68,27.52,27.549999,139200,25.187072
2010-02-23,27.57,27.57,27.15,27.17,112400,24.839665
2010-02-24,27.309999,27.52,27.25,27.459999,107900,25.104791
2010-02-25,27.09,27.459999,27,27.450001,162100,25.09565
2010-02-26,27.49,27.5,27.209999,27.41,61200,25.05908
2010-03-01,27.639999,27.969999,27.59,27.950001,207800,25.552766
2010-03-02,28.09,28.299999,28.040001,28.209999,479000,25.790464
2010-03-03,28.299999,28.49,28.18,28.26,206000,25.836177
2010-03-04,28.370001,28.42,28.24,28.379999,159600,25.945884
2010-03-05,28.59,28.940001,28.540001,28.9,183500,26.421284
2010-03-08,28.940001,29.059999,28.9,29,309100,26.512708
2010-03-09,28.92,29.290001,28.9,29.09,328000,26.594989
2010-03-10,29.120001,29.459999,29.110001,29.33,423300,26.814404
2010-03-11,29.23,29.459999,29.07,29.459999,257500,26.933253
2010-03-12,29.6,29.6,29.280001,29.459999,215000,26.933253
2010-03-15,29.43,29.459999,29.129999,29.379999,215300,26.860115
2010-03-16,29.450001,29.65,29.34,29.629999,95800,27.088673
2010-03-17,29.73,30.01,29.700001,29.870001,211400,27.30809
2010-03-18,29.889999,29.959999,29.709999,29.77,158900,27.216666
2010-03-19,29.4,29.860001,29.33,29.4,206000,26.8784
2010-03-22,29.07,29.74,29.049999,29.690001,235600,27.20831
2010-03-23,29.76,30.049999,29.610001,30.030001,120100,27.51989
2010-03-24,29.940001,29.98,29.719999,29.719999,156900,27.235801
2010-03-25,30.030001,30.129999,29.51,29.530001,323100,27.061684
2010-03-26,29.73,29.82,29.4,29.540001,198800,27.070848
2010-03-29,29.700001,29.75,29.549999,29.68,123600,27.199145
2010-03-30,29.83,29.889999,29.549999,29.709999,96600,27.226637
2010-03-31,29.709999,29.92,29.549999,29.559999,76100,27.089175
2010-04-01,29.85,29.92,29.57,29.809999,129000,27.318278
2010-04-05,30,30.379999,29.870001,30.379999,306200,27.840634
2010-04-06,30.370001,30.65,30.23,30.58,313600,28.023917
2010-04-07,30.620001,30.629999,30.25,30.459999,254300,27.913947
2010-04-08,30.370001,30.540001,30.110001,30.43,142400,27.886455
2010-04-09,30.51,30.66,30.309999,30.639999,169700,28.078901
2010-04-12,30.700001,30.85,30.65,30.799999,200800,28.225527
2010-04-13,30.780001,30.889999,30.559999,30.860001,173100,28.280513
2010-04-14,31.110001,31.5,31.030001,31.48,313600,28.848689
2010-04-15,31.57,31.68,31.459999,31.610001,397500,28.967823
2010-04-16,31.559999,31.59,30.9,31.17,545900,28.564601
2010-04-19,31.040001,31.26,30.549999,30.99,395100,28.399646
2010-04-20,31.190001,31.450001,31.059999,31.450001,210900,28.821197
2010-04-21,31.57,31.700001,31.4,31.67,174500,29.022808
2010-04-22,31.43,32.060001,31.200001,32.029999,280700,29.352715
2010-04-23,32.139999,32.369999,31.93,32.360001,239600,29.655133
2010-04-26,32.59,32.59,32.220001,32.240002,366300,29.545165
2010-04-27,32.139999,32.330002,31.4,31.459999,602800,28.83036
2010-04-28,31.66,31.700001,31.309999,31.49,282000,28.857853
2010-04-29,31.75,32.139999,31.58,32.119999,205500,29.435193
2010-04-30,32.200001,32.23,31.25,31.26,197800,28.647078
2010-05-03,31.700001,31.92,31.450001,31.92,150100,29.251911
2010-05-04,31.48,31.5,30.790001,30.950001,585500,28.362991
