"Index","open","high","low","close","volume","adjusted"
2009-11-03,25,25.01,24.24,24.57,504300,21.737003
2009-11-04,27,27,24.5,24.6,162400,21.763544
2009-11-05,24.92,25.09,24.73,25.08,112400,22.188198
2009-11-06,25.1,25.200001,24.92,25.15,165600,22.250127
2009-11-09,25.59,25.719999,25.33,25.719999,105900,22.754404
2009-11-10,25.66,25.790001,25.559999,25.66,107200,22.701322
2009-11-11,25.889999,26,25.719999,25.84,261700,22.860568
2009-11-12,25.83,25.91,25.48,25.530001,116600,22.586312
2009-11-13,25.639999,25.780001,25.5,25.68,584900,22.719017
2009-11-16,25.92,26.190001,25.85,26.059999,178000,23.055201
2009-11-17,26.049999,26.120001,25.91,26.110001,136600,23.099437
2009-11-18,26.15,26.15,25.950001,26.09,97200,23.081742
2009-11-19,25.93,25.93,25.549999,25.719999,127600,22.754404
2009-11-20,25.6,25.68,25.52,25.620001,92400,22.665935
2009-11-23,25.950001,26.120001,25.9,25.940001,102000,22.949038
2009-11-24,25.99,25.99,25.76,25.940001,112200,22.949038
2009-11-25,26.02,26.07,25.959999,26.049999,163400,23.046354
2009-11-27,25.42,25.799999,25.280001,25.620001,153700,22.665935
2009-11-30,25.610001,25.73,25.49,25.719999,158500,22.754404
2009-12-01,25.98,26.1,25.91,26.02,120900,23.019814
2009-12-02,26.040001,26.209999,25.98,26.08,86200,23.072895
2009-12-03,26.15,26.27,25.84,25.84,233600,22.860568
2009-12-04,26.27,26.32,25.77,26.040001,279900,23.037508
2009-12-07,26.110001,26.15,25.940001,25.99,216500,22.993272
2009-12-08,25.799999,25.870001,25.639999,25.73,271400,22.763251
2009-12-09,25.700001,25.84,25.58,25.809999,681300,22.834027
2009-12-10,26,26.040001,25.879999,25.92,164400,22.931344
2009-12-11,26.049999,26.08,25.940001,26.040001,165300,23.037508
2009-12-14,26.299999,26.299999,26.139999,26.290001,222800,23.258682
2009-12-15,26.24,26.280001,26.120001,26.139999,163200,23.125976
2009-12-16,26.299999,26.35,26.18,26.24,167000,23.214446
2009-12-17,26.09,26.09,25.9,25.940001,157500,22.949038
2009-12-18,26.09,26.09,25.85,26.08,158400,23.072895
2009-12-21,26.27,26.42,26.219999,26.370001,190600,23.329458
2009-12-22,26.48,26.51,26.389999,26.459999,246500,23.409079
2009-12-23,26.549999,26.549999,26.379999,26.530001,183200,23.524353
2009-12-24,26.559999,26.639999,26.530001,26.629999,86500,23.613023
2009-12-28,26.709999,26.75,26.559999,26.65,184700,23.630757
2009-12-29,26.73,26.73,26.620001,26.639999,119400,23.62189
2009-12-30,26.549999,26.629999,26.51,26.629999,126100,23.613023
2009-12-31,26.709999,26.709999,26.360001,26.360001,220300,23.373613
2010-01-04,26.65,26.83,26.6,26.799999,270300,23.763763
2010-01-05,26.860001,26.889999,26.74,26.889999,225800,23.843567
2010-01-06,26.91,26.950001,26.85,26.91,169200,23.861301
2010-01-07,26.889999,27.030001,26.76,27,166200,23.941105
2010-01-08,26.959999,27.110001,26.870001,27.08,106400,24.012042
2010-01-11,27.25,27.26,27.049999,27.15,215500,24.074111
2010-01-12,26.969999,27,26.77,26.85,171100,23.8081
2010-01-13,26.950001,27.15,26.809999,27.110001,201200,24.038644
2010-01-14,27.08,27.200001,27.059999,27.17,124600,24.091846
2010-01-15,27.16,27.16,26.75,26.879999,255200,23.8347
2010-01-19,26.9,27.209999,26.889999,27.209999,285600,24.127313
2010-01-20,27.02,27.02,26.700001,26.950001,203900,23.896771
2010-01-21,27,27.049999,26.450001,26.469999,313900,23.47115
2010-01-22,26.389999,26.43,25.85,25.870001,350500,22.939126
2010-01-25,26.129999,26.139999,25.92,25.99,279400,23.04553
2010-01-26,25.91,26.139999,25.85,25.879999,121500,22.947992
2010-01-27,25.879999,26.049999,25.65,26.02,459200,23.072132
2010-01-28,26.120001,26.120001,25.540001,25.719999,161800,22.806119
2010-01-29,25.799999,26,25.4,25.469999,287800,22.584442
2010-02-01,25.610001,25.82,25.59,25.82,157800,22.89479
