"Index","open","high","low","close","volume","adjusted"
2011-10-20,25,25.049999,24.719999,24.98,98900,21.753221
2011-10-21,25.33,25.469999,25.24,25.469999,188800,22.179926
2011-10-24,25.99,25.99,25.48,25.610001,296600,22.301842
2011-10-25,25.52,25.52,25.18,25.190001,94400,21.936096
2011-10-26,25.559999,25.559999,25.110001,25.450001,45000,22.16251
2011-10-27,26.040001,26.16,25.799999,26.030001,272700,22.667589
2011-10-28,26.059999,26.059999,25.9,26.01,93500,22.650172
2011-10-31,25.780001,25.83,25.5,25.5,243800,22.206051
2011-11-01,25.200001,25.200001,24.870001,24.92,284300,21.700972
2011-11-02,25.360001,25.52,25.08,25.25,323600,21.988345
2011-11-03,25.65,25.690001,25.25,25.65,533200,22.336674
2011-11-04,25.540001,25.549999,25.26,25.540001,109000,22.240885
2011-11-07,25.58,25.719999,25.33,25.690001,224000,22.371508
2011-11-08,25.870001,26.030001,25.639999,26.01,465200,22.650172
2011-11-09,25.59,25.610001,25.15,25.23,665500,21.970928
2011-11-10,25.559999,25.59,25.27,25.48,183100,22.188634
2011-11-11,25.77,26,25.77,25.950001,132500,22.597923
2011-11-14,25.92,25.92,25.690001,25.77,222700,22.441174
2011-11-15,25.73,25.99,25.68,25.870001,145100,22.528257
2011-11-16,25.709999,25.93,25.48,25.49,103400,22.197343
2011-11-17,25.530001,25.559999,25.049999,25.18,257300,21.927387
2011-11-18,25.370001,25.370001,25.18,25.280001,197200,22.01447
2011-11-21,25.1,25.1,24.620001,24.809999,293900,21.605181
2011-11-22,24.799999,24.879999,24.629999,24.719999,150400,21.526806
2011-11-23,24.58,24.58,24.290001,24.290001,154900,21.152353
2011-11-25,24.27,24.469999,24.25,24.25,53100,21.117519
2011-11-28,24.809999,24.92,24.690001,24.82,144000,21.613889
2011-11-29,24.98,25.110001,24.879999,24.99,109100,21.76193
2011-11-30,25.629999,25.92,25.57,25.92,189400,22.571798
2011-12-01,26.02,26.02,25.82,25.879999,101700,22.536964
2011-12-02,26.6,26.6,25.799999,25.82,294400,22.484715
2011-12-05,26.17,26.26,25.870001,26.01,227500,22.650172
2011-12-06,26.129999,26.219999,25.940001,26.09,140900,22.719838
2011-12-07,26.08,26.290001,25.9,26.18,199600,22.798213
2011-12-08,26.110001,26.120001,25.700001,25.75,213100,22.423757
2011-12-09,25.879999,26.15,25.84,26.1,121900,22.728547
2011-12-12,25.969999,25.969999,25.559999,25.76,145900,22.432466
2011-12-13,25.889999,25.969999,25.5,25.58,125100,22.275717
2011-12-14,25.58,25.59,25.309999,25.379999,127400,22.101551
2011-12-15,25.620001,25.75,25.459999,25.49,217700,22.197343
2011-12-16,25.73,26.290001,25.25,25.5,107100,22.206051
2011-12-19,25.700001,25.75,25.129999,25.200001,117200,22.0503
2011-12-20,25.610001,25.860001,25.5,25.83,196300,22.601556
2011-12-21,25.879999,25.950001,25.700001,25.93,120900,22.689058
2011-12-22,26.049999,26.059999,25.940001,26.049999,247600,22.794058
2011-12-23,26.129999,26.280001,26.049999,26.280001,198600,22.995312
2011-12-27,26.290001,26.440001,26.27,26.360001,321300,23.065313
2011-12-28,26.389999,26.389999,26.040001,26.08,219900,22.820309
2011-12-29,26.15,26.34,26.15,26.33,109600,23.039062
2011-12-30,26.33,26.33,26.18,26.18,155000,22.907811
2012-01-03,26.57,26.610001,26.42,26.42,250400,23.117813
2012-01-04,26.379999,26.48,26.26,26.42,168400,23.117813
2012-01-05,26.35,26.42,26.139999,26.4,180900,23.100313
2012-01-06,26.42,26.42,26.219999,26.280001,153300,22.995312
2012-01-09,26.32,26.370001,26.209999,26.34,240100,23.047813
2012-01-10,26.58,26.58,26.49,26.52,139100,23.205315
2012-01-11,26.43,26.440001,26.33,26.42,270900,23.117813
2012-01-12,26.42,26.469999,26.280001,26.440001,137300,23.135314
2012-01-13,26.299999,26.34,26.15,26.299999,212200,23.012811
2012-01-17,26.51,26.6,26.43,26.450001,203600,23.144064
2012-01-18,26.469999,26.700001,26.450001,26.68,178400,23.345317
2012-01-19,26.790001,26.790001,26.629999,26.790001,530600,23.441569
2012-01-20,26.83,26.85,26.73,26.84,881900,23.485318
2012-01-23,26.879999,26.92,26.74,26.84,345800,23.485318
2012-01-24,26.73,26.82,26.68,26.809999,381900,23.459068
2012-01-25,26.719999,26.99,26.6,26.969999,297500,23.599069
2012-01-26,27.09,27.1,26.82,26.870001,261600,23.511569
2012-01-27,26.77,26.82,26.67,26.75,282200,23.406567
2012-01-30,26.57,26.66,26.459999,26.66,328900,23.327816
2012-01-31,26.799999,26.799999,26.5,26.610001,251300,23.284066
2012-02-01,26.77,26.9,26.76,26.780001,286700,23.432818
2012-02-02,26.860001,26.860001,26.74,26.790001,316200,23.441569
2012-02-03,27.040001,27.1,26.98,27.07,161000,23.686571
2012-02-06,26.99,27.059999,26.940001,27.049999,257900,23.66907
2012-02-07,27.02,27.139999,26.889999,27.1,273700,23.712822
2012-02-08,27.120001,27.139999,26.99,27.1,191700,23.712822
2012-02-09,27.18,27.18,26.98,27.09,167600,23.704071
2012-02-10,26.92,26.940001,26.83,26.940001,228300,23.57282
2012-02-13,27.110001,27.110001,26.950001,27.059999,193900,23.677821
2012-02-14,27.030001,27.059999,26.889999,27.059999,120800,23.677821
2012-02-15,27.16,27.16,26.879999,26.92,148800,23.555319
2012-02-16,27.030001,27.17,26.969999,27.139999,140300,23.747821
2012-02-17,27.299999,27.33,27.209999,27.309999,170700,23.896573
2012-02-21,27.4,27.43,27.18,27.23,320200,23.826573
2012-02-22,27.23,27.27,27.129999,27.190001,123100,23.791573
2012-02-23,27.200001,27.32,27.120001,27.299999,235600,23.887823
2012-02-24,27.379999,27.41,27.33,27.370001,93500,23.949075
2012-02-27,27.27,27.469999,27.200001,27.379999,146200,23.957824
2012-02-28,27.42,27.49,27.360001,27.469999,104900,24.036575
2012-02-29,27.549999,27.549999,27.34,27.370001,115900,23.949075
2012-03-01,27.450001,27.530001,27.34,27.440001,140000,24.010326
2012-03-02,27.440001,27.440001,27.299999,27.379999,117500,23.957824
2012-03-05,27.360001,27.370001,27.23,27.35,328400,23.931575
2012-03-06,27.129999,27.129999,26.969999,27.030001,303400,23.651571
2012-03-07,27.09,27.190001,27.030001,27.17,122900,23.774072
2012-03-08,27.299999,27.379999,27.24,27.34,112800,23.922824
2012-03-09,27.389999,27.469999,27.34,27.4,111400,23.975325
2012-03-12,27.42,27.540001,27.4,27.52,182700,24.080327
2012-03-13,27.639999,27.84,27.59,27.84,147700,24.36033
2012-03-14,27.83,27.879999,27.73,27.780001,130400,24.30783
