"Index","open","high","low","close","volume","adjusted"
2010-01-04,26.25,26.48,26.25,26.450001,60100,24.6101
2010-01-05,26.5,26.559999,26.370001,26.52,46500,24.67523
2010-01-06,26.52,26.6,26.49,26.5,36200,24.656621
2010-01-07,26.51,26.59,26.379999,26.58,64300,24.731056
2010-01-08,26.559999,26.76,26.48,26.75,59400,24.88923
2010-01-11,26.870001,26.870001,26.6,26.76,88200,24.898535
2010-01-12,26.58,26.58,26.299999,26.379999,98700,24.544967
2010-01-13,26.450001,26.68,26.280001,26.65,36000,24.796186
2010-01-14,26.6,26.719999,26.57,26.709999,67000,24.852012
2010-01-15,26.73,26.73,26.34,26.43,87900,24.59149
2010-01-19,26.5,26.76,26.43,26.76,122700,24.898535
2010-01-20,26.610001,26.610001,26.23,26.440001,99500,24.600795
2010-01-21,26.5,26.58,26,26.059999,91200,24.247227
2010-01-22,25.969999,25.969999,25.360001,25.41,115900,23.642443
2010-01-25,25.6,25.68,25.440001,25.51,68900,23.735487
2010-01-26,25.41,25.719999,25.309999,25.459999,81500,23.688964
2010-01-27,25.469999,25.59,25.219999,25.57,27200,23.791313
2010-01-28,25.57,25.58,25,25.17,42400,23.419138
2010-01-29,25.290001,25.389999,24.799999,24.870001,40600,23.140007
2010-02-01,24.969999,25.18,24.959999,25.18,29800,23.428442
2010-02-02,25.290001,25.51,25.219999,25.51,306100,23.735487
2010-02-03,25.41,25.51,25.360001,25.43,37400,23.661052
2010-02-04,25.23,25.23,24.57,24.610001,62100,22.898093
2010-02-05,24.68,24.719999,24.200001,24.719999,138600,23.00044
2010-02-08,24.74,24.889999,24.6,24.6,56000,22.888788
2010-02-09,24.879999,25.08,24.690001,24.879999,60900,23.14931
2010-02-10,24.9,24.950001,24.629999,24.809999,34700,23.084179
2010-02-11,24.83,25.209999,24.68,25.190001,86600,23.437747
2010-02-12,24.98,25.17,24.860001,25.17,26100,23.419138
2010-02-16,25.4,25.57,25.280001,25.530001,26500,23.754096
2010-02-17,25.690001,25.719999,25.58,25.719999,37400,23.930878
2010-02-18,25.690001,25.91,25.690001,25.870001,134900,24.070445
2010-02-19,25.799999,26,25.76,25.950001,23000,24.14488
2010-02-22,26.07,26.08,25.83,25.860001,48900,24.061141
2010-02-23,25.809999,25.83,25.48,25.549999,50300,23.772703
2010-02-24,25.639999,25.780001,25.610001,25.75,39000,23.958792
2010-02-25,25.459999,25.780001,25.35,25.780001,55800,23.986706
2010-02-26,25.82,25.879999,25.690001,25.85,34300,24.051836
2010-03-01,25.950001,26.200001,25.950001,26.200001,33500,24.37749
2010-03-02,26.299999,26.389999,26.209999,26.26,60100,24.433316
2010-03-03,26.34,26.440001,26.26,26.34,30000,24.507751
2010-03-04,26.379999,26.41,26.26,26.35,32400,24.517055
2010-03-05,26.530001,26.74,26.5,26.700001,48300,24.842709
2010-03-08,26.74,26.77,26.68,26.74,42900,24.879926
2010-03-09,26.65,26.9,26.65,26.77,52100,24.90784
2010-03-10,26.77,26.93,26.74,26.879999,23400,25.010187
2010-03-11,26.85,26.959999,26.75,26.959999,35800,25.084622
2010-03-12,27.09,27.09,26.879999,27.01,45200,25.131145
2010-03-15,26.99,26.99,26.74,26.93,32200,25.05671
2010-03-16,27.030001,27.17,26.940001,27.17,40200,25.280015
2010-03-17,27.24,27.389999,27.209999,27.280001,59900,25.382363
2010-03-18,27.299999,27.32,27.18,27.25,44000,25.35445
2010-03-19,27.07,27.34,27,27.07,60400,25.18697
