"Index","open","high","low","close","volume","adjusted"
2011-01-13,25.219999,25.219999,25.110001,25.15,12100,23.138032
2011-01-14,25.15,25.299999,25.139999,25.290001,33100,23.266833
2011-01-18,25.309999,25.459999,25.280001,25.459999,28400,23.423231
2011-01-19,25.51,25.51,25.059999,25.07,56000,23.064432
2011-01-20,25.02,25.02,24.809999,24.889999,16100,22.898831
2011-01-21,25.09,25.09,24.870001,24.870001,17200,22.880432
2011-01-24,24.91,25.129999,24.9,25.1,39900,23.092032
2011-01-25,25.01,25.09,24.91,25.09,35900,23.082832
2011-01-26,25.25,25.41,25.200001,25.379999,40700,23.349631
2011-01-27,25.360001,25.549999,25.360001,25.5,26800,23.460032
2011-01-28,25.559999,25.59,25.030001,25.049999,111800,23.046031
2011-01-31,25.219999,25.700001,25.15,25.25,56700,23.230032
2011-02-01,25.48,25.67,25.450001,25.66,140100,23.607232
2011-02-02,25.59,25.709999,25.57,25.58,448200,23.533632
2011-02-03,25.6,25.709999,25.42,25.68,32700,23.625633
2011-02-04,25.74,25.82,25.66,25.82,39800,23.754432
2011-02-07,25.950001,26.120001,25.92,26.040001,100700,23.956834
2011-02-08,26.09,26.15,25.98,26.139999,100800,24.048833
2011-02-09,26.129999,26.15,26,26.049999,55400,23.966032
2011-02-10,25.969999,26.190001,25.93,26.17,61500,24.076433
2011-02-11,26.139999,26.469999,26.139999,26.450001,77900,24.334034
2011-02-14,26.52,26.58,26.459999,26.57,105100,24.444433
2011-02-15,26.52,26.540001,26.42,26.440001,84400,24.324834
2011-02-16,26.57,26.700001,26.57,26.66,51900,24.527234
2011-02-17,26.67,26.84,26.629999,26.799999,68900,24.656033
2011-02-18,26.889999,26.889999,26.719999,26.790001,53400,24.646835
2011-02-22,26.57,26.6,26.09,26.129999,77900,24.039632
2011-02-23,26.15,26.190001,25.52,25.780001,58200,23.717633
2011-02-24,25.75,25.950001,25.5,25.790001,75000,23.726834
2011-02-25,25.969999,26.280001,25.959999,26.280001,69400,24.177634
2011-02-28,26.49,26.49,26.209999,26.35,44700,24.242034
2011-03-01,26.5,26.5,25.870001,25.93,38000,23.855633
2011-03-02,25.91,26.17,25.91,26.07,20600,23.984433
2011-03-03,26.370001,26.6,26.370001,26.57,73600,24.444433
2011-03-04,26.620001,26.620001,26.27,26.43,49800,24.315634
2011-03-07,26.65,26.65,25.98,26.120001,42900,24.030434
2011-03-08,26.219999,26.469999,26.030001,26.379999,24000,24.269633
2011-03-09,26.370001,26.370001,26.200001,26.299999,22100,24.196033
2011-03-10,26.030001,26.030001,25.75,25.84,97900,23.772833
2011-03-11,25.6,26.110001,25.6,26.040001,82400,23.956834
2011-03-14,25.91,25.93,25.690001,25.870001,37300,23.800434
2011-03-15,25.32,25.76,25.07,25.690001,72900,23.634833
2011-03-16,25.6,25.75,25.25,25.33,98500,23.303632
2011-03-17,25.73,25.73,25.42,25.5,107200,23.460032
2011-03-18,25.77,25.77,25.59,25.620001,97500,23.570433
2011-03-21,25.940001,26.09,25.889999,26.08,66800,24.047134
2011-03-22,26.1,26.129999,25.9,25.93,36000,23.908826
2011-03-23,25.92,26.01,25.719999,25.959999,37800,23.936487
2011-03-24,26.129999,26.24,25.9,26.209999,44300,24.167
2011-03-25,26.32,26.549999,26.23,26.389999,71100,24.33297
2011-03-28,26.5,26.5,26.26,26.27,223600,24.222324
2011-03-29,26.27,26.49,26.15,26.48,103700,24.415955
2011-03-30,26.59,26.809999,26.59,26.77,82100,24.683351
2011-03-31,26.77,26.91,26.73,26.889999,73400,24.793996
2011-04-01,27.02,27.110001,26.950001,27.02,62300,24.913864
2011-04-04,27.15,27.15,27.030001,27.049999,31600,24.941524
2011-04-05,27.129999,27.34,27.1,27.219999,29900,25.098273
2011-04-06,27.440001,27.440001,27.15,27.24,64500,25.116715
2011-04-07,27.32,27.32,27,27.1,78600,24.987628
2011-04-08,27.27,27.27,26.77,26.9,34300,24.803217
2011-04-11,27,27,26.67,26.719999,25800,24.637247
2011-04-12,26.6,26.639999,26.4,26.469999,62400,24.406734
2011-04-13,26.67,26.700001,26.469999,26.559999,28300,24.489719
2011-04-14,26.41,26.610001,26.370001,26.6,28200,24.526602
2011-04-15,26.67,26.83,26.58,26.799999,27300,24.711011
2011-04-18,26.540001,26.540001,26.24,26.42,108100,24.360632
2011-04-19,26.52,26.559999,26.379999,26.559999,50100,24.489719
2011-04-20,27.030001,27.030001,26.9,26.969999,55100,24.86776
2011-04-21,27.17,27.190001,27.030001,27.190001,55100,25.070613
2011-04-25,27.15,27.25,27.08,27.200001,59500,25.079834
2011-04-26,27.25,27.48,27.25,27.43,147000,25.291905
2011-04-27,27.5,27.620001,27.34,27.610001,83300,25.457875
2011-04-28,27.59,27.719999,27.58,27.65,86300,25.494756
2011-04-29,27.719999,27.77,27.610001,27.74,48000,25.577741
2011-05-02,27.889999,27.889999,27.57,27.629999,67000,25.476315
2011-05-03,27.6,27.6,27.23,27.34,61000,25.20892
2011-05-04,27.35,27.35,27,27.120001,75000,25.006069
2011-05-05,26.959999,27.280001,26.870001,27.049999,45700,24.941524
2011-05-06,27.360001,27.459999,27.049999,27.139999,71900,25.024509
2011-05-09,27.17,27.43,27.16,27.41,50000,25.273464
2011-05-10,27.469999,27.76,27.459999,27.700001,58000,25.54086
2011-05-11,27.690001,27.690001,27.27,27.41,79200,25.273464
2011-05-12,27.280001,27.58,27.16,27.540001,21000,25.393332
2011-05-13,27.559999,27.559999,27.24,27.25,21700,25.125936
2011-05-16,27.15,27.33,27,27.040001,83000,24.932305
2011-05-17,26.879999,26.969999,26.709999,26.85,35800,24.757115
