"Index","open","high","low","close","volume","adjusted"
2009-12-15,25.43,25.43,25.24,25.290001,24900,21.359023
2009-12-16,25.41,25.440001,25.280001,25.309999,91500,21.375913
2009-12-17,25.219999,25.219999,25.02,25.030001,36800,21.139437
2009-12-18,25.219999,25.219999,24.969999,25.09,34300,21.19011
2009-12-21,25.280001,25.42,25.280001,25.290001,36800,21.359023
2009-12-22,25.43,25.43,25.370001,25.4,57500,21.451924
2009-12-23,25.459999,25.459999,25.280001,25.34,33000,21.435006
2009-12-24,25.4,25.469999,25.389999,25.469999,20300,21.544972
2009-12-28,25.540001,25.540001,25.42,25.450001,31500,21.528056
2009-12-29,25.549999,25.559999,25.5,25.5,48200,21.57035
2009-12-30,25.370001,25.440001,25.35,25.43,28700,21.511137
2009-12-31,25.52,25.52,25.209999,25.209999,33000,21.325039
2010-01-04,25.43,25.65,25.43,25.59,33700,21.64648
2010-01-05,25.709999,25.709999,25.549999,25.700001,23000,21.73953
2010-01-06,25.700001,25.809999,25.67,25.780001,27600,21.807201
2010-01-07,25.75,25.950001,25.700001,25.92,49600,21.925626
2010-01-08,25.860001,25.91,25.799999,25.9,46100,21.908708
2010-01-11,26.049999,26.049999,25.93,26.030001,40100,22.018675
2010-01-12,25.959999,25.959999,25.76,25.860001,49300,21.874873
2010-01-13,25.91,26.07,25.809999,26.040001,31900,22.027134
2010-01-14,26.01,26.129999,26,26.08,55100,22.060969
2010-01-15,26.049999,26.049999,25.73,25.799999,66700,21.824118
2010-01-19,25.82,26.15,25.790001,26.15,94000,22.120182
2010-01-20,26.030001,26.030001,25.719999,25.92,64600,21.925626
2010-01-21,25.93,25.959999,25.370001,25.379999,62500,21.468841
2010-01-22,25.309999,25.360001,24.83,24.870001,47900,21.037436
2010-01-25,25.15,25.15,24.92,24.98,55100,21.130483
2010-01-26,24.9,25.120001,24.809999,24.879999,29500,21.045893
2010-01-27,24.85,25.030001,24.719999,24.99,21000,21.138942
2010-01-28,25.129999,25.129999,24.629999,24.84,35800,21.012058
2010-01-29,24.879999,25.040001,24.6,24.67,28300,20.868256
2010-02-01,24.799999,24.92,24.77,24.92,25500,21.07973
2010-02-02,24.959999,25.299999,24.959999,25.299999,50900,21.40117
2010-02-03,25.219999,25.280001,25.040001,25.139999,45100,21.265827
2010-02-04,24.969999,24.969999,24.370001,24.379999,52100,20.622945
2010-02-05,24.33,24.440001,23.9,24.370001,60600,20.614488
2010-02-08,24.389999,24.450001,24.15,24.15,42900,20.42839
2010-02-09,24.389999,24.59,24.26,24.4,27900,20.639864
2010-02-10,24.4,24.530001,24.219999,24.379999,36400,20.622945
2010-02-11,24.379999,24.6,24.280001,24.6,30800,20.809044
2010-02-12,24.370001,24.540001,24.25,24.5,26700,20.724454
2010-02-16,24.82,24.99,24.709999,24.98,34300,21.130483
2010-02-17,25.110001,25.110001,25,25.07,17600,21.206614
2010-02-18,25.030001,25.25,25.02,25.23,23000,21.341957
2010-02-19,25.16,25.370001,25.16,25.309999,14000,21.409629
2010-02-22,25.41,25.41,25.23,25.299999,34200,21.40117
2010-02-23,25.219999,25.280001,25,25.02,37700,21.16432
2010-02-24,25.120001,25.27,25.030001,25.27,12000,21.375794
2010-02-25,24.93,25.18,24.85,25.18,9900,21.299663
2010-02-26,25.24,25.26,25.16,25.26,13800,21.367335
2010-03-01,25.33,25.4,25.299999,25.360001,29700,21.451925
2010-03-02,25.5,25.57,25.450001,25.450001,30500,21.528056
2010-03-03,25.559999,25.620001,25.42,25.469999,18100,21.544972
2010-03-04,25.530001,25.57,25.450001,25.57,35700,21.629562
2010-03-05,25.709999,25.9,25.690001,25.9,20100,21.908708
2010-03-08,25.940001,25.969999,25.889999,25.92,27300,21.925626
2010-03-09,25.860001,26.07,25.85,25.98,18000,21.976379
2010-03-10,26.040001,26.139999,26,26.110001,34200,22.086347
2010-03-11,26.059999,26.23,26,26.23,23600,22.187853
2010-03-12,26.360001,26.360001,26.16,26.219999,25600,22.179394
2010-03-15,26.209999,26.24,26.07,26.24,31300,22.196313
2010-03-16,26.34,26.5,26.280001,26.5,14800,22.416246
2010-03-17,26.59,26.719999,26.559999,26.66,34900,22.551589
2010-03-18,26.690001,26.709999,26.540001,26.629999,22100,22.526212
2010-03-19,26.51,26.75,26.4,26.51,40400,22.424705
2010-03-22,26.26,26.540001,26.190001,26.48,37500,22.518247
2010-03-23,26.57,26.73,26.5,26.73,49200,22.730844
2010-03-24,26.66,26.73,26.58,26.629999,40500,22.645804
2010-03-25,26.83,26.870001,26.57,26.57,34800,22.594782
2010-03-26,26.57,26.75,26.5,26.58,37700,22.603286
2010-03-29,26.709999,26.73,26.610001,26.709999,32600,22.713835
2010-03-30,26.799999,26.799999,26.59,26.639999,32300,22.654309
2010-03-31,26.629999,26.709999,26.5,26.610001,35400,22.628798
2010-04-01,26.84,26.860001,26.690001,26.809999,32000,22.798874
2010-04-05,26.99,27.02,26.85,27,77100,22.960448
2010-04-06,26.959999,27.110001,26.91,27.09,51200,23.036983
2010-04-07,27.08,27.1,26.85,26.889999,56800,22.866905
2010-04-08,26.83,27.059999,26.77,27.040001,20200,22.994465
2010-04-09,27.110001,27.209999,27.030001,27.200001,62100,23.130526
2010-04-12,27.27,27.33,27.24,27.27,50000,23.190053
2010-04-13,27.27,27.34,27.16,27.280001,59900,23.198557
2010-04-14,27.41,27.629999,27.389999,27.629999,58400,23.496191
2010-04-15,27.620001,27.690001,27.549999,27.620001,81200,23.487689
2010-04-16,27.57,27.58,27.049999,27.190001,69700,23.122022
2010-04-19,27.1,27.290001,27,27.290001,59100,23.207061
2010-04-20,27.49,27.549999,27.4,27.530001,73000,23.411154
2010-04-21,27.620001,27.66,27.33,27.49,61400,23.377138
2010-04-22,27.32,27.540001,27.18,27.540001,49800,23.419658
2010-04-23,27.530001,27.690001,27.41,27.690001,44700,23.547216
2010-04-26,27.709999,27.73,27.51,27.549999,39900,23.428161
2010-04-27,27.43,27.5,26.870001,26.870001,63200,22.849899
2010-04-28,27.049999,27.200001,26.91,27.110001,32900,23.053991
2010-04-29,27.26,27.559999,27.26,27.5,66500,23.385642
2010-04-30,27.540001,27.559999,27.129999,27.15,39400,23.088006
2010-05-03,27.26,27.5,27.25,27.42,62100,23.317611
2010-05-04,27.190001,27.190001,26.719999,26.85,82100,22.832891
2010-05-05,26.6,26.91,26.530001,26.709999,80800,22.713835
2010-05-06,26.59,26.68,20.639999,25.83,131300,21.965496
2010-05-07,25.809999,26,25.25,25.469999,95000,21.659356
2010-05-10,26.629999,27.379999,26.27,26.57,81000,22.594782
2010-05-11,26.450001,26.82,26.32,26.540001,55600,22.569271
2010-05-12,26.639999,26.860001,26.6,26.860001,25200,22.841395
2010-05-13,26.82,26.82,26.540001,26.549999,108500,22.577774
2010-05-14,26.360001,26.360001,25.860001,26.040001,37000,22.144078
2010-05-17,26.1,26.129999,25.620001,26,46200,22.110061
2010-05-18,26.280001,26.290001,25.66,25.719999,52200,21.871952
2010-05-19,25.49,25.74,25.290001,25.639999,42500,21.803922
2010-05-20,25.059999,25.139999,24.639999,24.66,164900,20.970543
2010-05-21,24.32,24.98,24.129999,24.969999,68100,21.234162
2010-05-24,25.01,25.01,24.639999,24.639999,41800,20.953535
2010-05-25,24,24.629999,23.92,24.629999,64200,20.945031
2010-05-26,24.83,24.969999,24.48,24.530001,51500,20.859993
2010-05-27,25.02,25.34,24.91,25.34,39600,21.548806
2010-05-28,25.33,25.33,24.969999,25.049999,32100,21.302193
2010-06-01,24.870001,25.120001,24.629999,24.629999,22200,20.945031
2010-06-02,24.76,25.17,24.68,25.17,40500,21.40424
2010-06-03,25.33,25.360001,25.08,25.26,21500,21.480775
2010-06-04,24.780001,24.889999,24.33,24.360001,54400,20.715427
2010-06-07,24.48,24.52,24.09,24.1,118500,20.494326
2010-06-08,24.16,24.450001,23.98,24.450001,30100,20.791962
2010-06-09,24.58,24.75,24.25,24.33,21900,20.689915
2010-06-10,24.74,25.01,24.719999,25.01,16800,21.268178
2010-06-11,24.83,25.08,24.799999,25.08,14200,21.327705
2010-06-14,25.299999,25.35,25.02,25.02,24300,21.276683
2010-06-15,25.24,25.559999,25.190001,25.549999,18700,21.727387
2010-06-16,25.43,25.610001,25.389999,25.530001,39400,21.71038
2010-06-17,25.620001,25.620001,25.35,25.610001,27700,21.778411
2010-06-18,25.629999,25.639999,25.559999,25.59,15000,21.761403
2010-06-21,25.790001,25.790001,25.309999,25.360001,39800,21.692972
2010-06-22,25.459999,25.459999,24.959999,24.98,26300,21.367919
2010-06-23,25,25.030001,24.85,24.93,45500,21.32515
2010-06-24,24.809999,24.809999,24.5,24.52,319300,20.974435
2010-06-25,24.629999,24.73,24.41,24.66,32700,21.094191
2010-06-28,24.719999,24.719999,24.52,24.6,875500,21.042867
2010-06-29,24.299999,24.299999,23.790001,23.91,96200,20.45264
2010-06-30,23.879999,24.040001,23.65,23.68,35600,20.255898
2010-07-01,23.66,23.73,23.27,23.559999,46900,20.153249
2010-07-02,23.67,23.68,23.34,23.559999,38100,20.153249
2010-07-06,23.780001,23.860001,23.41,23.540001,49200,20.136143
2010-07-07,23.6,24.309999,23.6,24.309999,34600,20.7948
2010-07-08,24.540001,24.59,24.35,24.57,38300,21.017205
2010-07-09,24.620001,24.780001,24.540001,24.77,26700,21.188286
2010-07-12,24.74,24.77,24.59,24.77,40900,21.188286
2010-07-13,25.049999,25.25,25.01,25.17,45400,21.530446
2010-07-14,25.129999,25.18,24.940001,25.120001,57400,21.487676
2010-07-15,25.1,25.190001,24.790001,25.15,16900,21.513337
2010-07-16,24.98,24.98,24.4,24.43,55700,20.897449
2010-07-19,24.540001,24.629999,24.32,24.57,43400,21.017205
2010-07-20,24.23,24.77,24.23,24.77,22500,21.188286
2010-07-21,24.92,24.92,24.389999,24.43,30200,20.897449
2010-07-22,24.77,25.09,24.77,24.98,21400,21.367919
2010-07-23,24.93,25.25,24.93,25.190001,21900,21.547554
2010-07-26,25.299999,25.549999,25.23,25.549999,80500,21.855497
2010-07-27,25.68,25.74,25.549999,25.6,42500,21.898268
2010-07-28,25.6,25.6,25.360001,25.42,51800,21.744296
2010-07-29,25.6,25.629999,25.129999,25.34,28700,21.675864
2010-07-30,25.08,25.41,25.059999,25.32,45200,21.658756
2010-08-02,25.67,25.889999,25.610001,25.879999,25000,22.13778
2010-08-03,25.860001,25.879999,25.700001,25.73,43800,22.00947
2010-08-04,25.799999,25.9,25.780001,25.9,26000,22.154888
2010-08-05,25.77,25.84,25.73,25.84,16400,22.103565
2010-08-06,25.610001,25.780001,25.48,25.75,21300,22.026578
2010-08-09,25.9,25.959999,25.790001,25.93,35700,22.180551
2010-08-10,25.700001,25.92,25.58,25.809999,34100,22.077902
2010-08-11,25.41,25.41,25.120001,25.15,38800,21.513337
2010-08-12,24.84,25.09,24.76,25.030001,29600,21.41069
2010-08-13,25.01,25.17,24.98,24.98,36700,21.367919
2010-08-16,24.85,25,24.719999,24.969999,32000,21.359365
2010-08-17,25.16,25.379999,25.09,25.23,35200,21.581769
2010-08-18,25.24,25.370001,25.09,25.280001,35600,21.62454
2010-08-19,25.16,25.16,24.719999,24.82,38900,21.231055
2010-08-20,24.709999,24.75,24.530001,24.709999,35200,21.13696
2010-08-23,24.84,24.860001,24.65,24.66,26600,21.094191
2010-08-24,24.4,24.52,24.27,24.35,42400,20.829017
2010-08-25,24.23,24.48,24.1,24.42,50300,20.888895
2010-08-26,24.540001,24.540001,24.200001,24.219999,23300,20.717814
2010-08-27,24.43,24.639999,24.26,24.629999,30300,21.068528
2010-08-30,24.610001,24.620001,24.290001,24.290001,20000,20.777693
2010-08-31,24.23,24.459999,24.129999,24.360001,32400,20.837571
2010-09-01,24.700001,25.08,24.700001,25.049999,27600,21.427797
2010-09-02,25.110001,25.23,25.049999,25.219999,34300,21.573215
2010-09-03,25.49,25.540001,25.34,25.530001,28100,21.838391
2010-09-07,25.41,25.41,25.209999,25.219999,24600,21.573215
2010-09-08,25.280001,25.450001,25.27,25.34,32500,21.675864
2010-09-09,25.629999,25.629999,25.469999,25.559999,33200,21.864052
2010-09-10,25.549999,25.66,25.530001,25.639999,25400,21.932484
2010-09-13,25.93,25.940001,25.799999,25.889999,52600,22.146334
2010-09-14,25.889999,25.959999,25.74,25.870001,83100,22.129227
2010-09-15,25.83,25.950001,25.700001,25.92,15200,22.171997
2010-09-16,25.9,25.91,25.75,25.879999,18600,22.13778
2010-09-17,26,26.02,25.84,25.860001,19800,22.120673
2010-09-20,25.82,26.120001,25.74,26.110001,17700,22.491072
2010-09-21,26.059999,26.190001,25.93,26.02,50100,22.413546
2010-09-22,26.049999,26.1,25.83,25.91,46600,22.318792
2010-09-23,25.719999,25.870001,25.559999,25.6,28700,22.05176
2010-09-24,25.860001,26.08,25.85,26.059999,28100,22.448001
2010-09-27,26.139999,26.139999,25.950001,25.969999,56700,22.370476
2010-09-28,26.02,26.120001,25.780001,26.1,24100,22.482458
2010-09-29,26.049999,26.07,25.9,25.98,52700,22.37909
2010-09-30,26.1,26.25,25.860001,25.93,32500,22.336021
2010-10-01,26.139999,26.139999,25.889999,26.049999,29600,22.439387
2010-10-04,26.08,26.120001,25.82,25.879999,37300,22.29295
2010-10-05,26.110001,26.450001,26.08,26.4,50300,22.740876
2010-10-06,26.440001,26.48,26.379999,26.42,37000,22.758105
2010-10-07,26.59,26.59,26.280001,26.42,38900,22.758105
2010-10-08,26.51,26.59,26.379999,26.59,37200,22.904542
2010-10-11,26.629999,26.629999,26.52,26.52,67100,22.844245
2010-10-12,26.52,26.709999,26.379999,26.68,28600,22.982068
2010-10-13,26.790001,26.92,26.709999,26.77,42300,23.059594
2010-10-14,26.76,26.76,26.51,26.65,49700,22.956226
2010-10-15,26.85,26.85,26.379999,26.52,43800,22.844245
2010-10-18,26.52,26.790001,26.52,26.76,75000,23.05098
2010-10-19,26.559999,26.639999,26.290001,26.389999,50300,22.732262
2010-10-20,26.51,26.76,26.5,26.68,36200,22.982068
2010-10-21,26.83,26.92,26.549999,26.690001,72700,22.990682
2010-10-22,26.77,26.77,26.67,26.709999,40200,23.007909
2010-10-25,26.940001,26.959999,26.74,26.75,32800,23.042366
2010-10-26,26.690001,26.780001,26.639999,26.76,38400,23.05098
2010-10-27,26.59,26.709999,26.49,26.709999,40600,23.007909
2010-10-28,26.860001,26.860001,26.610001,26.73,25900,23.025137
2010-10-29,26.700001,26.75,26.620001,26.719999,40400,23.016523
2010-11-01,26.9,26.92,26.549999,26.68,60900,22.982068
2010-11-02,26.9,26.9,26.780001,26.83,24200,23.111277
2010-11-03,26.879999,26.940001,26.74,26.92,16800,23.188803
2010-11-04,27.25,27.530001,27.18,27.530001,49100,23.714256
2010-11-05,27.559999,27.68,27.549999,27.68,21700,23.843465
2010-11-08,27.620001,27.620001,27.469999,27.549999,39600,23.731483
2010-11-09,27.620001,27.639999,27.27,27.35,59600,23.559204
2010-11-10,27.389999,27.43,27.139999,27.43,24600,23.628116
2010-11-11,27.309999,27.43,27.25,27.379999,21500,23.585045
2010-11-12,27.190001,27.299999,27.040001,27.129999,38700,23.369696
2010-11-15,27.25,27.33,27.120001,27.139999,39400,23.37831
2010-11-16,27,27,26.610001,26.68,46400,22.982068
2010-11-17,26.75,26.780001,26.65,26.700001,88600,22.999297
2010-11-18,26.969999,27.110001,26.950001,27.059999,49800,23.309398
2010-11-19,27.07,27.09,26.879999,27.09,16400,23.335241
2010-11-22,26.92,27,26.719999,26.969999,43600,23.231872
2010-11-23,26.73,26.73,26.540001,26.57,57200,22.887314
2010-11-24,26.799999,26.92,26.76,26.879999,29300,23.154347
2010-11-26,26.780001,26.809999,26.719999,26.74,14300,23.033752
2010-11-29,26.57,26.74,26.43,26.74,35400,23.033752
2010-11-30,26.49,26.68,26.43,26.58,17000,22.895928
2010-12-01,26.99,27.120001,26.93,27.09,32900,23.335241
2010-12-02,27.18,27.450001,27.18,27.440001,44200,23.63673
2010-12-03,27.370001,27.540001,27.34,27.51,110500,23.697028
2010-12-06,27.51,27.540001,27.440001,27.48,76000,23.671185
2010-12-07,27.76,27.76,27.5,27.52,83200,23.705642
2010-12-08,27.59,27.639999,27.49,27.639999,25800,23.809008
2010-12-09,27.83,27.83,27.67,27.76,37400,23.912377
2010-12-10,27.92,27.99,27.85,27.959999,44400,24.084655
2010-12-13,28.120001,28.120001,27.969999,27.969999,96400,24.093269
2010-12-14,28.059999,28.110001,27.93,27.99,64300,24.110498
2010-12-15,27.93,28.059999,27.879999,27.889999,31600,24.024358
2010-12-16,27.959999,28.040001,27.870001,28.030001,54700,24.144954
2010-12-17,28.030001,28.07,27.940001,28.059999,127700,24.170795
2010-12-20,27.969999,28,27.84,27.92,40800,24.204606
2010-12-21,28.030001,28.120001,28.030001,28.1,28000,24.360653
2010-12-22,28.17,28.280001,28.129999,28.280001,67200,24.5167
2010-12-23,28.27,28.27,28.16,28.209999,41000,24.456014
2010-12-27,28.139999,28.26,28.07,28.24,19300,24.482022
2010-12-28,28.309999,28.32,28.219999,28.290001,41800,24.52537
2010-12-29,28.360001,28.360001,28.309999,28.32,51000,24.551377
2010-12-30,28.32,28.32,28.219999,28.24,34900,24.482022
2010-12-31,28.26,28.33,28.219999,28.25,43600,24.490692
2011-01-03,28.549999,28.65,28.48,28.58,69800,24.776778
2011-01-04,28.700001,28.700001,28.450001,28.620001,42200,24.811456
2011-01-05,28.57,28.76,28.57,28.75,40700,24.924155
2011-01-06,28.809999,28.809999,28.620001,28.68,46100,24.863471
2011-01-07,28.76,28.76,28.389999,28.59,36200,24.785447
2011-01-10,28.5,28.549999,28.370001,28.52,70500,24.724763
2011-01-11,28.629999,28.65,28.49,28.58,31500,24.776778
2011-01-12,28.709999,28.879999,28.709999,28.85,63400,25.010849
2011-01-13,28.9,28.9,28.709999,28.77,60100,24.941494
2011-01-14,28.790001,28.99,28.75,28.98,34400,25.123548
2011-01-18,29,29.01,28.93,28.98,56500,25.123548
2011-01-19,28.969999,28.969999,28.700001,28.73,90700,24.906817
2011-01-20,28.690001,28.83,28.58,28.76,30100,24.932825
2011-01-21,28.969999,28.99,28.9,28.959999,46000,25.106209
2011-01-24,28.969999,29.09,28.969999,29.059999,51100,25.192902
