"Index","open","high","low","close","volume","adjusted"
2009-11-03,24.32,24.700001,23.5,24.530001,53300,21.654321
2009-11-04,24.799999,24.959999,24.6,24.620001,41000,21.73377
2009-11-05,24.83,25.1,24.780001,25.09,45500,22.148671
2009-11-06,24.99,25.309999,24.91,25.139999,96500,22.192809
2009-11-09,25.52,26.459999,25.389999,25.700001,149200,22.687161
2009-11-10,25.66,25.799999,25.6,25.690001,99300,22.678333
2009-11-11,25.91,26.01,25.75,25.85,117500,22.819576
2009-11-12,25.98,25.98,25.540001,25.59,96200,22.590056
2009-11-13,25.67,25.809999,25.530001,25.709999,217100,22.695987
2009-11-16,25.91,26.190001,25.889999,26.1,203700,23.040268
2009-11-17,26.049999,26.129999,25.950001,26.120001,121500,23.057924
2009-11-18,26.110001,26.129999,25.950001,26.1,139400,23.040268
2009-11-19,25.99,25.99,25.6,25.780001,173100,22.757782
2009-11-20,25.65,25.719999,25.57,25.690001,125700,22.678333
2009-11-23,25.969999,26.16,25.93,25.99,110800,22.943163
2009-11-24,26.040001,26.040001,25.82,25.99,123700,22.943163
2009-11-25,26.07,26.139999,25.99,26.120001,131800,23.057924
2009-11-27,25.48,25.85,25.389999,25.690001,172600,22.678333
2009-11-30,25.700001,25.799999,25.559999,25.780001,179900,22.757782
2009-12-01,25.99,26.15,25.99,26.059999,240900,23.004956
2009-12-02,26.129999,26.23,26,26.09,78000,23.03144
2009-12-03,26.16,26.290001,25.860001,25.889999,77200,22.854885
2009-12-04,26.24,26.34,25.83,26.02,219000,22.969646
2009-12-07,26.02,26.139999,25.940001,25.99,196800,22.943163
2009-12-08,25.85,25.85,25.66,25.719999,303300,22.704815
2009-12-09,25.74,25.82,25.6,25.790001,159800,22.76661
2009-12-10,25.969999,26.030001,25.9,25.940001,125400,22.899025
2009-12-11,26.07,26.1,25.959999,26.049999,95600,22.996128
2009-12-14,26.25,26.280001,26.139999,26.26,127200,23.181511
2009-12-15,26.190001,26.26,26.09,26.120001,78800,23.057924
2009-12-16,26.280001,26.33,26.15,26.190001,58300,23.119717
2009-12-17,26.049999,26.049999,25.870001,25.9,125800,22.863713
2009-12-18,26.040001,26.040001,25.82,26.040001,133500,22.987302
2009-12-21,26.18,26.379999,26.18,26.290001,91700,23.207994
