"Index","open","high","low","close","volume","adjusted"
2012-07-16,25.66,25.66,25.49,25.620001,19600,21.909554
2012-07-17,25.83,25.889999,25.52,25.870001,316800,22.123348
2012-07-18,25.92,26.049999,25.809999,26.030001,39900,22.260175
2012-07-19,26.1,26.1,26,26.07,23000,22.294381
2012-07-20,25.92,25.959999,25.83,25.860001,24600,22.114796
2012-07-23,25.790001,25.790001,25.5,25.66,23500,21.94376
2012-07-24,25.73,25.73,25.219999,25.309999,37600,21.644449
2012-07-25,25.559999,25.559999,25.290001,25.35,41100,21.678657
2012-07-26,25.75,25.780001,25.620001,25.75,29800,22.020726
2012-07-27,25.889999,26.209999,25.889999,26.120001,26600,22.337141
2012-07-30,26.110001,26.26,26.08,26.18,35600,22.388451
2012-07-31,26.459999,26.459999,26.16,26.219999,44100,22.422657
2012-08-01,26.35,26.360001,26.200001,26.219999,56600,22.422657
2012-08-02,26.129999,26.129999,25.75,25.959999,28100,22.200312
2012-08-03,26.4,26.41,26.32,26.35,20700,22.533831
2012-08-06,26.49,26.5,26.43,26.43,31600,22.602244
2012-08-07,26.530001,26.620001,26.48,26.52,25400,22.67921
2012-08-08,26.559999,26.639999,26.49,26.620001,48500,22.764728
2012-08-09,26.639999,26.65,26.530001,26.6,32400,22.747624
2012-08-10,26.549999,26.74,26.549999,26.74,41300,22.867348
2012-08-13,26.75,26.75,26.6,26.709999,14700,22.841692
2012-08-14,26.879999,26.879999,26.700001,26.700001,46700,22.833142
2012-08-15,26.73,26.73,26.65,26.68,34300,22.816038
2012-08-16,26.85,26.85,26.66,26.799999,19600,22.918658
2012-08-17,26.889999,26.889999,26.76,26.82,40100,22.935762
2012-08-20,26.85,26.85,26.690001,26.790001,31900,22.910108
2012-08-21,26.860001,26.9,26.68,26.68,15400,22.816038
2012-08-22,26.68,26.68,26.49,26.610001,21000,22.756176
2012-08-23,26.6,26.6,26.389999,26.4,17100,22.576589
2012-08-24,26.42,26.6,26.35,26.57,27800,22.721968
2012-08-27,26.700001,26.700001,26.57,26.59,12300,22.739072
2012-08-28,26.620001,26.620001,26.51,26.57,4400,22.721968
2012-08-29,26.620001,26.68,26.540001,26.66,32300,22.798934
2012-08-30,26.58,26.58,26.440001,26.5,23300,22.662106
2012-08-31,26.540001,26.67,26.49,26.6,50800,22.747624
2012-09-04,26.58,26.59,26.41,26.549999,23700,22.704864
2012-09-05,26.57,26.57,26.49,26.52,20000,22.67921
2012-09-06,26.65,26.950001,26.65,26.950001,31900,23.046935
2012-09-07,27.02,27.02,26.940001,26.959999,17800,23.055486
2012-09-10,26.93,27.040001,26.9,26.92,16000,23.021279
2012-09-11,26.99,27.059999,26.950001,27.040001,15300,23.123901
2012-09-12,27.120001,27.120001,27.01,27.059999,17900,23.141003
2012-09-13,27,27.450001,27,27.370001,42100,23.406108
2012-09-14,27.41,27.610001,27.35,27.379999,59000,23.414659
2012-09-17,27.440001,27.440001,27.23,27.23,18200,23.286383
2012-09-18,27.32,27.32,27.18,27.190001,35900,23.252177
2012-09-19,27.15,27.280001,27.15,27.200001,123400,23.260729
2012-09-20,27.200001,27.32,27.120001,27.32,28700,23.363349
2012-09-21,27.49,27.49,27.389999,27.389999,28000,23.423211
2012-09-24,27.4,27.41,27.299999,27.370001,20300,23.406108
2012-09-25,27.48,27.48,27.120001,27.120001,32700,23.192315
2012-09-26,26.85,26.85,26.700001,26.74,31800,23.111932
2012-09-27,26.82,26.91,26.709999,26.85,50700,23.207008
2012-09-28,26.73,26.84,26.629999,26.75,57600,23.120575
2012-10-01,26.83,26.969999,26.709999,26.75,25100,23.120575
2012-10-02,26.870001,26.9,26.67,26.790001,16600,23.155149
2012-10-03,26.870001,26.940001,26.76,26.889999,27500,23.24158
2012-10-04,27.01,27.09,26.98,27.08,36100,23.405801
2012-10-05,27.25,27.280001,27.120001,27.16,31800,23.474947
2012-10-08,27.15,27.209999,27.07,27.190001,31400,23.500877
2012-10-09,27.200001,27.209999,27,27.02,191400,23.353942
2012-10-10,26.99,26.99,26.799999,26.809999,20600,23.172434
2012-10-11,26.99,27.209999,26.85,26.860001,40700,23.215651
2012-10-12,26.889999,26.9,26.68,26.719999,18700,23.094645
2012-10-15,27.120001,27.120001,26.709999,26.959999,19700,23.302082
2012-10-16,27.129999,27.219999,27.129999,27.209999,33700,23.518162
2012-10-17,27.299999,27.450001,27.299999,27.43,31100,23.708314
2012-10-18,27.49,27.59,27.43,27.58,15500,23.837961
2012-10-19,27.5,27.52,27.18,27.23,16600,23.535449
2012-10-22,27.27,27.27,27.01,27.190001,27200,23.500877
2012-10-23,27,27,26.65,26.879999,26100,23.232936
2012-10-24,26.93,26.93,26.73,26.74,28800,23.111932
2012-10-25,26.92,26.969999,26.77,26.9,23400,23.250223
2012-10-26,26.9,26.940001,26.780001,26.889999,27500,23.24158
2012-10-31,27.129999,27.190001,26.83,26.92,49600,23.26751
2012-11-01,27.059999,27.18,27.059999,27.129999,28300,23.449017
2012-11-02,27.33,27.33,26.73,26.77,90400,23.137862
2012-11-05,26.780001,26.780001,26.58,26.719999,40100,23.094645
2012-11-06,26.969999,27.07,26.83,26.98,83700,23.319369
2012-11-07,26.889999,26.889999,26.25,26.41,40900,22.826706
2012-11-08,26.459999,26.459999,26.110001,26.110001,51200,22.567411
2012-11-09,26,26.25,25.940001,26.030001,37200,22.498265
2012-11-12,26.139999,26.139999,25.940001,25.99,21000,22.463692
2012-11-13,25.860001,26.15,25.67,25.870001,16300,22.359974
2012-11-14,25.9,25.9,25.5,25.52,27100,22.057462
2012-11-15,25.559999,25.620001,25.379999,25.51,38700,22.048818
2012-11-16,25.52,25.719999,25.35,25.709999,45700,22.221681
2012-11-19,26.030001,26.059999,25.99,26.059999,24700,22.524194
2012-11-20,26.15,26.15,25.93,26.08,16300,22.541481
2012-11-21,26.110001,26.15,26.07,26.129999,11300,22.584696
2012-11-23,26.32,26.389999,26.24,26.389999,7200,22.809419
2012-11-26,26.459999,26.459999,26.34,26.41,58100,22.826706
2012-11-27,26.469999,26.549999,26.379999,26.379999,34000,22.800776
2012-11-28,26.389999,26.6,26.15,26.57,76600,22.964997
2012-11-29,26.76,26.76,26.58,26.66,19600,23.042786
2012-11-30,26.719999,26.75,26.639999,26.75,25800,23.120575
2012-12-03,26.98,26.98,26.65,26.65,43400,23.034143
2012-12-04,26.74,26.74,26.52,26.559999,30500,22.956354
2012-12-05,26.68,26.68,26.440001,26.559999,28200,22.956354
2012-12-06,26.73,26.73,26.57,26.67,16500,23.05143
2012-12-07,26.719999,26.790001,26.67,26.790001,32300,23.155149
2012-12-10,26.93,26.93,26.76,26.809999,52600,23.172434
2012-12-11,26.84,26.959999,26.83,26.889999,24400,23.24158
2012-12-12,27.120001,27.139999,26.950001,26.950001,18200,23.29344
2012-12-13,27.049999,27.049999,26.75,26.82,42800,23.181078
2012-12-14,26.75,26.790001,26.690001,26.700001,17600,23.07736
2012-12-17,26.85,26.93,26.809999,26.93,34100,23.276153
2012-12-18,27.030001,27.209999,26.860001,27.209999,43700,23.518162
2012-12-19,27.33,27.33,27.09,27.09,33900,23.414445
2012-12-20,27.209999,27.209999,27.030001,27.17,17300,23.48359
2012-12-21,27.030001,27.030001,26.639999,26.870001,208300,23.224295
2012-12-24,26.860001,26.870001,26.76,26.799999,6800,23.163791
