"Index","open","high","low","close","volume","adjusted"
2005-11-15,54.259998,54.259998,53.849998,53.860001,53000,34.806111
2005-11-16,54,54.029999,53.650002,53.73,20900,34.7221
2005-11-17,53.900002,54.119999,53.82,54.099998,58000,34.961206
2005-11-18,54.400002,54.48,54.080002,54.439999,67500,35.180925
2005-11-21,54.5,54.700001,54.389999,54.66,35800,35.323097
2005-11-22,54.66,54.709999,54.279999,54.700001,33800,35.348947
2005-11-23,54.650002,54.950001,54.619999,54.790001,21300,35.407108
2005-11-25,54.900002,54.900002,54.75,54.849998,12000,35.44588
2005-11-28,54.98,54.98,54.560001,54.57,16600,35.264936
2005-11-29,54.82,55.009998,54.75,54.77,14000,35.394183
2005-11-30,54.950001,54.950001,54.400002,54.450001,24500,35.187389
2005-12-01,54.82,55.07,54.77,55.029999,18900,35.562202
2005-12-02,55,55.07,54.869999,55.009998,18000,35.549277
2005-12-05,55,55,54.59,54.799999,27500,35.413569
2005-12-06,55.080002,55.080002,54.689999,54.720001,29700,35.361872
2005-12-07,54.799999,54.799999,54.130001,54.32,223400,35.103378
2005-12-08,54.299999,54.5,54,54.150002,27100,34.993519
2005-12-09,54.490002,54.5,54.259998,54.360001,24700,35.129227
2005-12-12,54.599998,54.599998,54,54.279999,24900,35.077528
2005-12-13,54.400002,54.849998,54.389999,54.759998,14600,35.387719
2005-12-14,54.950001,55.290001,54.950001,55.130001,14800,35.626827
2005-12-15,55.290001,55.310001,54.98,55.080002,16400,35.594516
2005-12-16,55.150002,55.200001,54.939999,54.990002,11300,35.73684
2005-12-19,55.23,55.23,54.799999,54.830002,17200,35.632859
2005-12-20,54.939999,54.959999,54.720001,54.740002,10700,35.57437
2005-12-21,55.099998,55.130001,54.720001,54.759998,32400,35.587365
2005-12-22,55,55,54.669998,54.950001,113000,35.710844
2005-12-23,55.130001,55.130001,54.98,54.990002,24500,35.73684
2005-12-27,54.950001,55.16,54.580002,54.599998,21100,35.483385
2005-12-28,54.75,54.75,54.52,54.68,26200,35.535376
2005-12-29,54.720001,54.720001,54.400002,54.400002,21500,35.353411
2005-12-30,54.349998,54.349998,53.959999,54.150002,19600,35.190941
2006-01-03,54.450001,54.880001,54,54.84,110600,35.639357
2006-01-04,55,55.110001,54.880001,55.040001,27800,35.769333
2006-01-05,55.099998,55.119999,54.950001,55.080002,27100,35.795329
2006-01-06,55.299999,55.5,55.060001,55.490002,35400,36.061779
2006-01-09,55.650002,55.830002,55.540001,55.68,34100,36.185255
2006-01-10,55.799999,55.799999,55.560001,55.759998,27900,36.237244
2006-01-11,55.84,55.84,55.419998,55.639999,35500,36.159259
2006-01-12,55.75,55.75,55.299999,55.299999,31900,35.9383
2006-01-13,55.549999,55.599998,55.380001,55.48,24700,36.055279
2006-01-17,55.5,55.5,55.099998,55.310001,14200,35.944801
2006-01-18,55.299999,55.439999,55.080002,55.290001,11300,35.931803
2006-01-19,55.5,55.52,55.200001,55.439999,12200,36.029283
