"Index","open","high","low","close","volume","adjusted"
2016-03-08,59.639999,59.73,59.41,59.41,4219800,58.752164
2016-03-09,59.549999,59.57,59.345001,59.380001,2300,58.722497
2016-03-10,59.740002,59.740002,58.990002,59.365002,6000,58.707664
2016-03-11,60,60.41,60,60.344002,1600,59.675824
2016-03-14,60.459999,60.487,60.27,60.34,5900,59.671867
2016-03-15,60,60.16,59.928001,60.124001,800,59.458259
2016-03-16,60.25,60.349998,60.189999,60.189999,1500,59.523526
2016-03-17,60.73,61.09,60.398998,60.93,9200,60.255334
2016-03-18,61.23,61.93,61.23,61.41,66000,60.802866
2016-03-21,61.400002,61.437,61.169998,61.369999,6300,60.763261
2016-03-22,61.09,61.57,61.02,61.380001,7600,60.773164
2016-03-23,61.099998,61.099998,61.02,61.02,1700,60.416722
2016-03-24,60.445999,60.830002,60.445999,60.740002,7500,60.139492
2016-03-28,61.150002,61.150002,60.900002,60.900002,1000,60.29791
2016-03-29,60.799999,60.799999,60.792,60.792,400,60.190976
2016-03-30,61.799999,61.849998,61.799999,61.849998,200,61.238515
2016-03-31,61.91,62.099998,61.773998,61.804001,2200,61.192972
2016-04-01,61.529999,62.115002,61.529999,61.98,1400,61.36723
2016-04-04,62.27,62.27,62,62,2500,61.387033
2016-04-05,61.669998,61.669998,61.349998,61.349998,800,60.743458
2016-04-06,61.43,61.976002,61.43,61.976002,400,61.363272
2016-04-07,61.810001,61.810001,61.200001,61.200001,800,60.594943
2016-04-08,61.689999,61.709999,61.200001,61.299999,1800,60.693953
2016-04-11,61.75,61.75,61.442001,61.442001,1500,60.834551
2016-04-12,61.43,61.75,61.23,61.75,1400,61.139505
2016-04-13,62.259998,62.534,62.126999,62.534,1400,61.915754
2016-04-14,62.459999,62.459999,62.459999,62.459999,100,61.842484
2016-04-15,62.580002,62.580002,62.43,62.490002,2000,61.87219
2016-04-18,62.380001,62.834999,62.380001,62.779999,3000,62.15932
2016-04-19,63.209999,63.259998,63.209999,63.216,700,62.591011
2016-04-20,63.389999,63.527,63.139999,63.450001,6100,62.822698
2016-04-21,63.630001,63.630001,63.150002,63.169998,2800,62.545464
2016-04-22,63.169998,63.169998,63.169998,63.169998,0,62.545464
2016-04-25,63.066002,63.066002,63.029999,63.029999,300,62.406849
2016-04-26,63.34,63.540001,63.299999,63.43,1200,62.802896
2016-04-27,63.639999,63.639999,63.560001,63.560001,400,62.931611
2016-04-28,63.700001,63.700001,63.700001,63.700001,300,63.070227
2016-04-29,62.869999,62.869999,62.330002,62.610001,800,61.991003
2016-05-02,62.919998,63.16,62.75,63.139999,1300,62.515762
2016-05-03,62.73,62.73,62.540001,62.540001,500,61.921695
2016-05-04,62.200001,62.23,62.085999,62.169998,2200,61.555351
2016-05-05,62,62,62,62,800,61.387033
2016-05-06,62,62,62,62,0,61.387033
2016-05-09,62.18,62.290001,62.18,62.290001,1500,61.674167
2016-05-10,62.720001,62.82,62.720001,62.82,400,62.198926
2016-05-11,62.720001,62.799999,62.720001,62.759998,900,62.139518
2016-05-12,62.287998,62.287998,61.91,61.91,400,61.297923
2016-05-13,62.067001,62.067001,61.580002,61.580002,600,60.971187
2016-05-16,61.789001,61.789001,61.789001,61.789001,300,61.178121
2016-05-17,62.130001,62.130001,61.48,61.48,700,60.872174
2016-05-18,61.25,61.799999,61.25,61.799999,400,61.18901
2016-05-19,61,61.09,60.880001,61.09,800,60.48603
2016-05-20,61.470001,61.66,61.470001,61.599998,1100,60.990986
2016-05-23,61.599998,61.599998,61.493999,61.509998,900,60.901876
2016-05-24,62.009998,62.123001,62.009998,62.123001,1100,61.508818
2016-05-25,62.389999,62.389999,62.389999,62.389999,300,61.773177
2016-05-26,62.578999,62.578999,62.529999,62.529999,500,61.911792
2016-05-27,62.639999,62.639999,62.639999,62.639999,200,62.020705
2016-05-31,62.990002,62.990002,62.740002,62.740002,800,62.119719
2016-06-01,62.740002,62.740002,62.740002,62.740002,0,62.119719
2016-06-02,63.130001,63.130001,63.130001,63.130001,600,62.505862
2016-06-03,62.839001,62.839001,62.839001,62.839001,200,62.217739
2016-06-06,62.839001,62.839001,62.839001,62.839001,0,62.217739
