"Index","open","high","low","close","volume","adjusted"
2013-04-18,50.150002,50.150002,50.150002,50.150002,100,47.11507
2013-04-19,50.150002,50.150002,50.150002,50.150002,0,47.11507
2013-04-22,50.209999,50.209999,50.209999,50.209999,100,47.171437
2013-04-23,50.91,50.98,50.91,50.98,200,47.894839
2013-04-24,50.619999,50.619999,50.619999,50.619999,200,47.556625
2013-04-25,51.220001,51.220001,51.220001,51.220001,600,48.120317
2013-04-26,51.43,51.43,51.200001,51.200001,600,48.101527
2013-04-29,51.220001,51.450001,51.220001,51.450001,4600,48.336397
2013-04-30,51.279999,51.619999,51.279999,51.619999,4800,48.496108
2013-05-01,50.490002,50.490002,50.490002,50.490002,900,47.434495
2013-05-02,50.490002,50.490002,50.490002,50.490002,0,47.434495
2013-05-03,52.119999,52.139999,51.98,52.029999,2400,48.881296
2013-05-06,52.43,52.43,52.43,52.43,100,49.25709
2013-05-07,52.110001,52.240002,52.110001,52.240002,1000,49.07859
2013-05-08,52.34,52.34,52.32,52.32,2100,49.153746
2013-05-09,52.41,52.41,52.200001,52.23,4200,49.069193
2013-05-10,52.23,52.23,52.23,52.23,0,49.069193
2013-05-13,52.389999,52.389999,52.389999,52.389999,200,49.21951
2013-05-14,52.869999,52.950001,52.869999,52.950001,2500,49.745622
2013-05-15,52.990002,53.18,52.990002,53.16,500,49.942912
2013-05-16,53.790001,53.790001,53,53,900,49.792595
2013-05-17,53.130001,53.130001,53.130001,53.130001,400,49.914729
2013-05-20,53.389999,53.400002,53.279999,53.290001,7600,50.065046
2013-05-21,53.43,53.43,53.43,53.43,200,50.196573
2013-05-22,53.540001,53.540001,52.82,52.82,1400,49.623488
2013-05-23,52.200001,52.580002,52.200001,52.560001,4800,49.379224
2013-05-24,52.400002,52.400002,52.279999,52.32,3000,49.153746
2013-05-28,52.98,52.98,52.66,52.700001,2000,49.510751
2013-05-29,52.099998,52.099998,52.099998,52.099998,200,48.947059
2013-05-30,52.389999,52.389999,52.389999,52.389999,300,49.21951
2013-05-31,52.389999,52.389999,52.389999,52.389999,200,49.21951
2013-06-03,51.52,51.619999,51.52,51.619999,200,48.496108
2013-06-04,51.73,51.75,51.450001,51.450001,2500,48.336397
2013-06-05,51,51,50.98,50.98,400,47.894839
2013-06-06,50.830002,50.830002,50.830002,50.830002,100,47.753919
2013-06-07,51.830002,51.849998,51.830002,51.849998,1200,48.712188
2013-06-10,52.27,52.27,51.93,51.93,3700,48.787349
