"Index","open","high","low","close","volume","adjusted"
2015-02-05,40.200001,40.200001,39.98,39.98,200,39.126526
2015-02-06,40.312,40.312,39.849998,39.849998,1100,38.9993
2015-02-09,39.849998,39.849998,39.720001,39.720001,400,38.872078
2015-02-10,39.442001,39.919998,39.442001,39.919998,200,39.067805
2015-02-11,39.560001,39.560001,39.560001,39.560001,100,38.715493
2015-02-12,39.560001,39.560001,39.560001,39.560001,0,38.715493
2015-02-13,39.599998,39.689999,39.599998,39.689999,200,38.842715
2015-02-17,40.549999,40.549999,39.810001,39.889999,1700,39.038447
2015-02-18,40.549999,40.549999,39.740002,39.740002,500,38.891651
2015-02-19,39.740002,39.740002,39.740002,39.740002,0,38.891651
2015-02-20,39.75,39.75,39.57,39.57,400,38.725278
2015-02-23,39.669998,39.669998,39.669998,39.669998,600,38.823142
2015-02-24,40.07,40.139999,40.07,40.119999,900,39.263536
2015-02-25,40.259998,40.259998,40.139999,40.189999,4100,39.332042
2015-02-26,40.189999,40.189999,40.189999,40.189999,0,39.332042
2015-02-27,40.279999,40.279999,40.015999,40.209999,2300,39.351615
2015-03-02,40.02,40.07,39.970001,40.07,900,39.214604
2015-03-03,39.830002,39.98,39.830002,39.939999,1200,39.087379
2015-03-04,39.639999,39.639999,39.459999,39.57,1100,38.725278
2015-03-05,39.490002,39.490002,39.41,39.41,400,38.568694
2015-03-06,38.759998,38.830002,38.759998,38.77,400,37.942357
2015-03-09,38.77,38.77,38.77,38.77,0,37.942357
2015-03-10,38.830002,38.830002,38.830002,38.830002,300,38.001077
2015-03-11,38.709999,38.709999,38.709999,38.709999,100,37.883636
2015-03-12,38.709999,38.709999,38.709999,38.709999,0,37.883636
2015-03-13,39.465,39.505001,39.439999,39.505001,400,38.661667
2015-03-16,39.505001,39.505001,39.505001,39.505001,0,38.661667
2015-03-17,39.735001,39.735001,39.73,39.73,300,38.881862
2015-03-18,39.73,39.73,39.73,39.73,0,38.881862
2015-03-19,40.07,40.07,40.07,40.07,0,39.214604
2015-03-20,39.75,40.73,39.75,40.73,300,39.860515
2015-03-23,40.889999,40.959,40.889999,40.959,300,40.084626
2015-03-24,40.868,40.868,40.68,40.790001,3300,39.919235
2015-03-25,40.639999,40.639999,40.231998,40.231998,1400,39.373145
2015-03-26,40.231998,40.231998,40.231998,40.231998,0,39.373145
2015-03-27,40.09,40.110001,40.09,40.110001,400,39.253751
2015-03-30,40.619999,40.619999,40.619999,40.619999,200,39.752863
2015-03-31,40.400002,40.400002,40.360001,40.380001,500,39.517988
2015-04-01,40.32,40.32,40.110001,40.110001,400,39.253751
2015-04-02,40.110001,40.110001,40.110001,40.110001,0,39.253751
2015-04-06,41.150002,41.150002,40.68,40.68,600,39.811583
2015-04-07,40.27,40.27,40.27,40.27,400,39.410336
2015-04-08,40.25,40.290001,40.25,40.290001,600,39.429909
2015-04-09,40.008999,40.008999,40.008999,40.008999,200,39.154906
2015-04-10,40.220001,40.220001,40.220001,40.220001,200,39.361404
2015-04-13,40.220001,40.220001,40.220001,40.220001,0,39.361404
2015-04-14,40.119999,40.139999,40.119999,40.130001,2500,39.273325
2015-04-15,40.48,40.48,40.389999,40.389999,800,39.527773
2015-04-16,40.355,40.5,40.355,40.41,1600,39.547346
2015-04-17,39.849998,39.990002,39.790001,39.82,1100,38.969941
2015-04-20,39.82,39.82,39.82,39.82,0,38.969941
2015-04-21,40.205002,40.25,40.205002,40.25,800,39.390762
2015-04-22,39.942001,40.139999,39.942001,40.119999,1300,39.263536
2015-04-23,40.119999,40.119999,40.119999,40.119999,0,39.263536
2015-04-24,40.299999,40.299999,40.200001,40.237999,1700,39.379017
2015-04-27,40.470001,40.470001,40.470001,40.470001,100,39.606067
2015-04-28,40.470001,40.470001,40.470001,40.470001,0,39.606067
2015-04-29,40.02,40.02,40.02,40.02,300,39.165673
2015-04-30,39.349998,39.369999,39.349998,39.369999,300,38.529547
2015-05-01,39.299999,39.299999,39.27,39.27,400,38.431683
2015-05-04,39.749001,39.749001,39.529999,39.529999,700,38.686131
2015-05-05,39.349998,39.349998,39.349998,39.349998,300,38.509973
2015-05-06,38.900002,38.970001,38.875999,38.970001,1700,38.138088
2015-05-07,39.299999,39.369999,39.259998,39.330002,4400,38.490404
2015-05-08,39.290001,39.290001,39.279999,39.279999,400,38.441468
2015-05-11,39.279999,39.279999,39.279999,39.279999,0,38.441468
2015-05-12,39.279999,39.279999,39.279999,39.279999,0,38.441468
2015-05-13,39,39.18,39,39.18,1500,38.343604
2015-05-14,39.18,39.18,39.18,39.18,0,38.343604
2015-05-15,39.950001,39.950001,39.580002,39.580002,4400,38.735067
2015-05-18,39.580002,39.580002,39.580002,39.580002,0,38.735067
2015-05-19,39.580002,39.580002,39.580002,39.580002,0,38.735067
2015-05-20,39.849998,39.849998,39.830002,39.84,500,38.989515
2015-05-21,39.759998,39.759998,39.640999,39.75,2200,38.901436
2015-05-22,39.82,39.82,39.700001,39.700001,800,38.852504
2015-05-26,39.130001,39.130001,39.080002,39.080002,300,38.245741
2015-05-27,39.290001,39.290001,39.27,39.27,300,38.431683
2015-05-28,39.488998,39.57,39.488998,39.57,700,38.725278
2015-05-29,39.57,39.57,39.57,39.57,0,38.725278
2015-06-01,41.91,41.91,39.490002,39.549999,300,38.705705
2015-06-02,39.650002,39.650002,39.630001,39.650002,600,38.803572
2015-06-03,40.560001,40.560001,39.919998,39.919998,1600,39.067805
2015-06-04,39.919998,39.919998,39.599998,39.599998,2200,38.754637
2015-06-05,39.43,39.43,39.43,39.43,100,38.588267
2015-06-08,39.43,39.43,39.43,39.43,0,38.588267
2015-06-09,39.790001,39.790001,39.790001,39.790001,500,38.940583
2015-06-10,39.790001,39.790001,39.790001,39.790001,0,38.940583
2015-06-11,40.25,40.310001,40.23,40.310001,500,39.449483
2015-06-12,40.150002,40.18,40.150002,40.18,400,39.322257
2015-06-15,40.18,40.18,40.18,40.18,0,39.322257
2015-06-16,40.18,40.18,40.18,40.18,0,39.322257
2015-06-17,40.18,40.18,40.18,40.18,0,39.322257
2015-06-18,40.568001,40.59,40.509998,40.509998,400,39.64521
2015-06-19,40.509998,40.509998,40.509998,40.509998,0,39.64521
2015-06-22,40.509998,40.509998,40.509998,40.509998,0,39.64521
2015-06-23,40.763,41.118,40.763,41.118,900,40.240233
2015-06-24,41.118,41.118,41.118,41.118,0,40.392497
2015-06-25,40.540001,40.630001,40.450001,40.450001,800,39.736285
2015-06-26,40.450001,40.450001,40.450001,40.450001,0,39.736285
2015-06-29,40.73,40.73,40.23,40.23,2500,39.520165
2015-06-30,40.299999,40.299999,40.299999,40.299999,300,39.58893
2015-07-01,40.310001,40.310001,40.259998,40.259998,1100,39.549635
2015-07-02,40.111,40.200001,40.111,40.18,1100,39.471048
2015-07-06,40.009998,40.169998,39.82,40.169998,800,39.461222
2015-07-07,40.759998,40.759998,39.939999,40.130001,1500,39.421931
2015-07-08,42.130001,42.130001,39.919998,40.040001,1300,39.333519
2015-07-09,40.040001,40.040001,40.040001,40.040001,2600,39.333519
2015-07-10,40.16,40.16,40.16,40.16,100,39.451401
2015-07-13,40.16,40.16,40.16,40.16,0,39.451401
2015-07-14,40.52,40.52,40.52,40.52,100,39.805049
2015-07-15,40.610001,40.610001,40.389999,40.389999,3700,39.677342
2015-07-16,40.389999,40.389999,40.389999,40.389999,0,39.677342
2015-07-17,40.84,40.84,40.84,40.84,200,40.119403
2015-07-20,40.389999,40.389999,40.32,40.32,400,39.608577
2015-07-21,40.151001,40.189999,40.151001,40.189999,200,39.48087
2015-07-22,40.18,40.220001,40.169998,40.220001,800,39.510343
2015-07-23,40.150002,40.150002,39.709999,39.82,8300,39.117399
2015-07-24,39.639999,39.639999,39.43,39.59,700,38.891458
2015-07-27,39.549999,39.549999,39.549999,39.549999,100,38.852163
2015-07-28,39.439999,39.630001,39.439999,39.630001,400,38.930753
2015-07-29,40.470001,40.470001,39.860001,39.860001,900,39.156695
2015-07-30,40,40,40,40,500,39.294224
2015-07-31,40.419998,40.540001,40.259998,40.470001,13500,39.755932
2015-08-03,40.085999,40.085999,39.884998,39.884998,400,39.181251
2015-08-04,40.167999,40.167999,40.167999,40.167999,400,39.459259
