"Index","open","high","low","close","volume","adjusted"
2015-04-30,29.5,29.5,29.15,29.15,3100,28.805048
2015-05-01,29.469999,29.469999,29.469999,29.469999,200,29.121261
2015-05-04,29.75,29.75,29.75,29.75,100,29.397948
2015-05-05,29.25,29.25,29.25,29.25,100,28.903865
2015-05-06,29.299999,29.299999,29.23,29.23,2000,28.884101
2015-05-07,29.23,29.23,29.23,29.23,0,28.884101
2015-05-08,29.674999,29.75,29.67,29.75,900,29.397948
2015-05-11,29.75,29.75,29.75,29.75,0,29.397948
2015-05-12,29.75,29.75,29.75,29.75,0,29.397948
2015-05-13,29.75,29.75,29.75,29.75,0,29.397948
2015-05-14,29.75,29.75,29.75,29.75,0,29.397948
2015-05-15,29.75,29.75,29.75,29.75,0,29.397948
2015-05-18,29.75,29.75,29.75,29.75,0,29.397948
2015-05-19,29.75,29.75,29.75,29.75,0,29.397948
2015-05-20,29.75,29.75,29.75,29.75,0,29.397948
2015-05-21,29.75,29.75,29.75,29.75,0,29.397948
2015-05-22,29.75,29.75,29.75,29.75,0,29.397948
2015-05-26,30.02,30.02,30.02,30.02,200,29.664754
2015-05-27,30.02,30.02,30.02,30.02,0,29.664754
2015-05-28,30.469999,30.469999,30.42,30.42,500,30.06002
2015-05-29,30.42,30.42,30.42,30.42,0,30.06002
2015-06-01,30.42,30.42,30.42,30.42,0,30.06002
2015-06-02,30.51,30.51,30.51,30.51,100,30.148955
2015-06-03,30.51,30.51,30.51,30.51,0,30.148955
2015-06-04,30.52,30.52,30.51,30.51,400,30.148955
2015-06-05,30.51,30.51,30.51,30.51,0,30.148955
2015-06-08,30.51,30.51,30.51,30.51,0,30.148955
2015-06-09,30.344999,30.344999,30.344999,30.344999,200,29.985907
2015-06-10,30.344999,30.344999,30.344999,30.344999,0,29.985907
2015-06-11,30.344999,30.344999,30.344999,30.344999,0,29.985907
2015-06-12,30.344999,30.344999,30.344999,30.344999,0,29.985907
2015-06-15,30.67,30.67,30.67,30.67,100,30.307061
2015-06-16,30.67,30.67,30.67,30.67,0,30.307061
2015-06-17,30.84,30.84,30.790001,30.790001,400,30.425642
2015-06-18,30.790001,30.790001,30.790001,30.790001,0,30.425642
2015-06-19,31.209999,31.26,31.209999,31.26,4100,30.89008
2015-06-22,31.32,31.389999,31.32,31.389999,1400,31.018541
2015-06-23,31.389999,31.389999,31.389999,31.389999,100,31.018541
2015-06-24,31.15,31.15,31.15,31.15,400,30.821638
2015-06-25,31.15,31.15,31.15,31.15,0,30.821638
2015-06-26,31.059999,31.059999,31.059999,31.059999,300,30.732586
2015-06-29,30.809999,30.809999,30.4,30.41,800,30.089438
2015-06-30,30.41,30.48,30.4,30.440001,1400,30.119123
2015-07-01,30.440001,30.440001,30.440001,30.440001,0,30.119123
2015-07-02,30.440001,30.440001,30.440001,30.440001,0,30.119123
2015-07-06,30.34,30.34,30.34,30.34,0,30.020177
2015-07-07,30.719999,30.73,30.1,30.1,1100,29.782707
2015-07-08,30.27,30.27,30.27,30.27,400,29.950915
2015-07-09,30.219999,30.309999,30.219999,30.27,1000,29.950915
2015-07-10,30.27,30.27,30.27,30.27,0,29.950915
2015-07-13,30.860001,30.860001,30.77,30.77,1600,30.445644
2015-07-14,30.77,30.77,30.77,30.77,0,30.445644
2015-07-15,30.91,30.91,30.91,30.91,300,30.584168
2015-07-16,30.91,30.91,30.91,30.91,0,30.584168
2015-07-17,30.92,30.92,30.92,30.92,500,30.594062
2015-07-20,30.92,30.92,30.92,30.92,0,30.594062
2015-07-21,30.57,30.57,30.57,30.57,100,30.247752
2015-07-22,30.57,30.57,30.57,30.57,0,30.247752
2015-07-23,30.57,30.57,30.57,30.57,0,30.247752
2015-07-24,30.57,30.57,30.57,30.57,0,30.247752
2015-07-27,30.57,30.57,30.57,30.57,0,30.247752
2015-07-28,30.208,30.208,30.208,30.208,100,29.889568
2015-07-29,30.450001,30.5,30.450001,30.5,600,30.17849
2015-07-30,30.43,30.43,30.43,30.43,300,30.109228
2015-07-31,30.75,30.92,30.75,30.92,1200,30.594062
2015-08-03,30.92,30.92,30.92,30.92,0,30.594062
2015-08-04,30.690001,30.690001,30.65,30.65,400,30.326908
2015-08-05,30.77,30.77,30.77,30.77,300,30.445644
2015-08-06,30.549999,30.549999,30.379,30.379,500,30.058765
2015-08-07,30.290001,30.290001,30.200001,30.23,1200,29.911335
2015-08-10,30.23,30.23,30.23,30.23,0,29.911335
2015-08-11,30.23,30.23,30.23,30.23,0,29.911335
2015-08-12,30,30,30,30,200,29.68376
2015-08-13,30,30,30,30,0,29.68376
2015-08-14,30,30,30,30,0,29.68376
2015-08-17,30,30,30,30,0,29.68376
2015-08-18,30.645,30.645,30.645,30.645,200,30.321962
2015-08-19,30.285,30.285,30.285,30.285,600,29.965756
2015-08-20,30.285,30.285,30.285,30.285,0,29.965756
2015-08-21,29.969999,29.969999,29.4,29.549999,3300,29.238503
2015-08-24,27.99,27.99,27.729,27.729,400,27.4367
2015-08-25,28.575001,28.575001,28.575001,28.575001,200,28.273783
2015-08-26,28.1,28.1,28.09,28.09,1100,27.793894
2015-08-27,29.25,29.26,29.25,29.26,500,28.951561
2015-08-28,29.18,29.280001,29.120001,29.280001,1300,28.971351
2015-08-31,29.24,29.32,29.24,29.32,300,29.010928
2015-09-01,28.440001,28.440001,28.440001,28.440001,100,28.140205
2015-09-02,28.67,28.67,28.67,28.67,300,28.36778
2015-09-03,29.049999,29.049999,29,29,400,28.694302
2015-09-04,29,29,29,29,0,28.694302
2015-09-08,29.139999,29.33,29.139999,29.33,1300,29.020823
2015-09-09,29.33,29.440001,29.209999,29.280001,1500,28.971351
2015-09-10,29.1,29.33,29.08,29.120001,3000,28.813038
2015-09-11,29,29.030001,28.969999,28.98,9900,28.674512
2015-09-14,28.98,28.98,28.98,28.98,0,28.674512
2015-09-15,28.98,28.98,28.98,28.98,0,28.674512
2015-09-16,29.549999,29.68,29.549999,29.68,300,29.367134
2015-09-17,29.85,30.1,29.809999,29.809999,2100,29.495763
2015-09-18,29.809999,29.809999,29.809999,29.809999,0,29.495763
2015-09-21,29.809999,29.809999,29.809999,29.809999,0,29.495763
2015-09-22,29.809999,29.809999,29.809999,29.809999,0,29.495763
