"Index","open","high","low","close","volume","adjusted"
2014-07-29,40.279597,40.579594,40.279597,40.579594,1200,29.374348
2014-07-30,40.579594,40.579594,40.579594,40.579594,0,29.374348
2014-07-31,39.729604,39.729604,39.729604,39.729604,400,28.759065
2014-08-01,39.729604,39.729604,39.729604,39.729604,0,28.759065
2014-08-04,38.249618,38.569615,38.209618,38.569615,2800,27.919384
2014-08-05,38.619615,39.329607,38.299618,38.659615,5600,27.984533
2014-08-06,38.339616,39.499606,38.339616,38.979612,18400,28.216168
2014-08-07,39.269607,39.439606,38.349618,38.639614,6400,27.970054
2014-08-08,38.669615,39.439606,38.589614,39.399606,8800,28.520189
2014-08-11,39.739604,40.649593,39.639604,40.139599,10000,29.055848
2014-08-12,39.919602,40.099601,39.21961,39.529604,9200,28.614291
2014-08-13,39.859603,40.279597,39.689604,40.139599,5200,29.055848
2014-08-14,40.279597,40.359598,40.1096,40.259598,14000,29.142712
2014-08-15,40.839591,40.849593,39.409608,40.1096,24400,29.034133
2014-08-18,40.859593,41.329587,40.859593,41.299588,13200,29.89553
2014-08-19,41.459585,41.739584,41.459585,41.579584,16000,30.09821
2014-08-20,41.249588,41.409588,41.079589,41.279587,3200,29.881051
2014-08-21,40.979592,41.509585,40.949591,41.359588,16000,29.938961
2014-08-22,41.359588,41.359588,41.359588,41.359588,0,29.938961
2014-08-25,41.359588,41.359588,41.359588,41.359588,0,29.938961
2014-08-26,42.449576,42.449576,42.419577,42.419577,800,30.706256
2014-08-27,42.339576,42.389576,42.15958,42.269577,13600,30.597675
2014-08-28,41.589584,41.753583,41.589584,41.753583,800,30.224163
2014-08-29,42.329577,42.329577,42.329577,42.329577,1200,30.641107
2014-09-02,42.559575,42.949573,42.289579,42.729574,28400,30.930653
2014-09-03,43.049568,43.11957,42.099581,42.15958,4400,30.518052
2014-09-04,42.399576,42.939574,41.839581,41.859583,9200,30.300893
2014-09-05,41.549586,42.049581,41.549586,42.049581,20000,30.438427
2014-09-08,42.239579,42.339576,41.719585,42.139579,27600,30.503573
2014-09-09,41.539586,41.539586,41.539586,41.539586,1200,30.069257
2014-09-10,41.11959,41.679584,40.869592,41.589584,12800,30.105449
2014-09-11,41.449586,42.049581,41.449586,42.049581,400,30.438427
2014-09-12,41.699583,41.709583,41.229589,41.289589,1600,29.888291
2014-09-15,40.469597,40.469597,40.469597,40.469597,0,29.294724
2014-09-16,40.439596,40.689594,39.509605,40.409598,31600,29.251292
2014-09-17,40.379597,41.139589,40.299598,40.589594,46800,29.381586
2014-09-18,40.979592,41.379587,40.869592,41.379587,20000,29.953438
2014-09-19,41.699583,41.759583,40.469597,40.479597,2000,29.301962
2014-09-22,39.819602,39.889601,39.179609,39.299608,17200,28.447804
2014-09-23,39.279607,39.279607,38.529614,38.539616,2400,27.897669
2014-09-24,38.579614,39.229609,38.399616,39.149608,8400,28.339224
2014-09-25,38.419617,38.419617,37.909623,37.909623,2000,27.441635
2014-09-26,38.209618,38.579614,38.099621,38.579614,8800,27.926622
2014-09-29,38.05962,38.529614,38.05962,38.529614,3600,27.890429
2014-09-30,38.419617,38.419617,37.799623,37.799623,2000,27.36201
2014-10-01,37.249628,37.329627,36.239639,36.319637,23600,26.290693
2014-10-02,36.619635,37.309628,35.849643,37.00963,11200,26.790158
2014-10-03,37.659625,37.939621,37.569625,37.569625,3600,27.195521
2014-10-06,37.799623,37.799623,36.939631,36.939631,2400,26.739488
2014-10-07,36.619635,36.619635,35.729644,35.729644,2400,25.863615
2014-10-08,35.879642,36.729634,35.049651,36.729634,2800,26.587477
2014-10-09,36.199638,36.469637,35.16965,35.16965,4800,25.458251
2014-10-10,34.979652,35.149648,34.279657,34.279657,6800,24.814012
2014-10-13,34.409658,34.809653,34.079659,34.21966,13200,24.770582
2014-10-14,34.449656,35.589644,34.449656,34.679654,4400,25.103558
2014-10-15,33.889661,35.559645,33.889661,35.439646,6800,25.653694
2014-10-16,35.199648,36.179639,35.11965,36.15964,3600,26.174876
2014-10-17,36.669635,36.699633,35.769642,36.01964,4000,26.073534
2014-10-20,36.379637,36.709633,36.299638,36.709633,11600,26.572999
