"Index","open","high","low","close","volume","adjusted"
2013-02-21,59.849998,59.849998,59.57,59.57,5500,53.535963
2013-02-22,59.98,60.049999,59.869999,60.049999,700,53.967342
2013-02-25,60.150002,60.18,59.52,59.52,900,53.491029
2013-02-26,59.23,59.23,59.23,59.23,200,53.230403
2013-02-27,59.5,59.5,59.5,59.5,200,53.473054
2013-02-28,59.950001,60.009998,59.950001,60.009998,300,53.931393
2013-03-01,59.599998,59.599998,59.599998,59.599998,100,53.562924
2013-03-04,59.599998,59.599998,59.599998,59.599998,0,53.562924
2013-03-05,60.59,60.59,60.59,60.59,200,54.452645
2013-03-06,60.799999,60.810001,60.799999,60.810001,400,54.650361
2013-03-07,61.34,61.34,60.75,60.75,200,54.596438
2013-03-08,60.75,60.75,60.75,60.75,0,54.596438
2013-03-11,61.259998,61.259998,61.259998,61.259998,100,55.054777
2013-03-12,61.259998,61.259998,61.259998,61.259998,0,55.054777
2013-03-13,61.459999,61.459999,61.459999,61.459999,100,55.234519
2013-03-14,61.700001,61.700001,61.700001,61.700001,200,55.45021
2013-03-15,61.700001,61.700001,61.700001,61.700001,0,55.583538
2013-03-18,61.700001,61.700001,61.700001,61.700001,0,55.583538
2013-03-19,61.700001,61.700001,61.700001,61.700001,0,55.583538
2013-03-20,61.779999,61.779999,61.77,61.77,1200,55.646598
2013-03-21,61.630001,61.68,61.59,61.68,400,55.56552
2013-03-22,61.57,61.689999,61.560001,61.630001,900,55.520477
2013-03-25,62.110001,62.110001,61.639999,61.68,600,55.56552
2013-03-26,62.040001,62.040001,62.02,62.02,3800,55.871815
2013-03-27,61.91,62.110001,61.91,62.09,1300,55.934876
2013-03-28,62.330002,62.419998,62.330002,62.389999,3000,56.205135
2013-04-01,62,62,61.689999,61.689999,14600,55.574527
2013-04-02,62.25,62.290001,61.84,61.84,7100,55.709659
2013-04-03,61.5,61.5,61,61,400,54.95293
2013-04-04,61,61.25,61,61.25,2200,55.178147
2013-04-05,60.669998,61.18,60.599998,61.18,3200,55.115086
2013-04-08,61.169998,61.880001,61.169998,61.880001,3600,55.745694
2013-04-09,61.669998,61.700001,61.669998,61.700001,1600,55.583538
2013-04-10,61.700001,61.700001,61.700001,61.700001,0,55.583538
2013-04-11,62.580002,62.759998,62.5,62.540001,3400,56.340267
2013-04-12,62.32,62.34,62.07,62.34,2800,56.160093
2013-04-15,61.599998,61.669998,60.369999,60.380001,6300,54.394393
2013-04-16,61.029999,61.110001,61.029999,61.110001,2200,55.052026
2013-04-17,60.57,60.57,60.009998,60.32,2700,54.340339
2013-04-18,60.470001,60.5,59.91,60.09,5900,54.13314
2013-04-19,60.369999,60.849998,60.18,60.84,18500,54.808791
2013-04-22,60.759998,61.110001,60.299999,61.009998,7000,54.961937
2013-04-23,61.619999,61.84,61.48,61.84,3100,55.709659
2013-04-24,61.880001,62.240002,61.66,62.189999,3000,56.024961
2013-04-25,62.23,62.52,62.23,62.279999,4800,56.106039
2013-04-26,62.049999,62.150002,62.049999,62.080002,1500,55.925869
2013-04-29,62.080002,62.080002,62.080002,62.080002,0,55.925869
2013-04-30,62.700001,62.720001,62.700001,62.720001,400,56.502423
2013-05-01,62.970001,62.970001,61.98,61.98,4500,55.83578
2013-05-02,61.709999,62.23,61.709999,62.119999,3100,55.961901
2013-05-03,62.709999,63.290001,62.709999,63.040001,8800,56.790701
2013-05-06,63.139999,63.150002,62.970001,63,14900,56.754665
2013-05-07,63.16,63.709999,63.099998,63.709999,19600,57.39428
2013-05-08,63.869999,63.900002,63.66,63.66,5100,57.349238
2013-05-09,63.709999,63.709999,63.43,63.43,2200,57.142039
2013-05-10,63.580002,63.68,63.540001,63.68,13300,57.367255
2013-05-13,63.66,63.689999,63.599998,63.599998,3100,57.295184
2013-05-14,63.549999,64.099998,63.549999,63.98,2300,57.637515
2013-05-15,64.010002,64.57,64.010002,64.57,2300,58.169027
2013-05-16,64.639999,64.639999,64.300003,64.300003,1100,57.925796
2013-05-17,64.830002,64.860001,64.529999,64.860001,1900,58.43028
2013-05-20,64.75,64.93,64.75,64.889999,9400,58.457305
2013-05-21,64.910004,65.019997,64.910004,65.019997,900,58.574415
2013-05-22,65.220001,65.510002,63.93,63.959999,5300,57.619497
2013-05-23,63.220001,63.73,63.220001,63.59,2800,57.286177
2013-05-24,63.490002,63.68,63.130001,63.68,83800,57.367255
2013-05-28,64.779999,64.82,63.860001,63.959999,11100,57.619497
2013-05-29,63.299999,63.299999,62.700001,63.169998,10500,56.907811
2013-05-30,63.639999,63.73,63.369999,63.459999,17700,57.169063
2013-05-31,63.240002,63.380001,62.950001,63.099998,9600,56.844751
2013-06-03,63.419998,63.439999,62.759998,63.23,4300,56.961864
2013-06-04,63.09,63.09,62.450001,62.799999,11500,56.574491
2013-06-05,62.549999,62.549999,62.099998,62.099998,3800,55.943883
2013-06-06,61.799999,62.169998,61.799999,61.91,800,55.772719
2013-06-07,63.049999,63.049999,62.630001,63.009998,9900,56.763672
2013-06-10,62.93,63.130001,62.93,63.130001,9200,56.871779
2013-06-11,62.290001,62.650002,62.240002,62.650002,4100,56.439363
2013-06-12,62.48,62.48,61.73,61.740002,6000,55.619573
2013-06-13,61.990002,62.950001,61.990002,62.950001,1800,56.709622
2013-06-14,63.080002,63.189999,62.880001,62.880001,2600,56.646562
2013-06-17,63.43,63.43,62.919998,63,8600,56.754665
2013-06-18,63.27,63.990002,63.169998,63.810001,13900,57.484369
2013-06-19,63.650002,63.650002,62.810001,62.810001,3800,56.583502
2013-06-20,61.540001,61.619999,61,61.18,2900,55.115086
2013-06-21,60.880001,61.150002,60.5,61.150002,5700,55.467939
2013-06-24,60.389999,60.740002,60,60.57,6700,54.941831
2013-06-25,60.77,60.900002,60.68,60.790001,1400,55.14139
2013-06-26,61.740002,61.740002,61.220001,61.400002,1000,55.694709
2013-06-27,62.139999,62.290001,62.130001,62.290001,900,56.50201
2013-06-28,62.139999,62.560001,62.139999,62.380001,4100,56.583647
2013-07-01,62.73,62.860001,62.59,62.59,700,56.774133
2013-07-02,63.049999,63.060001,62.490002,62.490002,800,56.683427
2013-07-03,62.490002,62.82,62.490002,62.82,300,56.982761
2013-07-05,63.049999,63.259998,62.73,63.259998,1300,57.381875
2013-07-08,63.889999,63.889999,63.889999,63.889999,600,57.953336
2013-07-09,64.220001,64.519997,64.220001,64.519997,1600,58.524794
2013-07-10,64.519997,64.519997,64.519997,64.519997,0,58.524794
2013-07-11,64.519997,64.519997,64.519997,64.519997,0,58.524794
2013-07-12,65.550003,65.580002,65.550003,65.580002,500,59.486304
2013-07-15,65.709999,66,65.709999,66,200,59.867276
2013-07-16,65.779999,65.82,65.779999,65.82,200,59.704001
2013-07-17,66.209999,66.209999,65.940002,65.980003,1000,59.849137
2013-07-18,66.459999,66.620003,66.459999,66.620003,600,60.429668
2013-07-19,66.660004,66.690002,66.660004,66.690002,800,60.493163
2013-07-22,66.830002,66.860001,66.830002,66.849998,2900,60.638292
2013-07-23,66.860001,66.959999,66.860001,66.940002,500,60.719933
2013-07-24,67,67,66.300003,66.300003,22600,60.139402
2013-07-25,66.720001,66.82,66.720001,66.82,700,60.611081
2013-07-26,66.720001,66.720001,66.720001,66.720001,200,60.520374
