"Index","open","high","low","close","volume","adjusted"
2016-09-09,24.389999,24.389999,24.35,24.35,2900,24.35
2016-09-12,24.35,24.35,24.35,24.35,100,24.35
2016-09-13,24.35,24.35,24.35,24.35,100,24.35
2016-09-14,24.35,24.35,24.35,24.35,100,24.35
2016-09-15,24.379999,24.379999,24.337,24.35,3200,24.35
2016-09-16,24.309999,24.309999,24.309999,24.309999,600,24.309999
2016-09-19,25.540001,25.540001,24.49,24.5,3900,24.5
2016-09-20,24.5,24.5,24.5,24.5,100,24.5
2016-09-21,24.5,24.5,24.5,24.5,100,24.5
2016-09-22,24.98,24.98,24.98,24.98,700,24.98
2016-09-23,24.927,24.950001,24.927,24.950001,2100,24.950001
2016-09-26,24.77,24.77,24.76,24.76,38800,24.76
2016-09-27,24.76,24.76,24.76,24.76,38000,24.76
2016-09-28,24.76,24.76,24.76,24.76,0,24.76
2016-09-29,24.76,24.76,24.76,24.76,0,24.76
2016-09-30,24.527,24.527,24.527,24.527,300,24.527
