"Index","open","high","low","close","volume","adjusted"
2010-02-03,24.799999,24.799999,24.799999,24.799999,0,24.799999
2010-02-04,25.299999,25.299999,24.049999,24.049999,3600,24.049999
2010-02-05,23.5,23.5,23.5,23.5,1000,23.5
2010-02-08,23.5,23.5,23.5,23.5,0,23.5
2010-02-09,23.5,23.5,23.5,23.5,0,23.5
2010-02-10,23.5,23.5,23.5,23.5,0,23.5
2010-02-11,23.5,23.5,23.5,23.5,0,23.5
2010-02-12,23.5,23.5,23.5,23.5,0,23.5
2010-02-16,24.9,25.6,24.9,25.6,2000,25.6
2010-02-17,25.6,25.6,25.6,25.6,0,25.6
2010-02-18,25.75,25.75,25.75,25.75,500,25.75
2010-02-19,25.75,25.75,25.75,25.75,0,25.75
2010-02-22,26,26,26,26,1000,26
2010-02-23,26,26,26,26,0,26
2010-02-24,26,26,26,26,0,26
2010-02-25,26,26,26,26,0,26
2010-02-26,26,26,26,26,0,26
2010-03-01,26,26,26,26,0,26
2010-03-02,26,26,26,26,0,26
2010-03-03,26,26,26,26,0,26
2010-03-04,26,26,26,26,0,26
2010-03-05,26,26,26,26,0,26
2010-03-08,26,26,26,26,0,26
2010-03-09,26,26,26,26,0,26
2010-03-10,26,26,26,26,0,26
2010-03-11,26,26,26,26,0,26
2010-03-12,26,26,26,26,0,26
2010-03-15,26,26,26,26,0,26
2010-03-16,26,26,26,26,0,26
2010-03-17,27.5,27.5,27.5,27.5,500,27.5
2010-03-18,28,28,28,28,100,28
2010-03-19,29,29,29,29,500,29
2010-03-22,29,29,29,29,0,29
2010-03-23,29,29,29,29,0,29
2010-03-24,26.85,26.85,26.85,26.85,1000,26.85
2010-03-25,26.950001,26.950001,26.950001,26.950001,1000,26.950001
2010-03-26,27.1,27.1,27.1,27.1,1000,27.1
2010-03-29,27.969999,27.969999,27.969999,27.969999,200,27.969999
2010-03-30,27.969999,27.969999,27.969999,27.969999,0,27.969999
2010-03-31,27.969999,27.969999,27.969999,27.969999,0,27.969999
2010-04-01,28.4,28.4,28.4,28.4,200,28.4
2010-04-05,28.4,28.4,28.4,28.4,0,28.4
2010-04-06,28.4,28.4,28.4,28.4,0,28.4
2010-04-07,28.4,28.4,28.4,28.4,0,28.4
2010-04-08,28.4,28.4,28.4,28.4,0,28.4
2010-04-09,28.4,28.4,28.4,28.4,0,28.4
2010-04-12,28.4,28.4,28.4,28.4,0,28.4
2010-04-13,28.4,28.4,28.4,28.4,0,28.4
2010-04-14,29.5,32,29.5,30,2500,30
2010-04-15,29.5,29.6,29.5,29.6,2000,29.6
2010-04-16,29.389999,29.389999,29.35,29.35,3000,29.35
2010-04-19,28.5,28.549999,28.4,28.4,3000,28.4
2010-04-20,28.780001,28.879999,28.780001,28.879999,2000,28.879999
2010-04-21,29,29.190001,28.799999,29.030001,4700,29.030001
2010-04-22,28.610001,28.700001,28.610001,28.700001,2000,28.700001
2010-04-23,28.98,29.4,28.98,29.4,3000,29.4
2010-04-26,29.4,29.4,29.4,29.4,0,29.4
2010-04-27,29.4,29.4,29.4,29.4,0,29.4
2010-04-28,29.25,29.25,29.15,29.25,1300,29.25
