"Index","open","high","low","close","volume","adjusted"
2011-05-05,24.08,24.440001,24.08,24.18,86200,22.894885
2011-05-06,24.629999,24.629999,24.17,24.27,26000,22.980102
2011-05-09,24.27,24.27,24.27,24.27,0,22.980102
2011-05-10,24.690001,24.780001,24.690001,24.780001,1300,23.462997
2011-05-11,24.65,24.65,24.23,24.27,2700,22.980102
2011-05-12,24.18,24.41,24.18,24.379999,1700,23.084255
2011-05-13,24.379999,24.379999,24.379999,24.379999,0,23.084255
2011-05-16,24.15,24.15,24.15,24.15,100,22.866479
2011-05-17,24.15,24.15,24.15,24.15,0,22.866479
2011-05-18,23.83,23.83,23.83,23.83,300,22.563487
2011-05-19,23.83,23.83,23.83,23.83,0,22.563487
2011-05-20,24.16,24.16,24.16,24.16,500,22.875948
2011-05-23,23.450001,23.469999,23.42,23.42,2300,22.175277
2011-05-24,23.42,23.42,23.42,23.42,0,22.175277
2011-05-25,23.42,23.42,23.42,23.42,0,22.175277
2011-05-26,23.75,23.940001,23.75,23.940001,900,22.667641
2011-05-27,24.07,24.15,24.07,24.07,400,22.790731
2011-05-31,24.41,24.41,24.41,24.41,200,23.112661
2011-06-01,23.620001,23.66,23.620001,23.66,200,22.402522
2011-06-02,23.610001,23.610001,23.35,23.35,300,22.108998
2011-06-03,23.18,23.18,23.18,23.18,500,21.948033
2011-06-06,23,23,23,23,100,21.777599
2011-06-07,23,23,23,23,0,21.777599
2011-06-08,22.75,22.75,22.719999,22.719999,300,21.51248
2011-06-09,22.719999,22.719999,22.719999,22.719999,0,21.51248
2011-06-10,22.459999,22.459999,22.459999,22.459999,1200,21.266298
2011-06-13,22.139999,22.139999,22.139999,22.139999,800,20.963306
2011-06-14,22.34,22.549999,22.34,22.549999,1400,21.351515
2011-06-15,22.360001,22.360001,21.99,21.99,1800,20.821279
2011-06-16,21.98,22.09,21.98,22.09,3300,20.915964
2011-06-17,22.059999,22.120001,21.9,21.98,26500,20.842003
2011-06-20,21.98,21.98,21.98,21.98,0,20.842003
2011-06-21,21.98,21.98,21.98,21.98,0,20.842003
2011-06-22,22.74,22.74,22.48,22.49,1100,21.325598
2011-06-23,21.99,22.43,21.99,22.41,2400,21.24974
2011-06-24,22.41,22.41,22.139999,22.139999,1700,20.993719
2011-06-27,22.15,22.219999,22.15,22.219999,1500,21.069577
2011-06-28,22.42,22.77,22.42,22.75,176500,21.572137
2011-06-29,22.84,23.139999,22.84,23.040001,68700,21.847123
2011-06-30,23.15,23.41,23.129999,23.33,158500,22.122108
2011-07-01,23.379999,23.75,23.379999,23.75,353100,22.520363
2011-07-05,23.74,23.74,23.58,23.719999,136300,22.491915
2011-07-06,23.530001,23.58,23.440001,23.57,12100,22.349682
2011-07-07,23.940001,24.129999,23.9,24.09,113400,22.84276
2011-07-08,23.65,23.73,23.48,23.73,11800,22.501398
2011-07-11,23.360001,23.360001,22.9,22.9,84600,21.71437
2011-07-12,22.870001,23,22.790001,22.790001,6100,21.610067
2011-07-13,22.99,23.290001,22.98,23.190001,64500,21.989357
2011-07-14,23.040001,23.120001,22.610001,22.66,12600,21.486796
2011-07-15,22.690001,22.83,22.690001,22.83,23800,21.647995
2011-07-18,22.84,22.84,22.33,22.440001,38600,21.278187
2011-07-19,22.85,23.1,22.85,23.07,88200,21.875569
2011-07-20,23.15,23.23,23.110001,23.219999,84200,22.017802
2011-07-21,23.379999,23.58,23.379999,23.58,87000,22.359164
2011-07-22,23.559999,23.73,23.530001,23.73,3400,22.501398
