"Index","open","high","low","close","volume","adjusted"
2012-10-26,25.1,25.1,24.950001,25.049999,89700,21.778906
2012-10-31,25.09,25.200001,25.009001,25.059999,23600,21.7876
2012-11-01,25.16,25.200001,25.1,25.129999,43300,21.848459
2012-11-02,25.24,25.24,24.799999,24.799999,50000,21.561552
2012-11-05,24.799999,24.799999,24.559999,24.690001,30200,21.465917
2012-11-06,24.860001,24.92,24.759001,24.84,22900,21.596329
2012-11-07,24.790001,24.790001,24.360001,24.450001,527300,21.257257
2012-11-08,24.440001,24.469999,24.25,24.25,22400,21.083373
2012-11-09,24.120001,24.32,24.120001,24.139999,20400,20.987736
2012-11-12,24.16,24.16,24.070999,24.080999,10500,20.936441
2012-11-13,24.049999,24.24,24,24,82200,20.866018
2012-11-14,24.09,24.09,23.68,23.700001,12900,20.605194
2012-11-15,23.65,23.687,23.450001,23.559999,47600,20.573756
2012-11-16,23.52,23.74,23.43,23.74,29200,20.730941
2012-11-19,23.959999,24.02,23.906,24.02,51900,20.975451
2012-11-20,24.040001,24.040001,23.875999,24.030001,32200,20.984184
2012-11-21,24.09,25.07,23.98,24.030001,22500,20.984184
2012-11-23,24.129999,24.209999,24.076,24.209999,11100,21.141367
2012-11-26,24.25,24.299999,24.209999,24.299999,44200,21.21996
2012-11-27,24.360001,24.4,24.271,24.290001,51300,21.211229
2012-11-28,24.27,24.48,24.107,24.48,9900,21.377145
2012-11-29,24.57,24.570999,24.43,24.540001,38400,21.429541
2012-11-30,24.6,24.620001,24.530001,24.6,258700,21.481936
2012-12-03,24.58,24.610001,24.51,24.539,55200,21.428667
2012-12-04,24.530001,24.549999,24.389999,24.42,25600,21.324751
2012-12-05,24.43,24.59,24.360001,24.51,507800,21.403343
2012-12-06,24.559999,24.559999,24.483999,24.530001,13900,21.420809
2012-12-07,24.559999,24.6,24.459999,24.6,21000,21.481936
2012-12-10,24.59,24.65,24.583,24.629999,31700,21.508132
2012-12-11,24.726999,24.790001,24.67,24.73,38700,21.595458
2012-12-12,24.84,24.889999,24.700001,24.700001,18200,21.569261
2012-12-13,24.809999,24.809999,24.530001,24.559999,41400,21.447005
2012-12-14,24.5,24.5,24.370001,24.370001,49000,21.387328
2012-12-17,24.530001,24.620001,24.513,24.620001,68100,21.60673
2012-12-18,24.690001,24.82,24.58,24.82,60400,21.782251
2012-12-19,24.889999,24.889999,24.677,24.719999,28100,21.69449
2012-12-20,24.709999,24.75,24.613001,24.73,21400,21.703266
2012-12-21,24.549999,24.66,24.48,24.549999,37100,21.545296
2012-12-24,24.59,24.59,24.450001,24.51,22300,21.510193
2012-12-26,24.49,24.49,24.35,24.363001,15700,21.381185
2012-12-27,24.42,24.42,24.08,24.33,22400,21.352223
2012-12-28,25,25,24.1,24.1,22200,21.150373
2012-12-31,24.09,24.4,24.059999,24.388,32000,21.403125
2013-01-02,24.77,24.9,24.719999,24.9,124300,21.85246
2013-01-03,24.950001,24.98,24.84,24.93,52900,21.878789
2013-01-04,25,25.120001,24.99,25.110001,72300,22.036758
2013-01-07,25.059999,25.08,25,25.059999,77300,21.992877
2013-01-08,25.049999,25.049999,24.902,24.941,56500,21.888442
2013-01-09,25.01,25.040001,24.969,25.040001,59600,21.975326
2013-01-10,25.15,25.190001,25.08,25.188999,85700,22.106088
2013-01-11,25.219999,25.219999,25.106001,25.17,69400,22.089414
2013-01-14,25.219999,25.219999,25.127001,25.17,46900,22.089414
2013-01-15,25.059999,25.08,25,25.08,52900,22.089415
2013-01-16,25.040001,25.040001,24.957001,24.98,174500,22.001339
2013-01-17,25.01,25.209999,25.01,25.18,72600,22.177491
2013-01-18,25.17,25.24,25.063,25.24,30000,22.230336
2013-01-22,25.25,25.42,25.219999,25.413,52600,22.382707
2013-01-23,25.4,25.4,25.290001,25.32,82400,22.300797
2013-01-24,25.379999,25.459999,25.370001,25.41,55900,22.380065
2013-01-25,25.469999,25.469999,25.34,25.469999,81600,22.43291
2013-01-28,26.200001,26.200001,25.41,25.5,98100,22.459333
2013-01-29,25.549999,25.709999,25.547001,25.709999,45900,22.644292
2013-01-30,25.709999,25.709999,25.58,25.59,30700,22.538602
2013-01-31,25.639999,25.709999,25.629999,25.700001,28900,22.635486
2013-02-01,25.85,25.92,25.797001,25.9,64900,22.811636
2013-02-04,25.75,25.77,25.693001,25.709999,44600,22.644292
2013-02-05,25.709999,25.84,25.709999,25.780001,71300,22.705946
2013-02-06,25.75,25.85,25.650999,25.85,69900,22.767599
2013-02-07,26,26,25.754,25.9,117900,22.811636
2013-02-08,26,26,25.93,25.98,49200,22.882097
2013-02-11,26.299999,26.299999,25.959999,26.024,74300,22.920851
2013-02-12,26.07,26.129999,26,26.120001,65600,23.005404
2013-02-13,26.200001,26.200001,26.1,26.15,30100,23.031826
2013-02-14,26.4,26.4,25.959999,26.01,91800,22.90852
2013-02-15,25.950001,26,25.889999,25.959999,40000,22.954499
2013-02-19,26.07,26.157,26.049999,26.157,40000,23.128692
2013-02-20,26.17,26.209999,26.01,26.01,41800,22.998711
2013-02-21,25.973,25.983,25.879999,25.950001,39900,22.945658
2013-02-22,26.110001,26.15,26.030001,26.15,46300,23.122502
2013-02-25,26.25,26.299999,25.790001,25.790001,55200,22.804182
2013-02-26,25.879999,25.93,25.76,25.92,34600,22.919131
2013-02-27,25.92,26.209999,25.909,26.18,27800,23.14903
2013-02-28,26.200001,26.290001,26.15,26.15,36000,23.122502
2013-03-01,26.110001,26.18,25.98,26.177,77200,23.146377
2013-03-04,26.200001,26.379999,26.153,26.360001,33600,23.308191
2013-03-05,26.51,26.59,26.49,26.540001,139400,23.467352
2013-03-06,26.620001,26.620001,26.469999,26.530001,160800,23.458509
2013-03-07,26.59,26.59,26.469999,26.49,65600,23.423139
2013-03-08,26.594999,26.629999,26.506001,26.610001,75900,23.529247
2013-03-11,26.6,26.68,26.569,26.68,46700,23.591143
2013-03-12,26.73,26.73,26.636999,26.690001,77400,23.599985
2013-03-13,26.75,26.76,26.658001,26.74,69200,23.644196
2013-03-14,26.799999,26.85,26.77,26.83,60700,23.723776
2013-03-15,26.700001,26.75,26.6,26.74,57500,23.712247
2013-03-18,26.57,26.690001,26.530001,26.59,59100,23.579232
2013-03-19,26.629999,26.658001,26.489,26.618999,51600,23.604948
2013-03-20,26.74,26.84,26.719999,26.82,57300,23.783189
2013-03-21,26.77,26.82,26.68,26.709999,35200,23.685644
2013-03-22,26.780001,26.860001,26.74,26.860001,135200,23.818661
2013-03-25,26.950001,26.99,26.733,26.83,41700,23.792057
2013-03-26,26.9,27.1,26.9,27.1,40600,24.031485
2013-03-27,27.02,27.18,26.959999,27.17,45500,24.093559
2013-03-28,27.200001,27.409,27.16,27.379999,154300,24.27978
2013-04-01,27.35,27.379,27.243,27.34,535200,24.24431
2013-04-02,27.469999,27.489,27.385,27.450001,50800,24.341855
2013-04-03,27.41,27.440001,27.190001,27.27,56600,24.182236
2013-04-04,27.32,27.450001,27.32,27.440001,30200,24.332988
2013-04-05,27.209999,27.4,27.200001,27.4,34600,24.297516
2013-04-08,27.41,27.58,27.32,27.58,31500,24.457135
2013-04-09,27.639999,27.724001,27.51,27.66,45800,24.528076
2013-04-10,27.73,27.969999,27.73,27.959999,63500,24.794107
2013-04-11,27.969999,28.120001,27.940001,28.059999,60700,24.882784
2013-04-12,28.02,28.040001,27.93,28.039,32100,24.864162
2013-04-15,27.85,27.860001,27.43,27.43,78600,24.391102
2013-04-16,27.5,27.75,27.5,27.75,51200,24.67565
2013-04-17,27.68,27.68,27.4,27.49,35500,24.444454
2013-04-18,27.48,27.540001,27.409,27.52,35000,24.471131
2013-04-19,27.59,27.85,27.59,27.85,93800,24.764571
2013-04-22,27.93,27.969999,27.726,27.93,264000,24.835708
2013-04-23,28.049999,28.129999,27.84,28.129999,76700,25.01355
2013-04-24,28.16,28.17,28.049999,28.129999,39200,25.01355
2013-04-25,28.129999,28.290001,28.120001,28.190001,64300,25.066904
2013-04-26,28.190001,28.256001,28.17,28.209999,29400,25.084687
2013-04-29,28.190001,28.41,28.190001,28.389999,29300,25.244745
2013-04-30,28.33,28.48,28.27,28.42,40500,25.271422
2013-05-01,28.370001,28.450001,28.188,28.191,43300,25.067793
2013-05-02,28.23,28.370001,28.23,28.360001,27300,25.21807
2013-05-03,28.57,28.57,28.440001,28.450001,66400,25.298099
2013-05-06,28.41,28.43,28.25,28.26,90000,25.129149
2013-05-07,28.309999,28.43,28.304001,28.419001,82000,25.270534
2013-05-08,28.4,28.4,28.282,28.360001,50800,25.21807
2013-05-09,28.370001,28.370001,28.15,28.190001,59400,25.066904
2013-05-10,28.200001,28.32,28.15,28.32,58500,25.182501
2013-05-13,28.299999,28.35,28.200001,28.319,46900,25.181612
2013-05-14,28.34,28.59,28.34,28.57,74100,25.404804
2013-05-15,28.4,28.85,28.4,28.780001,74400,25.658897
2013-05-16,28.790001,28.790001,28.546,28.59,160800,25.489502
2013-05-17,28.68,28.83,28.629999,28.83,74200,25.703474
2013-05-20,28.83,28.9,28.766001,28.790001,101500,25.667813
2013-05-21,28.83,28.872,28.688999,28.849001,79200,25.720415
2013-05-22,28.9,29.16,28.49,28.58,109200,25.480586
2013-05-23,28.32,28.497999,28.200001,28.43,99800,25.346853
2013-05-24,28.299999,28.34,28.17,28.34,107600,25.266613
2013-05-28,28.5,28.58,28.16,28.209999,69800,25.150711
2013-05-29,28.1,28.1,27.68,27.809999,198100,24.79409
2013-05-30,27.85,28.07,27.83,27.83,69700,24.811921
2013-05-31,27.74,27.99,27.48,27.48,71200,24.499877
2013-06-03,27.6,27.690001,27.4,27.690001,539600,24.687104
2013-06-04,27.809999,27.809999,27.459999,27.59,81000,24.597949
2013-06-05,27.559999,27.559999,27.271,27.280001,84900,24.321568
2013-06-06,27.26,27.51,27.15,27.51,32200,24.526624
2013-06-07,27.700001,27.790001,27.566999,27.77,106000,24.758428
2013-06-10,27.790001,27.85,27.709999,27.780001,110700,24.767344
2013-06-11,27.629999,27.77,27.52,27.52,68200,24.53554
2013-06-12,27.690001,27.719999,27.358,27.370001,58500,24.401808
2013-06-13,27.32,27.76,27.27,27.75,84300,24.740597
2013-06-14,27.68,27.82,27.558001,27.620001,120200,24.694106
2013-06-17,27.76,27.879999,27.664,27.780001,53700,24.837157
2013-06-18,27.780001,28.040001,27.780001,28,62100,25.033851
2013-06-19,27.91,27.969999,27.473,27.5,143800,24.586818
2013-06-20,27.209999,27.209999,26.68,26.76,321600,23.925209
2013-06-21,26.940001,27.125,26.705999,27.045,61000,24.180018
2013-06-24,26.870001,27.030001,26.620001,26.860001,70700,24.014616
2013-06-25,27.02,27.18,26.9,27.129999,36700,24.256012
2013-06-26,27.309999,27.469999,27.24,27.43,35900,24.524233
2013-06-27,27.540001,27.690001,27.48,27.549,80800,24.630627
2013-06-28,27.540001,27.610001,27.399,27.42,89600,24.515292
2013-07-01,27.452,27.610001,27.33,27.389999,39700,24.48847
2013-07-02,27.379999,27.549999,27.24,27.370001,38300,24.47059
2013-07-03,27.290001,27.33,27.159,27.281,17100,24.391017
2013-07-05,27.48,27.48,27.110001,27.370001,25200,24.47059
2013-07-08,27.559999,27.67,27.523001,27.66,48300,24.729868
2013-07-09,28,28,27.726999,27.83,41500,24.881859
2013-07-10,27.809999,27.91,27.76,27.879999,78100,24.926562
2013-07-11,28.049999,28.33,28.049999,28.33,112100,25.328892
2013-07-12,28.34,28.34,28.211,28.33,35700,25.328892
2013-07-15,28.24,28.405001,28.188,28.379999,35300,25.446352
2013-07-16,28.469999,28.469999,28.26,28.309999,42800,25.383588
2013-07-17,28.32,28.42,28.32,28.379999,32700,25.446352
2013-07-18,28.32,28.51,28.32,28.5,65000,25.553948
2013-07-19,28.5,28.51,28.41,28.51,26900,25.562914
2013-07-22,28.549999,28.59,28.475,28.51,37700,25.562914
2013-07-23,28.59,28.59,28.481001,28.549999,39100,25.598779
2013-07-24,28.58,28.58,28.167,28.25,45800,25.32979
2013-07-25,28.209999,28.34,28.16,28.33,36700,25.401521
2013-07-26,28.200001,28.4,28.124001,28.4,41700,25.464285
2013-07-29,28.374001,28.431999,28.309999,28.379999,35000,25.446352
2013-07-30,28.48,28.52,28.280001,28.34,39700,25.410487
2013-07-31,28.360001,28.379999,28.17,28.219999,47000,25.302891
2013-08-01,28.309999,28.41,28.290001,28.4,54100,25.464285
2013-08-02,28.440001,28.469999,28.35,28.469999,28900,25.527048
2013-08-05,28.68,28.68,28.35,28.370001,47700,25.437387
2013-08-06,28.389999,28.389999,28.23,28.280001,32300,25.35669
2013-08-07,28.17,28.309999,28.15,28.290001,47300,25.365656
2013-08-08,28.41,28.41,28.23,28.35,60100,25.419454
2013-08-09,28.33,28.35,28.200001,28.26,20500,25.338757
2013-08-12,28.190001,28.190001,28.059999,28.120001,34100,25.213229
2013-08-13,28.209999,28.209999,27.98,28.059999,30200,25.15943
2013-08-14,28.059999,28.07,27.860001,27.93,39400,25.042869
2013-08-15,27.620001,27.620001,27.459999,27.459999,37600,24.690405
2013-08-16,27.48,27.48,27.18,27.299999,34700,24.546542
2013-08-19,27.24,27.24,27,27,56300,24.276801
2013-08-20,26.969999,27.280001,26.969999,27.200001,41300,24.45663
2013-08-21,27.16,27.23,26.969999,27,42500,24.276801
2013-08-22,27.08,27.290001,27.059999,27.200001,11500,24.45663
2013-08-23,27.190001,27.4,27.18,27.370001,43800,24.609484
2013-08-26,27.379999,27.42,27.190001,27.219999,30500,24.474611
2013-08-27,27.07,27.120001,26.969999,27.030001,37900,24.303776
2013-08-28,26.950001,27.1,26.92,27.030001,15300,24.303776
2013-08-29,27,27.08,26.969999,27,19700,24.276801
2013-08-30,27.049999,27.049999,26.889999,26.969999,17900,24.249826
2013-09-03,27.23,27.23,26.73,26.780001,303100,24.078991
2013-09-04,26.719999,26.99,26.719999,26.940001,25700,24.222853
2013-09-05,26.99,26.99,26.83,26.879999,17200,24.168903
2013-09-06,26.950001,27.129999,26.9,26.959999,190100,24.240834
2013-09-09,26.950001,27.190001,26.950001,27.18,55100,24.438647
2013-09-10,27.35,27.35,27.190001,27.32,143600,24.564526
2013-09-11,27.389999,27.389999,27.23,27.370001,153000,24.609484
2013-09-12,27.379999,27.379999,27.25,27.26,32800,24.510578
2013-09-13,27.25,27.32,27.25,27.309999,36700,24.634154
2013-09-16,27.549999,27.67,27.459999,27.51,34700,24.814558
2013-09-17,27.629999,27.629999,27.559999,27.58,20000,24.877699
2013-09-18,27.57,28.129999,27.49,28.1,29500,25.34675
2013-09-19,28.129999,28.17,28,28.049999,40400,25.301648
2013-09-20,28.129999,28.129999,27.68,27.68,11900,24.967902
2013-09-23,27.66,27.719999,27.620001,27.709999,24300,24.994961
2013-09-24,27.73,27.75,27.629999,27.639999,19800,24.93182
2013-09-25,27.65,27.66,27.540001,27.540001,22500,24.84162
2013-09-26,27.610001,27.639999,27.5,27.620001,25900,24.913781
2013-09-27,27.5,27.5,27.360001,27.440001,14500,24.751417
2013-09-30,27.299999,27.32,27.200001,27.26,29800,24.589053
2013-10-01,27.26,27.51,27.26,27.48,19500,24.787497
2013-10-02,27.389999,27.440001,27.23,27.440001,45000,24.751417
2013-10-03,27.34,27.34,27.049999,27.129999,33100,24.47179
2013-10-04,27.1,27.18,27.07,27.129999,19100,24.47179
2013-10-07,27.01,27.209999,26.99,27.09,31500,24.43571
2013-10-08,27.07,27.15,26.940001,26.940001,24500,24.300407
2013-10-09,26.959999,27.120001,26.959999,26.99,17500,24.345508
2013-10-10,27.24,27.549999,27.200001,27.549999,24100,24.850638
2013-10-11,27.49,27.65,27.49,27.629999,21800,24.9228
2013-10-14,27.530001,27.700001,27.42,27.67,40300,24.958881
2013-10-15,27.530001,27.530001,27.290001,27.33,18000,24.732639
2013-10-16,27.6,27.67,27.530001,27.67,22700,25.040327
2013-10-17,27.559999,27.969999,27.559999,27.93,22300,25.275617
2013-10-18,27.969999,27.99,27.91,27.959999,17500,25.302765
2013-10-21,27.950001,27.950001,27.9,27.950001,23000,25.293717
2013-10-22,27.99,28.32,27.99,28.290001,33000,25.601405
2013-10-23,28.17,28.309999,28.17,28.25,27800,25.565205
2013-10-24,28.32,28.32,28.190001,28.27,23800,25.583305
2013-10-25,28.200001,28.49,28.200001,28.49,18400,25.782396
2013-10-28,28.469999,28.559999,28.459999,28.540001,23400,25.827645
2013-10-29,28.469999,28.57,28.469999,28.57,20200,25.854793
2013-10-30,28.57,28.6,28.35,28.41,16600,25.709999
2013-10-31,28.469999,28.559999,28.33,28.389999,16400,25.691899
2013-11-01,28.450001,28.51,28.35,28.459999,21500,25.755247
2013-11-04,28.59,28.59,28.4,28.530001,18800,25.818595
2013-11-05,28.49,28.49,28.370001,28.379999,21800,25.68285
2013-11-06,28.459999,28.57,28.459999,28.530001,15300,25.818595
2013-11-07,28.65,28.66,28.290001,28.309999,27800,25.619503
2013-11-08,28.23,28.440001,28.120001,28.440001,12000,25.737149
