"Index","open","high","low","close","volume","adjusted"
2005-12-06,15.47,15.69,15.47,15.6,343700,13.846285
2005-12-07,15.6,15.62,15.42,15.44,342800,13.704271
2005-12-08,15.45,15.58,15.44,15.52,354100,13.775279
2005-12-09,15.59,15.74,15.47,15.57,295000,13.819657
2005-12-12,15.75,15.8,15.59,15.67,315300,13.908416
2005-12-13,15.67,15.85,15.65,15.73,329600,13.96167
2005-12-14,15.85,15.85,15.7,15.81,299200,14.032678
2005-12-15,15.84,15.84,15.69,15.73,193100,13.96167
2005-12-16,15.8,15.81,15.56,15.58,205800,13.828533
2005-12-19,15.59,15.59,15.36,15.39,161200,13.659893
2005-12-20,15.49,15.5,15.39,15.46,130500,13.722023
2005-12-21,15.51,15.6,15.5,15.54,181800,13.79303
2005-12-22,15.61,15.66,15.55,15.65,112300,13.890664
2005-12-23,15.68,15.68,15.56,15.65,76200,13.890664
2005-12-27,15.73,15.73,15.36,15.43,229500,13.695396
2005-12-28,15.44,15.52,15.38,15.52,66600,13.775279
2005-12-29,15.52,15.52,15.4,15.41,62500,13.677644
2005-12-30,15.3,15.35,15.25,15.28,128300,13.562258
2006-01-03,15.44,15.71,15.3,15.67,206100,13.908416
2006-01-04,15.75,15.83,15.65,15.83,197900,14.050429
2006-01-05,15.83,15.95,15.67,15.75,145600,13.979422
2006-01-06,15.96,16.030001,15.85,15.98,211600,14.183566
2006-01-09,16.059999,16.110001,15.97,16.049999,153900,14.245696
2006-01-10,15.99,16.15,15.96,16.139999,170700,14.325579
2006-01-11,16.200001,16.209999,16.059999,16.15,194000,14.334455
2006-01-12,16.18,16.23,16.01,16.049999,202100,14.245696
2006-01-13,16.08,16.110001,16.02,16.09,163400,14.2812
2006-01-17,16.110001,16.110001,15.98,16.1,165000,14.290076
2006-01-18,16.049999,16.049999,15.86,15.99,140000,14.192442
2006-01-19,16.15,16.280001,16.049999,16.26,126800,14.432089
2006-01-20,16.35,16.389999,16.02,16.02,219000,14.21907
2006-01-23,16.08,16.1,15.97,16.030001,137100,14.227946
2006-01-24,16.120001,16.200001,16.08,16.17,99600,14.352207
2006-01-25,16.299999,16.299999,15.91,16,130800,14.201318
2006-01-26,16.209999,16.34,16.059999,16.32,207500,14.485344
2006-01-27,16.450001,16.58,16.33,16.389999,272900,14.547474
2006-01-30,16.5,16.620001,16.370001,16.57,224100,14.707239
2006-01-31,16.65,16.92,16.469999,16.620001,138000,14.75162
2006-02-01,16.65,16.73,16.59,16.629999,145500,14.760494
2006-02-02,16.629999,16.639999,16.26,16.360001,209000,14.520848
2006-02-03,16.4,16.4,16.200001,16.280001,174000,14.449841
2006-02-06,16.450001,16.459999,16.32,16.450001,77400,14.600731
2006-02-07,16.5,16.5,16.01,16.02,148200,14.21907
2006-02-08,16.09,16.18,15.85,16.139999,130600,14.325579
2006-02-09,16.16,16.26,15.89,15.92,121700,14.130311
