"Index","open","high","low","close","volume","adjusted"
2011-05-05,24.879999,24.950001,24.73,24.790001,42900,21.464426
2011-05-06,25.08,25.08,24.870001,24.92,12500,21.576986
2011-05-09,24.9,24.92,24.9,24.92,600,21.576986
2011-05-10,25.190001,25.27,25.190001,25.25,9700,21.862716
2011-05-11,25.23,25.24,25.059999,25.110001,28900,21.741498
2011-05-12,25.16,25.450001,25.15,25.450001,8200,22.035887
2011-05-13,25.440001,25.440001,25.26,25.34,13100,21.940643
2011-05-16,25.370001,25.389999,25.280001,25.280001,10000,21.888692
2011-05-17,25.24,25.360001,25.24,25.360001,16900,21.95796
2011-05-18,25.459999,25.459999,25.32,25.32,2000,21.923326
2011-05-19,25.58,25.58,25.41,25.43,6800,22.01857
2011-05-20,25.549999,25.549999,25.35,25.440001,15700,22.027228
2011-05-23,25.27,25.27,25.190001,25.190001,11000,21.810766
2011-05-24,25.34,25.34,25.16,25.200001,10500,21.819424
2011-05-25,25.17,25.17,24.98,25.15,12700,21.776131
2011-05-26,25.120001,25.16,24.99,25.129999,9300,21.758814
2011-05-27,25.290001,25.290001,25.18,25.23,16600,21.845399
2011-05-31,25.43,25.43,25.309999,25.41,4500,22.001252
2011-06-01,25.42,25.42,25.110001,25.110001,33400,21.741498
2011-06-02,25.17,25.17,24.950001,24.959999,6100,21.611619
2011-06-03,24.75,24.84,24.68,24.719999,11000,21.403815
2011-06-06,24.77,24.77,24.6,24.610001,9300,21.308573
2011-06-07,24.75,24.76,24.66,24.719999,2800,21.403815
2011-06-08,24.700001,24.700001,24.559999,24.66,900,21.351865
2011-06-09,24.73,24.82,24.620001,24.75,595200,21.429791
2011-06-10,24.75,24.75,24.5,24.5,104900,21.213329
2011-06-13,24.41,24.639999,24.41,24.57,19400,21.273938
2011-06-14,24.77,24.790001,24.629999,24.73,25200,21.412474
2011-06-15,24.549999,24.58,24.299999,24.35,25500,21.154451
2011-06-16,24.48,24.52,24.389999,24.48,19600,21.26739
2011-06-17,24.76,24.76,24.57,24.610001,44200,21.380331
2011-06-20,24.620001,24.780001,24.6,24.75,34600,21.501957
2011-06-21,24.92,24.92,24.77,24.860001,29900,21.597522
2011-06-22,24.860001,24.860001,24.77,24.780001,197600,21.528021
2011-06-23,24.639999,24.639999,24.360001,24.49,99600,21.276078
2011-06-24,24.620001,24.68,24.48,24.52,17100,21.302141
2011-06-27,24.57,24.68,24.540001,24.639999,63900,21.406392
2011-06-28,24.73,24.780001,24.709999,24.780001,71900,21.528021
2011-06-29,24.940001,24.940001,24.799999,24.9,630700,21.632272
2011-06-30,25,25.040001,24.889999,25.030001,198100,21.745212
2011-07-01,25.09,25.32,25.040001,25.309999,245200,21.988466
2011-07-05,25.32,25.33,25.190001,25.209999,461300,21.901589
2011-07-06,25.209999,25.35,25.209999,25.33,261900,22.005841
2011-07-07,25.540001,25.540001,25.4,25.440001,106800,22.101406
2011-07-08,25.24,25.33,25.24,25.33,34200,22.005841
2011-07-11,25.16,25.16,25.040001,25.07,14100,21.779962
2011-07-12,25.030001,25.25,25.030001,25.120001,19600,21.823401
2011-07-13,25.190001,25.27,25.049999,25.049999,30800,21.762586
2011-07-14,25.18,25.200001,24.950001,24.969999,68600,21.693085
2011-07-15,24.93,24.93,24.799999,24.799999,9500,21.638116
2011-07-18,24.700001,24.709999,24.58,24.68,2262700,21.533417
2011-07-19,24.809999,24.950001,24.76,24.92,538100,21.742817
2011-07-20,24.969999,24.99,24.870001,24.91,60200,21.734092
2011-07-21,25.09,25.25,25.030001,25.24,105300,22.022019
2011-07-22,25.24,25.24,25.08,25.110001,78300,21.908594
2011-07-25,24.959999,25.08,24.950001,25.01,16000,21.821343
2011-07-26,25.030001,25.030001,24.9,24.9,73800,21.725367
2011-07-27,24.92,24.92,24.629999,24.66,637100,21.515966
2011-07-28,24.59,24.690001,24.469999,24.469999,27100,21.35019
2011-07-29,24.35,24.51,24.25,24.34,41300,21.236765
2011-08-01,24.559999,24.559999,24.049999,24.23,139100,21.140789
2011-08-02,24.129999,24.17,23.84,23.85,35300,20.809238
2011-08-03,23.809999,23.91,23.610001,23.91,140800,20.861588
2011-08-04,23.799999,23.799999,23.09,23.09,210200,20.146134
2011-08-05,23.41,23.48,22.860001,23.35,728400,20.372985
2011-08-08,23.26,23.26,22.110001,22.17,219700,19.34343
2011-08-09,22.450001,23.469999,21.74,22.92,182000,19.997808
2011-08-10,22.719999,22.84,22.190001,22.219999,355300,19.387054
2011-08-11,22.34,23.32,22.33,23.07,143400,20.128683
2011-08-12,23.27,23.33,22.610001,23.219999,100200,20.259559
2011-08-15,23.219999,23.59,23.219999,23.59,97300,20.639273
2011-08-16,23.43,23.58,23.33,23.530001,89600,20.586779
2011-08-17,23.6,23.809999,23.5,23.620001,569800,20.665521
2011-08-18,23.26,23.280001,22.870001,23.09,223800,20.201815
2011-08-19,22.9,23.219999,22.9,22.91,2433900,20.04433
2011-08-22,23.280001,23.280001,22.91,22.93,1067300,20.061829
2011-08-23,23.08,23.49,22.959999,23.49,539300,20.551781
2011-08-24,23.5,23.83,23.43,23.809999,165800,20.831754
2011-08-25,23.9,23.9,23.379999,23.43,487100,20.499287
2011-08-26,23.34,23.709999,23.08,23.6,95400,20.648023
2011-08-29,25.120001,25.219999,23.85,24.129999,380300,21.111727
2011-08-30,24.07,24.280001,23.950001,24.17,212900,21.146725
2011-08-31,24.35,24.379999,24.16,24.290001,193500,21.251715
2011-09-01,24.33,24.440001,24.09,24.110001,277300,21.09423
2011-09-02,23.809999,23.93,23.719999,23.719999,519500,20.753012
2011-09-06,23.23,23.610001,23.17,23.6,181700,20.648023
2011-09-07,23.85,24.030001,23.76,24.030001,156400,21.024237
2011-09-08,23.959999,24.17,23.93,23.93,81600,20.936745
2011-09-09,23.75,23.75,23.290001,23.4,598800,20.473039
2011-09-12,23.209999,23.530001,23.08,23.5,1428200,20.560531
2011-09-13,23.58,23.690001,23.4,23.65,668400,20.691768
2011-09-14,23.68,24.129999,23.57,23.92,58400,20.927995
2011-09-15,24.040001,24.15,23.91,24.129999,89400,21.17369
2011-09-16,24.27,24.379999,24.200001,24.299999,188500,21.322863
2011-09-19,24.17,24.290001,23.950001,24.16,120000,21.200015
2011-09-20,24.290001,24.59,24.200001,24.32,105100,21.340413
2011-09-21,24.34,36.560001,23.780001,23.83,180600,20.910446
2011-09-22,23.26,23.379999,23.09,23.34,637600,20.480479
2011-09-23,23.290001,23.540001,23.24,23.43,218200,20.559452
2011-09-26,23.82,23.860001,23.48,23.860001,666700,20.936771
2011-09-27,24.219999,24.32,23.969999,24,677600,21.059618
2011-09-28,24.15,24.16,23.68,23.73,124200,20.822697
2011-09-29,24.02,24.110001,23.67,23.969999,182900,21.033293
2011-09-30,23.92,24.040001,23.700001,23.700001,519100,20.796373
