"Index","open","high","low","close","volume","adjusted"
2015-10-12,25.219999,25.219999,25.190001,25.190001,200,24.907521
2015-10-13,25.190001,25.190001,25.190001,25.190001,0,24.907521
2015-10-14,25.190001,25.190001,25.190001,25.190001,0,24.907521
2015-10-15,25.190001,25.190001,25.190001,25.190001,0,24.907521
2015-10-16,25.35,25.35,25.34,25.34,200,25.055838
2015-10-19,25.34,25.34,25.34,25.34,0,25.055838
2015-10-20,25.34,25.34,25.34,25.34,0,25.055838
2015-10-21,25.34,25.34,25.34,25.34,0,25.055838
2015-10-22,25.440001,25.541,25.440001,25.541,200,25.254585
2015-10-23,25.541,25.541,25.541,25.541,0,25.254585
2015-10-26,25.799999,25.799999,25.799999,25.799999,100,25.510679
2015-10-27,25.799999,25.799999,25.799999,25.799999,0,25.510679
2015-10-28,26.360001,26.360001,26.360001,26.360001,1100,26.064401
2015-10-29,26.299999,26.299999,26.299999,26.299999,2100,26.005072
2015-10-30,26.18,26.18,26.18,26.18,100,25.886419
2015-11-02,26.18,26.18,26.18,26.18,100,25.886419
2015-11-03,26.18,26.18,26.18,26.18,0,25.886419
2015-11-04,26.18,26.18,26.18,26.18,0,25.886419
2015-11-05,26.1,26.1,26.1,26.1,200,25.807316
2015-11-06,26.120001,26.120001,26.120001,26.120001,1000,25.827092
2015-11-09,26.120001,26.120001,26.120001,26.120001,0,25.827092
2015-11-10,25.959,25.959,25.959,25.959,500,25.667896
2015-11-11,25.959,25.959,25.959,25.959,0,25.667896
2015-11-12,25.959,25.959,25.959,25.959,0,25.667896
2015-11-13,25.423,25.423,25.423,25.423,200,25.137908
2015-11-16,25.299999,25.552999,25.299999,25.552999,300,25.266449
2015-11-17,25.552999,25.552999,25.552999,25.552999,0,25.266449
2015-11-18,25.552999,25.552999,25.552999,25.552999,0,25.266449
2015-11-19,26.027,26.027,25.98,25.98,500,25.688661
2015-11-20,25.98,25.98,25.98,25.98,0,25.688661
2015-11-23,25.98,25.98,25.98,25.98,0,25.688661
2015-11-24,26,26.049999,26,26.049999,400,25.757876
2015-11-25,26.450001,26.450001,26.450001,26.450001,200,26.153392
2015-11-27,26.450001,26.450001,26.450001,26.450001,0,26.153392
2015-11-30,26.450001,26.450001,26.450001,26.450001,0,26.153392
2015-12-01,26.365999,26.365999,26.360001,26.360001,2000,26.064401
2015-12-02,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-03,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-04,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-07,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-08,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-09,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-10,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-11,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-14,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-15,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-16,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-17,26.360001,26.360001,26.360001,26.360001,0,26.064401
2015-12-18,25.799999,25.799999,25.799999,25.799999,500,25.600027
2015-12-21,25.799999,25.799999,25.799999,25.799999,0,25.600027
2015-12-22,25.799999,25.799999,25.799999,25.799999,0,25.600027
2015-12-23,25.799999,25.799999,25.799999,25.799999,0,25.600027
2015-12-24,25.799999,25.799999,25.799999,25.799999,0,25.600027
2015-12-28,25.799999,25.799999,25.799999,25.799999,0,25.600027
2015-12-29,25.799999,25.799999,25.799999,25.799999,0,25.600027
2015-12-30,25.799999,25.799999,25.799999,25.799999,0,25.600027
2015-12-31,25.799999,25.799999,25.799999,25.799999,0,25.600027
2016-01-04,25.799999,25.799999,25.799999,25.799999,0,25.600027
2016-01-05,25.799999,25.799999,25.799999,25.799999,0,25.600027
2016-01-06,25.49,25.49,25.49,25.49,200,25.29243
2016-01-07,25.49,25.49,25.49,25.49,0,25.29243
2016-01-08,25.49,25.49,25.49,25.49,0,25.29243
2016-01-11,25.49,25.49,25.49,25.49,0,25.29243
2016-01-12,25.49,25.49,25.49,25.49,0,25.29243
2016-01-13,25.49,25.49,25.49,25.49,0,25.29243
2016-01-14,24.559999,24.559999,24.559999,24.559999,300,24.369638
2016-01-15,24.559999,24.559999,24.559999,24.559999,0,24.369638
2016-01-19,24.92,24.92,24.92,24.92,400,24.726848
2016-01-20,24.92,24.92,24.92,24.92,0,24.726848
2016-01-21,24.299999,24.299999,24.299999,24.299999,1000,24.111653
2016-01-22,24.299999,24.299999,24.299999,24.299999,0,24.111653
2016-01-25,24.299999,24.299999,24.299999,24.299999,0,24.111653
2016-01-26,24.299999,24.299999,24.299999,24.299999,0,24.111653
2016-01-27,24.299999,24.299999,24.299999,24.299999,0,24.111653
2016-01-28,24.33,24.33,24.33,24.33,800,24.141421
2016-01-29,24.299999,24.77,24.299999,24.77,3300,24.578011
2016-02-01,24.77,24.77,24.77,24.77,0,24.578011
2016-02-02,24.6,24.6,24.5,24.5,300,24.310104
2016-02-03,24.51,24.51,24.5,24.5,600,24.310104
2016-02-04,24.5,24.5,24.5,24.5,0,24.310104
2016-02-05,23.75,23.75,23.75,23.75,800,23.565917
2016-02-08,23.75,23.75,23.75,23.75,0,23.565917
2016-02-09,23.75,23.75,23.75,23.75,0,23.565917
2016-02-10,23.65,23.65,23.65,23.65,300,23.466692
2016-02-11,23.65,23.65,23.65,23.65,0,23.466692
2016-02-12,23.450001,23.450001,23.450001,23.450001,100,23.268243
2016-02-16,23.969999,23.969999,23.969999,23.969999,100,23.784211
2016-02-17,23.969999,23.969999,23.969999,23.969999,0,23.784211
2016-02-18,24.309999,24.309999,24.309999,24.309999,200,24.121576
2016-02-19,24.309999,24.309999,24.309999,24.309999,0,24.121576
2016-02-22,24.719999,24.719999,24.719999,24.719999,1000,24.528398
2016-02-23,24.719999,24.719999,24.719999,24.719999,0,24.528398
2016-02-24,24.719999,24.719999,24.719999,24.719999,0,24.528398
2016-02-25,24.719999,24.719999,24.719999,24.719999,0,24.528398
2016-02-26,24.719999,24.719999,24.719999,24.719999,100,24.528398
2016-02-29,24.719999,24.719999,24.719999,24.719999,0,24.528398
2016-03-01,24.719999,24.719999,24.719999,24.719999,0,24.528398
2016-03-02,24.719999,24.719999,24.719999,24.719999,0,24.528398
2016-03-03,24.719999,24.719999,24.719999,24.719999,0,24.528398
2016-03-04,25.209999,25.209999,25.15,25.15,400,24.955065
2016-03-07,25.15,25.15,25.15,25.15,0,24.955065
2016-03-08,25.15,25.15,25.15,25.15,0,24.955065
2016-03-09,25.15,25.15,25.15,25.15,0,24.955065
2016-03-10,25.15,25.15,25.15,25.15,0,24.955065
2016-03-11,25.15,25.15,25.15,25.15,0,24.955065
2016-03-14,25.15,25.15,25.15,25.15,0,24.955065
2016-03-15,25.15,25.15,25.15,25.15,0,24.955065
2016-03-16,25.15,25.15,25.15,25.15,0,24.955065
2016-03-17,25.219999,25.33,25.219999,25.33,1700,25.13367
2016-03-18,25.33,25.33,25.33,25.33,0,25.13367
2016-03-21,25.33,25.33,25.33,25.33,0,25.13367
2016-03-22,25.33,25.33,25.33,25.33,0,25.13367
2016-03-23,25.33,25.33,25.33,25.33,0,25.13367
2016-03-24,25.33,25.33,25.33,25.33,0,25.13367
2016-03-28,25.33,25.33,25.33,25.33,0,25.13367
2016-03-29,25.33,25.33,25.33,25.33,0,25.13367
2016-03-30,26.049999,26.049999,26.049999,26.049999,200,25.848089
2016-03-31,26.049999,26.049999,26.049999,26.049999,0,25.848089
2016-04-01,26.049999,26.049999,26.049999,26.049999,0,25.848089
2016-04-04,26.049999,26.049999,26.049999,26.049999,0,25.848089
2016-04-05,26.049999,26.049999,26.049999,26.049999,0,25.848089
2016-04-06,26.049999,26.049999,26.049999,26.049999,0,25.848089
2016-04-07,25.787001,25.787001,25.787001,25.787001,400,25.587129
2016-04-08,25.93,25.93,25.93,25.93,1600,25.72902
2016-04-11,25.93,25.93,25.93,25.93,0,25.72902
2016-04-12,25.93,25.93,25.93,25.93,0,25.72902
2016-04-13,25.93,25.93,25.93,25.93,0,25.72902
2016-04-14,25.959999,25.969999,25.959999,25.969999,2500,25.768709
2016-04-15,25.969999,25.969999,25.969999,25.969999,0,25.768709
2016-04-18,25.91,26.18,25.91,26.18,600,25.977083
2016-04-19,26.18,26.18,26.18,26.18,0,25.977083
2016-04-20,26.18,26.18,26.18,26.18,0,25.977083
2016-04-21,26.18,26.18,26.18,26.18,0,25.977083
2016-04-22,26.18,26.18,26.18,26.18,0,25.977083
2016-04-25,26.18,26.18,26.18,26.18,0,25.977083
2016-04-26,26.18,26.18,26.18,26.18,0,25.977083
2016-04-27,26.18,26.18,26.18,26.18,0,25.977083
2016-04-28,26.18,26.18,26.18,26.18,0,25.977083
2016-04-29,26.18,26.18,26.18,26.18,0,25.977083
2016-05-02,25.833,25.833,25.833,25.833,100,25.632772
2016-05-03,25.833,25.833,25.833,25.833,0,25.632772
2016-05-04,25.833,25.833,25.833,25.833,0,25.632772
2016-05-05,25.833,25.833,25.833,25.833,0,25.632772
2016-05-06,25.833,25.833,25.833,25.833,0,25.632772
2016-05-09,25.833,25.833,25.833,25.833,0,25.632772
2016-05-10,25.833,25.833,25.833,25.833,0,25.632772
2016-05-11,25.833,25.833,25.833,25.833,0,25.632772
2016-05-12,25.833,25.833,25.833,25.833,0,25.632772
2016-05-13,26.08,26.09,26.08,26.09,200,25.88778
2016-05-16,26.09,26.09,26.09,26.09,0,25.88778
2016-05-17,26.09,26.09,26.09,26.09,0,25.88778
2016-05-18,26.09,26.09,26.09,26.09,0,25.88778
2016-05-19,26.09,26.09,26.09,26.09,0,25.88778
2016-05-20,25.74,25.74,25.74,25.74,400,25.540492
2016-05-23,25.74,25.74,25.74,25.74,0,25.540492
2016-05-24,25.74,25.74,25.74,25.74,0,25.540492
2016-05-25,25.74,25.74,25.74,25.74,0,25.540492
2016-05-26,25.74,25.74,25.74,25.74,0,25.540492
2016-05-27,26.030001,26.190001,26.030001,26.190001,600,25.987005
2016-05-31,26.190001,26.190001,26.190001,26.190001,0,25.987005
2016-06-01,26.190001,26.190001,26.190001,26.190001,0,25.987005
2016-06-02,26.125999,26.209999,26.125999,26.209999,500,26.006849
2016-06-03,26.209999,26.209999,26.209999,26.209999,0,26.006849
2016-06-06,26.209999,26.209999,26.209999,26.209999,0,26.006849
2016-06-07,26.209999,26.209999,26.209999,26.209999,0,26.006849
2016-06-08,26.209999,26.209999,26.209999,26.209999,0,26.006849
2016-06-09,26.209999,26.209999,26.209999,26.209999,0,26.006849
2016-06-10,26.209999,26.209999,26.209999,26.209999,0,26.006849
2016-06-13,26.209999,26.209999,26.209999,26.209999,0,26.006849
2016-06-14,25.959999,25.98,25.959999,25.959999,500,25.758787
