"Index","open","high","low","close","volume","adjusted"
2015-09-24,39.57,39.82,39.57,39.73,1400,38.919915
2015-09-25,40.25,40.25,40.040001,40.040001,800,39.223596
2015-09-28,39.540001,39.540001,39.040001,39.040001,3400,38.243986
2015-09-29,39.040001,39.040001,39.040001,39.040001,0,38.243986
2015-09-30,39.650002,39.650002,39.650002,39.650002,100,38.841548
2015-10-01,39.700001,39.766998,39.700001,39.766998,200,38.95616
2015-10-02,39.939999,39.939999,39.939999,39.939999,100,39.125633
2015-10-05,41.200001,41.200001,41.200001,41.200001,300,40.359944
2015-10-06,41.209999,41.209999,41.209999,41.209999,600,40.369738
2015-10-07,41.369999,41.400002,41.369999,41.400002,600,40.555866
2015-10-08,41.900002,41.900002,41.900002,41.900002,200,41.045672
2015-10-09,41.900002,41.900002,41.880001,41.880001,3000,41.026079
2015-10-12,41.91,41.91,41.91,41.91,97500,41.055466
2015-10-13,41.68,41.68,41.68,41.68,3000,40.830156
2015-10-14,41.68,41.68,41.68,41.68,0,40.830156
2015-10-15,41.68,41.68,41.68,41.68,0,40.830156
2015-10-16,41.68,41.68,41.68,41.68,0,40.830156
2015-10-19,42.048,42.048,42.048,42.048,1500,41.190653
2015-10-20,42.048,42.048,42.048,42.048,0,41.190653
2015-10-21,42.048,42.048,42.048,42.048,0,41.190653
2015-10-22,42.048,42.048,42.048,42.048,0,41.190653
2015-10-23,42.048,42.048,42.048,42.048,0,41.190653
2015-10-26,42.048,42.048,42.048,42.048,0,41.190653
2015-10-27,42.900002,42.900002,42.900002,42.900002,100,42.025282
2015-10-28,43.130001,43.189999,43.130001,43.189999,200,42.309366
2015-10-29,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-10-30,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-02,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-03,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-04,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-05,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-06,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-09,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-10,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-11,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-12,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-13,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-16,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-17,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-18,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-19,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-20,43.189999,43.189999,43.189999,43.189999,0,42.309366
2015-11-23,43.599998,43.599998,43.599998,43.599998,100,42.711006
2015-11-24,43.48,43.48,43.476002,43.476002,700,42.589538
2015-11-25,43.476002,43.476002,43.476002,43.476002,0,42.589538
2015-11-27,43.439999,43.439999,43.439999,43.439999,0,42.554269
2015-11-30,43.439999,43.439999,43.439999,43.439999,0,42.554269
2015-12-01,43.619999,43.619999,43.619999,43.619999,100,42.730599
2015-12-02,43.669998,43.669998,43.669998,43.669998,200,42.779578
2015-12-03,43.389999,43.389999,43.389999,43.389999,100,42.505289
2015-12-04,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-07,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-08,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-09,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-10,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-11,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-14,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-15,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-16,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-17,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-18,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-21,43.389999,43.389999,43.389999,43.389999,0,42.505289
2015-12-22,43.389999,43.389999,43.389999,43.389999,0,42.739722
2015-12-23,43.389999,43.389999,43.389999,43.389999,0,42.739722
2015-12-24,43.389999,43.389999,43.389999,43.389999,0,42.739722
2015-12-28,43.389999,43.389999,43.389999,43.389999,0,42.739722
2015-12-29,42.82,42.82,42.82,42.82,1500,42.178264
2015-12-30,42.778999,42.778999,42.778999,42.778999,500,42.137878
2015-12-31,42.778999,42.778999,42.778999,42.778999,0,42.137878
2016-01-04,42.778999,42.778999,42.778999,42.778999,0,42.137878
2016-01-05,42.778999,42.778999,42.778999,42.778999,0,42.137878
2016-01-06,42.778999,42.778999,42.778999,42.778999,0,42.137878
2016-01-07,40.5,40.5,40.5,40.5,400,39.893034
2016-01-08,40.369999,40.369999,40.369999,40.369999,100,39.764981
2016-01-11,40.369999,40.369999,40.369999,40.369999,0,39.764981
2016-01-12,40.369999,40.369999,40.369999,40.369999,0,39.764981
2016-01-13,39.23,39.23,39.23,39.23,200,38.642067
2016-01-14,39.23,39.23,39.23,39.23,0,38.642067
2016-01-15,40.679001,40.679001,38.34,38.34,4900,37.765406
2016-01-19,38.34,38.34,38.34,38.34,0,37.765406
2016-01-20,38.34,38.34,38.34,38.34,0,37.765406
2016-01-21,38.34,38.34,38.34,38.34,0,37.765406
2016-01-22,38.34,38.34,38.34,38.34,0,37.765406
