"Index","open","high","low","close","volume","adjusted"
2015-02-05,50.299999,50.400002,50.299999,50.34,3300,48.648956
2015-02-06,50.419998,50.650002,50.419998,50.549999,2500,48.8519
2015-02-09,50.34,50.34,50.259998,50.310001,2100,48.619965
2015-02-10,50.419998,50.599998,50.349998,50.599998,1900,48.90022
2015-02-11,50.799999,50.941002,50.799999,50.869999,11900,49.16115
2015-02-12,51.169998,51.369999,51.169998,51.369999,3600,49.644354
2015-02-13,52,52,51.571999,51.73,1700,49.992261
2015-02-17,52.189999,52.189999,51.556,51.75,3300,50.01159
2015-02-18,51.610001,51.740002,51.57,51.726002,5600,49.988398
2015-02-19,51.669998,51.880001,51.669998,51.827,2700,50.086003
2015-02-20,51.849998,52.141998,51.57,52.141998,4200,50.39042
2015-02-23,54,54,52.099998,52.240002,4600,50.485131
2015-02-24,52.27,52.299999,52.16,52.16,3600,50.407817
2015-02-25,52.59,52.59,52.102001,52.169998,17500,50.417479
2015-02-26,52.16,52.16,51.98,51.98,2300,50.233863
2015-02-27,51.860001,52.09,51.860001,51.900002,1100,50.156553
2015-03-02,72.529999,72.529999,51.990002,52.209999,5700,50.456137
2015-03-03,51.879002,52.009998,51.879002,51.992001,3500,50.245461
2015-03-04,52.189999,52.189999,51.599998,51.779999,3900,50.040581
2015-03-05,51.790001,51.84,51.77,51.810001,4800,50.069576
2015-03-06,53.009998,53.009998,51.25,51.259998,3800,49.538049
2015-03-09,51.560001,51.560001,51.220001,51.349998,1700,49.625026
2015-03-10,51.279999,52.34,50.509998,50.509998,22500,48.813243
2015-03-11,50.669998,51.560001,50.530998,51.560001,5300,49.827974
2015-03-12,50.959999,51.16,50.73,51.130001,15900,49.412418
2015-03-13,50.580002,50.880001,50.580002,50.880001,2500,49.170817
2015-03-16,50.509998,51.459999,50.509998,51.459999,4400,49.731331
2015-03-17,51.439999,52.490002,51.105,51.310001,11000,49.586372
2015-03-18,51.060001,52.009998,51.029999,52.009998,8100,50.262854
2015-03-19,51.507999,51.66,51.507999,51.640999,1700,49.906251
2015-03-20,51.799999,52.049999,51.799999,52.049999,700,50.397153
2015-03-23,52.119999,52.119999,52.040001,52.07,7800,50.416518
2015-03-24,51.863998,51.93,51.669998,51.669998,3400,50.029219
2015-03-25,51.639999,51.650002,50.889999,50.900002,10200,49.283673
2015-03-26,50.639999,50.849998,50.400002,50.849998,11200,49.235258
2015-03-27,50.790001,50.889999,50.779999,50.881001,1300,49.265276
2015-03-30,51.68,51.68,51.290001,51.52,1800,49.883984
2015-03-31,51.990002,51.990002,51.099998,51.099998,4300,49.47732
2015-04-01,50.880001,51.056,50.880001,50.970001,6800,49.35145
2015-04-02,51.209999,51.209999,51.099998,51.099998,1500,49.47732
2015-04-06,53.814999,53.814999,51.459999,51.481998,13500,49.847189
2015-04-07,51.57,51.599998,51.368,51.368,2700,49.736811
