"Index","open","high","low","close","volume","adjusted"
2015-10-22,30.190001,30.454,30.190001,30.379999,3000,29.455606
2015-10-23,30.440001,30.450001,30.200001,30.23,16500,29.31017
2015-10-26,30.639999,30.639999,30.049999,30.120001,41400,29.203519
2015-10-27,30.059999,30.059999,29.83,29.92,26000,29.009603
2015-10-28,30.059999,30.15,29.75,29.75,8300,28.844776
2015-10-29,29.799999,29.98,29.799999,29.976,4100,29.063899
2015-10-30,30.190001,30.190001,29.940001,30.129999,4200,29.213213
2015-11-02,30.290001,30.290001,30.1,30.1,500,29.184127
2015-11-03,30.32,30.459999,30.27,30.450001,3800,29.523477
2015-11-04,30.73,30.73,30.26,30.299999,5300,29.37804
2015-11-05,30.49,30.49,30.16,30.16,13800,29.242301
2015-11-06,30,30,29.576,29.65,2700,28.747818
2015-11-09,29.549999,29.549999,29.448,29.485001,1800,28.58784
2015-11-10,29.59,29.59,29.549999,29.58,11000,28.679949
2015-11-11,29.603001,29.610001,29.57,29.57,13600,28.670253
2015-11-12,29.51,29.51,29.257,29.290001,4300,28.398774
2015-11-13,29.23,29.23,28.914,28.952999,4300,28.072026
2015-11-16,28.969999,29.42,28.969999,29.42,7700,28.524817
2015-11-17,29.59,29.59,29.200001,29.200001,7000,28.311512
2015-11-18,29.42,29.673,29.33,29.673,5300,28.770119
2015-11-19,29.719999,29.742001,29.700001,29.74,1200,28.83508
2015-11-20,29.82,29.860001,29.82,29.84,10600,28.932038
2015-11-23,29.879999,29.879999,29.700001,29.700001,4300,28.796298
2015-11-24,29.66,29.860001,29.57,29.860001,5800,28.95143
2015-11-25,29.99,29.99,29.792999,29.83,1500,28.922342
2015-11-27,29.780001,29.780001,29.780001,29.780001,900,28.873864
2015-11-30,29.85,31.190001,29.73,29.73,65700,28.825384
2015-12-01,29.940001,29.950001,29.790001,29.950001,4400,29.038691
2015-12-02,29.83,29.83,29.4,29.41,20400,28.515121
2015-12-03,29.74,29.74,29.209999,29.209999,2400,28.321206
