"Index","open","high","low","close","volume","adjusted"
2000-10-02,96.375,96.375,96.375,96.375,500,81.558693
2000-10-03,95.25,95.25,95.25,95.25,500,80.606646
2000-10-04,95.25,95.25,95.25,95.25,0,80.606646
2000-10-05,94.125,94.125,94.125,94.125,500,79.654599
2000-10-06,94.125,94.125,94.125,94.125,0,79.654599
2000-10-09,94.125,94.125,94.125,94.125,0,79.654599
2000-10-10,94.125,94.125,94.125,94.125,0,79.654599
2000-10-11,94.125,94.125,94.125,94.125,0,79.654599
2000-10-12,84.8125,84.8125,84.8125,84.8125,25000,71.773766
2000-10-13,84.8125,84.8125,84.8125,84.8125,0,71.773766
2000-10-16,89,89,89,89,100,75.317496
2000-10-17,89,89,89,89,0,75.317496
2000-10-18,89,89,89,89,0,75.317496
2000-10-19,89,89,89,89,0,75.317496
2000-10-20,89,89,89,89,0,75.317496
2000-10-23,89,89,89,89,0,75.317496
2000-10-24,89,89,89,89,0,75.317496
2000-10-25,88.9375,88.9375,87.9375,87.9375,200,74.418341
2000-10-26,85.140617,85.625,85.140617,85.625,5200,72.461355
2000-10-27,85.625,85.625,85.625,85.625,0,72.461355
2000-10-30,85.625,85.625,85.625,85.625,0,72.461355
2000-10-31,85.625,85.625,85.625,85.625,0,72.461355
2000-11-01,85.625,85.625,85.625,85.625,0,72.461355
2000-11-02,85.625,85.625,85.625,85.625,0,72.461355
2000-11-03,85.625,85.625,85.625,85.625,0,72.461355
2000-11-06,85.625,85.625,85.625,85.625,0,72.461355
2000-11-07,85.625,85.625,85.625,85.625,0,72.461355
2000-11-08,85.625,85.625,85.625,85.625,0,72.461355
2000-11-09,86.125,87.3125,84.25,86.0625,700,72.831596
2000-11-10,86.0625,86.0625,86.0625,86.0625,0,72.831596
2000-11-13,80,80,79.5,79.5,200,67.277988
2000-11-14,83.75,83.75,83.75,83.75,100,70.87461
2000-11-15,86.875,86.875,86.5625,86.5625,300,73.254728
2000-11-16,85.8125,85.8125,85.8125,85.8125,300,72.62003
2000-11-17,85.8125,85.8125,85.8125,85.8125,0,72.62003
2000-11-20,80.4375,80.4375,80.4375,80.4375,200,68.071361
2000-11-21,80.4375,80.4375,80.4375,80.4375,0,68.071361
2000-11-22,79.1875,79.8125,79.1875,79.8125,200,67.542446
2000-11-24,79.8125,79.8125,79.8125,79.8125,0,67.542446
2000-11-27,82.25,82.25,82.25,82.25,100,69.605214
2000-11-28,80,80,79.375,79.375,3100,67.172205
2000-11-29,79.375,79.375,79.375,79.375,0,67.172205
2000-11-30,75.6875,77,75.5625,77,2200,65.162328
2000-12-01,77.8125,77.8125,76.375,76.375,400,64.633413
2000-12-04,77,77.625,77,77.625,200,65.691243
2000-12-05,81.8125,81.8125,80.875,81.6875,1100,69.129191
2000-12-06,81.6875,81.6875,81.6875,81.6875,0,69.129191
2000-12-07,79.875,79.875,79.875,79.875,1000,67.595337
2000-12-08,79.875,79.875,79.875,79.875,0,67.595337
2000-12-11,84.5625,84.875,83.875,83.875,3800,70.980393
2000-12-12,83.625,84.1875,82.75,83.5,400,70.663044
2000-12-13,84.5,84.5,81.1875,81.1875,300,68.706059
2000-12-14,81.375,81.375,80.4375,80.4375,1100,68.071361
2000-12-15,76,76.25,75.6875,76.25,25400,64.546891
2000-12-18,76.125,76.125,76.125,76.125,200,64.441077
2000-12-19,77.6875,77.875,74.1875,74.1875,3300,62.800951
2000-12-20,70.875,70.875,70.0625,70.0625,1000,59.30907
2000-12-21,69.875,71.125,69.875,71.125,1000,60.208494
2000-12-22,72.25,73.1875,71.875,71.875,4800,60.843381
2000-12-26,73.875,74.1875,72.25,72.25,4900,61.160825
2000-12-27,74.0625,74.0625,74.0625,74.0625,1400,62.695136
2000-12-28,73.4375,73.625,73.4375,73.625,1800,62.324785
2000-12-29,74,74,72.875,73.125,2000,61.901527
2001-01-02,70.75,70.75,67.625,67.625,1200,57.245686
2001-01-03,68.5,76.0625,68.5,76.0625,800,64.38817
2001-01-04,75.75,77.671883,75.75,76.25,900,64.546891
2001-01-05,73.75,73.75,73.75,73.75,100,62.4306
2001-01-08,70.75,70.75,69.625,70.0625,1000,59.30907
2001-01-09,72.375,73.625,70.9375,71.6875,1800,60.684659
2001-01-10,73.1875,73.1875,73.1875,73.1875,100,61.954434
2001-01-11,74,76.5625,73.859383,76.5625,800,64.811428
2001-01-12,76.0625,76.0625,75.625,75.625,500,64.017819
2001-01-16,75.875,75.875,75.0625,75.0625,500,63.541653
2001-01-17,78.75,78.75,77.0625,77.0625,800,65.234686
2001-01-18,78.375,79.4375,78.296883,79.4375,1300,67.245163
2001-01-19,79.625,80.3125,79.25,80.3125,1900,67.985865
2001-01-22,80.3125,80.3125,80.3125,80.3125,0,67.985865
2001-01-23,77.875,80.0625,77.875,80.0625,1500,67.774236
2001-01-24,80.125,80.25,80.125,80.25,300,67.932958
2001-01-25,80,80,80,80,200,67.721329
2001-01-26,77.8125,77.8125,77.8125,77.8125,600,65.869574
2001-01-29,78.5,79.190002,78.5,79.190002,500,67.035652
2001-01-30,79.349998,79.690002,79.349998,79.690002,1600,67.458911
2001-01-31,80.300003,80.300003,78.300003,78.300003,700,66.282253
2001-02-01,78.139999,78.139999,78.139999,78.139999,200,66.146807
2001-02-02,78.139999,78.139999,78.139999,78.139999,0,66.146807
2001-02-05,75.160004,75.169998,74.769997,74.849998,800,63.361767
2001-02-06,75.25,76.849998,75.25,76.550003,1000,64.800849
2001-02-07,75.410004,75.410004,74.989998,74.989998,200,63.480279
2001-02-08,74.75,74.75,73.25,73.25,400,62.007342
2001-02-09,71.760002,71.760002,70.589996,70.589996,800,59.755604
2001-02-12,70.760002,71.120003,70.760002,71.120003,2600,60.204264
2001-02-13,72.440002,72.440002,71,71,5200,60.102679
2001-02-14,70,70.279999,70,70.279999,6600,59.493186
2001-02-15,73.68,73.970001,72.720001,72.889999,13300,61.702595
2001-02-16,70.150002,70.480003,70.150002,70.480003,200,59.662493
2001-02-20,68.839996,69,68.839996,69,400,58.409646
2001-02-21,67.800003,67.849998,67.370003,67.849998,1000,57.436151
2001-02-22,67.849998,67.849998,67.849998,67.849998,0,57.436151
2001-02-23,65.099998,65.099998,63.25,63.25,1200,53.542176
2001-02-26,63.25,63.25,63.25,63.25,0,53.542176
2001-02-27,65.720001,65.720001,65.099998,65.099998,1100,55.10823
2001-02-28,65.099998,65.099998,65.099998,65.099998,0,55.10823
2001-03-01,62.75,62.75,61.650002,61.650002,1100,52.18775
2001-03-02,63.919998,63.919998,63.919998,63.919998,200,54.10934
2001-03-05,63.43,63.43,63.43,63.43,200,53.694549
2001-03-06,65.57,65.849998,65.349998,65.349998,900,55.319859
2001-03-07,64.5,64.5,64.5,64.5,700,54.600321
2001-03-08,64.5,64.5,64.5,64.5,0,54.600321
2001-03-09,64.5,64.5,64.5,64.5,0,54.600321
2001-03-12,59.470001,59.470001,57.009998,57.009998,1100,48.25991
2001-03-13,57.009998,57.009998,57.009998,57.009998,0,48.25991
2001-03-14,57.009998,57.009998,57.009998,57.009998,0,48.25991
2001-03-15,58.91,58.91,58.860001,58.860001,800,49.825968
2001-03-16,56.57,56.57,56.57,56.57,100,47.91512
2001-03-19,56.5,56.509998,56.200001,56.419998,11600,47.788068
2001-03-20,59.200001,59.200001,58.700001,58.959999,8000,49.939464
2001-03-21,58.959999,58.959999,58.959999,58.959999,0,49.939464
2001-03-22,53.299999,55.849998,53.299999,55.849998,7800,47.305275
2001-03-23,57.049999,57.25,56.299999,57.25,1900,48.491085
2001-03-26,57.700001,57.799999,57.34,57.34,11200,48.567315
2001-03-27,57.150002,58.700001,57.150002,58.700001,600,49.719244
2001-03-28,56.810001,56.810001,56.27,56.27,1600,47.661019
2001-03-29,55.990002,55.990002,55.990002,55.990002,100,47.423859
2001-03-30,55.049999,55.880001,55.049999,55.880001,900,47.330687
2001-04-02,54.900002,54.900002,54.18,54.18,300,45.890777
2001-04-03,54.18,54.18,54.18,54.18,0,45.890777
2001-04-04,51.799999,52.110001,50.189999,50.189999,400,42.511222
2001-04-05,53.259998,54.259998,53.259998,54.259998,1400,45.958536
2001-04-06,54.259998,54.259998,54.259998,54.259998,0,45.958536
2001-04-09,54.259998,54.259998,54.259998,54.259998,0,45.958536
2001-04-10,55.34,56.220001,55.34,56.080002,1400,47.500089
2001-04-11,57.75,57.75,57.18,57.59,1300,48.779067
2001-04-12,56.599998,56.599998,56.599998,56.599998,100,47.940529
2001-04-16,57.720001,57.799999,57.720001,57.799999,300,48.956937
2001-04-17,57.669998,57.669998,57.669998,57.669998,200,48.846825
