"Index","open","high","low","close","volume","adjusted"
2000-10-02,131.4375,132.156235,131.4375,132.156235,10200,44.619477
2000-10-03,132.906235,132.906235,132.906235,132.906235,10000,44.872697
2000-10-04,133.1875,133.1875,133.1875,133.1875,4000,44.967659
2000-10-05,133.1875,133.1875,133.1875,133.1875,4000,44.967659
2000-10-06,132.0625,132.0625,131.484375,131.484375,400,44.392639
2000-10-09,131.140625,131.140625,131,131,5400,44.229101
2000-10-10,131,131,131,131,600,44.229101
2000-10-11,129.046875,129.046875,128.1875,128.1875,14000,43.279526
2000-10-12,128.1875,128.1875,128.1875,128.1875,0,43.279526
2000-10-13,127.343758,127.875,127.343758,127.875,5400,43.174018
2000-10-16,127.546883,127.546883,127.546883,127.546883,5000,43.063236
2000-10-17,127.546883,127.546883,127.546883,127.546883,0,43.063236
2000-10-18,127.546883,127.546883,127.546883,127.546883,0,43.063236
2000-10-19,127.546883,127.546883,127.546883,127.546883,0,43.063236
2000-10-20,127.546883,127.546883,127.546883,127.546883,0,43.063236
2000-10-23,128.984375,128.984375,128.984375,128.984375,200,43.548572
2000-10-24,128.984375,128.984375,128.984375,128.984375,0,43.548572
2000-10-25,128.984375,128.984375,128.984375,128.984375,0,43.548572
2000-10-26,129.640625,129.734375,129.640625,129.734375,4600,43.801792
2000-10-27,129.734375,129.734375,129.734375,129.734375,0,43.801792
2000-10-30,129.734375,129.734375,129.734375,129.734375,0,43.801792
2000-10-31,129.734375,129.734375,129.734375,129.734375,0,43.801792
2000-11-01,129.734375,129.734375,129.734375,129.734375,0,43.801792
2000-11-02,129.734375,129.734375,129.734375,129.734375,0,43.801792
2000-11-03,134.0625,134.0625,134.0625,134.0625,8000,45.263083
2000-11-06,134.625,134.8125,134.625,134.8125,6600,45.516303
2000-11-07,135.281235,135.281235,135.031235,135.218765,14200,45.653469
2000-11-08,135.218765,135.218765,135.218765,135.218765,0,45.653469
2000-11-09,135.578125,135.578125,135.578125,135.578125,200,45.774798
2000-11-10,135.578125,135.578125,135.578125,135.578125,0,45.774798
2000-11-13,133.5625,133.5625,133.5625,133.5625,200,45.09427
2000-11-14,133.5,134,133.5,134,600,45.241981
2000-11-15,132.75,134,132.75,133.281235,11000,44.999307
2000-11-16,133.281235,133.281235,133.281235,133.281235,0,44.999307
2000-11-17,131.843765,131.843765,131.843765,131.843765,400,44.513979
2000-11-20,131.843765,131.843765,131.843765,131.843765,0,44.513979
2000-11-21,131.25,131.25,131.25,131.25,200,44.313508
2000-11-22,131.25,131.25,131.25,131.25,0,44.313508
2000-11-24,131.25,131.25,131.25,131.25,0,44.313508
2000-11-27,131.25,131.25,131.25,131.25,0,44.313508
2000-11-28,132.609375,132.781235,132.531235,132.531235,4000,44.746087
2000-11-29,133.3125,133.6875,133.3125,133.5625,10400,45.09427
2000-11-30,133.1875,133.1875,131.75,131.75,26200,44.482321
2000-12-01,131.5,131.8125,131.5,131.8125,30000,44.503423
2000-12-04,133.1875,133.1875,133.1875,133.1875,200,44.967659
2000-12-05,134.625,134.625,134.625,134.625,600,45.452998
2000-12-06,134.625,134.625,134.625,134.625,0,45.452998
2000-12-07,134.234375,134.234375,134.031235,134.031235,20000,45.252527
2000-12-08,134.453125,135.125,134.453125,134.625,53800,45.452998
2000-12-11,133.9375,135.3125,133.9375,135.3125,40400,45.685116
2000-12-12,135.093765,135.093765,135.093765,135.093765,2200,45.611266
2000-12-13,135.968765,136.4375,135.640625,136.0625,40400,45.938336
2000-12-14,134.8125,134.8125,134.8125,134.8125,400,45.516303
2000-12-15,132.5,132.5,132.5,132.5,400,44.926829
2000-12-18,133.343765,134.468765,133.343765,134.015625,60600,45.440733
2000-12-19,135.1875,135.1875,134.281235,134.281235,20200,45.530793
2000-12-20,132.0625,132.0625,132.0625,132.0625,10000,44.778486
2000-12-21,131.843765,131.843765,131.843765,131.843765,20000,44.704319
2000-12-22,132.031235,132.375,132.031235,132.375,20200,44.884445
2000-12-26,132.375,132.375,132.375,132.375,0,44.884445
2000-12-27,136.3125,136.406235,136,136.406235,18400,46.251318
2000-12-28,137.156235,137.1875,136.968765,137.1875,9400,46.516222
2000-12-29,137.375,137.375,136.546875,136.546875,23600,46.299005
2001-01-02,136.375,136.5625,135.375,135.375,23600,45.901657
