"Index","open","high","low","close","volume","adjusted"
2015-12-01,50.290001,50.52,50.279999,50.52,523000,50.042447
2015-12-02,50.59,50.59,50.029999,50.150002,1900,49.675946
2015-12-03,50.200001,50.200001,49.279999,49.346001,23300,48.879545
2015-12-04,51.57,51.57,49.57,50.41,4300,49.933486
2015-12-07,50.52,50.52,49.93,50.040001,81700,49.566985
2015-12-08,50.099998,50.189999,49.769001,49.849998,53500,49.378778
2015-12-09,49.973999,49.973999,49.240002,49.240002,6300,48.774548
2015-12-10,49.490002,49.889999,49.490002,49.599998,9100,49.131142
2015-12-11,49.57,49.57,48.57,48.57,3400,48.110879
2015-12-14,48.599998,48.773998,48.369999,48.773998,5100,48.312949
2015-12-15,49.720001,49.720001,49.419998,49.419998,300,48.952843
2015-12-16,49.759998,50.049999,49.419998,50.049999,11100,49.576889
2015-12-17,49.900002,49.900002,49.650002,49.650002,700,49.180672
2015-12-18,49.400002,49.400002,48.459999,48.459999,522900,48.001918
2015-12-21,48.889999,48.889999,48.369999,48.740002,16500,48.279274
2015-12-22,48.884998,49.216,48.884998,49.216,1200,48.750773
2015-12-23,49.216,49.216,49.216,49.216,0,48.750773
2015-12-24,49.509998,49.73,49.509998,49.73,400,49.259914
2015-12-28,49.470001,49.689999,49.470001,49.599998,6400,49.131142
2015-12-29,50.029999,50.040001,50.029999,50.040001,6200,49.566985
2015-12-30,50.099998,50.099998,49.970001,49.970001,2900,49.497647
2015-12-31,49.400002,49.580002,49.400002,49.419998,1700,48.952843
2016-01-04,48.990002,48.990002,48,48.5,7900,48.041541
2016-01-05,48.450001,48.66,48.450001,48.66,1200,48.200029
2016-01-06,48.400002,48.400002,47.990002,47.990002,3500,47.536364
2016-01-07,47.43,47.52,47.290001,47.299999,1700,46.852884
2016-01-08,47.650002,47.650002,46.549999,46.549999,17000,46.109973
2016-01-11,46.82,46.82,46.040001,46.599998,5800,46.1595
2016-01-12,47.380001,47.380001,46.439999,46.799999,4100,46.35761
2016-01-13,47.09,47.130001,45.869999,46.75,2800,46.308083
2016-01-14,46.290001,46.610001,45.599998,46.580002,5700,46.139692
2016-01-15,47,51.700001,45,45.52,7400,45.089711
2016-01-19,46.41,46.41,45.470001,45.470001,2300,45.040184
2016-01-20,44.509998,45.380001,44.014,45.029999,12700,44.604341
2016-01-21,45.389999,45.57,45.049999,45.299999,8300,44.871789
2016-01-22,45.880001,46.029999,45.834999,46.029999,4700,45.594888
2016-01-25,47,47,45.380001,45.41,12900,44.98075
2016-01-26,45.740002,45.950001,45.57,45.950001,2100,45.515646
2016-01-27,45.98,45.98,45.369999,45.400002,5300,44.970846
2016-01-28,45.880001,45.880001,45.369999,45.66,5100,45.228387
2016-01-29,46.040001,46.73,45.880001,46.73,1400,46.288272
2016-02-01,46.700001,46.700001,46.470001,46.599998,57900,46.1595
2016-02-02,46.619999,46.619999,45.860001,45.959999,31700,45.52555
2016-02-03,45.790001,46.110001,45.380001,46.110001,2500,45.674134
2016-02-04,46.049999,46.25,46.02,46.175999,7300,45.739508
2016-02-05,45.724998,45.724998,45.511002,45.511002,700,45.080797
2016-02-08,45,45,44.09,44.567001,9500,44.14572
2016-02-09,44.02,44.66,44.02,44.66,5400,44.23784
2016-02-10,45.02,45.205002,44.730999,44.730999,5900,44.308168
2016-02-11,44.130001,44.150002,43.790001,44.150002,9900,43.732662
2016-02-12,44.599998,44.959999,44.43,44.959999,5400,44.535003
2016-02-16,45.509998,45.720001,45.316002,45.630001,20600,45.198672
2016-02-17,46.240002,46.540001,46.240002,46.5,4500,46.060447
2016-02-18,46.700001,46.700001,44.57,46.287998,54500,45.850449
2016-02-19,46.23,46.290001,46.23,46.290001,700,45.852433
2016-02-22,46.924999,46.924999,46.84,46.84,2200,46.397233
2016-02-23,46.880001,46.880001,46.438,46.48,1400,46.040635
2016-02-24,46.639999,46.639999,46.639999,46.639999,200,46.199123
2016-02-25,46.93,46.93,46.785999,46.785999,600,46.343742
2016-02-26,47.389999,47.389999,47.220001,47.259998,700,46.813261
2016-02-29,47.220001,47.23,46.84,46.84,1800,46.397233
2016-03-01,47.200001,47.639999,47,47.639999,6300,47.18967
2016-03-02,47.759998,47.950001,47.759998,47.950001,300,47.496741
2016-03-03,48.080002,48.189999,48.040001,48.189999,39200,47.73447
2016-03-04,48.369999,48.525002,48.25,48.32,19900,47.863242
2016-03-07,48.169998,48.34,48.169998,48.189999,1300,47.73447
2016-03-08,47.919998,48.139999,47.75,47.779999,16800,47.328346
2016-03-09,48.18,48.18,47.900002,47.950001,3300,47.496741
2016-03-10,48.23,48.23,47.700001,47.990002,5500,47.536364
2016-03-11,48.599998,48.759998,48.5,48.759998,4100,48.299082
2016-03-14,48.755001,48.841,48.755001,48.841,3000,48.379317
2016-03-15,48.638,48.66,48.619999,48.66,11800,48.200029
2016-03-16,48.66,48.93,48.630001,48.93,15200,48.467477
2016-03-17,49.049999,49.261002,48.93,49.240002,1300,48.774548
2016-03-18,48.900002,49.259998,48.900002,49.200001,2900,48.734925
2016-03-21,49.290001,49.290001,49.16,49.16,2700,48.695302
2016-03-22,49.220001,49.360001,49.220001,49.307999,4400,48.841902
2016-03-23,49.32,49.32,48.931999,49.009998,3700,48.546719
2016-03-24,48.889999,48.970001,48.700001,48.970001,41000,48.5071
2016-03-28,48.970001,48.970001,48.970001,48.970001,0,48.5071
2016-03-29,48.860001,49.439999,48.860001,49.43,8300,48.96275
2016-03-30,49.810001,49.810001,49.630001,49.674,7400,49.204443
2016-03-31,49.619999,49.700001,49.534,49.534,3000,49.065767
2016-04-01,49.299,49.599998,49.299,49.59,3200,49.121238
2016-04-04,49.751999,49.849998,49.705002,49.705002,2000,49.235152
2016-04-05,49.419998,49.439999,49.298,49.330002,7000,48.863697
2016-04-06,49.419998,49.779999,49.290001,49.779999,11500,49.30944
2016-04-07,49.639999,49.639999,48.991001,48.991001,1300,48.527901
2016-04-08,49.57,49.57,49.290001,49.290001,700,48.824074
2016-04-11,49.57,49.57,49.220001,49.25,2400,48.784452
2016-04-12,49.310001,49.529999,49.09,49.450001,6800,48.982562
2016-04-13,49.93,49.93,49.790001,49.889999,1200,49.418401
2016-04-14,49.990002,50.110001,49.990002,50.009998,1000,49.537266
2016-04-15,49.990002,50.060001,49.966999,49.966999,2400,49.494673
2016-04-18,50.07,50.07,49.98,49.98,4100,49.507551
2016-04-19,50.459999,50.459999,50.380001,50.380001,400,49.903771
2016-04-20,50.650002,50.669998,50.439999,50.5,3000,50.022636
2016-04-21,50.304001,50.304001,50.25,50.25,3600,49.774999
2016-04-22,50.150002,50.16,50.049999,50.16,1300,49.685849
2016-04-25,50.130001,50.130001,49.905998,50.009998,3200,49.537266
2016-04-26,50.139999,50.139999,50.099998,50.099998,600,49.626415
2016-04-27,50,50.259998,50,50.259998,700,49.784903
2016-04-28,50.889999,50.889999,49.709999,49.709999,3000,49.240102
2016-04-29,49.419998,49.419998,49.419998,49.419998,100,48.952843
2016-05-02,49.709999,49.709999,49.669998,49.709999,900,49.240102
2016-05-03,49.599998,49.599998,49.400002,49.400002,400,48.933035
2016-05-04,49.400002,49.400002,49.400002,49.400002,0,48.933035
2016-05-05,49.299999,49.299999,49.119999,49.169998,36300,48.705206
2016-05-06,49.169998,49.349998,49.110001,49.290001,5400,48.824074
2016-05-09,49.459999,49.465,49.417,49.465,600,48.997419
2016-05-10,49.790001,50,49.790001,50,2800,49.527362
2016-05-11,50.009998,50.009998,49.580002,49.580002,1800,49.111334
2016-05-12,49.549999,49.66,49.369999,49.599998,7700,49.131142
2016-05-13,49.451,49.451,49.080002,49.16,4000,48.695302
2016-05-16,49.330002,49.720001,49.330002,49.720001,900,49.25001
2016-05-17,49.48,49.48,49,49.119999,16300,48.655679
2016-05-18,48.933998,49.419998,48.933998,49.119999,1200,48.655679
2016-05-19,48.990002,48.990002,48.689999,48.889999,63300,48.427854
2016-05-20,49.32,49.459999,49.298,49.298,4300,48.831998
2016-05-23,49.459999,49.459999,49.25,49.259998,55100,48.794355
2016-05-24,49.259998,49.259998,49.259998,49.259998,0,48.794355
2016-05-25,50.220001,50.467999,50.220001,50.220001,1600,49.745284
2016-05-26,50.220001,50.220001,50.220001,50.220001,0,49.745284
2016-05-27,50.360001,50.439999,50.330002,50.330002,900,49.854244
2016-05-31,50.360001,50.5,50.268002,50.268002,1900,49.79283
2016-06-01,50.439999,50.529999,50.439999,50.529999,300,50.052351
2016-06-02,50.549999,50.599998,50.549999,50.599998,800,50.121689
2016-06-03,50.540001,50.540001,50.5,50.5,28900,50.022636
2016-06-06,50.599998,50.68,50.57,50.68,1800,50.200934
2016-06-07,50.82,50.869999,50.77,50.77,900,50.290084
2016-06-08,50.919998,50.919998,50.919998,50.919998,500,50.438664
2016-06-09,50.880001,50.880001,50.830002,50.849998,1000,50.369326
2016-06-10,50.432999,50.432999,50.368999,50.368999,1200,49.892873
2016-06-13,50.369999,50.369999,50.168999,50.168999,2700,49.694763
2016-06-14,49.900002,49.919998,49.627998,49.869999,3200,49.39859
2016-06-15,49.970001,49.970001,49.970001,49.970001,300,49.497647
2016-06-16,49.5,50,49.348,50,20500,49.527362
2016-06-17,49.889999,49.889999,49.560001,49.560001,1200,49.329291
2016-06-20,50.075001,50.240002,49.830002,49.830002,48800,49.598034
2016-06-21,49.900002,50.09,49.900002,49.970001,126000,49.737382
2016-06-22,50.130001,50.130001,49.900002,49.900002,1100,49.667708
2016-06-23,50.41,50.560001,50.349998,50.560001,55300,50.324635
2016-06-24,48.360001,49.409,48.360001,48.82,55500,48.592734
2016-06-27,50.689999,50.689999,47.720001,47.779999,16200,47.557574
2016-06-28,48.34,48.700001,48.294998,48.700001,6400,48.473293
2016-06-29,49.209999,49.508999,49.205002,49.508999,11800,49.278525
2016-06-30,49.508999,49.508999,49.508999,49.508999,0,49.278525
2016-07-01,50.189999,50.23,50.014,50.209999,6300,49.976262
2016-07-05,50.220001,50.220001,49.783001,50.060001,11000,49.826963
2016-07-06,49.970001,50.147999,49.73,50.125999,2700,49.892654
2016-07-07,50.299999,50.299999,50.240002,50.240002,1000,50.006125
2016-07-08,50.860001,50.860001,50.860001,50.860001,600,50.623238
2016-07-11,50.860001,50.860001,50.860001,50.860001,200,50.623238
2016-07-12,51.418999,51.52,51.418999,51.52,1700,51.280165
2016-07-13,51.57,51.57,51.506001,51.506001,300,51.266231
2016-07-14,51.907001,51.907001,51.849998,51.849998,2200,51.608627
2016-07-15,51.859001,51.859001,51.779999,51.790001,1200,51.548909
2016-07-18,51.939999,51.939999,51.889999,51.896,3600,51.654415
2016-07-19,51.779999,51.779999,51.779999,51.779999,200,51.538953
