"Index","open","high","low","close","volume","adjusted"
2013-05-14,25.049999,25.299999,25.049999,25.24,55100,22.192468
2013-05-15,25.52,25.6,25.34,25.57,22000,22.482623
2013-05-16,26.6,26.6,25.309999,25.309999,50500,22.254016
2013-05-17,25.75,25.75,25.360001,25.58,18500,22.491416
2013-05-20,25.959999,25.959999,25.6,25.67,1706200,22.570549
2013-05-21,25.85,25.85,25.5,25.629999,446200,22.535378
2013-05-22,25.870001,25.870001,25.18,25.290001,370800,22.236432
2013-05-23,25.049999,25.34,25,25.32,165000,22.262809
2013-05-24,25.190001,25.24,25.01,25.23,74900,22.183675
2013-05-28,25.459999,25.67,25.35,25.450001,133900,22.377113
2013-05-29,25.33,25.379999,25.15,25.299999,126500,22.245223
2013-05-30,25.299999,25.52,25.299999,25.469999,755700,22.394697
2013-05-31,25.4,25.530001,25.15,25.15,211300,22.113335
2013-06-03,25.18,25.200001,24.860001,25.139999,214700,22.104542
2013-06-04,25.200001,25.290001,24.93,25.129999,153400,22.095749
2013-06-05,25.110001,25.110001,24.690001,24.709999,140400,21.726461
2013-06-06,24.719999,25.120001,24.67,25.120001,310700,22.086958
2013-06-07,25.34,25.42,25.120001,25.4,137800,22.333149
2013-06-10,25.459999,25.5,25.299999,25.4,177200,22.333149
2013-06-11,25.299999,25.360001,25.08,25.18,77400,22.139713
2013-06-12,25.33,25.450001,24.940001,24.969999,71300,21.955068
2013-06-13,25.09,25.450001,25,25.440001,104100,22.36832
2013-06-14,25.42,25.5,25.24,25.33,70700,22.271601
2013-06-17,25.459999,25.58,25.280001,25.440001,112500,22.36832
2013-06-18,25.459999,25.629999,25.43,25.610001,283700,22.517794
2013-06-19,25.719999,25.719999,25.25,25.290001,177400,22.236432
2013-06-20,25.110001,25.110001,24.59,24.690001,218700,21.708877
2013-06-21,24.68,24.799999,24.4,24.6,87400,21.629744
2013-06-24,24.5,24.5,24.049999,24.299999,79200,21.365965
2013-06-25,24.4,24.620001,24.290001,24.57,48400,21.603365
2013-06-26,25,25,24.639999,24.790001,50600,21.796803
2013-06-27,25.049999,25.120001,24.790001,25.110001,76000,22.078165
2013-06-28,25.08,25.18,24.92,25.07,22400,22.042994
2013-07-01,25.040001,25.35,25.040001,25.290001,72300,22.236432
2013-07-02,25.27,25.379999,25.1,25.190001,97800,22.148506
2013-07-03,25.1,25.24,25.040001,25.200001,28900,22.157299
2013-07-05,25.379999,25.51,25.25,25.51,55500,22.429868
2013-07-08,25.610001,25.690001,25.57,25.690001,59400,22.588135
2013-07-09,25.719999,25.93,25.690001,25.93,70900,22.799157
2013-07-10,25.959999,25.99,25.83,25.99,35500,22.851912
