"Index","open","high","low","close","volume","adjusted"
2000-10-10,95.765617,95.765617,95.1875,95.1875,20100,72.122953
2000-10-11,93.75,94.0625,93.75,94.0625,4000,71.270548
2000-10-12,91.1875,91.1875,91.1875,91.1875,2000,69.092179
2000-10-13,91.1875,91.1875,91.1875,91.1875,0,69.092179
2000-10-16,91.1875,91.1875,91.1875,91.1875,0,69.092179
2000-10-17,92.671883,92.671883,92.671883,92.671883,200,70.216886
2000-10-18,90.5625,90.5625,90.5625,90.5625,100,68.61862
2000-10-19,90.5625,90.5625,90.5625,90.5625,0,68.61862
2000-10-20,90.5625,90.5625,90.5625,90.5625,0,68.61862
2000-10-23,95.515617,95.515617,95.515617,95.515617,200,72.371565
2000-10-24,95.859383,95.859383,94.609383,95,1600,71.980885
2000-10-25,94.875,94.875,94.875,94.875,100,71.886174
2000-10-26,94.875,94.875,94.875,94.875,0,71.886174
2000-10-27,94.875,94.875,94.875,94.875,0,71.886174
2000-10-30,96.21875,97.109383,96.21875,97.109383,1000,73.579151
2000-10-31,97.109383,97.109383,97.109383,97.109383,0,73.579151
2000-11-01,97.3125,97.3125,97.3125,97.3125,5000,73.733052
2000-11-02,98.34375,98.34375,98.34375,98.34375,100,74.514423
2000-11-03,98.28125,98.28125,97.6875,97.6875,5300,74.017187
2000-11-06,98.890617,98.890617,98.328117,98.328117,200,74.502578
2000-11-07,98.3125,98.53125,98.3125,98.53125,3300,74.656491
2000-11-08,98.53125,98.53125,98.53125,98.53125,0,74.656491
2000-11-09,96.546883,96.546883,96.546883,96.546883,200,73.152948
2000-11-10,95.140617,95.140617,95.140617,95.140617,100,72.08743
2000-11-13,93,93.921883,93,93.921883,4300,71.164003
2000-11-14,95.125,95.15625,95.125,95.15625,300,72.099275
2000-11-15,95.6875,96.25,95.4375,95.4375,11500,72.312376
2000-11-16,95.375,95.71875,95.28125,95.28125,8200,72.193987
2000-11-17,95.875,95.875,94.5,94.5,1300,71.602039
2000-11-20,94.5,94.5,94.5,94.5,0,71.602039
2000-11-21,92.625,94.03125,92.625,94.03125,2300,71.24687
2000-11-22,93,93,92.3125,92.3125,1000,69.944584
2000-11-24,92.3125,92.3125,92.3125,92.3125,0,69.944584
2000-11-27,94.71875,94.71875,94.28125,94.28125,5500,71.436293
2000-11-28,93.9375,94,93.03125,93.03125,1500,70.489176
2000-11-29,93.75,93.75,92.90625,93.4375,8100,70.796989
2000-11-30,92.71875,93.0625,90.8125,91.9375,32000,69.660449
2000-12-01,92.21875,93.03125,91.5625,91.71875,100800,69.494703
2000-12-04,91.609383,92.8125,91.609383,92.40625,85100,70.015618
2000-12-05,94.234383,95.0625,94.234383,94.8125,50300,71.838818
2000-12-06,95.6875,95.6875,93.6875,93.6875,95100,70.986413
2000-12-07,93.75,93.78125,93.75,93.78125,12000,71.057446
2000-12-08,94.28125,95.28125,94.28125,94.96875,40100,71.957207
2000-12-11,95.3125,96.1875,95.125,95.625,55700,72.454444
2000-12-12,95.75,95.75,95.5625,95.5625,12000,72.407088
2000-12-13,96.171883,96.3125,95,95,85700,71.980885
2000-12-14,94.40625,94.40625,93.8125,94.375,55200,71.507327
2000-12-15,91.5,91.5,91.375,91.5,1600,69.489469
2000-12-18,92.21875,92.390617,92.0625,92.21875,82000,70.035323
2000-12-19,92.578117,92.9375,92.4375,92.4375,40000,70.201452
2000-12-20,89.4375,89.625,88.8125,89.0625,51100,67.638316
2000-12-21,88.15625,89.625,88.15625,88.875,80000,67.495919
