"Index","open","high","low","close","volume","adjusted"
2011-09-22,46.27,46.27,45.91,45.91,1700,42.909656
2011-09-23,46.16,46.189999,46.130001,46.150002,6200,43.133973
2011-09-26,46.439999,46.950001,46.439999,46.950001,8200,43.88169
2011-09-27,48.200001,48.389999,47.77,47.77,200,44.6481
2011-09-28,47.59,47.860001,47.57,47.860001,300,44.732219
2011-09-29,46.959999,47.34,46.349998,47.119999,25800,44.040578
2011-09-30,47.200001,47.200001,46.25,46.25,16400,43.227436
2011-10-03,45.59,46.18,44.57,44.57,29800,41.657228
2011-10-04,43.98,44.580002,43.959999,44.580002,5200,41.666577
2011-10-05,44.580002,44.580002,44.580002,44.580002,0,41.666577
2011-10-06,44.580002,44.580002,44.580002,44.580002,0,41.666577
2011-10-07,46.959999,47,46.799999,47,3900,43.928421
2011-10-10,48.240002,48.25,48.240002,48.25,600,45.09673
2011-10-11,48.740002,48.77,48.740002,48.77,7800,45.582747
2011-10-12,48.77,48.77,48.77,48.77,0,45.582747
2011-10-13,49.150002,49.150002,49.130001,49.130001,400,45.919221
2011-10-14,49.619999,50.07,49.619999,50.07,500,46.797788
2011-10-17,49.16,49.209999,49.110001,49.110001,2000,45.900528
2011-10-18,49.110001,49.110001,49.110001,49.110001,0,45.900528
2011-10-19,49.889999,49.889999,49.330002,49.330002,1100,46.106151
2011-10-20,49.110001,49.110001,48.799999,48.799999,400,45.610786
2011-10-21,50.200001,50.200001,50.200001,50.200001,100,46.919293
2011-10-24,50.200001,50.200001,50.200001,50.200001,0,46.919293
2011-10-25,50.200001,50.200001,50.200001,50.200001,0,46.919293
2011-10-26,50.52,51.25,50.52,51.25,9100,47.900672
2011-10-27,52.52,53.049999,52.509998,53.009998,3500,49.54565
2011-10-28,53.080002,53.080002,53.080002,53.080002,13000,49.611078
2011-10-31,52.09,52.09,52.09,52.09,11900,48.685776
2011-11-01,50.43,50.43,50.189999,50.189999,6200,46.909945
2011-11-02,50.650002,51.139999,50.650002,51.139999,21300,47.79786
2011-11-03,51.139999,51.139999,51.139999,51.139999,0,47.79786
2011-11-04,51.599998,51.889999,51.599998,51.889999,32100,48.498846
2011-11-07,52,52.110001,52,52.110001,2100,48.704469
2011-11-08,52.669998,52.68,52.669998,52.68,200,49.237218
2011-11-09,52.68,52.68,52.68,52.68,0,49.237218
2011-11-10,50.939999,51.360001,50.66,51.040001,5700,47.704397
2011-11-11,52.080002,52.080002,52.080002,52.080002,400,48.676431
2011-11-14,51.57,51.57,51.57,51.57,2700,48.199759
2011-11-15,52.18,52.18,52.18,52.18,3000,48.769894
2011-11-16,52.049999,52.049999,51.970001,51.970001,5400,48.573619
2011-11-17,50.950001,51.080002,50.139999,50.150002,2800,46.872562
2011-11-18,50.34,50.98,50.32,50.98,6500,47.648317
2011-11-21,49.34,49.470001,49.34,49.470001,400,46.237001
2011-11-22,49.32,49.32,48.869999,49.09,3300,45.881834
2011-11-23,48.169998,48.169998,48.029999,48.029999,10700,44.891107
2011-11-25,48.029999,48.029999,48.029999,48.029999,0,44.891107
2011-11-28,48.82,48.82,48.82,48.82,11100,45.629479
2011-11-29,49.389999,49.419998,49.220001,49.220001,3900,46.003339
