"Index","open","high","low","close","volume","adjusted"
2014-09-16,14.98,15.11,14.98,15.09,44500,14.124731
2014-09-17,15.69,15.69,15.08,15.11,136400,14.143451
2014-09-18,15.25,15.25,15.17,15.21,74500,14.237055
2014-09-19,15.26,15.26,15.09,15.13,8200,14.162172
2014-09-22,15.13,15.13,15,15.02,24300,14.059209
2014-09-23,15,15.01,14.88,14.88,14500,13.928164
2014-09-24,14.87,14.92,14.85,14.918,13600,13.963734
2014-09-25,14.88,14.88,14.72,14.77,32300,13.825201
2014-09-26,14.59,14.844,14.59,14.83,7400,13.881362
2014-09-29,14.8,14.8,14.74,14.79,1100,13.843921
2014-09-30,15.07,15.07,14.753,14.762,7700,13.817712
2014-10-01,14.6,14.67,14.55,14.58,7200,13.647354
2014-10-02,14.56,14.67,14.529,14.64,3300,13.703517
2014-10-03,14.785,14.8,14.74,14.8,12300,13.853282
2014-10-06,15.07,15.07,14.68,14.751,2200,13.807416
2014-10-07,14.6,14.66,14.57,14.57,3700,13.637994
2014-10-08,14.55,14.55,14.48,14.53,4000,13.600552
2014-10-09,14.68,14.74,14.48,14.5,11200,13.572472
2014-10-10,14.44,14.48,14.29,14.39,9700,13.469508
2014-10-13,14.29,14.29,14.12,14.12,1300,13.216779
2014-10-14,14.17,14.34,14.17,14.23,7100,13.319743
2014-10-15,14.61,14.61,13.95,14.24,10300,13.329103
2014-10-16,14.281,14.482,14.281,14.46,1100,13.53503
2014-10-17,14.5,14.53,14.5,14.53,300,13.600552
2014-10-20,14.53,14.53,14.53,14.53,0,13.600552
2014-10-21,14.79,14.83,14.79,14.83,4400,13.881362
2014-10-22,14.78,14.896,14.78,14.8,5200,13.853282
2014-10-23,14.78,14.96,14.78,14.88,19100,13.928164
2014-10-24,14.95,14.998,14.95,14.998,2700,14.038616
2014-10-27,15,15,14.988,14.988,400,14.029256
2014-10-28,15.12,15.19,15.12,15.19,1900,14.218334
2014-10-29,15.25,15.25,15.19,15.19,500,14.218334
2014-10-30,15.17,15.355,15.17,15.355,6000,14.372779
2014-10-31,15.42,15.48,15.42,15.46,900,14.471063
2014-11-03,15.45,15.594,15.45,15.49,2700,14.499144
2014-11-04,15.5,15.5,15.4,15.4,2300,14.414901
2014-11-05,15.44,15.45,15.44,15.45,800,14.461702
2014-11-06,15.55,15.55,15.54,15.55,2100,14.555306
2014-11-07,15.56,15.56,15.55,15.55,3900,14.555306
2014-11-10,15.626,15.639,15.58,15.59,1400,14.592747
2014-11-11,15.566,15.566,15.55,15.56,2900,14.564667
2014-11-12,15.592,15.71,15.592,15.71,3300,14.705071
2014-11-13,15.77,15.77,15.66,15.66,9100,14.658269
2014-11-14,15.83,15.83,15.63,15.632,2700,14.632061
2014-11-17,15.66,15.7,15.66,15.671,2100,14.668565
2014-11-18,15.75,15.77,15.717,15.755,4300,14.747193
2014-11-19,15.89,15.89,15.58,15.69,3800,14.68635
2014-11-20,15.7,15.73,15.7,15.73,2200,14.723791
2014-11-21,16.08,16.08,15.789,15.789,2100,14.779017
2014-11-24,15.77,15.8,15.77,15.79,900,14.779954
2014-11-25,15.82,15.82,15.82,15.82,700,14.808034
2014-11-26,15.81,15.9,15.8,15.9,2700,14.882917
2014-11-28,15.82,15.82,15.68,15.68,1800,14.67699
2014-12-01,15.87,15.87,15.5,15.5,1100,14.508504
2014-12-02,15.49,15.585,15.49,15.585,600,14.588067
2014-12-03,15.67,15.75,15.67,15.74,1900,14.733152
2014-12-04,15.71,15.71,15.659,15.659,500,14.657334
2014-12-05,15.731,15.76,15.72,15.76,2400,14.751873
2014-12-08,15.88,15.88,15.54,15.558,5400,14.562794
2014-12-09,15.51,15.51,15.51,15.51,400,14.517865
2014-12-10,15.496,15.496,15.356,15.356,1200,14.373716
2014-12-11,15.39,15.53,15.39,15.44,4000,14.452342
2014-12-12,15.4,15.4,15.116,15.116,10100,14.149068
2014-12-15,15.19,15.19,15,15.086,700,14.120987
2014-12-16,15.215,15.22,15.17,15.175,900,14.204294
2014-12-17,15.28,15.41,15.28,15.41,1100,14.424261
2014-12-18,15.72,15.72,15.57,15.68,4200,14.67699
2014-12-19,15.7,15.7,15.7,15.7,400,14.695711
2014-12-22,15.7,15.7,15.7,15.7,0,14.695711
2014-12-23,15.72,15.94,15.72,15.93,1500,14.910999
2014-12-24,15.8,15.8,15.76,15.76,3700,14.862902
2014-12-26,15.85,15.85,15.76,15.76,1500,14.862902
2014-12-29,15.87,15.89,15.86,15.866,3100,14.962868
2014-12-30,15.85,15.852,15.81,15.827,3800,14.926087
2014-12-31,15.79,15.89,15.709,15.709,12700,14.814804
2015-01-02,15.74,15.74,15.6,15.6,400,14.712009
2015-01-05,15.38,15.38,15.257,15.257,1200,14.388533
2015-01-06,15.11,15.11,15.11,15.11,3100,14.249901
2015-01-07,15.14,15.158,15.14,15.158,1100,14.295169
2015-01-08,15.48,15.48,15.48,15.48,300,14.598839
2015-01-09,15.49,15.49,15.28,15.28,1400,14.410224
2015-01-12,15.13,15.18,15.09,15.09,3100,14.23104
2015-01-13,15.25,15.25,14.97,15.098,5600,14.238584
2015-01-14,14.86,14.86,14.86,14.86,6100,14.014131
2015-01-15,14.92,14.927,14.92,14.927,1000,14.077318
2015-01-16,15.031,15.031,15.031,15.031,1400,14.175398
2015-01-20,15.01,15.08,15,15.08,4300,14.221609
2015-01-21,15.08,15.08,15.08,15.08,0,14.221609
2015-01-22,15.311,15.311,15.31,15.31,1200,14.438517
2015-01-23,15.413,15.413,15.413,15.413,1500,14.535654
2015-01-26,15.29,15.43,15.29,15.43,2900,14.551686
2015-01-27,15.349,15.36,15.349,15.36,900,14.48567
2015-01-28,15.331,15.361,15.331,15.361,200,14.486614
2015-01-29,15.361,15.361,15.361,15.361,0,14.486614
2015-01-30,15.276,15.276,15.276,15.276,1000,14.406452
2015-02-02,15.07,15.22,15.07,15.22,400,14.35364
2015-02-03,15.587,15.63,15.587,15.63,400,14.740302
2015-02-04,15.631,15.68,15.631,15.67,2200,14.778025
2015-02-05,15.781,15.83,15.74,15.83,1900,14.928917
2015-02-06,15.894,15.894,15.75,15.75,800,14.853471
2015-02-09,15.7,15.701,15.661,15.673,1600,14.780854
2015-02-10,15.71,15.76,15.71,15.76,300,14.862902
2015-02-11,15.714,15.714,15.58,15.58,600,14.693147
2015-02-12,15.7,15.88,15.7,15.88,800,14.976071
2015-02-13,16.02,16.02,16.02,16.02,300,15.108102
2015-02-17,16.1,16.1,16.1,16.1,2300,15.183548
2015-02-18,16.069,16.069,16.000999,16.000999,600,15.090183
2015-02-19,16.000999,16.000999,16.000999,16.000999,0,15.090183
2015-02-20,16.07,16.07,16.07,16.07,0,15.155255
2015-02-23,16.17,16.17,16.17,16.17,0,15.249563
2015-02-24,16.218,16.218,16.218,16.218,100,15.294831
2015-02-25,16.24,16.280001,16.24,16.280001,5100,15.353302
2015-02-26,16.200001,16.200001,16.200001,16.200001,200,15.277856
2015-02-27,16.200001,16.200001,16.200001,16.200001,0,15.277856
2015-03-02,16.200001,16.200001,16.149,16.149,600,15.229759
2015-03-03,16.049999,16.049999,16.049999,16.049999,1000,15.136393
2015-03-04,16.049999,16.049999,16.049999,16.049999,0,15.136393
2015-03-05,12.39,12.39,12.39,12.39,0,11.684731
2015-03-06,15.831,15.85,15.821,15.821,7000,14.920429
2015-03-09,15.884,15.884,15.874,15.874,800,14.970412
2015-03-10,15.671,15.671,15.65,15.65,1000,14.759163
2015-03-11,15.65,15.65,15.65,15.65,200,14.759163
2015-03-12,15.85,15.85,15.85,15.85,200,14.947779
2015-03-13,15.827,15.827,15.76,15.76,2700,14.862902
2015-03-16,15.9,16,15.9,16,1300,15.08924
2015-03-17,16.063999,16.063999,16.063999,16.063999,700,15.149596
2015-03-18,16.040001,16.267,15.98,16.23,3600,15.306147
2015-03-19,16.23,16.23,16.23,16.23,0,15.306147
2015-03-20,16.200001,16.370001,16.200001,16.370001,800,15.43818
2015-03-23,16.610001,16.610001,16.325001,16.325001,7900,15.395741
2015-03-24,16.450001,16.450001,16.24,16.27,4200,15.343871
2015-03-25,16.59,16.59,16.040001,16.040001,9400,15.175466
2015-03-26,15.94,16.030001,15.94,15.995,5000,15.13289
2015-03-27,16.025,16.025,16.01,16.01,1300,15.147082
2015-03-30,16.1,16.209999,16.1,16.209999,600,15.336301
2015-03-31,16.17,16.18,16.120001,16.17,2300,15.298458
2015-04-01,16.08,16.08,16.08,16.08,200,15.213309
2015-04-02,16.17,16.17,16.07,16.1,2600,15.232231
2015-04-06,16.200001,16.219999,16.190001,16.190001,1400,15.317381
2015-04-07,16.200001,16.219999,16.165001,16.165001,700,15.293729
2015-04-08,16.165001,16.165001,16.165001,16.165001,0,15.293729
2015-04-09,16.084999,16.084999,16.084999,16.084999,300,15.218039
2015-04-10,16.24,16.280001,16.24,16.280001,19800,15.40253
2015-04-13,16.33,16.33,16.200001,16.209999,8300,15.336301
2015-04-14,16.41,16.41,16.15,16.24,1000,15.364685
2015-04-15,16.24,16.24,16.24,16.24,0,15.364685
