"Index","open","high","low","close","volume","adjusted"
2011-10-05,26.440001,26.700001,26.18,26.700001,125900,25.985757
2011-10-06,26.85,27.25,26.75,27.25,800,26.521044
2011-10-07,27.469999,27.469999,27.01,27.290001,6700,26.559975
2011-10-10,27.99,27.99,27.58,27.780001,51500,27.036867
2011-10-11,27.879999,27.879999,27.879999,27.879999,100,27.13419
2011-10-12,28.209999,28.49,28.209999,28.469999,7100,27.708407
2011-10-13,28.57,28.57,28.190001,28.530001,5100,27.766804
2011-10-14,28.799999,28.959999,28.76,28.959999,7700,28.185299
2011-10-17,29.379999,29.379999,28.08,28.08,3800,27.328841
2011-10-18,27.549999,28.16,24.049999,28.16,700,27.406701
2011-10-19,28.16,28.16,28.16,28.16,0,27.406701
2011-10-20,28.75,28.75,28.23,28.23,1000,27.474828
2011-10-21,28.85,28.950001,28.85,28.950001,2500,28.175568
2011-10-24,29.65,29.719999,29.65,29.67,2600,28.876307
2011-10-25,30.83,30.83,29.27,29.27,3100,28.487008
2011-10-26,29.27,29.27,29.27,29.27,0,28.487008
2011-10-27,30.24,30.48,29.99,30.48,1800,29.664639
2011-10-28,31.15,31.15,30.540001,30.57,400,29.752231
2011-10-31,30.110001,30.110001,29.9,29.9,1500,29.100154
2011-11-01,29.9,29.9,29.9,29.9,0,29.100154
2011-11-02,29.9,29.9,29.9,29.9,0,29.100154
2011-11-03,29.9,29.9,29.9,29.9,0,29.100154
2011-11-04,28.799999,29.780001,28.799999,29.65,400,28.856842
2011-11-07,29.65,29.65,29.65,29.65,0,28.856842
2011-11-08,29.65,29.65,29.65,29.65,0,28.856842
2011-11-09,29.459999,29.459999,29.24,29.24,500,28.45781
2011-11-10,29.379999,29.379999,29.379999,29.379999,500,28.594064
2011-11-11,30.07,30.110001,30.07,30.110001,600,29.304538
2011-11-14,30.559999,30.559999,29.68,29.780001,3100,28.983365
2011-11-15,29.639999,30.120001,29.639999,30.120001,600,29.31427
2011-11-16,31.040001,31.040001,29.73,29.99,1700,29.187747
2011-11-17,29.030001,29.030001,29.030001,29.030001,200,28.253428
2011-11-18,28.98,28.98,28.950001,28.950001,300,28.175568
2011-11-21,28.24,28.450001,28.24,28.43,1900,27.669478
2011-11-22,28.450001,28.450001,28.24,28.309999,600,27.552688
2011-11-23,27.76,27.799999,27.700001,27.700001,2100,26.959007
2011-11-25,27.700001,27.700001,27.700001,27.700001,0,26.959007
2011-11-28,27.700001,27.700001,27.700001,27.700001,0,26.959007
2011-11-29,27.700001,27.700001,27.700001,27.700001,0,26.959007
2011-11-30,27.700001,27.700001,27.700001,27.700001,0,26.959007
2011-12-01,29.799999,29.799999,29.57,29.57,400,28.778982
2011-12-02,29.790001,29.790001,29.790001,29.790001,1100,28.993098
2011-12-05,29.9,29.9,29.9,29.9,300,29.100154
2011-12-06,29.9,29.9,29.9,29.9,200,29.100154
2011-12-07,29.9,29.9,29.9,29.9,0,29.100154
2011-12-08,29.52,29.52,29.52,29.52,300,28.73032
2011-12-09,29.82,29.82,29.82,29.82,300,29.022294
2011-12-12,29.82,29.82,29.82,29.82,0,29.022294
2011-12-13,29.76,29.76,29.76,29.76,100,28.9639
2011-12-14,29.76,29.76,29.76,29.76,0,28.9639
2011-12-15,28.959999,28.98,28.92,28.950001,600,28.175568
2011-12-16,28.950001,28.950001,28.950001,28.950001,0,28.175568
2011-12-19,28.85,28.85,28.85,28.85,200,28.078243
2011-12-20,29.43,29.43,29.43,29.43,100,28.642728
2011-12-21,28.92,29.440001,28.639999,29.440001,5400,28.65246
