"Index","open","high","low","close","volume","adjusted"
2013-07-09,60.5,60.5,60.27,60.310001,1000,57.069379
2013-07-10,60.5,60.700001,60.490002,60.490002,3900,57.239707
2013-07-11,60.490002,60.490002,60.490002,60.490002,0,57.239707
2013-07-12,61.610001,61.689999,61.610001,61.689999,1600,58.375225
2013-07-15,61.98,61.98,61.98,61.98,100,58.649644
2013-07-16,61.830002,61.869999,61.799999,61.869999,2000,58.545554
2013-07-17,62.169998,62.369999,61.84,62.130001,9800,58.791585
2013-07-18,62.25,62.759998,62.25,62.389999,1300,59.037613
2013-07-19,62.549999,62.549999,62.43,62.43,1100,59.075465
2013-07-22,62.689999,62.799999,62.66,62.790001,1000,59.416121
2013-07-23,62.900002,62.91,62.900002,62.91,300,59.529672
2013-07-24,63.029999,63.029999,63.029999,63.029999,200,59.643223
2013-07-25,62.049999,62.790001,62.049999,62.790001,2700,59.416121
2013-07-26,62.130001,62.380001,62.130001,62.380001,800,59.028152
2013-07-29,62.310001,62.310001,61.880001,62,2200,58.668569
2013-07-30,61.970001,61.970001,61.950001,61.950001,10200,58.621257
2013-07-31,61.950001,61.950001,61.950001,61.950001,0,58.621257
2013-08-01,62.950001,62.950001,62.860001,62.860001,200,59.48236
2013-08-02,62.959999,62.959999,62.950001,62.950001,400,59.567524
2013-08-05,63.650002,63.650002,63.150002,63.150002,200,59.756778
2013-08-06,63.150002,63.150002,63.150002,63.150002,0,59.756778
2013-08-07,63.150002,63.150002,63.150002,63.150002,0,59.756778
2013-08-08,62.299999,62.5,62.299999,62.5,300,59.141703
2013-08-09,62.5,62.5,62.5,62.5,0,59.141703
2013-08-12,62.07,62.07,62.07,62.07,100,58.734808
2013-08-13,62.560001,62.560001,62.560001,62.560001,100,59.19848
2013-08-14,62.470001,62.470001,62.41,62.41,200,59.056539
2013-08-15,61.950001,61.950001,61.400002,61.400002,1700,58.10081
2013-08-16,61.34,61.34,61.34,61.34,100,58.044033
2013-08-19,60.5,60.52,60.5,60.52,700,57.268094
2013-08-20,60.52,60.52,60.52,60.52,0,57.268094
2013-08-21,60.52,60.52,60.52,60.52,0,57.268094
2013-08-22,60.52,60.52,60.52,60.52,0,57.268094
2013-08-23,61.669998,61.91,61.599998,61.91,1000,58.583405
2013-08-26,61.939999,61.950001,61.939999,61.950001,3200,58.621257
2013-08-27,61.349998,61.349998,60.200001,60.200001,1400,56.965289
2013-08-28,60.66,60.66,60.66,60.66,500,57.400571
2013-08-29,60.66,60.66,60.66,60.66,0,57.400571
2013-08-30,60.66,60.66,60.66,60.66,0,57.400571
2013-09-03,61,61,61,61,200,57.722302
2013-09-04,60,61.150002,60,61.150002,1200,57.864244
2013-09-05,61.25,61.25,61.25,61.25,300,57.958869
2013-09-06,61.25,61.25,61.25,61.25,0,57.958869
2013-09-09,61.740002,62.25,61.740002,62.25,1000,58.905136
2013-09-10,62.5,62.779999,62.5,62.779999,2600,59.406657
2013-09-11,62.779999,62.889999,62.759998,62.889999,800,59.510747
2013-09-12,62.830002,62.830002,62.650002,62.650002,300,59.283644
2013-09-13,62.650002,62.650002,62.650002,62.650002,0,59.283644
2013-09-16,63.169998,63.189999,63.169998,63.189999,900,59.794626
2013-09-17,63.150002,63.299999,63.150002,63.299999,300,59.898716
2013-09-18,63.5,63.5,63.41,63.5,700,60.08797
2013-09-19,64.080002,64.080002,63.959999,63.959999,700,60.523252
2013-09-20,63.959999,63.959999,63.959999,63.959999,0,60.657918
2013-09-23,63.849998,63.849998,63.849998,63.849998,100,60.553597
2013-09-24,63.599998,64.120003,63.599998,64.120003,300,60.809662
2013-09-25,64.089996,64.089996,64.010002,64.010002,1600,60.70534
2013-09-26,64.019997,64.029999,64.019997,64.029999,400,60.724304
2013-09-27,64.029999,64.029999,64.029999,64.029999,0,60.724304
2013-09-30,63.43,64.029999,63.43,63.869999,9700,60.572565
2013-10-01,64.550003,64.629997,64.550003,64.580002,10400,61.245912
2013-10-02,64.580002,64.580002,64.580002,64.580002,0,61.245912
2013-10-03,63.560001,63.93,63.490002,63.82,1200,60.525147
2013-10-04,63.82,63.82,63.82,63.82,0,60.525147
2013-10-07,63.82,63.82,63.82,63.82,0,60.525147
2013-10-08,63.41,63.41,63.41,63.41,1200,60.136314
2013-10-09,62.389999,62.389999,62.209999,62.209999,15100,58.998266
2013-10-10,63.549999,63.599998,63.549999,63.599998,500,60.316504
2013-10-11,63.73,64.25,63.73,64.25,200,60.932947
2013-10-14,64.25,64.25,64.25,64.25,0,60.932947
2013-10-15,64.580002,64.580002,64.57,64.57,200,61.236426
