"Index","open","high","low","close","volume","adjusted"
2016-09-22,25.41,25.459999,25.395,25.459999,400,25.459999
2016-09-23,25.35,25.379999,25.35,25.379999,400,25.379999
2016-09-26,25.23,25.23,25.23,25.23,100,25.23
2016-09-27,25.190001,25.25,25.190001,25.25,700,25.25
2016-09-28,25.17,25.17,25.139999,25.139999,400,25.139999
2016-09-29,25.120001,25.120001,24.92,24.92,300,24.92
2016-09-30,25.044001,25.124001,25.030001,25.110001,2200,25.110001
2016-09-30,25.044001,25.124001,25.030001,25.110001,2200,25.110001
2016-10-03,24.959999,24.959999,24.879999,24.959999,700,24.959999
2016-10-04,24.809999,24.84,24.57,24.57,300,24.57
2016-10-05,24.754999,24.754999,24.754999,24.754999,200,24.754999
2016-10-06,24.594999,24.74,24.594999,24.68,300,24.68
2016-10-06,24.594999,24.74,24.594999,24.68,300,24.68
2016-10-06,24.594999,24.74,24.594999,24.68,300,24.68
2016-10-06,24.594999,24.74,24.594999,24.68,300,24.68
