"Index","open","high","low","close","volume","adjusted"
2011-10-20,25.309999,25.360001,25.1,25.360001,4200,22.916117
2011-10-21,25.67,25.67,25.67,25.67,100,23.196242
2011-10-24,25.67,25.67,25.67,25.67,0,23.196242
2011-10-25,25.799999,25.799999,25.58,25.58,4000,23.114915
2011-10-26,25.73,25.73,25.459999,25.690001,4200,23.214315
2011-10-27,26.030001,26.030001,26.030001,26.030001,100,23.521551
2011-10-28,26.07,26.07,26.02,26.02,400,23.512514
2011-10-31,26.01,26.01,25.959999,25.959999,500,23.458295
2011-11-01,25.959999,25.959999,25.959999,25.959999,0,23.458295
2011-11-02,25.959999,25.959999,25.959999,25.959999,0,23.458295
2011-11-03,25.959999,25.959999,25.959999,25.959999,0,23.458295
2011-11-04,25.790001,25.799999,25.790001,25.799999,2000,23.313714
2011-11-07,25.700001,25.700001,25.700001,25.700001,100,23.223352
2011-11-08,26.08,26.1,26.08,26.1,1300,23.584804
2011-11-09,25.77,25.83,25.6,25.610001,3200,23.142025
2011-11-10,26.49,26.49,25.67,25.74,2900,23.259496
2011-11-11,26.129999,26.25,26.129999,26.200001,2400,23.675168
2011-11-14,26.030001,26.030001,26.030001,26.030001,100,23.521551
2011-11-15,25.9,26.24,25.9,26.030001,23600,23.521551
2011-11-16,25.98,26,25.84,25.84,1000,23.34986
2011-11-17,25.65,25.65,25.389999,25.389999,1300,22.943225
2011-11-18,25.540001,25.540001,25.530001,25.530001,1100,23.069734
2011-11-21,25.17,25.25,25.049999,25.139999,5000,22.717317
2011-11-22,25.139999,25.139999,25.139999,25.139999,0,22.717317
2011-11-23,24.799999,24.889999,24.709999,24.799999,9600,22.410081
2011-11-25,24.440001,24.790001,24.440001,24.790001,1500,22.401047
2011-11-28,25.23,25.309999,25.23,25.309999,2500,22.870934
2011-11-29,25.34,25.34,25.34,25.34,200,22.898044
2011-11-30,26.450001,26.450001,25.799999,26,4800,23.494441
2011-12-01,26.76,26.76,26.07,26.200001,1900,23.675168
2011-12-02,26.18,26.18,26.120001,26.120001,700,23.602878
2011-12-05,26.23,26.34,26.07,26.07,5100,23.557695
2011-12-06,26.200001,26.290001,26.200001,26.290001,3500,23.756495
2011-12-07,26.15,26.290001,26.15,26.290001,3000,23.756495
2011-12-08,26.25,26.469999,25.98,26.469999,3500,23.919147
2011-12-09,26.23,26.309999,26.23,26.309999,1200,23.774566
2011-12-12,28.77,28.77,25.879999,25.940001,3800,23.440223
2011-12-13,26.99,26.99,25.85,25.879999,27800,23.386004
2011-12-14,25.799999,25.879999,25.76,25.790001,123700,23.304679
2011-12-15,25.940001,25.940001,25.9,25.9,3100,23.404077
2011-12-16,25.889999,25.93,25.889999,25.91,14300,23.413114
2011-12-19,25.91,25.91,25.91,25.91,0,23.413114
2011-12-20,25.91,25.91,25.91,25.91,0,23.413114
2011-12-21,26.360001,26.469999,26.35,26.450001,5300,23.901076
2011-12-22,26.58,26.58,26.4,26.459999,1800,23.980828
2011-12-23,26.719999,26.719999,26.58,26.67,4100,24.171153
2011-12-27,26.74,26.84,26.74,26.84,6300,24.325225
2011-12-28,26.68,26.68,26.6,26.639999,3400,24.143963
2011-12-29,26.690001,26.77,26.68,26.75,7200,24.243658
2011-12-30,26.84,26.84,26.700001,26.719999,3200,24.216468
2012-01-03,26.959999,26.969999,26.709999,26.709999,12000,24.207405
2012-01-04,26.67,26.700001,26.58,26.6,23000,24.107712
2012-01-05,26.5,26.690001,26.5,26.6,10300,24.107712
2012-01-06,27.16,27.16,26.690001,26.690001,1500,24.18928
