"Index","open","high","low","close","volume","adjusted"
2015-07-21,24.84,24.99,24.84,24.84,700,24.31235
2015-07-22,24.84,24.84,24.84,24.84,0,24.31235
2015-07-23,24.84,24.84,24.84,24.84,0,24.31235
2015-07-24,24.84,24.84,24.84,24.84,0,24.31235
2015-07-27,24.84,24.84,24.84,24.84,0,24.31235
2015-07-28,24.74,24.74,24.74,24.74,500,24.214474
2015-07-29,25.190001,25.190001,24.879999,24.93,900,24.400438
2015-07-30,24.979,25.030001,24.979,25.030001,5400,24.498314
2015-07-31,25.200001,25.200001,25.17,25.17,800,24.63534
2015-08-03,25.139999,25.139999,25.049999,25.049999,300,24.517888
2015-08-04,25.16,25.16,25.110001,25.110001,1300,24.576615
2015-08-05,25.110001,25.110001,25.110001,25.110001,0,24.576615
2015-08-06,24.950001,24.950001,24.77,24.77,500,24.243837
2015-08-07,24.77,24.77,24.77,24.77,0,24.243837
2015-08-10,24.68,25.049999,24.68,25.049999,1300,24.517888
2015-08-11,25,25,25,25,100,24.468951
2015-08-12,26.27,26.27,24.745001,24.745001,400,24.219368
2015-08-13,24.93,25.125,24.93,25.115,1400,24.581508
2015-08-14,25.115,25.115,25.115,25.115,0,24.581508
2015-08-17,25.319,25.370001,25.319,25.370001,600,24.831092
2015-08-18,25.370001,25.370001,25.370001,25.370001,4000,24.831092
2015-08-19,25.370001,25.370001,25.370001,25.370001,0,24.831092
2015-08-20,25.01,25.059999,24.959999,24.959999,2300,24.4298
2015-08-21,24.48,24.48,24.48,24.48,100,23.959996
2015-08-24,23.73,23.73,23.73,23.73,9900,23.225928
2015-08-25,23.48,23.48,23.48,23.48,300,22.981238
2015-08-26,23.48,23.48,23.48,23.48,0,22.981238
2015-08-27,23.48,23.48,23.48,23.48,0,22.981238
2015-08-28,23.67,24.132999,23.67,24.132999,300,23.620367
2015-08-31,23.83,23.83,23.83,23.83,800,23.323804
2015-09-01,23.83,23.83,23.83,23.83,0,23.323804
2015-09-02,23.48,23.48,23.450001,23.450001,800,22.951877
2015-09-03,23.450001,23.450001,23.450001,23.450001,0,22.951877
2015-09-04,23.412001,23.412001,23.412001,23.412001,200,22.914684
2015-09-08,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-09,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-10,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-11,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-14,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-15,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-16,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-17,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-18,23.412001,23.412001,23.412001,23.412001,0,22.914684
2015-09-21,23.412001,23.412001,23.412001,23.412001,0,22.983402
2015-09-22,23.412001,23.412001,23.412001,23.412001,0,22.983402
