"Index","open","high","low","close","volume","adjusted"
2015-07-21,24.93,25.02,24.93,24.93,300,24.498282
2015-07-22,24.93,24.93,24.93,24.93,0,24.498282
2015-07-23,24.93,24.93,24.93,24.93,0,24.498282
2015-07-24,24.93,24.93,24.93,24.93,0,24.498282
2015-07-27,24.93,24.93,24.93,24.93,200,24.498282
2015-07-28,24.52,24.52,24.52,24.52,100,24.095382
2015-07-29,24.52,24.52,24.52,24.52,0,24.095382
2015-07-30,24.799999,24.799999,24.799999,24.799999,100,24.370532
2015-07-31,24.870001,24.870001,24.870001,24.870001,200,24.439321
2015-08-03,24.870001,24.870001,24.870001,24.870001,0,24.439321
2015-08-04,24.870001,24.870001,24.870001,24.870001,0,24.439321
2015-08-05,24.969999,24.969999,24.969999,24.969999,1100,24.537588
2015-08-06,24.969999,24.969999,24.969999,24.969999,0,24.537588
2015-08-07,24.969999,24.969999,24.969999,24.969999,0,24.537588
2015-08-10,24.969999,24.969999,24.969999,24.969999,0,24.537588
2015-08-11,24.51,24.51,24.51,24.51,100,24.085555
2015-08-12,24.41,24.549999,24.41,24.549999,700,24.124861
2015-08-13,24.549999,24.549999,24.549999,24.549999,0,24.124861
2015-08-14,24.549999,24.549999,24.549999,24.549999,0,24.124861
2015-08-17,24.549999,24.549999,24.549999,24.549999,0,24.124861
2015-08-18,24.549999,24.549999,24.549999,24.549999,0,24.124861
2015-08-19,24.549999,24.549999,24.549999,24.549999,0,24.124861
2015-08-20,24,24,24,24,200,23.584386
2015-08-21,24,24,24,24,0,23.584386
2015-08-24,24,24,24,24,0,23.584386
2015-08-25,24,24,24,24,0,23.584386
2015-08-26,24,24,24,24,0,23.584386
2015-08-27,22.952999,22.952999,22.93,22.93,2000,22.532916
2015-08-28,22.93,22.93,22.93,22.93,0,22.532916
2015-08-31,22.93,22.93,22.93,22.93,0,22.532916
2015-09-01,22.93,22.93,22.93,22.93,0,22.532916
2015-09-02,22.93,22.93,22.93,22.93,0,22.532916
2015-09-03,22.93,22.93,22.93,22.93,0,22.532916
2015-09-04,22.747,22.76,22.747,22.76,1000,22.36586
2015-09-08,22.76,22.76,22.76,22.76,0,22.36586
2015-09-09,23.280001,23.280001,23.280001,23.280001,700,22.876855
2015-09-10,23.280001,23.280001,23.280001,23.280001,0,22.876855
2015-09-11,23.280001,23.280001,23.280001,23.280001,0,22.876855
2015-09-14,22.98,22.98,22.98,22.98,600,22.582049
2015-09-15,22.98,22.98,22.98,22.98,0,22.582049
