"Index","open","high","low","close","volume","adjusted"
2004-01-30,48.869999,49.099998,48.799999,49,11100,40.989925
2004-02-02,49.25,49.599998,49.099998,49.200001,3400,41.157231
2004-02-03,49.150002,49.25,49.07,49.07,1200,41.048482
2004-02-04,48.830002,48.830002,48.049999,48.049999,1600,40.195221
2004-02-05,48.389999,48.490002,48.099998,48.200001,4000,40.320702
2004-02-06,48.48,49.349998,48.48,49.349998,2000,41.282709
2004-02-09,49.700001,49.869999,49.689999,49.689999,2900,41.567129
2004-02-10,49.650002,49.970001,49.599998,49.970001,43100,41.801359
2004-02-11,50.080002,50.549999,50.040001,50.549999,35600,42.286544
2004-02-12,50.48,50.650002,50.299999,50.299999,4700,42.077412
2004-02-13,50.5,50.5,49.799999,49.799999,1800,41.659147
2004-02-17,50.150002,50.349998,50.150002,50.349998,600,42.119238
2004-02-18,50.540001,50.540001,50.25,50.299999,2900,42.077412
2004-02-19,50.650002,50.650002,50.200001,50.200001,6200,41.99376
2004-02-20,49.549999,49.650002,49.049999,49.439999,4200,41.357996
2004-02-23,49.450001,49.450001,48.580002,48.580002,1600,40.638584
2004-02-24,48.540001,48.889999,48.25,48.68,1800,40.722236
2004-02-25,48.700001,48.950001,48.700001,48.950001,3000,40.948099
2004-02-26,49.099998,49.630001,49.099998,49.5,4100,41.408189
2004-02-27,49.75,50,49.689999,50,1100,41.826454
2004-03-01,49.950001,50.490002,49.950001,50.490002,2900,42.236354
2004-03-02,50.77,50.77,50.5,50.599998,2700,42.32837
2004-03-03,50.32,50.549999,50,50.549999,5500,42.286544
2004-03-04,50.490002,50.84,50.490002,50.799999,2100,42.495676
2004-03-05,50.689999,51.240002,50.689999,51.240002,4600,42.863751
2004-03-08,51.34,51.400002,50.490002,50.59,5000,42.320006
2004-03-09,50.52,50.52,49.98,49.98,2500,41.809723
2004-03-10,50.18,50.25,49,49,2500,40.989925
2004-03-11,49.099998,49.470001,48.75,48.75,1400,40.780792
2004-03-12,48.939999,49.369999,48.939999,49.34,6700,41.274345
2004-03-15,49.349998,49.48,48.470001,48.470001,9200,40.546565
2004-03-16,49,49,48.299999,48.549999,5300,40.613486
2004-03-17,48.939999,49.450001,48.939999,49.450001,2200,41.366363
2004-03-18,49.25,49.25,48.830002,48.950001,11300,40.948099
2004-03-19,49.099998,49.130001,48.93,48.93,2600,40.931368
2004-03-22,48.549999,48.549999,47.860001,47.900002,12200,40.069744
2004-03-23,48.290001,48.360001,47.799999,48.119999,2400,40.253778
2004-03-24,48.150002,48.150002,47.75,48.040001,2200,40.186858
2004-03-25,48.189999,48.669998,48.189999,48.639999,2300,40.688774
2004-03-26,48.849998,49.119999,48.849998,48.970001,7900,40.96483
2004-03-29,49.349998,49.73,49.349998,49.509998,2300,41.416553
2004-03-30,49.880001,50.259998,49.880001,50.209999,5200,42.002124
2004-03-31,50.25,50.5,50.18,50.400002,11300,42.161067
2004-04-01,50.650002,50.720001,50.650002,50.700001,1700,42.412025
2004-04-02,51.799999,51.799999,51.279999,51.419998,10900,43.014324
2004-04-05,51.52,51.529999,51.279999,51.34,5900,42.947403
2004-04-06,51.279999,51.32,51.189999,51.200001,2500,42.830289
2004-04-07,50.939999,50.939999,50.939999,50.939999,700,42.61279
2004-04-08,51.669998,51.669998,51.009998,51.080002,7200,42.729907
2004-04-12,51.259998,51.299999,51,51.060001,5000,42.713176
2004-04-13,51.200001,51.200001,49.919998,49.919998,6600,41.75953
2004-04-14,49.700001,50.130001,49.419998,49.43,1300,41.349632
2004-04-15,49.619999,49.619999,49.419998,49.5,7800,41.408189
2004-04-16,49.630001,49.959999,49.43,49.91,6200,41.751166
2004-04-19,49.900002,50.169998,49.41,50.169998,6100,41.968662
2004-04-20,50.259998,50.490002,49.68,49.68,54500,41.558765
2004-04-21,49.200001,49.639999,49.189999,49.540001,5700,41.441651
2004-04-22,49.869999,50.59,49.849998,50.59,1200,42.320006
2004-04-23,50.389999,50.389999,50.389999,50.389999,200,42.1527
2004-04-26,50.57,50.650002,50.349998,50.389999,4800,42.1527
2004-04-27,50.5,50.689999,50.400002,50.43,6300,42.186162
2004-04-28,49.880001,49.91,49.310001,49.349998,86000,41.282709
2004-04-29,49.349998,49.349998,48.279999,48.639999,5800,40.688774
2004-04-30,48.799999,48.799999,47.919998,48.029999,2900,40.178491
2004-05-03,48,48.360001,48,48.310001,1600,40.412721
2004-05-04,48.490002,49.130001,48.490002,49.130001,3300,41.098674
2004-05-05,48.869999,49.119999,48.869999,49.029999,2700,41.01502
2004-05-06,48.349998,48.349998,47.939999,48.27,3300,40.379259
2004-05-07,48.110001,48.110001,47.150002,47.150002,9600,39.442347
2004-05-10,46.5,46.77,45.849998,46.220001,4700,38.664375
2004-05-11,46.799999,47.009998,46.73,46.93,5400,39.25831
2004-05-12,46.75,47.060001,46.009998,47.060001,1100,39.367059
2004-05-13,46.419998,47.200001,46.419998,46.869999,4000,39.208117
2004-05-14,47.040001,47.080002,46.669998,46.669998,1000,39.04081
2004-05-17,45.75,46.32,45.68,46.099998,10500,38.563989
2004-05-18,46.23,46.59,46.23,46.52,2200,38.915333
2004-05-19,47.369999,47.369999,46.43,46.43,5200,38.840045
2004-05-20,46.599998,46.650002,46.459999,46.549999,10800,38.940428
2004-05-21,46.740002,46.990002,46.689999,46.919998,2000,39.249943
2004-05-24,47.290001,47.419998,47.150002,47.419998,5600,39.668207
2004-05-25,47.419998,48.509998,47.32,48.509998,11300,40.580024
2004-05-26,48.419998,48.709999,48.41,48.709999,326500,40.747331
2004-05-27,49.060001,49.189999,48.59,48.77,22300,40.797523
2004-05-28,48.869999,49.040001,48.790001,49.040001,2500,41.023387
2004-06-01,49,49.27,48.75,49.27,24900,41.215788
2004-06-02,49.490002,49.490002,49.049999,49.27,38800,41.215788
2004-06-03,48.759998,49,48.599998,48.599998,21900,40.655312
2004-06-04,48.599998,49.060001,48.599998,48.860001,126900,40.872811
